Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 79.7, 79.7, 78.5, 78.9, 33378
2016-09-30 09:16:00, 78.85, 79.55, 78.6, 79.55, 27648
2016-09-30 09:17:00, 79.8, 79.8, 79, 79, 43496
2016-09-30 09:18:00, 79, 79.1, 78.9, 78.95, 37301
2016-09-30 09:20:00, 79.25, 79.25, 78.95, 79, 61938
2016-09-30 09:19:00, 78.95, 79.2, 78.9, 79.15, 11185
2016-09-30 09:21:00, 79, 79.35, 78.9, 79.35, 40174
2016-09-30 09:22:00, 79.2, 79.2, 78.9, 79.15, 15116
2016-09-30 09:23:00, 79.15, 79.25, 79.05, 79.25, 14976
2016-09-30 09:25:00, 79, 79.4, 78.9, 79.25, 13036
2016-09-30 09:24:00, 79.1, 79.1, 78.95, 79, 5553
2016-09-30 09:27:00, 79.55, 80, 79.55, 80, 10681
2016-09-30 09:26:00, 79.25, 79.5, 79.2, 79.5, 12910
2016-09-30 09:28:00, 80, 80.3, 80, 80.2, 41607
2016-09-30 09:29:00, 80.15, 80.25, 79.95, 80, 14462
2016-09-30 09:30:00, 80.15, 80.5, 80.15, 80.35, 13339
2016-09-30 09:31:00, 80.45, 80.5, 80.35, 80.5, 18014
2016-09-30 09:32:00, 80.6, 80.8, 80.5, 80.5, 14522
2016-09-30 09:33:00, 80.55, 80.6, 80.45, 80.45, 24078
2016-09-30 09:34:00, 80.45, 80.7, 80.45, 80.65, 10887
2016-09-30 09:35:00, 80.65, 81.35, 80.65, 81.25, 34089
2016-09-30 09:37:00, 81.5, 81.6, 81.25, 81.3, 15489
2016-09-30 09:36:00, 81.25, 81.65, 81.25, 81.5, 23093
2016-09-30 09:38:00, 81.3, 81.4, 81.2, 81.25, 17322
2016-09-30 09:39:00, 81.25, 81.45, 81.1, 81.35, 11591
2016-09-30 09:41:00, 81.2, 81.4, 81.2, 81.35, 7716
2016-09-30 09:40:00, 81.3, 81.45, 81.15, 81.15, 7217
2016-09-30 09:42:00, 81.35, 81.4, 81.25, 81.3, 7161
2016-09-30 09:43:00, 81.3, 81.35, 81.25, 81.25, 3262
2016-09-30 09:44:00, 81.25, 81.4, 81.25, 81.4, 8867
2016-09-30 09:46:00, 81.4, 81.5, 81.35, 81.4, 1524
2016-09-30 09:45:00, 81.4, 81.5, 81.3, 81.4, 8139
2016-09-30 09:47:00, 81.4, 81.9, 81.4, 81.9, 44280
2016-09-30 09:48:00, 81.9, 81.95, 81.65, 81.65, 9782
2016-09-30 09:49:00, 81.65, 81.75, 81.6, 81.65, 19292
2016-09-30 09:50:00, 81.5, 81.65, 81.5, 81.6, 8534
2016-09-30 09:51:00, 81.6, 81.75, 81.55, 81.75, 6392
2016-09-30 09:52:00, 81.75, 81.75, 81.4, 81.4, 11080
2016-09-30 09:53:00, 81.4, 81.55, 81.1, 81.1, 23837
2016-09-30 09:54:00, 81.1, 81.3, 81.05, 81.1, 7100
2016-09-30 09:55:00, 81.15, 81.4, 81, 81.1, 22194
2016-09-30 09:56:00, 81.2, 81.3, 81.1, 81.2, 3280
2016-09-30 09:57:00, 81.25, 81.35, 81.05, 81.05, 10220
2016-09-30 09:58:00, 81.05, 81.4, 81, 81, 14917
2016-09-30 09:59:00, 81.15, 81.35, 81, 81.25, 11027
2016-09-30 10:00:00, 81.3, 81.3, 81, 81, 5730
2016-09-30 10:01:00, 81, 81.15, 80.9, 81.1, 5547
2016-09-30 10:02:00, 81.15, 81.2, 81.1, 81.1, 11493
2016-09-30 10:03:00, 81.1, 81.25, 81, 81.1, 6951
2016-09-30 10:04:00, 81.1, 81.2, 81.05, 81.05, 5115
2016-09-30 10:05:00, 81.05, 81.5, 81.05, 81.4, 15320
2016-09-30 10:06:00, 81.45, 81.7, 81.4, 81.6, 11149
2016-09-30 10:07:00, 81.7, 81.7, 81.6, 81.6, 11171
2016-09-30 10:08:00, 81.6, 81.7, 81.55, 81.55, 3862
2016-09-30 10:09:00, 81.55, 81.7, 81.55, 81.6, 5739
2016-09-30 10:10:00, 81.7, 81.7, 81.5, 81.6, 10536
2016-09-30 10:11:00, 81.7, 81.7, 81.5, 81.5, 9378
2016-09-30 10:12:00, 81.5, 81.6, 81.35, 81.35, 13746
2016-09-30 10:13:00, 81.45, 81.45, 81.35, 81.4, 4026
2016-09-30 10:14:00, 81.4, 81.5, 81.4, 81.4, 2798
2016-09-30 10:15:00, 81.4, 81.45, 81.3, 81.3, 6233
2016-09-30 10:16:00, 81.4, 81.6, 81.25, 81.6, 10470
2016-09-30 10:17:00, 81.6, 81.6, 81.2, 81.3, 14559
2016-09-30 10:18:00, 81.3, 81.6, 81.25, 81.5, 6221
2016-09-30 10:19:00, 81.5, 81.8, 81.5, 81.8, 22566
2016-09-30 10:20:00, 81.8, 81.9, 81.6, 81.65, 6911
2016-09-30 10:21:00, 81.7, 81.85, 81.65, 81.65, 14012
2016-09-30 10:22:00, 81.65, 81.75, 81.65, 81.75, 4200
2016-09-30 10:23:00, 81.75, 81.85, 81.65, 81.85, 3756
2016-09-30 10:24:00, 81.8, 82, 81.8, 81.95, 15051
2016-09-30 10:25:00, 81.95, 82, 81.9, 81.9, 4468
2016-09-30 10:26:00, 81.95, 81.95, 81.8, 81.8, 3527
2016-09-30 10:27:00, 81.8, 82, 81.8, 81.95, 4529
2016-09-30 10:28:00, 82, 82, 81.8, 81.9, 7998
2016-09-30 10:29:00, 82, 82, 81.9, 81.9, 5582
2016-09-30 10:30:00, 81.9, 82.25, 81.9, 82.05, 24796
2016-09-30 10:31:00, 82, 82.15, 81.95, 82.1, 5394
2016-09-30 10:32:00, 82.1, 82.2, 82.05, 82.1, 5739
2016-09-30 10:33:00, 82.1, 82.15, 82, 82, 14675
2016-09-30 10:34:00, 82, 82, 81.8, 81.8, 8979
2016-09-30 10:35:00, 81.8, 82.2, 81.8, 82.2, 13320
2016-09-30 10:36:00, 82.2, 82.25, 82, 82, 13766
2016-09-30 10:37:00, 82, 82.05, 81.7, 81.7, 9694
2016-09-30 10:38:00, 81.7, 81.85, 81.7, 81.85, 3507
2016-09-30 10:39:00, 81.85, 81.95, 81.8, 81.8, 2487
2016-09-30 10:40:00, 81.9, 82, 81.9, 81.9, 3722
2016-09-30 10:41:00, 82.05, 82.05, 81.9, 81.9, 4430
2016-09-30 10:42:00, 81.9, 82, 81.9, 81.9, 2538
2016-09-30 10:43:00, 82, 82.05, 81.9, 81.95, 4282
2016-09-30 10:44:00, 81.95, 82.05, 81.95, 82, 2950
2016-09-30 10:45:00, 82, 82.1, 81.75, 81.75, 21986
2016-09-30 10:46:00, 81.75, 81.75, 81.55, 81.65, 16200
2016-09-30 10:47:00, 81.65, 81.65, 81.45, 81.5, 21039
2016-09-30 10:48:00, 81.5, 81.65, 81.35, 81.5, 23583
2016-09-30 10:49:00, 81.5, 81.5, 81.25, 81.25, 9541
2016-09-30 10:50:00, 81.25, 81.45, 81.25, 81.35, 21866
2016-09-30 10:51:00, 81.35, 81.45, 81.1, 81.1, 27643
2016-09-30 10:52:00, 81.1, 81.4, 81.1, 81.2, 4104
2016-09-30 10:53:00, 81.1, 81.45, 81.1, 81.35, 11097
2016-09-30 10:54:00, 81.35, 81.55, 81.35, 81.55, 7341
2016-09-30 10:55:00, 81.55, 81.65, 81.45, 81.5, 11045
2016-09-30 10:56:00, 81.5, 81.8, 81.5, 81.7, 6891
2016-09-30 10:57:00, 81.8, 81.9, 81.6, 81.6, 5483
2016-09-30 10:58:00, 81.6, 81.75, 81.4, 81.7, 6875
2016-09-30 10:59:00, 81.7, 81.8, 81.55, 81.7, 6089
2016-09-30 11:00:00, 81.7, 81.8, 81.65, 81.7, 3729
2016-09-30 11:01:00, 81.7, 81.9, 81.7, 81.9, 9052
2016-09-30 11:02:00, 81.95, 81.95, 81.85, 81.85, 2813
2016-09-30 11:03:00, 81.85, 81.95, 81.85, 81.9, 2525
2016-09-30 11:04:00, 81.9, 81.95, 81.9, 81.9, 3744
2016-09-30 11:05:00, 81.95, 82, 81.8, 81.85, 8792
2016-09-30 11:06:00, 81.85, 82, 81.85, 81.85, 5188
2016-09-30 11:07:00, 81.85, 82.1, 81.85, 82.1, 19758
2016-09-30 11:08:00, 82.1, 82.35, 82, 82.35, 23071
2016-09-30 11:09:00, 82.35, 82.4, 82.25, 82.3, 6479
2016-09-30 11:10:00, 82.3, 82.3, 82.05, 82.2, 6176
2016-09-30 11:11:00, 82.2, 82.2, 82.1, 82.2, 2162
2016-09-30 11:12:00, 82.2, 82.25, 82.1, 82.2, 3809
2016-09-30 11:13:00, 82.2, 82.25, 82.05, 82.2, 3654
2016-09-30 11:14:00, 82.2, 82.25, 82.1, 82.2, 4821
2016-09-30 11:15:00, 82.2, 82.2, 82, 82.1, 2064
2016-09-30 11:16:00, 82.1, 82.1, 81.95, 81.95, 10462
2016-09-30 11:17:00, 81.95, 82, 81.9, 81.9, 4544
2016-09-30 11:18:00, 81.85, 81.9, 81.8, 81.85, 3976
2016-09-30 11:19:00, 81.85, 82.05, 81.85, 81.95, 5957
2016-09-30 11:20:00, 82.15, 82.2, 82.05, 82.1, 8590
2016-09-30 11:21:00, 82.2, 82.2, 82.05, 82.05, 9378
2016-09-30 11:22:00, 82.05, 82.15, 82.05, 82.1, 5391
2016-09-30 11:23:00, 82.1, 82.15, 82.05, 82.15, 2301
2016-09-30 11:24:00, 82.15, 82.15, 82, 82, 5075
2016-09-30 11:25:00, 82.1, 82.15, 82, 82, 1938
2016-09-30 11:26:00, 82, 82.1, 81.95, 81.95, 9789
2016-09-30 11:27:00, 81.95, 82, 81.85, 81.85, 23193
2016-09-30 11:28:00, 81.85, 82, 81.85, 81.95, 6739
2016-09-30 11:29:00, 81.95, 82, 81.85, 81.85, 3843
2016-09-30 11:30:00, 81.85, 82, 81.8, 81.85, 13304
2016-09-30 11:31:00, 81.85, 81.95, 81.7, 81.7, 13268
2016-09-30 11:32:00, 81.85, 82, 81.85, 81.95, 4890
2016-09-30 11:33:00, 81.95, 82, 81.85, 81.85, 2089
2016-09-30 11:34:00, 81.9, 81.95, 81.85, 81.85, 7466
2016-09-30 11:35:00, 81.85, 81.85, 81.65, 81.65, 6686
2016-09-30 11:36:00, 81.65, 81.85, 81.6, 81.75, 5643
2016-09-30 11:37:00, 81.75, 81.85, 81.75, 81.8, 2241
2016-09-30 11:38:00, 81.8, 82, 81.8, 81.9, 3668
2016-09-30 11:39:00, 81.9, 82, 81.85, 81.85, 2624
2016-09-30 11:40:00, 81.85, 82, 81.85, 81.85, 5593
2016-09-30 11:41:00, 81.85, 81.95, 81.8, 81.95, 2839
2016-09-30 11:42:00, 81.95, 82.05, 81.9, 81.95, 2424
2016-09-30 11:43:00, 81.95, 82, 81.9, 81.9, 3076
2016-09-30 11:44:00, 82, 82.05, 81.9, 81.9, 2434
2016-09-30 11:45:00, 82, 82, 81.9, 81.95, 2482
2016-09-30 11:46:00, 81.95, 82.1, 81.9, 81.9, 11829
2016-09-30 11:47:00, 81.9, 82.1, 81.9, 82.1, 3515
2016-09-30 11:48:00, 82.1, 82.1, 82.1, 82.1, 2491
2016-09-30 11:49:00, 82.1, 82.35, 82.05, 82.35, 17884
2016-09-30 11:50:00, 82.35, 82.4, 82.2, 82.25, 6530
2016-09-30 11:51:00, 82.25, 82.45, 82.25, 82.4, 14482
2016-09-30 11:52:00, 82.4, 82.45, 82.35, 82.4, 4373
2016-09-30 11:53:00, 82.4, 82.45, 82.3, 82.3, 9617
2016-09-30 11:54:00, 82.4, 82.4, 82.25, 82.25, 7582
2016-09-30 11:55:00, 82.35, 82.35, 82.2, 82.25, 5296
2016-09-30 11:56:00, 82.25, 82.25, 82.05, 82.05, 2538
2016-09-30 11:57:00, 82.05, 82.1, 82, 82, 1242
2016-09-30 11:58:00, 82, 82.05, 81.95, 82, 33482
2016-09-30 11:59:00, 82, 82, 81.9, 81.9, 2256
2016-09-30 12:00:00, 81.9, 82, 81.9, 82, 4733
2016-09-30 12:01:00, 82, 82, 81.85, 81.85, 4520
2016-09-30 12:02:00, 81.9, 81.95, 81.85, 81.95, 1587
2016-09-30 12:03:00, 81.95, 82, 81.85, 82, 1978
2016-09-30 12:04:00, 82, 82, 81.9, 81.95, 1477
