Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 24.45, 24.45, 24.3, 24.35, 27903
2016-09-30 09:17:00, 24.65, 24.7, 24.55, 24.6, 52187
2016-09-30 09:16:00, 24.35, 24.6, 24.3, 24.6, 57393
2016-09-30 09:18:00, 24.55, 24.6, 24.5, 24.55, 38796
2016-09-30 09:19:00, 24.55, 24.55, 24.45, 24.5, 27841
2016-09-30 09:21:00, 24.55, 24.6, 24.5, 24.6, 9850
2016-09-30 09:20:00, 24.45, 24.65, 24.45, 24.55, 62329
2016-09-30 09:23:00, 24.5, 24.55, 24.5, 24.5, 10441
2016-09-30 09:22:00, 24.6, 24.6, 24.5, 24.5, 24075
2016-09-30 09:24:00, 24.55, 24.6, 24.5, 24.6, 37742
2016-09-30 09:25:00, 24.6, 24.6, 24.6, 24.6, 2555
2016-09-30 09:27:00, 24.6, 24.6, 24.55, 24.6, 3862
2016-09-30 09:26:00, 24.6, 24.6, 24.55, 24.6, 2394
2016-09-30 09:28:00, 24.6, 24.6, 24.55, 24.6, 5352
2016-09-30 09:29:00, 24.6, 24.6, 24.55, 24.6, 66748
2016-09-30 09:30:00, 24.6, 24.6, 24.55, 24.6, 3830
2016-09-30 09:31:00, 24.6, 24.6, 24.55, 24.55, 2168
2016-09-30 09:32:00, 24.55, 24.6, 24.55, 24.55, 2402
2016-09-30 09:33:00, 24.55, 24.6, 24.55, 24.6, 3760
2016-09-30 09:34:00, 24.6, 24.65, 24.6, 24.65, 85566
2016-09-30 09:35:00, 24.65, 24.65, 24.6, 24.65, 45938
2016-09-30 09:36:00, 24.65, 24.8, 24.65, 24.75, 74908
2016-09-30 09:37:00, 24.75, 24.9, 24.75, 24.9, 116328
2016-09-30 09:38:00, 24.8, 24.9, 24.8, 24.85, 43056
2016-09-30 09:39:00, 24.85, 24.9, 24.85, 24.9, 15840
2016-09-30 09:40:00, 24.9, 24.95, 24.85, 24.85, 54880
2016-09-30 09:41:00, 24.9, 24.9, 24.7, 24.7, 117119
2016-09-30 09:42:00, 24.7, 24.8, 24.7, 24.8, 46256
2016-09-30 09:43:00, 24.7, 24.95, 24.7, 24.85, 53636
2016-09-30 09:44:00, 24.85, 24.9, 24.8, 24.85, 2220
2016-09-30 09:45:00, 24.85, 24.9, 24.85, 24.85, 1992
2016-09-30 09:46:00, 24.9, 24.95, 24.8, 24.85, 19500
2016-09-30 09:47:00, 24.85, 24.95, 24.85, 24.95, 31951
2016-09-30 09:48:00, 24.95, 24.95, 24.8, 24.85, 22902
2016-09-30 09:49:00, 24.85, 24.95, 24.85, 24.9, 17715
2016-09-30 09:50:00, 24.9, 24.9, 24.85, 24.9, 2382
2016-09-30 09:51:00, 24.9, 24.9, 24.85, 24.85, 27861
2016-09-30 09:52:00, 24.85, 24.9, 24.85, 24.9, 831
2016-09-30 09:53:00, 24.85, 24.9, 24.85, 24.9, 6531
2016-09-30 09:54:00, 24.9, 24.9, 24.8, 24.85, 2385
2016-09-30 09:55:00, 24.85, 24.85, 24.8, 24.8, 1272
2016-09-30 09:56:00, 24.8, 24.9, 24.8, 24.8, 314
2016-09-30 09:57:00, 24.8, 24.9, 24.8, 24.85, 70034
2016-09-30 09:58:00, 24.9, 24.9, 24.8, 24.9, 10363
2016-09-30 09:59:00, 24.9, 24.9, 24.85, 24.85, 601
2016-09-30 10:00:00, 24.85, 24.9, 24.85, 24.85, 3869
2016-09-30 10:01:00, 24.85, 24.9, 24.8, 24.9, 12511
2016-09-30 10:02:00, 24.9, 24.9, 24.8, 24.85, 19385
2016-09-30 10:03:00, 24.85, 24.85, 24.8, 24.85, 69524
2016-09-30 10:04:00, 24.85, 24.85, 24.8, 24.8, 1125
2016-09-30 10:05:00, 24.85, 24.85, 24.8, 24.85, 4151
2016-09-30 10:06:00, 24.85, 24.85, 24.85, 24.85, 250
2016-09-30 10:07:00, 24.85, 24.85, 24.8, 24.85, 1453
2016-09-30 10:08:00, 24.85, 24.85, 24.8, 24.8, 3260
2016-09-30 10:09:00, 24.85, 24.85, 24.8, 24.8, 375
2016-09-30 10:10:00, 24.85, 24.85, 24.8, 24.85, 592
2016-09-30 10:11:00, 24.85, 24.85, 24.8, 24.85, 5588
2016-09-30 10:12:00, 24.8, 24.85, 24.8, 24.8, 17885
2016-09-30 10:13:00, 24.85, 24.85, 24.8, 24.85, 102808
2016-09-30 10:14:00, 24.85, 24.85, 24.8, 24.85, 1300
2016-09-30 10:15:00, 24.85, 24.85, 24.8, 24.8, 1000
2016-09-30 10:16:00, 24.8, 24.85, 24.8, 24.85, 73420
2016-09-30 10:17:00, 24.85, 24.85, 24.8, 24.85, 2524
2016-09-30 10:18:00, 24.85, 24.85, 24.8, 24.85, 11824
2016-09-30 10:19:00, 24.85, 24.85, 24.85, 24.85, 6251
2016-09-30 10:20:00, 24.85, 24.85, 24.85, 24.85, 0
2016-09-30 10:21:00, 24.85, 24.85, 24.8, 24.85, 12993
2016-09-30 10:22:00, 24.85, 24.85, 24.8, 24.85, 157
2016-09-30 10:23:00, 24.85, 24.85, 24.8, 24.85, 3281
2016-09-30 10:24:00, 24.85, 24.85, 24.8, 24.85, 1350
2016-09-30 10:25:00, 24.85, 24.85, 24.8, 24.85, 2226
2016-09-30 10:26:00, 24.85, 24.85, 24.85, 24.85, 178
2016-09-30 10:27:00, 24.85, 24.85, 24.85, 24.85, 1348
2016-09-30 10:28:00, 24.85, 24.85, 24.8, 24.8, 1562
2016-09-30 10:29:00, 24.85, 24.85, 24.8, 24.85, 994
2016-09-30 10:30:00, 24.85, 24.85, 24.8, 24.85, 2332
2016-09-30 10:31:00, 24.85, 24.85, 24.85, 24.85, 635
2016-09-30 10:32:00, 24.85, 24.85, 24.8, 24.85, 32213
2016-09-30 10:33:00, 24.85, 24.9, 24.8, 24.85, 99469
2016-09-30 10:34:00, 24.85, 24.9, 24.85, 24.9, 3050
