Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 398, 398, 397.55, 397.9, 290
2016-09-30 09:16:00, 397.9, 397.9, 397.05, 397.6, 238
2016-09-30 09:17:00, 397.7, 398.45, 397.6, 398, 1890
2016-09-30 09:18:00, 398, 398.4, 397.9, 397.9, 107
2016-09-30 09:19:00, 397.9, 398.05, 395.85, 396.65, 2486
2016-09-30 09:20:00, 396.65, 397, 395.3, 395.4, 696
2016-09-30 09:21:00, 395.4, 395.4, 394.25, 395, 1881
2016-09-30 09:23:00, 394.95, 395.35, 394.65, 395, 471
2016-09-30 09:22:00, 395.1, 395.1, 394.9, 394.95, 200
2016-09-30 09:24:00, 395, 395.75, 394.7, 395.75, 781
2016-09-30 09:25:00, 395.75, 396.45, 395.75, 396.25, 858
2016-09-30 09:26:00, 396.25, 396.65, 395.7, 396.45, 251
2016-09-30 09:27:00, 396.45, 397.3, 396.45, 397.3, 162
2016-09-30 09:28:00, 397.3, 397.95, 397.3, 397.65, 382
2016-09-30 09:29:00, 397.65, 398, 397.45, 397.6, 753
2016-09-30 09:30:00, 397.6, 398.15, 397.2, 397.85, 1851
2016-09-30 09:31:00, 397.85, 398.15, 397.5, 398.15, 721
2016-09-30 09:32:00, 398.15, 398.8, 398.05, 398.5, 431
2016-09-30 09:33:00, 398.5, 398.95, 398.5, 398.95, 33
2016-09-30 09:34:00, 398.95, 398.95, 398.85, 398.85, 50
2016-09-30 09:35:00, 399, 399.9, 399, 399.8, 1894
2016-09-30 09:36:00, 399.8, 399.95, 399.65, 399.7, 573
2016-09-30 09:37:00, 399.7, 399.95, 399.65, 399.75, 207
2016-09-30 09:38:00, 399.75, 400.45, 399.7, 400.45, 839
2016-09-30 09:39:00, 400.45, 401, 400.45, 401, 565
2016-09-30 09:40:00, 401, 401.5, 400.95, 400.95, 868
2016-09-30 09:41:00, 400.95, 401.3, 400.9, 400.9, 701
2016-09-30 09:42:00, 400.9, 401, 400.15, 401, 1493
2016-09-30 09:43:00, 401.15, 401.3, 401.05, 401.3, 188
2016-09-30 09:44:00, 401.3, 404, 401.1, 404, 7048
