Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 470, 471.4, 467.35, 471, 1138
2016-09-30 09:16:00, 471, 474.5, 471, 474.5, 3262
2016-09-30 09:17:00, 474.5, 476.8, 474.5, 476.8, 420
2016-09-30 09:18:00, 476.8, 478.75, 476.15, 478.75, 1852
2016-09-30 09:19:00, 478.75, 482.75, 478.75, 482.55, 1920
2016-09-30 09:20:00, 482.55, 482.55, 473.85, 474.25, 5755
2016-09-30 09:21:00, 474.3, 476.85, 471, 474.95, 4585
2016-09-30 09:22:00, 474.95, 475, 473.35, 474.35, 1427
2016-09-30 09:23:00, 474.95, 475.55, 473.7, 474.85, 1691
2016-09-30 09:24:00, 474.85, 474.9, 467.55, 467.55, 1988
2016-09-30 09:25:00, 470, 473.6, 470, 471.65, 1568
2016-09-30 09:26:00, 471.65, 471.65, 470.45, 470.5, 439
2016-09-30 09:27:00, 470.5, 472.7, 470.5, 471.45, 1153
2016-09-30 09:28:00, 471.45, 471.85, 470.5, 471.45, 2903
2016-09-30 09:29:00, 471.45, 472.8, 471.45, 471.75, 1160
2016-09-30 09:30:00, 471.75, 472.55, 471.75, 472.4, 500
2016-09-30 09:31:00, 472.4, 472.55, 472.1, 472.1, 167
2016-09-30 09:32:00, 472.1, 475.2, 472.1, 473.4, 882
2016-09-30 09:33:00, 473.4, 474.3, 473.1, 473.1, 694
2016-09-30 09:34:00, 473.1, 474.45, 473.1, 473.8, 761
2016-09-30 09:35:00, 474, 477.8, 474, 477.5, 2309
2016-09-30 09:36:00, 478.35, 479, 477.5, 477.7, 826
2016-09-30 09:37:00, 477.7, 478.05, 475.85, 478, 2169
2016-09-30 09:38:00, 478, 480, 478, 479.05, 1683
2016-09-30 09:39:00, 479.05, 479.3, 478.05, 479.25, 306
2016-09-30 09:40:00, 479.25, 479.45, 479.2, 479.4, 235
2016-09-30 09:41:00, 479.5, 479.95, 479, 479.3, 840
2016-09-30 09:42:00, 479.3, 479.5, 479.1, 479.1, 408
2016-09-30 09:43:00, 479.1, 479.65, 477.9, 477.9, 717
2016-09-30 09:44:00, 477.9, 478.6, 477.9, 478, 634
2016-09-30 09:45:00, 478, 478.65, 477.1, 477.95, 745
2016-09-30 09:46:00, 477.95, 478.75, 477.85, 477.85, 555
2016-09-30 09:47:00, 477.85, 478.05, 477.5, 478.05, 52
2016-09-30 09:48:00, 478.05, 478.05, 478.05, 478.05, 54
2016-09-30 09:49:00, 478.05, 478.05, 477.7, 477.7, 150
2016-09-30 09:50:00, 477.7, 478.75, 477.7, 478.75, 396
2016-09-30 09:51:00, 478.7, 478.7, 478.7, 478.7, 95
2016-09-30 09:52:00, 478.7, 478.7, 478.15, 478.35, 325
2016-09-30 09:53:00, 478.35, 478.45, 476.5, 478.3, 710
2016-09-30 09:54:00, 478.3, 478.3, 476.5, 477.75, 563
2016-09-30 09:55:00, 477.75, 477.75, 476.9, 476.9, 68
2016-09-30 09:56:00, 476.45, 477.4, 476.45, 477.2, 288
2016-09-30 09:57:00, 477.2, 477.2, 477.2, 477.2, 0
2016-09-30 09:58:00, 477.2, 477.2, 476.05, 476.15, 377
2016-09-30 09:59:00, 476.15, 476.15, 476.15, 476.15, 25
2016-09-30 10:00:00, 476.15, 476.4, 475.2, 475.2, 475
2016-09-30 10:01:00, 475.2, 475.35, 475.2, 475.35, 97
2016-09-30 10:02:00, 475.35, 476, 475.05, 475.15, 315
2016-09-30 10:03:00, 475.15, 475.2, 475.15, 475.2, 32
2016-09-30 10:04:00, 475.2, 475.75, 475.2, 475.75, 20
2016-09-30 10:05:00, 475.75, 475.9, 475.7, 475.9, 125
2016-09-30 10:06:00, 475.9, 476.5, 475.9, 476.5, 34
2016-09-30 10:07:00, 476.5, 476.5, 476.5, 476.5, 0
2016-09-30 10:08:00, 476.5, 476.5, 475.9, 475.95, 137
2016-09-30 10:09:00, 475.95, 475.95, 475.9, 475.9, 9
2016-09-30 10:10:00, 475.9, 475.9, 475.9, 475.9, 0
2016-09-30 10:11:00, 475.9, 476.4, 475.9, 476.4, 100
2016-09-30 10:12:00, 476.2, 476.2, 475.95, 476.2, 107
2016-09-30 10:13:00, 476.2, 476.2, 476.2, 476.2, 41
2016-09-30 10:14:00, 476.2, 476.2, 475.95, 475.95, 105
2016-09-30 10:15:00, 475.95, 476.35, 475.9, 475.9, 240
2016-09-30 10:16:00, 475.9, 476.2, 475.9, 475.9, 25
2016-09-30 10:17:00, 475.9, 477.7, 475.35, 477.7, 715
2016-09-30 10:18:00, 477.7, 478.2, 476.05, 476.25, 1068
2016-09-30 10:19:00, 476.25, 476.3, 476.25, 476.25, 52
2016-09-30 10:20:00, 476.25, 476.25, 476.25, 476.25, 0
2016-09-30 10:21:00, 476.25, 476.25, 476.25, 476.25, 20
2016-09-30 10:22:00, 476.25, 476.25, 476.25, 476.25, 3
2016-09-30 10:23:00, 476.25, 476.25, 475.85, 475.85, 2
2016-09-30 10:24:00, 475.85, 477, 475.85, 477, 119
2016-09-30 10:25:00, 477, 477, 477, 477, 49
2016-09-30 10:26:00, 477, 477.9, 477, 477.85, 53
2016-09-30 10:27:00, 477.85, 477.85, 477, 477, 413
2016-09-30 10:28:00, 477, 477, 477, 477, 0
2016-09-30 10:29:00, 477, 477, 477, 477, 0
2016-09-30 10:30:00, 477, 478.15, 477, 477.5, 140
2016-09-30 10:31:00, 477.5, 478.2, 477.2, 477.75, 262
2016-09-30 10:32:00, 477.75, 477.75, 477.75, 477.75, 0
2016-09-30 10:33:00, 477.2, 477.2, 477.1, 477.1, 51
2016-09-30 10:34:00, 477.25, 477.25, 476.8, 476.8, 109
2016-09-30 10:35:00, 476.8, 476.95, 476.8, 476.95, 60
2016-09-30 10:36:00, 476.95, 476.95, 476.95, 476.95, 1
2016-09-30 10:37:00, 476.95, 476.95, 476.95, 476.95, 300
2016-09-30 10:38:00, 476.95, 476.95, 476.95, 476.95, 0
2016-09-30 10:39:00, 477, 477, 476.55, 476.65, 162
2016-09-30 10:40:00, 476.65, 477, 476.65, 477, 250
2016-09-30 10:41:00, 477, 477, 477, 477, 0
2016-09-30 10:42:00, 477, 477, 477, 477, 50
2016-09-30 10:43:00, 477, 477, 477, 477, 0
2016-09-30 10:44:00, 477, 477.65, 476, 476.3, 301
2016-09-30 10:45:00, 476.3, 476.3, 476.3, 476.3, 50
2016-09-30 10:46:00, 475.7, 475.7, 475, 475, 516
2016-09-30 10:47:00, 475, 475, 475, 475, 0
2016-09-30 10:48:00, 475, 475.9, 475, 475.3, 179
2016-09-30 10:49:00, 475.3, 476.35, 475.3, 476.35, 157
2016-09-30 10:50:00, 476.35, 479.9, 476.35, 479.9, 2857
2016-09-30 10:51:00, 479.9, 481, 479.25, 480, 2381
2016-09-30 10:52:00, 480, 480, 479, 479, 519
2016-09-30 10:53:00, 478.15, 478.5, 477.7, 478.5, 271
2016-09-30 10:54:00, 478.5, 479, 478.45, 479, 122
2016-09-30 10:55:00, 479, 480, 478.4, 479.95, 383
2016-09-30 10:56:00, 479.95, 480.05, 479.5, 479.5, 32
2016-09-30 10:57:00, 479.5, 482.7, 479.5, 482, 1517
2016-09-30 10:58:00, 482, 482.45, 481.5, 482, 1038
2016-09-30 10:59:00, 482, 485, 482, 485, 4229
2016-09-30 11:00:00, 485, 487.85, 484.45, 486.15, 3240
2016-09-30 11:01:00, 486.15, 486.45, 485, 485.5, 827
2016-09-30 11:02:00, 485.5, 486.4, 485, 486.05, 1338
2016-09-30 11:03:00, 486.05, 487.4, 486.05, 487, 1190
2016-09-30 11:04:00, 487, 489, 487, 488.5, 2934
2016-09-30 11:05:00, 488.5, 488.8, 485.1, 485.1, 2168
2016-09-30 11:06:00, 485.8, 487.1, 485.1, 486.4, 3179
2016-09-30 11:07:00, 486.4, 487, 486.25, 486.25, 255
2016-09-30 11:08:00, 486.25, 486.25, 485.9, 485.9, 1341
2016-09-30 11:09:00, 485.9, 485.9, 485.55, 485.55, 24
2016-09-30 11:10:00, 485.55, 485.9, 485.55, 485.9, 204
2016-09-30 11:11:00, 485.9, 486.15, 485.55, 486, 298
2016-09-30 11:12:00, 486, 486.15, 485.6, 485.6, 150
2016-09-30 11:13:00, 485.6, 486, 485, 485, 481
2016-09-30 11:14:00, 485, 485, 482.6, 482.6, 1303
2016-09-30 11:15:00, 482.6, 482.9, 481.1, 481.1, 859
2016-09-30 11:16:00, 482, 482, 480.4, 480.95, 845
2016-09-30 11:17:00, 479.7, 480.95, 479.7, 480.9, 1287
2016-09-30 11:18:00, 480.9, 481, 480.9, 481, 254
2016-09-30 11:19:00, 481, 481, 479, 480.5, 1170
