Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 667, 667, 665, 666.2, 4945
2016-09-30 09:16:00, 666.2, 666.2, 664.45, 665.9, 4139
2016-09-30 09:17:00, 666.15, 669, 666.15, 669, 5252
2016-09-30 09:18:00, 669, 669.75, 668.25, 668.25, 2666
2016-09-30 09:19:00, 668.2, 668.2, 666.6, 666.6, 2259
2016-09-30 09:20:00, 665.95, 665.95, 663, 663.15, 2824
2016-09-30 09:21:00, 662.3, 662.3, 660.25, 661.85, 3228
2016-09-30 09:22:00, 661.45, 662.55, 661.45, 662.3, 3228
2016-09-30 09:23:00, 662.85, 663.75, 662.5, 663.25, 2041
2016-09-30 09:24:00, 663.6, 664.45, 663.25, 664.3, 2417
2016-09-30 09:25:00, 664.5, 665.75, 663.8, 663.95, 2729
2016-09-30 09:26:00, 664.15, 665.55, 664, 665.55, 835
2016-09-30 09:27:00, 665.55, 666.3, 665.3, 666.3, 647
2016-09-30 09:28:00, 666.4, 669.05, 666.1, 667.95, 1858
2016-09-30 09:29:00, 667.95, 667.95, 666.55, 666.6, 2220
2016-09-30 09:30:00, 666.9, 667.1, 666.05, 666.25, 1754
2016-09-30 09:31:00, 666.55, 666.9, 666, 666.7, 1733
2016-09-30 09:32:00, 666.7, 667.55, 666.55, 667, 573
2016-09-30 09:33:00, 667.2, 667.5, 666.75, 667.45, 338
2016-09-30 09:34:00, 667.25, 668, 667.2, 667.45, 1581
2016-09-30 09:35:00, 667.45, 669.2, 667.4, 669.2, 1099
2016-09-30 09:36:00, 668.7, 670, 668.7, 669.35, 1525
2016-09-30 09:37:00, 669.35, 670, 669.35, 669.65, 917
2016-09-30 09:38:00, 669.75, 670.3, 669.5, 670, 1316
2016-09-30 09:39:00, 670, 670.45, 669.7, 669.7, 1059
2016-09-30 09:40:00, 669.7, 670.5, 669.7, 670.35, 585
2016-09-30 09:41:00, 670.4, 670.95, 670, 670, 1397
2016-09-30 09:42:00, 670, 670.45, 667.35, 667.55, 8263
2016-09-30 09:43:00, 667.55, 667.55, 666.1, 666.55, 1804
2016-09-30 09:44:00, 666.55, 669.55, 666.45, 669.4, 1233
2016-09-30 09:45:00, 669.4, 670, 669.4, 669.5, 985
2016-09-30 09:46:00, 669.5, 670, 668.7, 668.7, 774
2016-09-30 09:47:00, 668.7, 670, 668.7, 670, 330
2016-09-30 09:48:00, 670, 670.8, 670, 670.15, 561
2016-09-30 09:49:00, 669.9, 670.35, 669.9, 670.25, 1891
2016-09-30 09:50:00, 670.25, 670.25, 670.15, 670.25, 372
