Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 72.25, 72.25, 71.8, 71.9, 9133
2016-09-30 09:16:00, 71.9, 72.3, 71.9, 72.3, 4315
2016-09-30 09:17:00, 72.3, 72.8, 72.3, 72.65, 5808
2016-09-30 09:18:00, 72.75, 72.9, 72.65, 72.9, 6209
2016-09-30 09:20:00, 72.7, 72.75, 72.25, 72.25, 16417
2016-09-30 09:19:00, 72.9, 73, 72.75, 72.9, 5471
2016-09-30 09:21:00, 72.2, 72.2, 72.05, 72.15, 9863
2016-09-30 09:22:00, 72.15, 72.2, 72, 72.2, 3480
2016-09-30 09:23:00, 72.2, 72.2, 72.15, 72.15, 2330
2016-09-30 09:24:00, 72.1, 72.25, 72.1, 72.25, 1400
2016-09-30 09:25:00, 72.25, 72.3, 72.15, 72.25, 1333
2016-09-30 09:26:00, 72.25, 72.4, 72.25, 72.4, 5659
2016-09-30 09:27:00, 72.4, 72.7, 72.4, 72.7, 3458
2016-09-30 09:28:00, 72.7, 72.9, 72.6, 72.75, 9616
2016-09-30 09:29:00, 72.8, 72.8, 72.75, 72.75, 3401
2016-09-30 09:30:00, 72.8, 73, 72.7, 72.9, 5432
2016-09-30 09:31:00, 72.9, 72.95, 72.85, 72.85, 1500
2016-09-30 09:32:00, 72.85, 73.05, 72.85, 73, 3649
2016-09-30 09:33:00, 72.9, 73.05, 72.9, 73.05, 2828
2016-09-30 09:34:00, 73.05, 73.15, 73, 73.1, 1967
2016-09-30 09:35:00, 73.1, 73.25, 73.05, 73.25, 9870
2016-09-30 09:36:00, 73.25, 73.3, 73.25, 73.3, 9762
2016-09-30 09:37:00, 73.3, 73.3, 73.25, 73.25, 2863
2016-09-30 09:38:00, 73.25, 73.35, 73.25, 73.35, 642
2016-09-30 09:39:00, 73.35, 73.35, 73.25, 73.35, 850
2016-09-30 09:40:00, 73.35, 73.4, 73.25, 73.25, 996
2016-09-30 09:41:00, 73.25, 73.35, 73.25, 73.35, 1255
2016-09-30 09:42:00, 73.3, 73.35, 73.25, 73.35, 1611
2016-09-30 09:43:00, 73.25, 73.35, 73.25, 73.35, 2300
2016-09-30 09:44:00, 73.35, 73.35, 73.25, 73.25, 1615
2016-09-30 09:45:00, 73.25, 73.35, 73.25, 73.25, 3882
2016-09-30 09:46:00, 73.3, 73.4, 73.3, 73.35, 3205
2016-09-30 09:47:00, 73.4, 73.5, 73.35, 73.5, 2984
2016-09-30 09:48:00, 73.5, 73.5, 73.35, 73.4, 925
2016-09-30 09:49:00, 73.4, 73.5, 73.4, 73.45, 2103
2016-09-30 09:50:00, 73.45, 73.5, 73.4, 73.4, 362
2016-09-30 09:51:00, 73.4, 73.45, 73.4, 73.4, 1771
2016-09-30 09:52:00, 73.4, 73.45, 73.4, 73.4, 1535
2016-09-30 09:53:00, 73.4, 73.4, 73.05, 73.05, 8112
2016-09-30 09:54:00, 73.05, 73.1, 73, 73, 401
2016-09-30 09:55:00, 73, 73.05, 73, 73.05, 4213
2016-09-30 09:56:00, 73.05, 73.05, 73.05, 73.05, 585
2016-09-30 09:57:00, 73.05, 73.05, 72.95, 72.95, 125
2016-09-30 09:58:00, 72.95, 73.05, 72.95, 73.05, 50
2016-09-30 09:59:00, 73.05, 73.05, 73, 73, 20
2016-09-30 10:00:00, 73, 73, 73, 73, 500
2016-09-30 10:01:00, 73, 73, 72.9, 72.9, 8280
2016-09-30 10:02:00, 72.9, 73, 72.9, 73, 5
2016-09-30 10:03:00, 73, 73.05, 73, 73.05, 96
2016-09-30 10:04:00, 73.05, 73.15, 73, 73.15, 1935
2016-09-30 10:05:00, 73.05, 73.3, 73.05, 73.3, 646
2016-09-30 10:06:00, 73.2, 73.35, 73.2, 73.35, 2810
2016-09-30 10:07:00, 73.35, 73.35, 73.25, 73.3, 225
2016-09-30 10:08:00, 73.3, 73.3, 73.25, 73.25, 1600
2016-09-30 10:09:00, 73.25, 73.25, 73, 73.15, 1210
2016-09-30 10:10:00, 73.15, 73.15, 73.15, 73.15, 250
2016-09-30 10:11:00, 73.15, 73.15, 73.05, 73.15, 160
2016-09-30 10:12:00, 73.15, 73.15, 73.15, 73.15, 0
2016-09-30 10:13:00, 73.05, 73.15, 73.05, 73.15, 228
2016-09-30 10:14:00, 73.15, 73.15, 73.15, 73.15, 250
2016-09-30 10:15:00, 73.15, 73.15, 73.1, 73.1, 150
2016-09-30 10:16:00, 73.1, 73.1, 73.05, 73.05, 442
2016-09-30 10:17:00, 73.05, 73.2, 73.05, 73.15, 1776
2016-09-30 10:18:00, 73.15, 73.15, 73.1, 73.1, 500
2016-09-30 10:19:00, 73.1, 73.1, 73.05, 73.05, 400
2016-09-30 10:20:00, 73, 73.1, 73, 73.1, 5650
2016-09-30 10:21:00, 73.15, 73.2, 73.15, 73.15, 1114
2016-09-30 10:22:00, 73.2, 73.2, 73.2, 73.2, 330
2016-09-30 10:23:00, 73.2, 73.2, 73.15, 73.2, 201
2016-09-30 10:24:00, 73.2, 73.2, 73.2, 73.2, 0
2016-09-30 10:25:00, 73.2, 73.3, 73.2, 73.3, 2448
2016-09-30 10:26:00, 73.3, 73.35, 73.25, 73.25, 700
2016-09-30 10:27:00, 73.25, 73.35, 73.25, 73.35, 308
2016-09-30 10:28:00, 73.35, 73.4, 73.3, 73.3, 1123
2016-09-30 10:29:00, 73.3, 73.4, 73.3, 73.4, 710
2016-09-30 10:30:00, 73.4, 73.4, 73.4, 73.4, 290
2016-09-30 10:31:00, 73.4, 73.4, 73.35, 73.35, 85
2016-09-30 10:32:00, 73.35, 73.35, 73.3, 73.35, 1222
2016-09-30 10:33:00, 73.35, 73.35, 73.35, 73.35, 100
2016-09-30 10:34:00, 73.35, 73.4, 73.35, 73.4, 1524
2016-09-30 10:35:00, 73.35, 73.4, 73.35, 73.35, 1200
2016-09-30 10:36:00, 73.35, 73.4, 73.35, 73.4, 500
2016-09-30 10:37:00, 73.4, 73.4, 73.4, 73.4, 130
2016-09-30 10:38:00, 73.4, 73.4, 73.35, 73.35, 2170
2016-09-30 10:39:00, 73.4, 73.4, 73.4, 73.4, 400
2016-09-30 10:40:00, 73.4, 73.4, 73.35, 73.4, 930
2016-09-30 10:41:00, 73.45, 73.45, 73.35, 73.35, 631
2016-09-30 10:42:00, 73.35, 73.7, 73.35, 73.65, 5245
2016-09-30 10:43:00, 73.65, 73.85, 73.65, 73.85, 3490
2016-09-30 10:44:00, 73.85, 73.85, 73.6, 73.6, 1467
2016-09-30 10:45:00, 73.6, 73.6, 73.5, 73.5, 2601
2016-09-30 10:46:00, 73.5, 73.5, 73.35, 73.45, 75
2016-09-30 10:47:00, 73.45, 73.45, 73.45, 73.45, 100
2016-09-30 10:48:00, 73.45, 73.45, 73.35, 73.35, 1364
2016-09-30 10:49:00, 73.35, 73.35, 73.25, 73.25, 6131
2016-09-30 10:50:00, 73.2, 73.2, 73.15, 73.15, 863
2016-09-30 10:51:00, 73.15, 73.3, 73.15, 73.2, 2314
2016-09-30 10:52:00, 73.2, 73.2, 73.15, 73.15, 40
2016-09-30 10:53:00, 73.15, 73.3, 73.15, 73.3, 2195
2016-09-30 10:54:00, 73.3, 73.3, 73.3, 73.3, 200
2016-09-30 10:55:00, 73.3, 73.3, 73.3, 73.3, 0
2016-09-30 10:56:00, 73.3, 73.4, 73.3, 73.4, 4646
2016-09-30 10:57:00, 73.4, 73.45, 73.4, 73.45, 224
2016-09-30 10:58:00, 73.4, 73.45, 73.4, 73.45, 484
2016-09-30 10:59:00, 73.45, 73.5, 73.45, 73.5, 101
2016-09-30 11:00:00, 73.5, 73.5, 73.5, 73.5, 0
2016-09-30 11:01:00, 73.5, 73.6, 73.5, 73.6, 88
2016-09-30 11:02:00, 73.6, 73.6, 73.6, 73.6, 350
2016-09-30 11:03:00, 73.6, 73.6, 73.5, 73.55, 1140
2016-09-30 11:04:00, 73.55, 73.6, 73.55, 73.6, 2380
2016-09-30 11:05:00, 73.6, 73.65, 73.6, 73.65, 3000
2016-09-30 11:06:00, 73.65, 73.65, 73.65, 73.65, 0
2016-09-30 11:07:00, 73.65, 73.7, 73.65, 73.65, 2700
2016-09-30 11:08:00, 73.65, 73.65, 73.65, 73.65, 173
2016-09-30 11:09:00, 73.65, 73.75, 73.65, 73.75, 206
2016-09-30 11:10:00, 73.65, 73.65, 73.65, 73.65, 55
2016-09-30 11:11:00, 73.75, 73.8, 73.65, 73.75, 86
2016-09-30 11:12:00, 73.75, 73.95, 73.75, 73.8, 9675
2016-09-30 11:13:00, 73.8, 74, 73.8, 74, 10443
2016-09-30 11:14:00, 74, 74, 73.9, 74, 24056
2016-09-30 11:15:00, 74, 74.05, 73.9, 73.9, 2586
2016-09-30 11:16:00, 74, 74.1, 73.95, 74.05, 2833
2016-09-30 11:17:00, 74.05, 74.2, 74, 74.15, 945
2016-09-30 11:18:00, 74.15, 74.75, 74.15, 74.7, 10413
2016-09-30 11:19:00, 74.7, 74.9, 74.65, 74.9, 9701
2016-09-30 11:20:00, 74.85, 75, 74.85, 74.95, 12655
2016-09-30 11:21:00, 74.95, 75, 74.6, 74.7, 12167
