Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 528.05, 534.7, 527.55, 534.7, 58666
2016-09-30 09:16:00, 534.7, 534.7, 531.3, 532.3, 57349
2016-09-30 09:17:00, 532.75, 535.2, 532.75, 534.45, 47897
2016-09-30 09:18:00, 534.5, 535.95, 533.55, 533.55, 34870
2016-09-30 09:19:00, 534.15, 534.15, 531.75, 532.45, 26956
2016-09-30 09:20:00, 532.45, 532.85, 530.05, 530.25, 35368
2016-09-30 09:21:00, 530.65, 532.2, 530.2, 531.8, 37495
2016-09-30 09:22:00, 531.35, 531.6, 529.5, 530.8, 27741
2016-09-30 09:23:00, 530.9, 532.05, 530.45, 531.15, 27354
2016-09-30 09:24:00, 531, 532.8, 530.2, 532.8, 13166
2016-09-30 09:25:00, 533, 536, 532.8, 533.6, 32225
2016-09-30 09:26:00, 533.6, 534.85, 533.35, 534.65, 13349
2016-09-30 09:27:00, 534.55, 535.7, 534.3, 535.7, 27081
2016-09-30 09:28:00, 535.7, 537.7, 535.1, 535.8, 32584
2016-09-30 09:29:00, 535.75, 536.3, 535, 535, 16236
2016-09-30 09:30:00, 535, 536.3, 534.6, 535.8, 17994
2016-09-30 09:31:00, 535.4, 536.45, 535.05, 535.9, 16806
2016-09-30 09:32:00, 535.2, 536.35, 535, 536.15, 15605
2016-09-30 09:33:00, 536.15, 536.5, 535.75, 536.5, 13883
2016-09-30 09:34:00, 536.15, 537.95, 536.15, 537.6, 21411
2016-09-30 09:35:00, 537.65, 538.4, 537.1, 537.75, 16789
2016-09-30 09:36:00, 537.8, 538.8, 537.55, 538.65, 12348
2016-09-30 09:37:00, 538.6, 538.85, 537.85, 538.5, 14055
2016-09-30 09:38:00, 538.35, 540.65, 538.35, 540.65, 37999
2016-09-30 09:39:00, 540.4, 541.9, 539.6, 539.6, 54082
2016-09-30 09:40:00, 539.6, 541, 539.5, 540.1, 25174
2016-09-30 09:41:00, 539.85, 540.95, 538.3, 539.6, 19562
2016-09-30 09:42:00, 539.45, 539.6, 538, 538.65, 16529
2016-09-30 09:43:00, 538.9, 540.05, 538.55, 539.35, 13905
2016-09-30 09:44:00, 539.35, 539.95, 538.4, 539.95, 11411
2016-09-30 09:45:00, 539.55, 540.4, 539.4, 540.05, 14056
2016-09-30 09:46:00, 540.05, 540.3, 539.5, 540.3, 10078
2016-09-30 09:47:00, 540.5, 541.6, 540.5, 540.95, 16425
2016-09-30 09:48:00, 540.95, 541.4, 540.1, 541.2, 10015
2016-09-30 09:49:00, 541, 541.25, 540.05, 540.7, 7472
2016-09-30 09:50:00, 540.55, 541.15, 540.3, 540.7, 15514
2016-09-30 09:51:00, 540.4, 540.8, 539.5, 539.9, 15884
2016-09-30 09:52:00, 539.7, 541, 538.85, 538.85, 20953
2016-09-30 09:53:00, 538.9, 538.9, 536.5, 536.9, 27454
2016-09-30 09:54:00, 536.7, 537.5, 536.15, 536.6, 14007
