Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 45.3, 46.15, 45.3, 45.95, 159375
2016-09-30 09:16:00, 45.95, 46.15, 45.7, 46.1, 119551
2016-09-30 09:17:00, 46.15, 46.15, 45.8, 45.95, 94453
2016-09-30 09:19:00, 45.5, 45.6, 45.5, 45.5, 37745
2016-09-30 09:18:00, 46.05, 46.05, 45.55, 45.55, 123962
2016-09-30 09:20:00, 45.5, 45.5, 45.15, 45.25, 81339
2016-09-30 09:21:00, 45.3, 45.5, 45.2, 45.5, 76227
2016-09-30 09:22:00, 45.5, 45.5, 45.1, 45.35, 68300
2016-09-30 09:23:00, 45.3, 45.45, 45.3, 45.4, 23044
2016-09-30 09:24:00, 45.4, 45.45, 45.3, 45.45, 27167
2016-09-30 09:25:00, 45.4, 45.5, 45.35, 45.35, 19806
2016-09-30 09:26:00, 45.35, 45.55, 45.35, 45.55, 32689
2016-09-30 09:27:00, 45.55, 45.65, 45.5, 45.6, 43077
2016-09-30 09:28:00, 45.6, 45.65, 45.5, 45.6, 12444
2016-09-30 09:29:00, 45.6, 45.7, 45.55, 45.55, 13020
2016-09-30 09:30:00, 45.6, 45.75, 45.55, 45.75, 51595
2016-09-30 09:31:00, 45.75, 45.75, 45.6, 45.65, 23377
2016-09-30 09:32:00, 45.6, 45.7, 45.55, 45.7, 23595
2016-09-30 09:33:00, 45.7, 45.8, 45.55, 45.65, 23585
2016-09-30 09:34:00, 45.65, 45.7, 45.65, 45.7, 3769
2016-09-30 09:35:00, 45.7, 45.75, 45.7, 45.7, 8339
2016-09-30 09:36:00, 45.7, 45.8, 45.7, 45.8, 18800
2016-09-30 09:37:00, 45.8, 45.8, 45.7, 45.75, 10703
2016-09-30 09:38:00, 45.75, 45.9, 45.75, 45.85, 6927
2016-09-30 09:40:00, 45.8, 45.9, 45.8, 45.8, 17432
2016-09-30 09:39:00, 45.8, 45.85, 45.75, 45.8, 19716
2016-09-30 09:41:00, 45.75, 45.85, 45.7, 45.85, 19699
2016-09-30 09:42:00, 45.9, 45.95, 45.8, 45.95, 31603
2016-09-30 09:43:00, 45.9, 45.95, 45.85, 45.85, 15989
2016-09-30 09:44:00, 45.85, 45.95, 45.85, 45.95, 12735
2016-09-30 09:45:00, 45.95, 45.95, 45.85, 45.9, 8718
2016-09-30 09:46:00, 45.9, 45.9, 45.8, 45.8, 14583
2016-09-30 09:47:00, 45.8, 45.95, 45.8, 45.95, 14039
2016-09-30 09:48:00, 46, 46.1, 46, 46.05, 46236
2016-09-30 09:49:00, 46.05, 46.15, 46, 46, 28387
2016-09-30 09:50:00, 46, 46.1, 46, 46.05, 5003
2016-09-30 09:51:00, 46.05, 46.2, 46.05, 46.15, 116346
2016-09-30 09:52:00, 46.2, 46.2, 46.05, 46.05, 91561
2016-09-30 09:53:00, 46.05, 46.05, 45.9, 46, 181040
2016-09-30 09:54:00, 46, 46, 45.95, 46, 156218
2016-09-30 09:55:00, 46, 46.1, 45.9, 45.95, 135111
2016-09-30 09:56:00, 45.95, 45.95, 45.8, 45.85, 70230
2016-09-30 09:57:00, 45.85, 45.9, 45.8, 45.9, 31609
2016-09-30 09:58:00, 45.9, 46.1, 45.9, 46.1, 33569
2016-09-30 09:59:00, 46.1, 46.1, 45.95, 46, 75961
2016-09-30 10:00:00, 46, 46, 45.85, 45.9, 2101
2016-09-30 10:01:00, 45.9, 45.9, 45.7, 45.9, 57715
2016-09-30 10:02:00, 45.85, 45.85, 45.65, 45.75, 20477
2016-09-30 10:03:00, 45.75, 45.75, 45.6, 45.7, 42395
2016-09-30 10:04:00, 45.7, 45.75, 45.7, 45.75, 12533
2016-09-30 10:05:00, 45.75, 45.85, 45.7, 45.85, 32887
2016-09-30 10:06:00, 45.85, 45.9, 45.8, 45.85, 20182
2016-09-30 10:07:00, 45.85, 45.9, 45.8, 45.9, 19990
2016-09-30 10:08:00, 45.85, 45.95, 45.85, 45.9, 15523
2016-09-30 10:09:00, 45.9, 45.95, 45.85, 45.9, 10995
2016-09-30 10:10:00, 45.9, 45.9, 45.8, 45.85, 9529
2016-09-30 10:11:00, 45.85, 45.9, 45.8, 45.85, 9138
2016-09-30 10:12:00, 45.85, 45.85, 45.8, 45.85, 7273
2016-09-30 10:13:00, 45.85, 45.85, 45.8, 45.85, 8749
2016-09-30 10:14:00, 45.85, 45.85, 45.75, 45.8, 10505
2016-09-30 10:15:00, 45.75, 45.8, 45.7, 45.75, 28693
2016-09-30 10:16:00, 45.75, 45.8, 45.7, 45.8, 17796
2016-09-30 10:17:00, 45.75, 45.8, 45.75, 45.75, 2922
2016-09-30 10:18:00, 45.75, 45.8, 45.7, 45.75, 2859
2016-09-30 10:19:00, 45.75, 45.85, 45.75, 45.85, 6698
2016-09-30 10:20:00, 45.85, 45.85, 45.75, 45.85, 734
2016-09-30 10:21:00, 45.85, 45.9, 45.85, 45.85, 14406
2016-09-30 10:22:00, 45.85, 45.9, 45.8, 45.9, 18884
2016-09-30 10:23:00, 45.9, 45.9, 45.8, 45.9, 2104
2016-09-30 10:24:00, 45.9, 46, 45.85, 46, 12149
2016-09-30 10:25:00, 46, 46.1, 45.95, 46.05, 43156
2016-09-30 10:26:00, 46.05, 46.05, 45.95, 46, 12899
2016-09-30 10:27:00, 46.05, 46.1, 46, 46.05, 8737
2016-09-30 10:28:00, 46, 46.1, 46, 46.1, 20571
2016-09-30 10:29:00, 46.1, 46.1, 46.05, 46.1, 24541
2016-09-30 10:30:00, 46.15, 46.2, 46.05, 46.1, 21243
2016-09-30 10:31:00, 46.1, 46.15, 46.05, 46.05, 10445
2016-09-30 10:32:00, 46.1, 46.15, 46.05, 46.1, 20496
2016-09-30 10:33:00, 46.05, 46.05, 46, 46.05, 14630
2016-09-30 10:34:00, 46.05, 46.05, 46.05, 46.05, 5190
2016-09-30 10:35:00, 46.05, 46.1, 46, 46.1, 38304
2016-09-30 10:36:00, 46.05, 46.1, 46.05, 46.05, 9700
2016-09-30 10:37:00, 46.05, 46.15, 46.05, 46.05, 10091
2016-09-30 10:38:00, 46.05, 46.05, 46, 46.05, 1186
2016-09-30 10:39:00, 46.05, 46.1, 46, 46.1, 12546
2016-09-30 10:40:00, 46.1, 46.15, 46.05, 46.15, 13727
2016-09-30 10:41:00, 46.15, 46.15, 46.1, 46.15, 7636
2016-09-30 10:42:00, 46.1, 46.15, 46.1, 46.15, 8462
2016-09-30 10:43:00, 46.15, 46.15, 46.05, 46.1, 44905
2016-09-30 10:44:00, 46.1, 46.1, 46, 46, 28849
2016-09-30 10:45:00, 46.05, 46.05, 46, 46, 2103
2016-09-30 10:46:00, 45.95, 46, 45.9, 45.9, 22004
2016-09-30 10:47:00, 45.95, 46, 45.9, 45.95, 60177
2016-09-30 10:48:00, 45.95, 46, 45.9, 45.95, 18657
2016-09-30 10:49:00, 46, 46, 45.8, 45.85, 22076
2016-09-30 10:50:00, 45.85, 45.9, 45.8, 45.9, 34665
2016-09-30 10:51:00, 45.9, 45.9, 45.8, 45.85, 20371
2016-09-30 10:52:00, 45.85, 45.85, 45.75, 45.85, 22508
2016-09-30 10:53:00, 45.85, 45.85, 45.8, 45.85, 5118
2016-09-30 10:54:00, 45.85, 45.95, 45.85, 45.95, 18064
2016-09-30 10:55:00, 45.95, 45.95, 45.9, 45.95, 4465
2016-09-30 10:56:00, 45.95, 45.95, 45.85, 45.9, 6801
2016-09-30 10:57:00, 45.9, 45.9, 45.85, 45.85, 762
2016-09-30 10:58:00, 45.9, 45.9, 45.85, 45.9, 7729
2016-09-30 10:59:00, 45.9, 45.95, 45.9, 45.9, 3821
2016-09-30 11:00:00, 45.9, 45.9, 45.9, 45.9, 512
2016-09-30 11:01:00, 45.9, 45.95, 45.85, 45.95, 1784
2016-09-30 11:02:00, 45.95, 45.95, 45.85, 45.9, 1388
2016-09-30 11:03:00, 45.9, 45.9, 45.9, 45.9, 0
2016-09-30 11:04:00, 45.9, 45.95, 45.85, 45.9, 16888
2016-09-30 11:05:00, 45.9, 45.9, 45.8, 45.8, 4421
2016-09-30 11:06:00, 45.85, 45.9, 45.8, 45.9, 2231
2016-09-30 11:07:00, 45.9, 45.95, 45.85, 45.9, 1855
2016-09-30 11:08:00, 45.9, 45.9, 45.9, 45.9, 652
2016-09-30 11:09:00, 45.9, 45.95, 45.9, 45.95, 6477
2016-09-30 11:10:00, 45.95, 45.95, 45.85, 45.95, 6595
2016-09-30 11:11:00, 45.95, 45.95, 45.9, 45.9, 2700
2016-09-30 11:12:00, 45.95, 45.95, 45.95, 45.95, 1459
2016-09-30 11:13:00, 45.95, 45.95, 45.85, 45.95, 3508
2016-09-30 11:14:00, 45.95, 45.95, 45.85, 45.9, 5719
2016-09-30 11:15:00, 45.9, 45.9, 45.85, 45.9, 1616
2016-09-30 11:16:00, 45.9, 45.9, 45.9, 45.9, 66
2016-09-30 11:17:00, 45.9, 45.9, 45.8, 45.85, 5844
2016-09-30 11:18:00, 45.8, 45.85, 45.8, 45.85, 17185
2016-09-30 11:19:00, 45.85, 45.85, 45.75, 45.8, 7964
2016-09-30 11:20:00, 45.85, 45.85, 45.8, 45.85, 6118
2016-09-30 11:21:00, 45.8, 45.8, 45.75, 45.8, 9789
2016-09-30 11:22:00, 45.8, 45.8, 45.75, 45.8, 2637
2016-09-30 11:23:00, 45.8, 45.8, 45.75, 45.8, 6102
2016-09-30 11:24:00, 45.8, 45.85, 45.75, 45.85, 18731
2016-09-30 11:25:00, 45.85, 45.85, 45.75, 45.8, 4628
2016-09-30 11:26:00, 45.8, 45.8, 45.75, 45.8, 1585
2016-09-30 11:27:00, 45.8, 45.85, 45.8, 45.8, 9717
2016-09-30 11:28:00, 45.8, 45.85, 45.75, 45.75, 2051
2016-09-30 11:29:00, 45.75, 45.85, 45.75, 45.85, 833
2016-09-30 11:30:00, 45.85, 45.85, 45.75, 45.8, 5695
2016-09-30 11:31:00, 45.8, 45.8, 45.75, 45.8, 2270
