Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 75, 76.5, 75, 76.4, 384875
2016-09-30 09:16:00, 76.45, 77, 76.45, 76.9, 491622
2016-09-30 09:17:00, 77, 77, 76.5, 76.55, 344838
2016-09-30 09:18:00, 76.6, 77.45, 76.55, 77.1, 327999
2016-09-30 09:19:00, 77.1, 77.2, 77, 77.2, 434775
2016-09-30 09:20:00, 77.2, 77.35, 76.8, 76.8, 405383
2016-09-30 09:21:00, 76.9, 76.9, 76.3, 76.5, 452860
2016-09-30 09:22:00, 76.55, 76.75, 76.15, 76.2, 409873
2016-09-30 09:23:00, 76.15, 76.45, 76.15, 76.25, 156851
2016-09-30 09:24:00, 76.25, 76.5, 75.8, 75.95, 368317
2016-09-30 09:25:00, 76, 76.45, 75.95, 76.35, 116405
2016-09-30 09:26:00, 76.35, 76.45, 76.15, 76.4, 238828
2016-09-30 09:27:00, 76.4, 77.6, 76.4, 77.55, 518668
2016-09-30 09:28:00, 77.55, 77.85, 77.4, 77.75, 317600
2016-09-30 09:29:00, 77.6, 78.25, 77.6, 78, 492835
2016-09-30 09:30:00, 78, 78.15, 77.85, 77.95, 327969
2016-09-30 09:31:00, 77.95, 77.95, 77.6, 77.65, 159397
2016-09-30 09:32:00, 77.65, 78.25, 77.6, 78.15, 228905
2016-09-30 09:33:00, 78, 78.55, 77.95, 78.5, 250123
2016-09-30 09:34:00, 78.5, 78.5, 78.15, 78.2, 176018
2016-09-30 09:35:00, 78.25, 78.3, 78, 78, 92686
2016-09-30 09:37:00, 78.35, 78.4, 78.2, 78.2, 114816
2016-09-30 09:36:00, 78.1, 78.25, 78, 78.25, 85120
2016-09-30 09:38:00, 78.2, 78.35, 78.15, 78.15, 105548
2016-09-30 09:39:00, 78.1, 78.2, 77.95, 78, 129137
2016-09-30 09:40:00, 78, 78.1, 77.9, 77.9, 107652
2016-09-30 09:41:00, 77.9, 78.15, 77.8, 78.1, 147370
2016-09-30 09:42:00, 78.1, 78.2, 77.9, 78, 103654
2016-09-30 09:43:00, 78.1, 78.1, 77.8, 78, 119534
2016-09-30 09:44:00, 78, 78.1, 77.9, 78, 65674
2016-09-30 09:45:00, 78, 78.05, 77.7, 77.75, 58007
2016-09-30 09:46:00, 77.75, 77.8, 77.7, 77.7, 55659
2016-09-30 09:47:00, 77.75, 78.05, 77.75, 78.05, 59540
2016-09-30 09:48:00, 78.05, 78.2, 77.95, 78.15, 68653
2016-09-30 09:49:00, 78.15, 78.2, 78.05, 78.15, 157464
2016-09-30 09:50:00, 78.2, 78.2, 78, 78.1, 80598
2016-09-30 09:51:00, 78.15, 78.2, 77.8, 77.9, 126097
2016-09-30 09:52:00, 77.8, 77.9, 77.7, 77.7, 79724
2016-09-30 09:53:00, 77.7, 77.75, 77.4, 77.6, 155951
2016-09-30 09:54:00, 77.55, 77.6, 77.4, 77.5, 74168
2016-09-30 09:55:00, 77.5, 77.6, 77.3, 77.45, 87420
2016-09-30 09:56:00, 77.45, 77.5, 77.3, 77.35, 48704
2016-09-30 09:57:00, 77.35, 77.5, 77.3, 77.35, 85922
2016-09-30 09:58:00, 77.35, 77.4, 77.05, 77.15, 92970
2016-09-30 09:59:00, 77.05, 77.3, 77.05, 77.25, 75341
2016-09-30 10:00:00, 77.3, 77.3, 76.95, 76.95, 118268
2016-09-30 10:01:00, 76.95, 77.05, 76.7, 76.85, 181738
2016-09-30 10:02:00, 76.95, 77, 76.8, 76.95, 58811
2016-09-30 10:03:00, 76.95, 77.15, 76.9, 77.15, 48174
2016-09-30 10:04:00, 77.1, 77.45, 77.05, 77.4, 94662
2016-09-30 10:05:00, 77.3, 77.6, 77.3, 77.55, 79609
2016-09-30 10:06:00, 77.55, 77.7, 77.5, 77.7, 56456
2016-09-30 10:07:00, 77.7, 77.95, 77.7, 77.8, 95207
2016-09-30 10:08:00, 77.8, 77.85, 77.65, 77.75, 95440
2016-09-30 10:09:00, 77.75, 77.8, 77.7, 77.75, 33582
2016-09-30 10:10:00, 77.8, 77.8, 77.55, 77.65, 54530
2016-09-30 10:11:00, 77.6, 77.75, 77.55, 77.75, 93362
2016-09-30 10:12:00, 77.65, 77.75, 77.6, 77.65, 92952
2016-09-30 10:13:00, 77.65, 77.7, 77.55, 77.6, 45546
2016-09-30 10:14:00, 77.65, 77.7, 77.6, 77.65, 38956
2016-09-30 10:15:00, 77.6, 77.75, 77.55, 77.55, 60806
2016-09-30 10:16:00, 77.6, 77.75, 77.55, 77.65, 45978
2016-09-30 10:17:00, 77.65, 77.8, 77.65, 77.7, 31077
2016-09-30 10:18:00, 77.6, 77.75, 77.6, 77.65, 35798
2016-09-30 10:19:00, 77.65, 77.85, 77.65, 77.8, 49326
2016-09-30 10:20:00, 77.85, 77.95, 77.8, 77.95, 48546
2016-09-30 10:21:00, 77.9, 78, 77.85, 77.9, 62551
2016-09-30 10:22:00, 77.85, 77.95, 77.8, 77.8, 38308
2016-09-30 10:23:00, 77.85, 77.9, 77.8, 77.85, 44843
2016-09-30 10:24:00, 77.9, 78, 77.8, 78, 43574
2016-09-30 10:25:00, 78, 78.2, 78, 78.1, 194198
2016-09-30 10:26:00, 78.1, 78.1, 77.9, 78, 92258
2016-09-30 10:27:00, 78, 78.35, 78, 78.3, 107541
2016-09-30 10:28:00, 78.3, 78.3, 78.15, 78.25, 45356
2016-09-30 10:29:00, 78.25, 78.3, 78.05, 78.15, 98328
2016-09-30 10:30:00, 78.15, 78.2, 78.1, 78.15, 47795
2016-09-30 10:31:00, 78.15, 78.2, 78.15, 78.15, 49540
2016-09-30 10:32:00, 78.15, 78.2, 78, 78.1, 54202
2016-09-30 10:33:00, 78, 78.1, 77.85, 77.9, 24454
2016-09-30 10:34:00, 77.9, 78, 77.85, 77.95, 24019
2016-09-30 10:35:00, 77.95, 78, 77.95, 78, 28450
2016-09-30 10:36:00, 77.95, 77.95, 77.8, 77.85, 58868
2016-09-30 10:37:00, 77.85, 78.15, 77.8, 78.1, 44416
2016-09-30 10:38:00, 78.1, 78.2, 78.05, 78.15, 54532
2016-09-30 10:39:00, 78.15, 78.15, 78.05, 78.05, 18143
2016-09-30 10:40:00, 78.05, 78.15, 78.05, 78.1, 27335
2016-09-30 10:41:00, 78.15, 78.15, 78.05, 78.15, 12604
2016-09-30 10:42:00, 78.15, 78.15, 78.05, 78.05, 11084
2016-09-30 10:43:00, 78.05, 78.15, 78.05, 78.05, 7046
2016-09-30 10:44:00, 78.05, 78.1, 78, 78, 17947
2016-09-30 10:45:00, 78.05, 78.05, 77.85, 77.85, 31825
2016-09-30 10:46:00, 77.8, 77.9, 77.15, 77.3, 152344
2016-09-30 10:47:00, 77.35, 77.45, 77.25, 77.45, 35635
