Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 738, 739.7, 736.1, 738.7, 39124
2016-09-30 09:16:00, 738.75, 741.7, 738.35, 740.35, 27194
2016-09-30 09:17:00, 740.75, 742.8, 740.15, 741.15, 33345
2016-09-30 09:18:00, 741, 742.8, 740.6, 741.4, 19043
2016-09-30 09:19:00, 741.2, 741.9, 739.7, 739.7, 30777
2016-09-30 09:21:00, 735.3, 736.25, 735.15, 736, 10937
2016-09-30 09:20:00, 739.2, 739.2, 735.25, 735.3, 19233
2016-09-30 09:22:00, 736.45, 737.4, 735.65, 736.7, 8660
2016-09-30 09:23:00, 737.2, 739.15, 737.2, 738.35, 9196
2016-09-30 09:24:00, 738.35, 739, 738.1, 738.95, 4235
2016-09-30 09:25:00, 738.65, 739.35, 738, 738.15, 17820
2016-09-30 09:26:00, 738.45, 741, 738.05, 740.45, 11399
2016-09-30 09:27:00, 740.7, 742.45, 740.7, 742.4, 9779
2016-09-30 09:28:00, 742.4, 742.9, 740.85, 741.45, 9968
2016-09-30 09:29:00, 741.45, 741.45, 739.85, 739.85, 18477
2016-09-30 09:30:00, 740.2, 742, 739.85, 741, 13660
2016-09-30 09:31:00, 741.45, 741.45, 739.8, 741, 8693
2016-09-30 09:32:00, 741, 741.35, 740.1, 741, 8937
2016-09-30 09:33:00, 741.1, 741.95, 740.6, 741.15, 5952
2016-09-30 09:34:00, 741.65, 742.2, 741.55, 742, 4743
2016-09-30 09:35:00, 742, 743, 741.8, 742.85, 8795
2016-09-30 09:36:00, 742.8, 744.95, 742.55, 744.95, 11978
2016-09-30 09:37:00, 744.55, 745, 743.95, 743.95, 6762
2016-09-30 09:38:00, 743.95, 744.7, 743.95, 744.65, 4747
2016-09-30 09:39:00, 744.65, 744.75, 744, 744.3, 5586
2016-09-30 09:40:00, 744.3, 745, 744.05, 744.3, 4908
2016-09-30 09:41:00, 744.3, 744.75, 744, 744.75, 8295
2016-09-30 09:42:00, 744.3, 744.65, 743.75, 744, 5292
2016-09-30 09:43:00, 743.95, 743.95, 743.3, 743.65, 3951
2016-09-30 09:44:00, 743.95, 743.95, 743.45, 743.9, 5359
2016-09-30 09:45:00, 743.9, 744, 743.45, 743.85, 3479
2016-09-30 09:46:00, 743.85, 744, 743.35, 743.6, 6403
2016-09-30 09:47:00, 743.75, 744, 743.35, 743.65, 3826
2016-09-30 09:48:00, 743.65, 744, 743.6, 743.9, 3185
2016-09-30 09:49:00, 743.75, 744, 743.7, 743.85, 2069
2016-09-30 09:50:00, 743.85, 744.2, 743.7, 744.1, 4217
2016-09-30 09:51:00, 743.9, 743.9, 743.45, 743.45, 5052
2016-09-30 09:52:00, 743.45, 743.55, 743, 743.1, 10643
2016-09-30 09:53:00, 743.1, 743.15, 742.3, 742.3, 7366
2016-09-30 09:54:00, 742.4, 742.4, 741.15, 741.5, 10140
2016-09-30 09:55:00, 741.5, 742.5, 741.4, 742.45, 8853
2016-09-30 09:56:00, 742.45, 742.45, 741.2, 741.6, 3985
2016-09-30 09:57:00, 741.6, 742.45, 741, 741.6, 2853
2016-09-30 09:58:00, 741.6, 741.7, 741.2, 741.35, 2979
2016-09-30 09:59:00, 741.35, 741.85, 741, 741.15, 3424
2016-09-30 10:00:00, 741.15, 741.15, 740.5, 740.8, 5258
2016-09-30 10:01:00, 740.7, 741.6, 740.35, 741.45, 5125
2016-09-30 10:02:00, 741.45, 741.5, 740.3, 740.7, 7039
2016-09-30 10:03:00, 740.5, 741.45, 740.5, 741.35, 1963
2016-09-30 10:04:00, 741.35, 741.35, 740.6, 741.2, 2779
2016-09-30 10:05:00, 741, 742.45, 741, 742.45, 6020
2016-09-30 10:06:00, 742.4, 742.95, 742, 742.75, 3664
2016-09-30 10:07:00, 742.75, 742.9, 742.25, 742.55, 2735
2016-09-30 10:08:00, 742.65, 742.9, 742.15, 742.5, 2047
2016-09-30 10:09:00, 742.5, 742.5, 742, 742.15, 983
2016-09-30 10:10:00, 742, 742.05, 741.5, 741.6, 2210
2016-09-30 10:11:00, 741.6, 741.6, 741.1, 741.3, 2004
2016-09-30 10:12:00, 741.3, 741.4, 741.2, 741.4, 2717
2016-09-30 10:13:00, 741.4, 742.25, 741.4, 742.25, 21038
2016-09-30 10:14:00, 742.25, 742.4, 741.2, 741.6, 3577
2016-09-30 10:15:00, 741.6, 741.6, 741.3, 741.45, 2219
2016-09-30 10:16:00, 741.3, 741.4, 741.25, 741.4, 3480
2016-09-30 10:17:00, 741.4, 741.4, 741.1, 741.1, 8176
2016-09-30 10:18:00, 741.1, 741.1, 740.9, 740.9, 3514
2016-09-30 10:19:00, 740.9, 741.4, 740.85, 741.4, 3937
2016-09-30 10:20:00, 741.4, 741.4, 740.95, 741, 2449
2016-09-30 10:21:00, 740.95, 741.9, 740.95, 741.55, 4211
2016-09-30 10:22:00, 741.6, 741.9, 741, 741.9, 1439
2016-09-30 10:23:00, 741.9, 742.35, 741.85, 742.1, 2124
2016-09-30 10:24:00, 742.1, 742.6, 741.95, 742.6, 2553
2016-09-30 10:25:00, 742.6, 742.65, 742.2, 742.55, 1275
2016-09-30 10:26:00, 742.55, 742.9, 742, 742.9, 4804
2016-09-30 10:27:00, 742.9, 742.9, 742.6, 742.75, 2891
2016-09-30 10:28:00, 742.75, 742.75, 742.45, 742.75, 1886
2016-09-30 10:29:00, 742.75, 743.35, 742.5, 743.35, 5794
2016-09-30 10:30:00, 743.35, 743.5, 743, 743.4, 3818
2016-09-30 10:31:00, 743.4, 743.4, 743, 743.2, 3218
2016-09-30 10:32:00, 743.2, 743.3, 743, 743.1, 5789
2016-09-30 10:33:00, 743.1, 743.1, 742.55, 742.7, 3786
2016-09-30 10:34:00, 742.75, 742.85, 742.5, 742.7, 3612
2016-09-30 10:35:00, 742.65, 743.15, 742.5, 743.15, 3061
2016-09-30 10:36:00, 743.15, 743.3, 743, 743.1, 6535
2016-09-30 10:37:00, 743.1, 743.1, 743, 743.05, 2389
2016-09-30 10:38:00, 743, 743.4, 743, 743.4, 3120
2016-09-30 10:39:00, 743.4, 743.75, 743.4, 743.5, 1288
2016-09-30 10:40:00, 743.45, 743.55, 743.05, 743.55, 1400
2016-09-30 10:41:00, 743.55, 743.55, 743, 743.2, 1077
2016-09-30 10:42:00, 743.2, 743.2, 743, 743.05, 1316
2016-09-30 10:43:00, 743.05, 743.05, 742.8, 742.9, 2301
2016-09-30 10:44:00, 742.9, 743.15, 742.65, 742.95, 3772
2016-09-30 10:45:00, 742.95, 743.2, 742.35, 742.55, 3709
2016-09-30 10:46:00, 742, 743, 742, 742.8, 5597
2016-09-30 10:47:00, 742.75, 743.1, 742.45, 742.5, 4398
2016-09-30 10:48:00, 742.5, 742.5, 741.65, 741.9, 3564
2016-09-30 10:49:00, 741.9, 741.9, 741.5, 741.6, 3480
2016-09-30 10:50:00, 741.6, 742.35, 741.5, 741.9, 1748
2016-09-30 10:51:00, 741.9, 741.9, 741.35, 741.4, 3195
2016-09-30 10:52:00, 741.4, 741.4, 741.35, 741.4, 1039
2016-09-30 10:53:00, 741.4, 741.4, 741.3, 741.35, 2362
2016-09-30 10:54:00, 741.35, 741.75, 741.3, 741.7, 1219
2016-09-30 10:55:00, 741.5, 741.7, 741.35, 741.5, 1185
2016-09-30 10:56:00, 741.5, 741.6, 741.35, 741.4, 2786
2016-09-30 10:57:00, 741.4, 741.55, 741.2, 741.2, 2641
2016-09-30 10:58:00, 741.2, 741.2, 741, 741.1, 1844
2016-09-30 10:59:00, 741.1, 741.55, 741.05, 741.5, 1640
