Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 481.5, 484.6, 479.25, 484.6, 5863
2016-09-30 09:16:00, 484.55, 484.95, 483.8, 484.55, 4207
2016-09-30 09:18:00, 485.8, 487.5, 485.8, 487.4, 3855
2016-09-30 09:17:00, 484.65, 485.95, 484.65, 485.95, 4218
2016-09-30 09:19:00, 487.4, 487.4, 485.8, 485.8, 1360
2016-09-30 09:21:00, 479.7, 480, 477.95, 480, 11583
2016-09-30 09:20:00, 485.8, 485.8, 479.75, 480.3, 5516
2016-09-30 09:22:00, 479.85, 479.85, 478.8, 479.25, 4505
2016-09-30 09:23:00, 480.8, 481.35, 480.8, 480.85, 4222
2016-09-30 09:25:00, 479.35, 480.65, 479.35, 480, 3162
2016-09-30 09:24:00, 480.85, 481.3, 478.3, 478.65, 11364
2016-09-30 09:26:00, 479.9, 480.8, 479.6, 480.5, 3484
2016-09-30 09:27:00, 480.5, 480.8, 480.1, 480.7, 1618
2016-09-30 09:28:00, 480.95, 481.4, 480.8, 481.4, 2475
2016-09-30 09:29:00, 481.4, 481.4, 480.75, 481, 1063
2016-09-30 09:31:00, 482.8, 483.55, 481.8, 482.45, 1955
2016-09-30 09:30:00, 481, 483, 481, 482.8, 2959
2016-09-30 09:33:00, 482.5, 483, 482.5, 483, 929
2016-09-30 09:32:00, 482.45, 482.8, 482.2, 482.5, 1561
2016-09-30 09:34:00, 483, 483.75, 483, 483.75, 3716
2016-09-30 09:35:00, 483.75, 484.4, 483.6, 484.4, 1745
2016-09-30 09:36:00, 484.4, 485, 484.3, 485, 2536
2016-09-30 09:37:00, 485, 485.6, 484.35, 485, 5132
2016-09-30 09:38:00, 485, 485.65, 485, 485.5, 1127
2016-09-30 09:39:00, 485.5, 485.95, 485.2, 485.7, 5944
2016-09-30 09:40:00, 485.3, 486.2, 485.3, 486, 9903
2016-09-30 09:41:00, 486, 486.2, 485.85, 486.15, 1925
2016-09-30 09:42:00, 486.15, 486.5, 485.95, 486.5, 461
2016-09-30 09:43:00, 486.45, 486.5, 486, 486.5, 1300
2016-09-30 09:44:00, 486.5, 486.5, 486.15, 486.5, 1244
2016-09-30 09:45:00, 486.5, 487.5, 486.15, 486.3, 2094
2016-09-30 09:46:00, 486.15, 486.75, 485.8, 485.8, 2245
2016-09-30 09:47:00, 485.8, 486.3, 485.8, 486.3, 593
2016-09-30 09:48:00, 486.3, 486.3, 486.1, 486.15, 304
2016-09-30 09:49:00, 486.15, 487, 486.15, 487, 895
2016-09-30 09:50:00, 486.5, 486.7, 486.5, 486.7, 1034
2016-09-30 09:51:00, 486.7, 486.7, 485.35, 485.35, 1760
2016-09-30 09:52:00, 485.7, 485.7, 484.6, 485.1, 6868
2016-09-30 09:53:00, 485.1, 485.1, 484.45, 484.5, 3360
2016-09-30 09:54:00, 484.7, 484.7, 484.3, 484.3, 532
2016-09-30 09:55:00, 484.35, 484.6, 483, 483.25, 1679
2016-09-30 09:56:00, 483.25, 483.5, 483.15, 483.5, 813
2016-09-30 09:57:00, 483.5, 483.75, 483.4, 483.4, 645
2016-09-30 09:58:00, 483.4, 484.1, 483.4, 483.9, 956
2016-09-30 09:59:00, 483.9, 484.3, 483.7, 484, 2196
2016-09-30 10:00:00, 484, 484.35, 484, 484.35, 591
2016-09-30 10:01:00, 484.15, 485.25, 484, 485.25, 1003
2016-09-30 10:02:00, 485.25, 485.25, 484.25, 484.4, 578
2016-09-30 10:03:00, 484.4, 484.45, 483.65, 483.75, 721
2016-09-30 10:04:00, 483.75, 483.95, 483.4, 483.4, 838
2016-09-30 10:05:00, 483.8, 485.1, 483.8, 485.1, 1297
2016-09-30 10:06:00, 485.1, 486, 485.1, 485.6, 1139
2016-09-30 10:07:00, 485.6, 485.8, 485.4, 485.8, 542
2016-09-30 10:08:00, 485.8, 486, 485.65, 486, 1428
2016-09-30 10:09:00, 486, 486, 485.55, 485.75, 1712
2016-09-30 10:10:00, 485.75, 486.3, 485.7, 486.1, 872
2016-09-30 10:11:00, 486.1, 486.5, 486, 486.4, 2971
2016-09-30 10:12:00, 486.4, 487, 486.25, 487, 3547
2016-09-30 10:13:00, 487, 487.9, 486.45, 486.75, 4269
2016-09-30 10:14:00, 486.75, 486.8, 486.3, 486.65, 640
2016-09-30 10:15:00, 486.65, 486.8, 486.15, 486.15, 646
2016-09-30 10:16:00, 486.15, 487.6, 486.15, 487.6, 2254
2016-09-30 10:17:00, 487.6, 489.15, 487.5, 488.45, 6995
2016-09-30 10:18:00, 488.35, 489.5, 488.25, 489, 3364
2016-09-30 10:19:00, 489, 490.85, 488.7, 490.8, 9054
2016-09-30 10:20:00, 490.8, 491.9, 490.2, 491.15, 7781
2016-09-30 10:21:00, 491.15, 492, 491.05, 491.75, 4714
2016-09-30 10:22:00, 490.95, 491.45, 490.95, 491, 6765
2016-09-30 10:23:00, 491, 491.4, 490.5, 490.75, 2654
2016-09-30 10:24:00, 490.75, 491, 490.35, 490.75, 4881
2016-09-30 10:25:00, 490.7, 491.1, 490.5, 490.55, 1868
2016-09-30 10:26:00, 490.8, 490.9, 490.6, 490.85, 2024
2016-09-30 10:27:00, 490.9, 491.65, 490.9, 491.45, 5986
2016-09-30 10:28:00, 491.45, 492.4, 491.4, 492.25, 5353
2016-09-30 10:29:00, 492.2, 492.2, 491.7, 492.05, 5648
2016-09-30 10:30:00, 492.05, 492.45, 491.8, 492, 2831
2016-09-30 10:31:00, 491.85, 492.3, 491.8, 491.8, 1281
2016-09-30 10:32:00, 491.8, 492.1, 491.35, 491.45, 1681
2016-09-30 10:33:00, 491.45, 491.5, 491, 491.4, 1913
2016-09-30 10:34:00, 491.4, 491.75, 491.15, 491.15, 2901
2016-09-30 10:35:00, 491.15, 492.45, 491.15, 492.45, 1444
2016-09-30 10:36:00, 492.45, 492.6, 491.6, 491.7, 1516
2016-09-30 10:37:00, 491.7, 492.05, 491.6, 491.6, 388
2016-09-30 10:38:00, 491.6, 491.75, 491.1, 491.15, 699
2016-09-30 10:39:00, 491.15, 491.15, 490.7, 490.95, 970
2016-09-30 10:40:00, 490.95, 491, 490.75, 490.8, 478
2016-09-30 10:41:00, 490.8, 491.05, 490.7, 491.05, 2648
2016-09-30 10:42:00, 491.05, 492.4, 491.05, 492.35, 1523
2016-09-30 10:43:00, 492.35, 492.4, 491.55, 492.15, 5204
2016-09-30 10:44:00, 492.2, 492.4, 492, 492, 1967
2016-09-30 10:45:00, 492, 492.2, 491.6, 491.6, 2534
2016-09-30 10:46:00, 491.6, 491.6, 490.4, 490.5, 1720
2016-09-30 10:47:00, 490.5, 491, 490.05, 490.75, 1867
2016-09-30 10:48:00, 490.75, 490.85, 490.5, 490.85, 743
2016-09-30 10:49:00, 490.6, 490.9, 489.5, 489.6, 3245
2016-09-30 10:50:00, 489.6, 489.75, 489, 489.65, 4918
2016-09-30 10:51:00, 489.65, 489.75, 489.1, 489.1, 2381
2016-09-30 10:52:00, 489.1, 489.75, 489.1, 489.35, 475
2016-09-30 10:53:00, 489.35, 490.15, 489.3, 490.05, 905
2016-09-30 10:54:00, 490, 490.25, 489.95, 490.25, 1902
2016-09-30 10:55:00, 490.5, 490.5, 489.2, 489.65, 1833
2016-09-30 10:56:00, 489.65, 490.9, 489.65, 490.9, 717
2016-09-30 10:57:00, 490.9, 490.9, 490, 490.7, 568
2016-09-30 10:58:00, 490.7, 490.75, 490.35, 490.5, 155
2016-09-30 10:59:00, 490.5, 490.5, 490.35, 490.35, 388
