Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 510, 513.05, 509.95, 512.7, 3573
2016-09-30 09:16:00, 512.65, 518.15, 512.65, 517.8, 7043
2016-09-30 09:17:00, 518.2, 519.6, 516.5, 517.05, 3630
2016-09-30 09:18:00, 517.1, 517.2, 515.15, 515.4, 10231
2016-09-30 09:19:00, 515, 515, 512, 513.35, 2873
2016-09-30 09:20:00, 513.3, 513.35, 510.15, 510.7, 4695
2016-09-30 09:22:00, 514.4, 514.95, 509.9, 512.6, 3535
2016-09-30 09:21:00, 510.7, 514.4, 509.9, 514.4, 12630
2016-09-30 09:23:00, 512.6, 515, 511.05, 512, 7059
2016-09-30 09:24:00, 511.7, 513.15, 510.05, 513.15, 3999
2016-09-30 09:25:00, 513.15, 514.5, 511.35, 512.2, 4264
2016-09-30 09:26:00, 512.2, 515.75, 512.2, 515.3, 3780
2016-09-30 09:27:00, 515.3, 516.8, 515.25, 516.65, 2187
2016-09-30 09:28:00, 516.65, 517.9, 515.2, 516, 2616
2016-09-30 09:29:00, 516, 518.55, 515, 518, 3468
2016-09-30 09:30:00, 518, 519, 517.4, 518.5, 2212
2016-09-30 09:31:00, 518.5, 518.5, 516.5, 518, 1613
2016-09-30 09:32:00, 518, 518, 517.05, 517.5, 1518
2016-09-30 09:33:00, 517.5, 518.15, 517.5, 517.9, 1859
2016-09-30 09:34:00, 517.9, 518.2, 517.6, 518.2, 1373
2016-09-30 09:35:00, 518.2, 519, 518.2, 518.95, 1197
2016-09-30 09:36:00, 519, 519.9, 518.6, 519.6, 1782
2016-09-30 09:37:00, 519.6, 519.6, 517.85, 518.2, 1165
2016-09-30 09:38:00, 518.2, 519.25, 518.1, 519.2, 1199
2016-09-30 09:39:00, 519.2, 520, 518.45, 520, 4415
2016-09-30 09:40:00, 519.8, 520, 519.25, 520, 1547
2016-09-30 09:41:00, 520, 520.5, 518.4, 519.85, 1657
2016-09-30 09:43:00, 519.5, 519.5, 519.15, 519.2, 747
2016-09-30 09:42:00, 519, 519.7, 519, 519.5, 2001
