Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 517.5, 517.5, 513.75, 516.45, 16223
2016-09-30 09:16:00, 516.95, 520.6, 516.55, 520.6, 8533
2016-09-30 09:17:00, 520.85, 523.65, 520.6, 523.65, 8432
2016-09-30 09:18:00, 523.65, 524.45, 523.65, 523.8, 3259
2016-09-30 09:20:00, 520.85, 520.85, 518.9, 519.65, 10824
2016-09-30 09:19:00, 523.8, 523.85, 521.5, 521.5, 6265
2016-09-30 09:21:00, 519.65, 523.4, 519.65, 523.15, 8652
2016-09-30 09:22:00, 523, 523.15, 521.45, 521.65, 11500
2016-09-30 09:24:00, 521.4, 524.4, 521.4, 524.4, 9663
2016-09-30 09:23:00, 521.65, 522.05, 521.05, 521.4, 13187
2016-09-30 09:25:00, 525, 525.7, 522.9, 523.05, 17312
2016-09-30 09:27:00, 524.45, 525.7, 524.05, 525.35, 4396
2016-09-30 09:26:00, 523.05, 524.85, 522, 524.45, 4924
2016-09-30 09:28:00, 525.35, 526.4, 525.05, 525.05, 2031
2016-09-30 09:29:00, 525.05, 525.85, 525, 525.4, 3571
2016-09-30 09:30:00, 525.55, 527, 525.55, 527, 8052
2016-09-30 09:31:00, 527, 527, 524.8, 526, 4568
2016-09-30 09:32:00, 526, 527.35, 526, 526.85, 3213
2016-09-30 09:34:00, 526.9, 527, 526.55, 527, 1597
2016-09-30 09:33:00, 526.95, 527, 526.6, 526.9, 855
2016-09-30 09:35:00, 527.1, 528.1, 527.05, 527.85, 2315
2016-09-30 09:36:00, 527.85, 528.5, 527.55, 528.2, 1917
2016-09-30 09:37:00, 528.2, 528.55, 526, 527.2, 1788
2016-09-30 09:38:00, 527.2, 528.6, 527.2, 528.6, 2637
2016-09-30 09:39:00, 528.6, 528.6, 528.05, 528.55, 985
2016-09-30 09:40:00, 528.65, 529.2, 528.55, 528.6, 4063
2016-09-30 09:41:00, 529.05, 529.2, 528.2, 528.55, 1605
2016-09-30 09:42:00, 528.55, 529.4, 528.3, 529.15, 746
2016-09-30 09:43:00, 529.15, 529.85, 529.05, 529.45, 3363
2016-09-30 09:44:00, 529.85, 532, 529.35, 532, 12835
2016-09-30 09:45:00, 532, 532.2, 531, 531, 2340
2016-09-30 09:46:00, 531.2, 531.5, 530.6, 530.6, 1196
2016-09-30 09:47:00, 530.8, 532.7, 530.8, 532.65, 3783
2016-09-30 09:48:00, 532.65, 532.65, 531.5, 532, 2369
2016-09-30 09:49:00, 532, 532, 531.6, 531.65, 400
2016-09-30 09:50:00, 531.65, 532, 531.5, 531.9, 1724
2016-09-30 09:51:00, 531.95, 531.95, 531.5, 531.7, 3793
2016-09-30 09:52:00, 531.7, 531.75, 530.05, 530.05, 1927
2016-09-30 09:53:00, 530.35, 530.35, 529.7, 529.7, 4907
2016-09-30 09:54:00, 529.6, 529.6, 528.55, 528.55, 1254
2016-09-30 09:55:00, 529, 529.95, 528.85, 529.5, 1836
2016-09-30 09:56:00, 529.6, 529.6, 529, 529, 2442
2016-09-30 09:57:00, 529, 529.5, 528.7, 529.15, 667
2016-09-30 09:58:00, 529.15, 530.8, 528.6, 530, 9847
2016-09-30 09:59:00, 530, 530.35, 528.6, 529.95, 4890
2016-09-30 10:00:00, 529.95, 529.95, 528.15, 528.55, 1334
2016-09-30 10:01:00, 528.25, 529.9, 528.1, 529.9, 1259
2016-09-30 10:02:00, 529.9, 529.9, 528.5, 529, 1381
2016-09-30 10:03:00, 529.35, 529.35, 528.05, 528.9, 1374
2016-09-30 10:04:00, 528.9, 529.9, 528.9, 529.6, 379
2016-09-30 10:05:00, 529.6, 530.9, 528.95, 529.25, 13471
2016-09-30 10:06:00, 529.25, 531.1, 529.25, 531.05, 2508
2016-09-30 10:07:00, 531, 532.45, 530.95, 531.95, 6496
2016-09-30 10:08:00, 531.15, 531.65, 530.55, 531.65, 2543
2016-09-30 10:09:00, 531.65, 531.65, 530.5, 530.9, 1062
2016-09-30 10:10:00, 530.9, 531, 530.55, 531, 1227
2016-09-30 10:11:00, 531, 531, 529.95, 530.55, 1659
2016-09-30 10:12:00, 530.55, 531.15, 530.55, 530.65, 923
2016-09-30 10:13:00, 530.65, 531.1, 530.65, 531, 1413
2016-09-30 10:14:00, 530.75, 531, 530.75, 531, 743
2016-09-30 10:15:00, 531, 531.15, 529.9, 529.95, 7994
2016-09-30 10:16:00, 529.5, 530, 529.5, 529.85, 3037
2016-09-30 10:17:00, 529.85, 529.85, 529.5, 529.7, 492
2016-09-30 10:18:00, 529.7, 530, 528.6, 529.95, 2916
2016-09-30 10:19:00, 529.95, 531.45, 529.95, 531.45, 1886
2016-09-30 10:20:00, 531.45, 531.45, 530.1, 530.7, 638
2016-09-30 10:21:00, 530.7, 531.4, 530.7, 530.95, 993
2016-09-30 10:22:00, 530.95, 531.7, 530.95, 531.45, 1142
2016-09-30 10:23:00, 531.45, 531.85, 531.45, 531.7, 281
2016-09-30 10:24:00, 531.7, 532.7, 531.7, 532.2, 3867
2016-09-30 10:25:00, 532, 532.7, 532, 532.5, 814
2016-09-30 10:26:00, 532.5, 533.1, 532.45, 533.05, 1768
2016-09-30 10:27:00, 533.05, 533.45, 532.8, 532.9, 1750
2016-09-30 10:28:00, 532.95, 533.5, 532.9, 533.5, 1533
2016-09-30 10:29:00, 533.5, 533.55, 532.95, 533, 2470
2016-09-30 10:30:00, 533.15, 533.7, 531.55, 531.55, 1294
2016-09-30 10:31:00, 531.55, 532.8, 530.5, 532.35, 3039
2016-09-30 10:32:00, 531.7, 533.45, 531.7, 532.85, 800
2016-09-30 10:33:00, 532.85, 533.35, 532.85, 532.95, 594
