Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 525.6, 527.95, 524.7, 527.8, 31016
2016-09-30 09:16:00, 527.7, 528.2, 527, 527.95, 31346
2016-09-30 09:17:00, 527.95, 529.4, 527.95, 529.05, 40458
2016-09-30 09:18:00, 529.05, 529.1, 528.5, 528.5, 29463
2016-09-30 09:19:00, 528.75, 528.75, 528, 528.4, 21505
2016-09-30 09:20:00, 528.4, 528.4, 525.15, 525.15, 36406
2016-09-30 09:21:00, 525.1, 525.5, 524, 524.8, 70998
2016-09-30 09:22:00, 524.8, 524.95, 522.15, 522.7, 43540
2016-09-30 09:23:00, 523, 524.65, 522.75, 524.65, 54960
2016-09-30 09:24:00, 524.65, 525, 524.3, 524.95, 13560
2016-09-30 09:25:00, 525, 525.9, 524.95, 525.9, 19462
2016-09-30 09:26:00, 525.9, 526.75, 525.65, 526.7, 19183
2016-09-30 09:27:00, 526.65, 527, 526.5, 527, 14823
2016-09-30 09:28:00, 526.7, 527.75, 526.55, 526.75, 25497
2016-09-30 09:29:00, 526.55, 527.4, 526.1, 526.7, 13209
2016-09-30 09:30:00, 527, 527.9, 527, 527.4, 20631
2016-09-30 09:31:00, 527.4, 527.45, 526.6, 527.15, 15092
2016-09-30 09:32:00, 527, 527.5, 526.6, 527, 10036
2016-09-30 09:33:00, 527.05, 527.45, 527, 527, 14084
2016-09-30 09:34:00, 527, 527, 526.7, 527, 9416
2016-09-30 09:35:00, 527, 527, 526.55, 527, 15257
2016-09-30 09:36:00, 527, 527.8, 526.9, 527.8, 15247
2016-09-30 09:37:00, 527.8, 528.15, 527.4, 527.7, 11298
2016-09-30 09:38:00, 527.8, 528.85, 527.7, 528.75, 15129
2016-09-30 09:39:00, 528.65, 529.1, 528.5, 528.9, 24013
2016-09-30 09:40:00, 528.9, 529.75, 528.9, 529.25, 30193
2016-09-30 09:41:00, 529.3, 529.9, 529.1, 529.75, 15128
2016-09-30 09:42:00, 529.4, 529.8, 529.05, 529.55, 7227
2016-09-30 09:43:00, 529.5, 529.55, 528.85, 529.5, 14762
2016-09-30 09:44:00, 529.45, 529.75, 529, 529.4, 9371
2016-09-30 09:45:00, 529.4, 529.85, 529, 529.7, 14912
2016-09-30 09:46:00, 529.65, 529.9, 529.05, 529.6, 18680
2016-09-30 09:47:00, 529.55, 530.5, 529.5, 530.05, 23677
2016-09-30 09:48:00, 530.05, 530.35, 529.6, 530.15, 11545
2016-09-30 09:49:00, 530.2, 530.2, 529.6, 529.65, 5067
2016-09-30 09:50:00, 529.65, 530.1, 529.6, 530, 8352
2016-09-30 09:51:00, 529.85, 529.95, 529.35, 529.35, 8825
2016-09-30 09:52:00, 529.2, 529.8, 528.75, 528.8, 11982
2016-09-30 09:53:00, 528.8, 528.9, 527.85, 528, 13515
2016-09-30 09:54:00, 527.6, 528, 526.9, 526.9, 16465
2016-09-30 09:55:00, 526.9, 527.7, 526.9, 527, 11176
2016-09-30 09:56:00, 527, 527.25, 526.8, 527.05, 4806
2016-09-30 09:57:00, 527.05, 527.7, 527.05, 527.1, 7308
2016-09-30 09:58:00, 527.15, 527.45, 527.05, 527.15, 5896
2016-09-30 09:59:00, 527.2, 527.25, 526.8, 526.95, 13441
2016-09-30 10:00:00, 526.95, 527.05, 526.6, 526.75, 4824
2016-09-30 10:01:00, 526.75, 527.45, 526.3, 526.95, 14638
2016-09-30 10:02:00, 527.05, 527.35, 526.6, 527.3, 7228
2016-09-30 10:03:00, 527.3, 527.3, 526.1, 526.85, 7119
2016-09-30 10:04:00, 526.7, 527.55, 526.65, 527, 5041
2016-09-30 10:05:00, 527.2, 528.7, 527.1, 528.7, 21940
2016-09-30 10:06:00, 528.45, 529.5, 528.45, 529.5, 14838
2016-09-30 10:07:00, 529.5, 529.5, 528.95, 528.95, 8371
2016-09-30 10:08:00, 528.5, 529.1, 528.25, 528.8, 8051
2016-09-30 10:09:00, 528.8, 529.05, 528.6, 528.9, 8535
2016-09-30 10:10:00, 528.7, 529, 528.7, 528.8, 6676
2016-09-30 10:11:00, 528.8, 529, 528.7, 528.75, 10304
2016-09-30 10:12:00, 528.75, 528.95, 528.7, 528.85, 4997
2016-09-30 10:13:00, 528.85, 529.1, 528.8, 529.05, 6769
2016-09-30 10:14:00, 529, 529.15, 528.6, 528.65, 3708
2016-09-30 10:15:00, 528.9, 528.9, 528.4, 528.4, 7298
2016-09-30 10:16:00, 528.4, 529, 528.15, 529, 6269
2016-09-30 10:17:00, 529, 529.3, 529, 529.15, 13528
2016-09-30 10:18:00, 529.15, 529.35, 529, 529.05, 4316
2016-09-30 10:19:00, 529.05, 529.95, 529.05, 529.85, 12741
2016-09-30 10:20:00, 529.95, 529.95, 529.15, 529.3, 8540
2016-09-30 10:21:00, 529.2, 529.7, 529.15, 529.2, 5033
2016-09-30 10:22:00, 529.05, 529.95, 528.8, 529.95, 10096
2016-09-30 10:23:00, 529.8, 529.8, 529.3, 529.5, 2476
2016-09-30 10:24:00, 529.5, 529.7, 529.35, 529.5, 7014
2016-09-30 10:25:00, 529.5, 529.9, 529.5, 529.75, 4622
2016-09-30 10:26:00, 529.7, 529.7, 529.35, 529.7, 7531
2016-09-30 10:27:00, 529.45, 531, 529.45, 530.5, 42066
2016-09-30 10:28:00, 530.1, 530.5, 530, 530.4, 17037
2016-09-30 10:29:00, 530.3, 530.65, 530.3, 530.55, 14298
2016-09-30 10:30:00, 530.65, 531, 530.55, 530.9, 19298
2016-09-30 10:31:00, 530.9, 531.6, 530.7, 531.4, 22758
2016-09-30 10:32:00, 531.35, 531.75, 531.1, 531.15, 12792
2016-09-30 10:33:00, 531.15, 531.3, 530.7, 530.7, 8646
2016-09-30 10:34:00, 530.7, 530.9, 530.55, 530.9, 5639
2016-09-30 10:35:00, 530.9, 531.3, 530.85, 531.25, 8027
2016-09-30 10:36:00, 531.2, 531.3, 531.1, 531.1, 6319
2016-09-30 10:37:00, 531.1, 531.35, 531, 531.2, 11467
2016-09-30 10:38:00, 531.2, 531.55, 531.2, 531.25, 8764
2016-09-30 10:39:00, 531.25, 531.3, 530.9, 531, 4960
2016-09-30 10:40:00, 531.15, 531.15, 530.85, 531.05, 5417
2016-09-30 10:41:00, 531.05, 531.3, 531.05, 531.25, 5565
2016-09-30 10:42:00, 531.25, 531.5, 531.2, 531.5, 3859
2016-09-30 10:43:00, 531.5, 531.6, 531.15, 531.3, 8306
2016-09-30 10:44:00, 531.3, 531.3, 530.7, 530.7, 3872
2016-09-30 10:45:00, 530.85, 530.85, 530.05, 530.1, 11184
2016-09-30 10:46:00, 530.1, 530.15, 530, 530, 5157
2016-09-30 10:47:00, 530, 530.05, 529, 529.05, 26111
2016-09-30 10:48:00, 529.35, 529.35, 528.9, 529, 12683
2016-09-30 10:49:00, 529, 529, 528.45, 528.65, 12375
2016-09-30 10:50:00, 528.65, 529.25, 528.65, 529.25, 5508
2016-09-30 10:51:00, 529.2, 529.2, 528.85, 528.9, 3183
2016-09-30 10:52:00, 528.9, 529.4, 528.85, 529.4, 3722
2016-09-30 10:53:00, 529.4, 529.9, 529.4, 529.55, 5508
2016-09-30 10:54:00, 529.55, 529.95, 529.4, 529.7, 2539
2016-09-30 10:55:00, 529.75, 529.9, 529.7, 529.75, 8067
2016-09-30 10:56:00, 529.75, 529.85, 529.55, 529.8, 3964
2016-09-30 10:57:00, 529.8, 529.8, 529.5, 529.5, 1751
2016-09-30 10:58:00, 529.5, 529.5, 529.2, 529.25, 4396
2016-09-30 10:59:00, 529.2, 529.65, 529.15, 529.25, 4742
2016-09-30 11:00:00, 529.25, 529.5, 529.1, 529.1, 5696
2016-09-30 11:01:00, 529.1, 529.45, 529.1, 529.15, 3185
2016-09-30 11:02:00, 529.15, 529.15, 528.95, 528.95, 4149
2016-09-30 11:03:00, 528.9, 529.5, 528.9, 529.4, 2603
2016-09-30 11:04:00, 529.4, 529.8, 529.35, 529.5, 3299
2016-09-30 11:05:00, 529.5, 529.55, 529.1, 529.1, 3860
2016-09-30 11:06:00, 529.25, 529.7, 529.05, 529.7, 6168
2016-09-30 11:07:00, 529.7, 529.8, 529.25, 529.35, 3994
2016-09-30 11:08:00, 529.5, 529.55, 529.35, 529.45, 3650
2016-09-30 11:09:00, 529.55, 529.55, 529.4, 529.5, 1965
2016-09-30 11:10:00, 529.5, 529.5, 529.35, 529.5, 2298
2016-09-30 11:11:00, 529.5, 529.8, 529.45, 529.5, 4424
2016-09-30 11:12:00, 529.5, 529.55, 529.45, 529.45, 1185
2016-09-30 11:13:00, 529.45, 529.65, 529.4, 529.5, 16266
2016-09-30 11:14:00, 529.5, 529.6, 529.25, 529.5, 8360
2016-09-30 11:15:00, 529.5, 529.55, 529.5, 529.5, 6956
2016-09-30 11:16:00, 529.65, 529.65, 529.5, 529.5, 5185
2016-09-30 11:17:00, 529.5, 529.6, 529.45, 529.5, 6989
2016-09-30 11:18:00, 529.45, 529.5, 529.1, 529.1, 4621
2016-09-30 11:19:00, 529.1, 529.8, 528.35, 529.45, 14054
2016-09-30 11:20:00, 529.45, 529.5, 528.25, 528.4, 5557
