Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 335, 337, 333, 336.3, 2458
2016-09-30 09:16:00, 336.3, 336.45, 335.95, 336.35, 1887
2016-09-30 09:17:00, 336.35, 337.1, 336.25, 337, 4977
2016-09-30 09:18:00, 336.75, 336.8, 336.1, 336.15, 2068
2016-09-30 09:19:00, 336.15, 336.25, 334.7, 334.7, 5223
2016-09-30 09:20:00, 334.5, 334.9, 332.45, 332.45, 4980
2016-09-30 09:21:00, 332.45, 333.95, 331.9, 333.45, 4419
2016-09-30 09:22:00, 333.45, 333.45, 332.7, 333.35, 25251
2016-09-30 09:23:00, 333.35, 334.35, 333.3, 334.05, 3375
2016-09-30 09:24:00, 334.05, 334.9, 333.95, 334.9, 2688
2016-09-30 09:25:00, 334.9, 335.1, 334, 334.65, 6040
2016-09-30 09:26:00, 334.65, 335.55, 334.6, 335.2, 2108
2016-09-30 09:27:00, 335.1, 336, 335.05, 336, 3766
2016-09-30 09:28:00, 336, 336.4, 335.2, 335.25, 2803
2016-09-30 09:29:00, 335.35, 335.85, 334.95, 335.35, 856
2016-09-30 09:30:00, 335.55, 336.05, 335.5, 336.05, 1459
2016-09-30 09:31:00, 336.05, 336.05, 335.05, 335.5, 1759
2016-09-30 09:32:00, 335.5, 335.65, 335.05, 335.35, 1432
2016-09-30 09:33:00, 335.35, 335.65, 334.7, 334.75, 2276
2016-09-30 09:34:00, 334.75, 335.1, 334.55, 334.95, 2601
2016-09-30 09:35:00, 334.95, 335.6, 334.95, 335.5, 1204
2016-09-30 09:36:00, 335.5, 336.1, 335.5, 336.05, 985
2016-09-30 09:37:00, 336.05, 336.05, 335.75, 335.85, 837
2016-09-30 09:38:00, 335.85, 336.3, 335.55, 335.7, 1548
2016-09-30 09:39:00, 335.7, 336.15, 335.65, 336.15, 993
2016-09-30 09:40:00, 335.95, 336.6, 335.85, 335.85, 1206
2016-09-30 09:41:00, 336.25, 336.45, 336, 336.45, 551
2016-09-30 09:42:00, 336.45, 336.8, 336.4, 336.75, 428
2016-09-30 09:43:00, 336.7, 336.8, 336.05, 336.8, 1185
