Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 393.05, 393.9, 393.05, 393.45, 7056
2016-09-30 09:16:00, 393.45, 393.45, 392.35, 392.45, 6412
2016-09-30 09:17:00, 392.7, 392.75, 392.55, 392.6, 3884
2016-09-30 09:18:00, 392.5, 392.5, 389.3, 389.35, 14877
2016-09-30 09:19:00, 389.45, 389.45, 387.65, 388, 8286
2016-09-30 09:20:00, 388, 388, 384.1, 384.2, 6254
2016-09-30 09:21:00, 384.2, 384.9, 383.6, 384.9, 10165
2016-09-30 09:22:00, 385.05, 385.5, 385, 385, 14915
2016-09-30 09:24:00, 388.1, 388.1, 386.8, 387.3, 16764
2016-09-30 09:23:00, 385.25, 388, 384.8, 388, 15974
2016-09-30 09:25:00, 387.25, 387.35, 385.4, 385.4, 12620
2016-09-30 09:26:00, 385.6, 387.7, 385.1, 387.55, 20726
2016-09-30 09:27:00, 387.55, 387.8, 386.25, 387.45, 11666
2016-09-30 09:28:00, 387.45, 388, 387.05, 387.45, 10272
2016-09-30 09:29:00, 387.45, 387.85, 386.85, 387.85, 7579
2016-09-30 09:30:00, 387.85, 388, 387.25, 388, 13489
2016-09-30 09:31:00, 388.3, 388.3, 387.4, 388.25, 12116
2016-09-30 09:32:00, 388.2, 388.8, 387.5, 388.5, 14527
2016-09-30 09:33:00, 388.5, 388.5, 387.55, 387.65, 3503
2016-09-30 09:34:00, 387.65, 387.85, 387.35, 387.8, 5736
2016-09-30 09:35:00, 387.7, 388.5, 387.5, 388.5, 7835
2016-09-30 09:36:00, 388.5, 388.65, 388.05, 388.55, 4234
2016-09-30 09:37:00, 388.55, 388.8, 388.55, 388.7, 5294
2016-09-30 09:38:00, 388.6, 389.15, 388.2, 389.05, 7466
2016-09-30 09:39:00, 388.95, 388.95, 388.6, 388.65, 2880
2016-09-30 09:40:00, 388.65, 388.75, 388.4, 388.65, 5589
2016-09-30 09:41:00, 388.65, 389.2, 388.65, 389.05, 4399
2016-09-30 09:42:00, 389.05, 391, 389, 391, 8626
2016-09-30 09:43:00, 391, 391, 390, 390.4, 4425
2016-09-30 09:44:00, 390.4, 390.5, 390.1, 390.5, 4186
2016-09-30 09:45:00, 390.8, 391.2, 390.25, 390.35, 5870
2016-09-30 09:46:00, 390.35, 390.4, 390, 390.1, 3864
2016-09-30 09:47:00, 390.1, 390.5, 390.1, 390.5, 4683
2016-09-30 09:48:00, 390.5, 391.15, 390.35, 391.15, 6665
2016-09-30 09:49:00, 391.15, 391.35, 390.65, 391.3, 4236
2016-09-30 09:50:00, 391.25, 391.55, 391.25, 391.55, 9076
2016-09-30 09:51:00, 391.5, 392.65, 391.5, 392.3, 9149
2016-09-30 09:52:00, 392.3, 392.45, 391.4, 391.4, 7860
2016-09-30 09:53:00, 391.4, 391.65, 391.05, 391.05, 4488
2016-09-30 09:54:00, 391.05, 391.1, 390.55, 390.85, 3828
2016-09-30 09:55:00, 390.8, 390.9, 390, 390.45, 5825
2016-09-30 09:56:00, 390.4, 390.7, 390, 390.2, 7477
2016-09-30 09:57:00, 390.2, 390.2, 389.75, 389.9, 3820
2016-09-30 09:58:00, 389.9, 390.6, 389.8, 390.6, 3662
2016-09-30 09:59:00, 390.6, 391.4, 390.25, 390.8, 6468
2016-09-30 10:00:00, 390.8, 390.8, 390.5, 390.5, 1482
2016-09-30 10:01:00, 390.4, 390.4, 389.8, 389.85, 3584
2016-09-30 10:02:00, 389.85, 389.85, 389.5, 389.55, 4968
2016-09-30 10:03:00, 389.75, 389.85, 389.5, 389.6, 4993
2016-09-30 10:04:00, 389.6, 390, 389.6, 390, 5162
2016-09-30 10:05:00, 389.75, 391.35, 389.75, 391.35, 7892
2016-09-30 10:06:00, 391.35, 391.55, 390.9, 391.25, 6782
2016-09-30 10:07:00, 391.25, 392.95, 391.15, 392.55, 10348
2016-09-30 10:08:00, 392.25, 392.4, 391.95, 392.1, 2664
2016-09-30 10:09:00, 392.1, 392.1, 391.6, 391.6, 2615
2016-09-30 10:10:00, 391.6, 391.6, 391.4, 391.4, 3199
2016-09-30 10:11:00, 391.3, 391.65, 390.9, 391.1, 4427
2016-09-30 10:12:00, 391.1, 391.45, 390.9, 391.45, 3132
2016-09-30 10:13:00, 391.45, 391.45, 391.15, 391.25, 2970
2016-09-30 10:14:00, 391.25, 391.3, 391, 391.05, 3352
2016-09-30 10:15:00, 391.05, 391.15, 391.05, 391.1, 897
2016-09-30 10:16:00, 391.05, 391.2, 391, 391.2, 2416
2016-09-30 10:17:00, 391.2, 392.05, 391.2, 391.95, 3645
2016-09-30 10:18:00, 391.95, 392.35, 391.75, 392.35, 2577
2016-09-30 10:19:00, 392.25, 392.25, 391.65, 391.65, 2269
2016-09-30 10:20:00, 391.75, 391.75, 390.9, 391, 2581
2016-09-30 10:21:00, 390.85, 391.8, 390.85, 391.8, 4845
2016-09-30 10:22:00, 391.8, 392.3, 391.75, 392.1, 3322
2016-09-30 10:23:00, 392.1, 392.2, 391.85, 392.1, 1348
2016-09-30 10:24:00, 392.1, 393.4, 392, 393.1, 5893
2016-09-30 10:25:00, 393.1, 395, 393.1, 394.65, 11625
2016-09-30 10:26:00, 394.7, 394.8, 394.15, 394.2, 2318
2016-09-30 10:27:00, 394.15, 394.65, 393.9, 394.65, 5128
2016-09-30 10:28:00, 395, 395.55, 394.8, 395.5, 10410
2016-09-30 10:29:00, 395.5, 395.8, 395.2, 395.35, 3132
2016-09-30 10:30:00, 395.35, 395.45, 395.05, 395.05, 3061
2016-09-30 10:31:00, 395.05, 395.65, 395, 395.5, 4309
2016-09-30 10:32:00, 395.5, 395.5, 395, 395, 2532
2016-09-30 10:33:00, 395, 395.25, 395, 395.2, 3930
2016-09-30 10:34:00, 395.2, 395.25, 395.1, 395.1, 1933
2016-09-30 10:35:00, 395.1, 395.1, 394.65, 394.9, 3941
2016-09-30 10:36:00, 394.95, 394.95, 394.5, 394.5, 1681
2016-09-30 10:37:00, 394.4, 394.55, 394.35, 394.35, 2668
2016-09-30 10:38:00, 394.35, 394.9, 394.05, 394.75, 5390
2016-09-30 10:39:00, 394.75, 395, 394.6, 395, 2626
2016-09-30 10:40:00, 395, 395, 394.45, 394.45, 3293
2016-09-30 10:41:00, 394.5, 394.5, 394.45, 394.5, 2933
2016-09-30 10:42:00, 394.5, 394.6, 394.25, 394.3, 3644
2016-09-30 10:43:00, 394.3, 394.3, 394.1, 394.25, 2002
2016-09-30 10:44:00, 394.15, 394.3, 394.15, 394.25, 3093
2016-09-30 10:45:00, 394.25, 394.7, 394.25, 394.4, 3556
2016-09-30 10:46:00, 394.4, 394.4, 394.15, 394.2, 1636
2016-09-30 10:47:00, 394.2, 394.4, 394.2, 394.35, 3677
2016-09-30 10:48:00, 394.35, 394.35, 394.2, 394.3, 3904
2016-09-30 10:49:00, 394.25, 394.25, 393.5, 393.75, 7328
2016-09-30 10:50:00, 393.75, 393.85, 393.6, 393.6, 1902
2016-09-30 10:51:00, 393.65, 393.95, 393.65, 393.9, 2582
2016-09-30 10:52:00, 393.9, 393.9, 393.65, 393.7, 2618
2016-09-30 10:53:00, 393.7, 394.25, 393.6, 394.25, 4068
2016-09-30 10:54:00, 394.25, 394.3, 393.95, 394.2, 1511
2016-09-30 10:55:00, 394.2, 394.55, 394.15, 394.55, 3179
2016-09-30 10:56:00, 394.55, 394.8, 394.5, 394.7, 3272
2016-09-30 10:57:00, 394.7, 394.8, 394.65, 394.75, 2225
2016-09-30 10:58:00, 394.75, 395.25, 394.75, 395.05, 3183
2016-09-30 10:59:00, 395.05, 395.1, 394.9, 394.9, 1874
2016-09-30 11:00:00, 394.9, 395.05, 394.8, 395.05, 2330
2016-09-30 11:01:00, 395.05, 395.1, 394.8, 395.1, 3492
2016-09-30 11:02:00, 395.1, 395.1, 394.85, 394.9, 2527
2016-09-30 11:03:00, 394.9, 395.05, 394.85, 394.9, 1964
2016-09-30 11:04:00, 394.9, 395.15, 394.85, 395.05, 4712
2016-09-30 11:05:00, 395.05, 395.1, 395, 395.05, 2094
2016-09-30 11:06:00, 395.05, 395.1, 394.85, 395.1, 4202
2016-09-30 11:07:00, 395.1, 395.35, 395.1, 395.15, 2039
2016-09-30 11:08:00, 395.15, 395.25, 395.05, 395.1, 1272
2016-09-30 11:09:00, 395.1, 395.15, 395, 395.15, 2102
