Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 881.85, 897.95, 879.05, 897.95, 6786
2016-09-30 09:16:00, 897.95, 898.75, 893.25, 896.9, 5411
2016-09-30 09:17:00, 896.5, 900, 896, 900, 4333
2016-09-30 09:18:00, 900, 900, 896.5, 897, 6137
2016-09-30 09:19:00, 897, 897, 895.55, 895.6, 3655
2016-09-30 09:20:00, 895.05, 895.55, 888, 888, 7166
2016-09-30 09:21:00, 888, 888, 881.05, 885.5, 4744
2016-09-30 09:22:00, 886.6, 888.05, 883.9, 888.05, 3658
2016-09-30 09:24:00, 887.8, 892.55, 886.9, 892.55, 5235
2016-09-30 09:23:00, 888.25, 890, 886.2, 887.8, 3489
2016-09-30 09:25:00, 892.6, 893.55, 891.05, 892, 4284
2016-09-30 09:26:00, 892, 893.85, 891.15, 893.85, 1765
2016-09-30 09:28:00, 893.1, 893.45, 891.65, 892.15, 1830
2016-09-30 09:27:00, 893.85, 893.95, 893, 893.1, 2592
2016-09-30 09:29:00, 892, 892.75, 892, 892.15, 952
2016-09-30 09:30:00, 892.15, 892.95, 887.6, 891.95, 3597
2016-09-30 09:31:00, 891.95, 891.95, 890.55, 891.55, 612
2016-09-30 09:32:00, 891.1, 892.55, 890.55, 890.55, 813
2016-09-30 09:33:00, 890.95, 892, 889.55, 891.55, 2309
2016-09-30 09:34:00, 891.55, 893, 891.55, 892.1, 1595
2016-09-30 09:35:00, 892.1, 892.1, 891, 891, 540
2016-09-30 09:36:00, 891, 892.7, 891, 892.55, 270
2016-09-30 09:37:00, 892.75, 892.75, 891.2, 891.85, 781
2016-09-30 09:40:00, 891, 892, 891, 892, 131
2016-09-30 09:39:00, 891.8, 891.8, 891, 891, 724
2016-09-30 09:38:00, 891.85, 893, 891.85, 892.05, 2677
2016-09-30 09:41:00, 892, 892.2, 891.55, 891.95, 1142
2016-09-30 09:42:00, 891.95, 892.65, 891.95, 892.65, 40
2016-09-30 09:43:00, 892.65, 892.7, 891.6, 892, 660
2016-09-30 09:44:00, 892, 892.8, 892, 892.65, 280
2016-09-30 09:45:00, 892.65, 892.7, 891.55, 892, 522
2016-09-30 09:46:00, 892, 892, 891, 891.4, 569
2016-09-30 09:47:00, 891.4, 892.95, 891.2, 892.95, 1555
2016-09-30 09:48:00, 892.95, 893, 891.6, 891.6, 1356
2016-09-30 09:49:00, 891.6, 891.8, 891, 891, 934
2016-09-30 09:50:00, 891, 891.1, 890.15, 890.45, 728
2016-09-30 09:51:00, 890.85, 891.45, 890.85, 891.05, 219
2016-09-30 09:52:00, 891.05, 892, 891, 892, 252
2016-09-30 09:53:00, 892, 892.45, 891, 891.35, 1063
2016-09-30 09:54:00, 891.35, 891.85, 889.4, 889.4, 981
2016-09-30 09:55:00, 889.6, 889.9, 888.1, 888.6, 978
2016-09-30 09:56:00, 888.05, 888.2, 886.5, 886.5, 2758
2016-09-30 09:57:00, 886.5, 888.15, 886.5, 887.8, 1143
2016-09-30 09:58:00, 887.8, 890, 887.6, 889.65, 467
2016-09-30 09:59:00, 889.65, 890, 889.65, 889.8, 122
2016-09-30 10:00:00, 889.8, 889.8, 887.25, 887.45, 921
2016-09-30 10:01:00, 887.45, 887.45, 886.65, 886.7, 4
2016-09-30 10:02:00, 886.7, 887.5, 886.7, 886.8, 2970
2016-09-30 10:03:00, 886.8, 886.8, 885.85, 885.85, 391
2016-09-30 10:04:00, 885.8, 885.95, 884.95, 885.95, 1232
2016-09-30 10:05:00, 885.95, 887.2, 885.95, 887.2, 572
2016-09-30 10:06:00, 887.2, 889.2, 887.2, 889.2, 15
2016-09-30 10:07:00, 889.2, 889.2, 888.65, 888.65, 620
2016-09-30 10:08:00, 888.65, 888.65, 888, 888, 153
2016-09-30 10:09:00, 888, 888.95, 888, 888.95, 362
2016-09-30 10:10:00, 888.95, 888.95, 888.85, 888.9, 95
2016-09-30 10:11:00, 888.9, 888.9, 888.3, 888.4, 46
2016-09-30 10:12:00, 888.4, 888.4, 888, 888, 64
2016-09-30 10:13:00, 888, 888.05, 888, 888.05, 53
2016-09-30 10:14:00, 888.05, 888.05, 887.6, 887.8, 75
2016-09-30 10:15:00, 887.8, 888, 887.3, 887.3, 494
2016-09-30 10:16:00, 887.3, 887.55, 886.2, 886.95, 1218
2016-09-30 10:17:00, 886.95, 886.95, 882.1, 882.1, 4226
2016-09-30 10:18:00, 882.1, 885.4, 882.1, 885.3, 2096
2016-09-30 10:19:00, 885.3, 885.6, 885, 885, 429
2016-09-30 10:20:00, 885, 885, 883, 883.45, 819
2016-09-30 10:21:00, 883.45, 883.75, 883.3, 883.75, 774
2016-09-30 10:22:00, 883.75, 884.65, 883.35, 884.45, 1512
2016-09-30 10:23:00, 884.75, 885.1, 884.65, 884.75, 1911
2016-09-30 10:24:00, 884.85, 886, 884.85, 885.5, 673
2016-09-30 10:25:00, 885.5, 887.3, 885.5, 887.3, 582
2016-09-30 10:26:00, 887.3, 887.9, 887.3, 887.3, 838
2016-09-30 10:27:00, 887.3, 888.95, 887.3, 888.95, 856
2016-09-30 10:28:00, 888.95, 888.95, 887.05, 887.05, 223
2016-09-30 10:29:00, 887.05, 888.8, 887.05, 887.95, 167
2016-09-30 10:30:00, 887.95, 888.8, 887.8, 888.2, 139
2016-09-30 10:31:00, 888.4, 888.85, 888, 888, 172
2016-09-30 10:32:00, 888, 889, 888, 889, 217
2016-09-30 10:33:00, 889, 889, 888.2, 888.8, 502
2016-09-30 10:34:00, 888.8, 888.8, 888.2, 888.2, 2
2016-09-30 10:35:00, 888.2, 888.6, 888.15, 888.6, 96
2016-09-30 10:36:00, 888.6, 888.8, 888.35, 888.8, 116
2016-09-30 10:37:00, 888.8, 888.8, 888.15, 888.15, 475
2016-09-30 10:38:00, 888.15, 888.65, 888.15, 888.2, 24
2016-09-30 10:39:00, 888.2, 890.7, 888.2, 890.05, 4335
2016-09-30 10:40:00, 890.05, 890.6, 890, 890.15, 457
2016-09-30 10:41:00, 890.15, 890.6, 890, 890.6, 202
2016-09-30 10:42:00, 890.6, 890.6, 890, 890.55, 507
2016-09-30 10:43:00, 890.55, 890.55, 890.1, 890.15, 155
2016-09-30 10:44:00, 890.15, 890.15, 889.9, 889.9, 2351
2016-09-30 10:45:00, 889.9, 890.05, 889.9, 890, 1900
2016-09-30 10:46:00, 890, 890.25, 889.55, 890, 2320
2016-09-30 10:47:00, 890, 890.35, 890, 890, 1183
2016-09-30 10:48:00, 890.45, 890.45, 890, 890, 326
2016-09-30 10:49:00, 890, 890, 889.9, 890, 616
2016-09-30 10:50:00, 890, 890.1, 889.9, 889.9, 1320
2016-09-30 10:51:00, 889.9, 890.75, 889.9, 890.15, 2475
2016-09-30 10:52:00, 890.55, 890.55, 890, 890.05, 686
2016-09-30 10:53:00, 890.05, 890.4, 890, 890, 72
2016-09-30 10:54:00, 890, 890, 890, 890, 3
2016-09-30 10:55:00, 890.45, 890.5, 890, 890.45, 648
2016-09-30 10:56:00, 890.45, 890.7, 889.9, 890.7, 901
2016-09-30 10:57:00, 890.7, 890.7, 890.2, 890.2, 262
2016-09-30 10:58:00, 890.2, 890.6, 890, 890, 302
2016-09-30 10:59:00, 890, 890.45, 890, 890, 62
2016-09-30 11:00:00, 890, 890.55, 890, 890, 281
2016-09-30 11:01:00, 890, 890.3, 890, 890.3, 122
2016-09-30 11:02:00, 890.3, 890.3, 890, 890, 6
2016-09-30 11:03:00, 890, 890, 889.9, 889.9, 1460
2016-09-30 11:04:00, 889.9, 889.95, 889.9, 889.9, 202
2016-09-30 11:05:00, 889.9, 890, 889.8, 890, 757
2016-09-30 11:06:00, 890, 890.1, 890, 890.05, 242
2016-09-30 11:07:00, 890.1, 890.3, 890, 890, 1020
2016-09-30 11:08:00, 890, 890, 889.9, 890, 958
2016-09-30 11:09:00, 890, 890.9, 889.95, 890.9, 9245
2016-09-30 11:10:00, 890.95, 891, 890.7, 890.7, 610
2016-09-30 11:11:00, 890.7, 890.7, 890.2, 890.2, 51
2016-09-30 11:12:00, 890.2, 890.7, 890.2, 890.7, 41
2016-09-30 11:13:00, 890.7, 890.7, 890.65, 890.65, 2
2016-09-30 11:14:00, 890.65, 890.7, 890.65, 890.7, 27
2016-09-30 11:15:00, 890.7, 890.7, 890.6, 890.6, 180
2016-09-30 11:16:00, 890.6, 890.7, 890.2, 890.4, 526
2016-09-30 11:17:00, 890.4, 890.7, 890.4, 890.45, 43
2016-09-30 11:18:00, 890.45, 890.45, 890.45, 890.45, 3
2016-09-30 11:19:00, 890.45, 890.45, 890.3, 890.3, 4
2016-09-30 11:20:00, 890.3, 890.65, 890.3, 890.35, 280
2016-09-30 11:21:00, 890.35, 890.4, 890, 890, 168
2016-09-30 11:22:00, 890, 890.6, 890, 890.1, 265
2016-09-30 11:23:00, 890.1, 890.3, 890.1, 890.3, 2
2016-09-30 11:24:00, 890.3, 890.65, 890.3, 890.65, 4
2016-09-30 11:25:00, 890.65, 890.7, 890.2, 890.25, 311
2016-09-30 11:26:00, 890.25, 890.25, 890, 890, 1046
2016-09-30 11:27:00, 890, 890.3, 890, 890.05, 130
2016-09-30 11:28:00, 890.05, 890.25, 890.05, 890.05, 191
2016-09-30 11:29:00, 890.05, 890.05, 890.05, 890.05, 33
2016-09-30 11:30:00, 890.05, 890.1, 890, 890, 431
2016-09-30 11:31:00, 890, 890.1, 890, 890.1, 125
2016-09-30 11:32:00, 890.1, 890.1, 890, 890, 14
2016-09-30 11:33:00, 890, 890.15, 888.45, 888.45, 1893
2016-09-30 11:34:00, 888.45, 888.45, 886.6, 886.6, 541
2016-09-30 11:35:00, 886.6, 886.6, 885, 885.6, 737
2016-09-30 11:36:00, 885.6, 886.8, 884.3, 886.8, 1334
