Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 368.7, 369, 366.05, 368.85, 12548
2016-09-30 09:16:00, 368.85, 369, 368.05, 368.6, 6397
2016-09-30 09:17:00, 368.65, 369.45, 368.05, 369, 16653
2016-09-30 09:18:00, 369.1, 370.6, 369, 370, 7168
2016-09-30 09:19:00, 370, 370.2, 369.4, 369.85, 4556
2016-09-30 09:20:00, 369.6, 369.7, 366.15, 366.3, 11177
2016-09-30 09:22:00, 368.9, 368.95, 366, 367.1, 2477
2016-09-30 09:21:00, 366.75, 369.55, 366.25, 369, 13746
2016-09-30 09:23:00, 367.4, 368.25, 366.75, 368, 4037
2016-09-30 09:24:00, 367.95, 367.95, 366.05, 367.1, 1054
2016-09-30 09:25:00, 366.8, 367.35, 366.7, 366.8, 1530
2016-09-30 09:27:00, 368.4, 368.9, 368.05, 368.4, 2123
2016-09-30 09:26:00, 366.9, 369, 366.8, 368.3, 4193
2016-09-30 09:28:00, 368.4, 369, 368.25, 368.25, 2243
2016-09-30 09:29:00, 368.25, 369.6, 368, 369, 2741
2016-09-30 09:30:00, 369.3, 370.65, 369.3, 369.6, 6127
2016-09-30 09:31:00, 369.75, 370, 368.2, 368.9, 666
2016-09-30 09:32:00, 369, 369.9, 368.6, 369, 5171
2016-09-30 09:33:00, 369, 369.7, 368.65, 369.5, 1812
2016-09-30 09:34:00, 369.5, 370, 369, 369.85, 12706
2016-09-30 09:35:00, 369.7, 370.15, 369.7, 369.95, 6092
2016-09-30 09:36:00, 369.95, 370.45, 369.85, 370.25, 7762
2016-09-30 09:37:00, 370.25, 370.3, 369.75, 370, 1900
2016-09-30 09:38:00, 370, 370.85, 370, 370.5, 2316
2016-09-30 09:39:00, 370.5, 370.5, 370.15, 370.2, 1478
2016-09-30 09:40:00, 370.2, 370.85, 370.2, 370.5, 548
2016-09-30 09:41:00, 370.5, 370.65, 370, 370.25, 3317
2016-09-30 09:42:00, 370.25, 370.5, 370.1, 370.2, 10891
2016-09-30 09:43:00, 370.2, 370.75, 370.1, 370.6, 3337
2016-09-30 09:44:00, 370.6, 371, 370.5, 370.8, 2056
2016-09-30 09:45:00, 370.8, 371, 370.1, 370.1, 2984
2016-09-30 09:46:00, 370.1, 370.3, 369.55, 369.65, 2074
2016-09-30 09:47:00, 369.9, 370.55, 369.9, 370, 281035
2016-09-30 09:48:00, 370, 370.25, 369.5, 370.15, 5429
2016-09-30 09:49:00, 370.15, 370.2, 369.35, 369.55, 930
2016-09-30 09:50:00, 369.55, 369.65, 369, 369, 1306
2016-09-30 09:51:00, 369, 369.4, 368.55, 368.55, 1662
2016-09-30 09:52:00, 368.5, 368.95, 367.1, 367.2, 5427
2016-09-30 09:53:00, 367.2, 368.35, 367.1, 367.25, 1123
2016-09-30 09:54:00, 367.25, 367.95, 366.8, 367.65, 5929
2016-09-30 09:55:00, 368.2, 369.5, 367.85, 368.7, 13340
2016-09-30 09:56:00, 368.5, 369, 367.6, 368.1, 3209
2016-09-30 09:57:00, 368.4, 368.8, 367.35, 367.85, 2666
2016-09-30 09:58:00, 368.05, 369, 368.05, 368.6, 2104
2016-09-30 09:59:00, 368.6, 369, 367.75, 368.5, 874
2016-09-30 10:00:00, 368.6, 368.8, 368.05, 368.3, 1144
2016-09-30 10:01:00, 367.9, 369, 367.55, 368.7, 3524
2016-09-30 10:02:00, 368.4, 368.9, 367.5, 367.95, 2123
2016-09-30 10:03:00, 367.95, 368.45, 367.3, 368.35, 2161
2016-09-30 10:04:00, 368.45, 368.85, 367.8, 368.5, 2412
2016-09-30 10:05:00, 368.8, 369.75, 368.5, 369.6, 2207
2016-09-30 10:06:00, 369.6, 369.95, 369.5, 369.55, 4030
2016-09-30 10:07:00, 369.65, 369.65, 369, 369, 1475
2016-09-30 10:08:00, 369, 369.2, 368.8, 369.1, 2282
2016-09-30 10:09:00, 369.4, 369.4, 368.3, 368.3, 4151
2016-09-30 10:10:00, 368.55, 368.7, 368.3, 368.4, 1361
2016-09-30 10:11:00, 368.75, 369.3, 368.3, 368.55, 1097
2016-09-30 10:12:00, 368.9, 369.25, 368.4, 369, 633
2016-09-30 10:13:00, 368.9, 369.4, 368.6, 368.7, 818
2016-09-30 10:14:00, 369, 369, 368.65, 368.65, 1134
2016-09-30 10:15:00, 368.95, 369, 368.65, 368.7, 1458
2016-09-30 10:16:00, 368.95, 369.4, 368.5, 369.35, 1765
2016-09-30 10:17:00, 369.3, 369.6, 369.05, 369.3, 6491
2016-09-30 10:18:00, 369.6, 370.3, 369.45, 370.25, 1739
2016-09-30 10:19:00, 370.25, 370.4, 369.9, 369.95, 1199
2016-09-30 10:20:00, 370.25, 370.25, 369.4, 369.9, 1316
2016-09-30 10:21:00, 370, 370.3, 369.5, 370.1, 2883
2016-09-30 10:22:00, 370.05, 370.3, 369.55, 370.3, 2719
2016-09-30 10:23:00, 370.3, 370.45, 369.95, 370.25, 1016
2016-09-30 10:24:00, 370.25, 372, 369.95, 371.5, 12819
2016-09-30 10:25:00, 371.25, 371.9, 371.25, 371.35, 3070
