Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 869.85, 888.35, 869.85, 888, 34453
2016-09-30 09:16:00, 888.1, 888.1, 879.45, 883, 36707
2016-09-30 09:17:00, 883.95, 887.05, 882.95, 885.45, 48492
2016-09-30 09:18:00, 885.4, 886, 882.5, 882.8, 17617
2016-09-30 09:19:00, 883.4, 883.4, 879.7, 879.85, 13675
2016-09-30 09:20:00, 879, 881.95, 874, 878, 33026
2016-09-30 09:21:00, 877.65, 877.65, 870, 874.05, 39595
2016-09-30 09:22:00, 874.45, 875, 872, 875, 15834
2016-09-30 09:23:00, 875, 878.05, 874.05, 877, 10620
2016-09-30 09:24:00, 876.55, 878.45, 876.55, 878.45, 10614
2016-09-30 09:26:00, 880.1, 882.5, 880, 882.5, 10413
2016-09-30 09:25:00, 878.35, 881.8, 878.35, 880, 15105
2016-09-30 09:27:00, 882.5, 886, 882.5, 885.65, 15974
2016-09-30 09:28:00, 884.9, 885.45, 883.15, 883.15, 14089
2016-09-30 09:29:00, 883.3, 883.4, 880.25, 881.5, 8069
2016-09-30 09:30:00, 881.5, 882.6, 880.05, 881.45, 8067
2016-09-30 09:31:00, 881.45, 883.5, 879.5, 880.45, 18815
2016-09-30 09:32:00, 880.45, 882.3, 880.45, 882.3, 5936
2016-09-30 09:33:00, 882.3, 884.05, 881.4, 884.05, 6779
2016-09-30 09:34:00, 884, 884.9, 883.05, 883.55, 4962
2016-09-30 09:35:00, 883.5, 884.3, 883.3, 883.55, 6930
2016-09-30 09:36:00, 883.6, 883.95, 883.2, 883.3, 3643
2016-09-30 09:37:00, 883.3, 883.95, 881.8, 882.7, 11328
2016-09-30 09:39:00, 880.6, 881.45, 880.05, 880.2, 4161
2016-09-30 09:38:00, 882.7, 883.35, 880.1, 880.5, 10816
2016-09-30 09:40:00, 880.9, 881, 879.4, 879.55, 8610
2016-09-30 09:41:00, 879.55, 880, 879.05, 879.65, 6655
2016-09-30 09:42:00, 879.65, 880, 879, 880, 4244
2016-09-30 09:43:00, 880, 880, 878.55, 879.55, 8361
2016-09-30 09:44:00, 879.55, 883, 879.55, 883, 5746
2016-09-30 09:45:00, 883, 883.5, 882, 882.75, 6287
2016-09-30 09:46:00, 882.7, 883.5, 881.9, 883, 2922
2016-09-30 09:47:00, 883.45, 884, 882.55, 883.45, 7712
2016-09-30 09:48:00, 883.05, 883.5, 882, 882.55, 3203
2016-09-30 09:49:00, 882.55, 883, 881.25, 882.25, 3930
2016-09-30 09:50:00, 882.25, 883, 881.25, 882.95, 10933
2016-09-30 09:51:00, 882.3, 882.95, 880.9, 881.15, 6911
2016-09-30 09:52:00, 881.4, 882.55, 880.3, 880.5, 2972
2016-09-30 09:53:00, 880.5, 881.25, 879, 879.1, 7254
2016-09-30 09:54:00, 878.75, 879.35, 877.55, 877.55, 3397
2016-09-30 09:55:00, 877.55, 879.9, 877.5, 878.45, 6307
2016-09-30 09:56:00, 879.2, 881, 878.05, 878.05, 6137
2016-09-30 09:57:00, 878.05, 879.8, 865, 868.5, 86746
2016-09-30 09:58:00, 868.3, 873.9, 863.05, 872.3, 65777
2016-09-30 09:59:00, 872.35, 872.35, 865.4, 867.5, 36875
2016-09-30 10:00:00, 866.85, 871.5, 866.85, 870.3, 14977
2016-09-30 10:01:00, 870.8, 870.8, 868.9, 870, 19867
2016-09-30 10:02:00, 870, 870, 863.3, 867.95, 77132
2016-09-30 10:03:00, 867.95, 869.25, 866, 869.25, 12843
2016-09-30 10:04:00, 869.25, 871, 867.4, 870.4, 24580
2016-09-30 10:05:00, 870.75, 873.45, 870.05, 873.3, 13755
2016-09-30 10:06:00, 873.7, 874.95, 872.85, 872.85, 19647
2016-09-30 10:07:00, 873, 873.2, 871.55, 871.9, 7956
2016-09-30 10:08:00, 871.2, 873.9, 870.7, 873.9, 5466
2016-09-30 10:09:00, 873.9, 874.15, 872.8, 873.2, 10810
2016-09-30 10:10:00, 873.45, 873.45, 869.2, 869.3, 9775
2016-09-30 10:11:00, 869.55, 870.4, 868, 868.5, 12075
2016-09-30 10:12:00, 868.5, 870.1, 868, 870, 10189
2016-09-30 10:13:00, 870, 870.4, 869.05, 869.75, 2012
2016-09-30 10:14:00, 869.75, 870.05, 869.3, 869.3, 2879
2016-09-30 10:15:00, 869.3, 871, 869.05, 869.05, 4660
2016-09-30 10:16:00, 868.95, 870, 868.5, 869.8, 4265
2016-09-30 10:17:00, 869.8, 870.35, 868.8, 868.95, 3291
2016-09-30 10:18:00, 868.95, 871, 868.95, 870.1, 2287
2016-09-30 10:19:00, 870.1, 872.6, 869, 872.5, 6850
2016-09-30 10:20:00, 872.7, 873, 871.3, 873, 6256
2016-09-30 10:21:00, 872.6, 874.4, 872.25, 874, 9085
2016-09-30 10:22:00, 874, 874.05, 873.1, 873.8, 3857
2016-09-30 10:23:00, 873.95, 874.95, 873.5, 874.55, 8247
2016-09-30 10:24:00, 874.4, 874.7, 873.05, 873.5, 5034
2016-09-30 10:25:00, 873.5, 874.2, 873, 874.2, 4061
2016-09-30 10:26:00, 874.45, 874.9, 874.1, 874.45, 2111
2016-09-30 10:27:00, 874.55, 879.45, 873.85, 876.35, 30744
2016-09-30 10:28:00, 875.95, 876.25, 874.1, 875, 5054
2016-09-30 10:29:00, 875, 875.5, 874.8, 875, 5128
2016-09-30 10:30:00, 875.7, 879.5, 874.6, 879.1, 13302
2016-09-30 10:31:00, 879.05, 880, 877.25, 880, 14098
2016-09-30 10:32:00, 879.95, 882, 879.45, 879.45, 32731
2016-09-30 10:33:00, 879.45, 879.9, 875.85, 878.6, 13311
2016-09-30 10:34:00, 878.6, 879.95, 878.4, 878.4, 3318
2016-09-30 10:35:00, 878.4, 880.5, 878, 880.5, 5981
2016-09-30 10:36:00, 880.55, 880.75, 878, 878, 6859
2016-09-30 10:37:00, 877.8, 877.95, 876.55, 876.55, 7299
2016-09-30 10:38:00, 877.3, 879.8, 877, 878.65, 4503
2016-09-30 10:39:00, 878.1, 879, 877.2, 877.2, 3513
2016-09-30 10:40:00, 877.2, 878.8, 877, 878.5, 1282
2016-09-30 10:41:00, 878.5, 878.75, 877.5, 878.5, 1207
2016-09-30 10:42:00, 878.5, 878.5, 877.8, 877.8, 1797
2016-09-30 10:43:00, 877.8, 878.3, 877, 877.3, 2749
2016-09-30 10:44:00, 877.3, 877.85, 876.5, 877.05, 1728
2016-09-30 10:45:00, 877.05, 879.9, 877.05, 877.5, 9316
2016-09-30 10:46:00, 877.5, 877.9, 876.55, 876.55, 2718
2016-09-30 10:47:00, 876.55, 877.6, 875.35, 877.55, 5134
2016-09-30 10:48:00, 877.55, 878, 876.25, 877.1, 2127
2016-09-30 10:49:00, 878.9, 878.9, 876.45, 877.05, 4051
2016-09-30 10:50:00, 877.05, 877.95, 876.35, 877.1, 3418
2016-09-30 10:51:00, 877.1, 877.65, 876, 876.2, 1753
2016-09-30 10:52:00, 876.2, 876.45, 875.3, 875.95, 2839
2016-09-30 10:53:00, 876, 877.65, 876, 876.5, 2166
2016-09-30 10:54:00, 876.5, 877.95, 876.5, 876.8, 3926
2016-09-30 10:55:00, 876.8, 877.45, 876.5, 877, 223
2016-09-30 10:56:00, 877, 877, 876.1, 876.3, 705
2016-09-30 10:57:00, 876.3, 876.3, 875.5, 875.8, 2015
2016-09-30 10:58:00, 875.8, 877, 875.5, 877, 916
2016-09-30 10:59:00, 877, 877.6, 877, 877.45, 1317
2016-09-30 11:00:00, 877.55, 877.55, 876.65, 877.55, 803
2016-09-30 11:01:00, 877.55, 877.75, 877, 877.75, 2478
2016-09-30 11:02:00, 877.75, 877.75, 876.05, 876.3, 2739
2016-09-30 11:03:00, 876.3, 877, 876.3, 876.95, 1023
