Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 546.4, 547, 542.05, 545.75, 10479
2016-09-30 09:16:00, 545.75, 545.85, 544.8, 545.6, 2964
2016-09-30 09:17:00, 546, 547.1, 545.2, 545.25, 5589
2016-09-30 09:18:00, 545.3, 545.3, 543.9, 544.75, 5103
2016-09-30 09:19:00, 545.1, 545.1, 543.25, 543.5, 6676
2016-09-30 09:20:00, 543.5, 543.5, 541.1, 541.1, 4773
2016-09-30 09:21:00, 541.15, 542.35, 540.55, 542, 7949
2016-09-30 09:22:00, 542, 543.4, 541, 543.35, 4419
2016-09-30 09:23:00, 544.35, 546, 543.65, 545, 14664
2016-09-30 09:24:00, 545, 545.15, 544.55, 545.15, 2013
2016-09-30 09:26:00, 545.7, 546.45, 545, 546.45, 1957
2016-09-30 09:25:00, 545.1, 547.95, 545.1, 545.75, 8020
2016-09-30 09:27:00, 546.45, 547.5, 546.35, 547.5, 3715
2016-09-30 09:28:00, 547.5, 548, 547, 547.5, 8310
2016-09-30 09:30:00, 547.3, 548.4, 546.95, 547.25, 9443
2016-09-30 09:31:00, 547.3, 547.95, 547.05, 547.95, 5395
2016-09-30 09:29:00, 547.3, 548.05, 546.55, 547.3, 10416
2016-09-30 09:32:00, 547.95, 548.3, 547.3, 547.6, 6502
2016-09-30 09:33:00, 547.6, 547.6, 546.9, 547.25, 2588
2016-09-30 09:34:00, 547.25, 548, 547.2, 548, 3598
2016-09-30 09:35:00, 548.1, 548.35, 548.1, 548.35, 2363
2016-09-30 09:36:00, 548.35, 550.4, 548.15, 550.2, 14464
2016-09-30 09:37:00, 550.2, 550.2, 548.2, 548.3, 4692
2016-09-30 09:38:00, 548.3, 549.5, 548.3, 549.1, 3941
2016-09-30 09:39:00, 549.1, 549.15, 548.15, 548.25, 5022
2016-09-30 09:40:00, 548.25, 548.95, 548.2, 548.4, 4833
2016-09-30 09:41:00, 548.4, 549.05, 548.35, 549.05, 1797
2016-09-30 09:42:00, 549.05, 550.95, 549.05, 550.95, 14923
2016-09-30 09:43:00, 550.9, 550.9, 549.95, 550.4, 8172
2016-09-30 09:44:00, 550.2, 550.85, 550.2, 550.85, 6025
2016-09-30 09:45:00, 550.85, 550.9, 550.4, 550.4, 8195
2016-09-30 09:46:00, 550.4, 550.8, 550.2, 550.5, 4711
2016-09-30 09:47:00, 550.5, 551.2, 550.45, 551.2, 4875
2016-09-30 09:48:00, 551.2, 551.8, 551.1, 551.4, 7869
2016-09-30 09:49:00, 551.4, 551.95, 551, 551, 7715
2016-09-30 09:50:00, 550.85, 550.9, 550.1, 550.2, 2957
2016-09-30 09:51:00, 550.2, 550.35, 549.55, 549.55, 11456
2016-09-30 09:52:00, 549.55, 550.5, 549.45, 549.95, 4757
2016-09-30 09:53:00, 549.65, 549.95, 549.4, 549.4, 2768
2016-09-30 09:54:00, 549.4, 549.55, 548.65, 548.65, 6400
2016-09-30 09:55:00, 549.25, 549.65, 548.7, 548.75, 5435
2016-09-30 09:56:00, 548.75, 549.35, 548.75, 549.35, 1146
2016-09-30 09:57:00, 549.35, 550, 549.25, 549.6, 3822
2016-09-30 09:58:00, 549.6, 550.5, 549.5, 550.4, 5016
2016-09-30 09:59:00, 550.4, 550.4, 549.5, 550.05, 4291
2016-09-30 10:00:00, 550.05, 550.05, 549.3, 549.45, 2587
2016-09-30 10:01:00, 549.4, 550, 548.9, 549.65, 6496
2016-09-30 10:02:00, 549.65, 550, 549.3, 549.3, 2620
2016-09-30 10:03:00, 549.3, 549.35, 548.7, 548.7, 3314
2016-09-30 10:04:00, 548.7, 549.45, 548.55, 549.45, 5009
2016-09-30 10:05:00, 549.45, 550.35, 549.1, 550.35, 3464
2016-09-30 10:06:00, 550.3, 550.75, 550.25, 550.6, 4106
2016-09-30 10:07:00, 550.6, 550.75, 550.25, 550.25, 3788
2016-09-30 10:08:00, 550.25, 550.25, 550, 550, 3401
2016-09-30 10:09:00, 550, 550.15, 549.9, 550.1, 1638
2016-09-30 10:10:00, 550, 550, 549.8, 549.9, 3134
2016-09-30 10:11:00, 549.85, 550.05, 549.6, 549.75, 13632
2016-09-30 10:12:00, 549.6, 549.7, 549.5, 549.5, 2282
2016-09-30 10:13:00, 549.5, 549.7, 549.4, 549.5, 3334
2016-09-30 10:14:00, 549.5, 549.6, 549.45, 549.6, 2061
2016-09-30 10:15:00, 549.6, 549.8, 549.5, 549.55, 3864
2016-09-30 10:16:00, 549.55, 549.85, 549.5, 549.8, 1704
2016-09-30 10:17:00, 549.95, 550.5, 549.5, 549.65, 5392
2016-09-30 10:18:00, 549.75, 550.25, 549.65, 550.25, 4059
2016-09-30 10:19:00, 550.25, 550.9, 550.2, 550.9, 3263
2016-09-30 10:20:00, 550.9, 550.9, 550.4, 550.4, 3686
2016-09-30 10:21:00, 550.4, 551, 550.4, 550.95, 6697
2016-09-30 10:22:00, 550.95, 553.5, 550.8, 553.5, 20717
2016-09-30 10:23:00, 553, 553, 551.55, 551.6, 5894
2016-09-30 10:24:00, 551.65, 552.35, 551.4, 552, 7493
2016-09-30 10:25:00, 552, 552.8, 551.85, 552.45, 4062
2016-09-30 10:26:00, 552.6, 552.95, 552.4, 552.5, 6505
2016-09-30 10:27:00, 552.5, 552.95, 552.4, 552.5, 5895
2016-09-30 10:28:00, 552.7, 552.7, 551.8, 552.25, 4184
2016-09-30 10:29:00, 552.25, 552.35, 551.6, 551.95, 3362
2016-09-30 10:30:00, 551.8, 552.3, 551, 551.4, 95664
2016-09-30 10:31:00, 551.2, 551.35, 550.6, 550.65, 7732
2016-09-30 10:32:00, 550.65, 550.9, 549.9, 550, 3883
2016-09-30 10:33:00, 550, 550.25, 549.65, 549.9, 3823
2016-09-30 10:34:00, 549.9, 550, 549.7, 550, 3090
2016-09-30 10:35:00, 550, 551.1, 549.95, 551.1, 3525
2016-09-30 10:36:00, 551.25, 551.25, 550.6, 551.15, 1803
2016-09-30 10:37:00, 551.15, 551.5, 551, 551.3, 1807
2016-09-30 10:38:00, 551.3, 551.5, 550.9, 551.2, 3547
2016-09-30 10:39:00, 551.2, 551.2, 550.45, 550.85, 4835
2016-09-30 10:40:00, 550.85, 551.5, 550.65, 551.4, 4235
2016-09-30 10:41:00, 551.45, 551.55, 551, 551.2, 3468
2016-09-30 10:42:00, 551.2, 551.65, 551.2, 551.6, 2854
2016-09-30 10:43:00, 551.6, 551.6, 551.25, 551.6, 880
2016-09-30 10:44:00, 551.6, 551.75, 551.45, 551.45, 2933
2016-09-30 10:45:00, 551.45, 551.45, 551, 551.05, 2070
2016-09-30 10:46:00, 551, 551, 550.05, 550.45, 5692
2016-09-30 10:47:00, 550.4, 550.75, 550.2, 550.75, 2364
2016-09-30 10:48:00, 550.75, 550.75, 550.2, 550.25, 1738
2016-09-30 10:49:00, 550.25, 550.4, 550.25, 550.3, 4929
2016-09-30 10:50:00, 550.25, 550.35, 550.25, 550.35, 2377
2016-09-30 10:51:00, 550.35, 550.4, 549.85, 549.85, 4416
2016-09-30 10:52:00, 549.85, 550, 549.8, 550, 1944
2016-09-30 10:53:00, 550, 551.45, 550, 551.05, 1946
2016-09-30 10:54:00, 551.05, 551.9, 551.05, 551.85, 3078
2016-09-30 10:55:00, 551.85, 552, 551.2, 551.65, 11978
2016-09-30 10:56:00, 551.65, 551.65, 551.4, 551.6, 527
2016-09-30 10:57:00, 551.6, 551.85, 551.6, 551.85, 3035
2016-09-30 10:58:00, 551.75, 551.75, 551.45, 551.65, 1371
2016-09-30 10:59:00, 551.65, 551.65, 551.15, 551.15, 2000
2016-09-30 11:00:00, 551.15, 551.3, 550.9, 550.95, 2151
2016-09-30 11:01:00, 550.95, 550.95, 550.75, 550.85, 1490
2016-09-30 11:02:00, 550.85, 551, 550.8, 551, 1609
2016-09-30 11:03:00, 551, 551.3, 550.9, 551.3, 1900
2016-09-30 11:04:00, 551.3, 551.4, 550.95, 551.4, 895
2016-09-30 11:05:00, 551.4, 551.6, 551.35, 551.4, 2176
2016-09-30 11:06:00, 551.4, 551.8, 551.4, 551.8, 2400
2016-09-30 11:07:00, 551.8, 551.8, 551.2, 551.5, 2217
2016-09-30 11:08:00, 551.5, 551.5, 551.25, 551.3, 1638
2016-09-30 11:09:00, 551.3, 551.35, 551.3, 551.35, 1668
2016-09-30 11:10:00, 551.35, 551.35, 550.8, 551, 3065
2016-09-30 11:11:00, 551, 551.15, 550.9, 551.15, 558
2016-09-30 11:12:00, 551.15, 551.45, 551.05, 551.05, 2945
2016-09-30 11:13:00, 551.05, 551.05, 550.25, 550.35, 4748
2016-09-30 11:14:00, 550.35, 551.55, 550.35, 551.55, 2631
2016-09-30 11:15:00, 551.55, 551.85, 551.15, 551.55, 7281
2016-09-30 11:16:00, 551.6, 551.6, 550.85, 551, 3419
2016-09-30 11:17:00, 551, 551, 549.9, 549.95, 6762
2016-09-30 11:18:00, 549.95, 550.9, 549.9, 550.9, 2531
2016-09-30 11:19:00, 550.9, 551.2, 550.1, 551.2, 10600
2016-09-30 11:20:00, 551.2, 551.2, 550.25, 550.35, 3317
2016-09-30 11:21:00, 550.35, 550.8, 550, 550.7, 5171
2016-09-30 11:22:00, 550.7, 550.7, 550.1, 550.4, 1558
2016-09-30 11:23:00, 550.4, 550.4, 549.8, 549.8, 3600
2016-09-30 11:24:00, 549.8, 550, 549.65, 550, 2225
2016-09-30 11:25:00, 550, 550.25, 549.9, 550.1, 204300
2016-09-30 11:26:00, 550.1, 550.55, 550.1, 550.55, 3939
2016-09-30 11:27:00, 550.55, 550.6, 550, 550.2, 2084
2016-09-30 11:28:00, 550.2, 550.3, 550.1, 550.25, 865
2016-09-30 11:29:00, 550.25, 550.9, 550.25, 550.9, 695
2016-09-30 11:30:00, 550.9, 551, 550.75, 550.95, 2989
2016-09-30 11:31:00, 550.9, 550.95, 550.4, 550.4, 3642
2016-09-30 11:32:00, 550.4, 551.3, 550.4, 551.3, 1763
2016-09-30 11:33:00, 551.2, 551.35, 551.2, 551.3, 2349
2016-09-30 11:34:00, 551.3, 551.5, 550.85, 550.9, 2350
2016-09-30 11:35:00, 550.9, 551.15, 550.35, 550.35, 3159
2016-09-30 11:36:00, 550.35, 550.9, 550.15, 550.8, 2188
2016-09-30 11:37:00, 550.8, 551.3, 550.8, 551.05, 2066
2016-09-30 11:38:00, 551.05, 551.4, 551.05, 551.4, 2408
2016-09-30 11:39:00, 551.4, 551.5, 551.4, 551.45, 689
2016-09-30 11:40:00, 551.55, 551.8, 551.35, 551.35, 3054
2016-09-30 11:41:00, 551.35, 551.7, 551.3, 551.3, 2539
2016-09-30 11:42:00, 551.3, 551.65, 551.25, 551.6, 1327
2016-09-30 11:43:00, 551.45, 551.65, 551.45, 551.5, 3122
2016-09-30 11:44:00, 551.15, 551.45, 551.1, 551.1, 1723
2016-09-30 11:45:00, 551.1, 551.2, 551, 551, 894
2016-09-30 11:46:00, 551.05, 551.2, 550.75, 550.75, 2657
2016-09-30 11:47:00, 550.75, 550.9, 550.75, 550.75, 1667
2016-09-30 11:48:00, 550.75, 550.9, 550.5, 550.55, 1942
2016-09-30 11:49:00, 550.55, 551.1, 550.55, 551.1, 4505
2016-09-30 11:50:00, 551.1, 551.2, 551, 551.15, 3441
2016-09-30 11:51:00, 551.15, 551.2, 550.85, 550.85, 1443
2016-09-30 11:52:00, 550.85, 551.2, 550.85, 551.15, 1288
2016-09-30 11:53:00, 551.15, 551.25, 550.85, 550.9, 3480
2016-09-30 11:54:00, 550.9, 551.05, 550.8, 550.9, 880
2016-09-30 11:55:00, 550.9, 551.4, 550.9, 551.35, 920
2016-09-30 11:56:00, 551.35, 551.4, 550.8, 551, 2316
2016-09-30 11:57:00, 551, 551.4, 551, 551.25, 1490
2016-09-30 11:58:00, 551.25, 551.65, 551.25, 551.4, 2240
2016-09-30 11:59:00, 551.4, 551.9, 551.4, 551.85, 1798
2016-09-30 12:00:00, 551.85, 551.95, 551.25, 551.55, 5196
2016-09-30 12:01:00, 551.9, 551.9, 551.2, 551.2, 2673
2016-09-30 12:02:00, 551.15, 551.5, 551.15, 551.4, 1752
2016-09-30 12:03:00, 551.4, 551.5, 551.05, 551.4, 4415
2016-09-30 12:04:00, 551.4, 551.45, 551, 551.05, 1261
2016-09-30 12:05:00, 551.05, 551.15, 551.05, 551.05, 2793
2016-09-30 12:06:00, 551, 551.1, 550.65, 550.65, 1966
2016-09-30 12:07:00, 550.65, 550.7, 550.45, 550.45, 2232
2016-09-30 12:08:00, 550.45, 550.5, 550, 550, 4514
2016-09-30 12:09:00, 550, 550.15, 550, 550.05, 2988
2016-09-30 12:10:00, 550.05, 550.15, 547.65, 547.65, 11883
2016-09-30 12:11:00, 547.55, 547.95, 547.1, 547.95, 15028
2016-09-30 12:12:00, 547.95, 547.95, 547.1, 547.55, 2867
2016-09-30 12:13:00, 547.55, 548.2, 547.55, 547.8, 1958
2016-09-30 12:14:00, 547.8, 547.9, 547.55, 547.75, 1696
2016-09-30 12:15:00, 547.75, 547.85, 547.25, 547.25, 6565
2016-09-30 12:16:00, 547.25, 547.6, 547.1, 547.25, 3256
2016-09-30 12:17:00, 547.25, 547.65, 547.25, 547.5, 1414
2016-09-30 12:18:00, 547.5, 547.9, 547.15, 547.75, 1092
2016-09-30 12:19:00, 547.75, 548.4, 547.6, 547.6, 4038
2016-09-30 12:20:00, 547.7, 548.25, 547.5, 547.5, 2775
2016-09-30 12:21:00, 547.5, 547.55, 547.2, 547.4, 1441
2016-09-30 12:22:00, 547.4, 547.5, 547.25, 547.25, 2574
2016-09-30 12:23:00, 547.25, 548.3, 547.25, 547.65, 5902
2016-09-30 12:24:00, 547.6, 548, 547.6, 547.95, 2354
2016-09-30 12:25:00, 547.95, 548.5, 547.95, 548.1, 1631
2016-09-30 12:26:00, 548.1, 548.4, 547.75, 547.75, 3094
2016-09-30 12:27:00, 547.75, 547.9, 547.75, 547.85, 1605
2016-09-30 12:28:00, 547.85, 547.85, 547.5, 547.55, 2854
2016-09-30 12:29:00, 547.55, 547.6, 547, 547.05, 4447
2016-09-30 12:30:00, 547.05, 547.05, 545.55, 545.55, 5847
2016-09-30 12:31:00, 545.75, 547, 545.75, 546.5, 3351
2016-09-30 12:32:00, 546.5, 546.85, 545.85, 545.85, 3286
2016-09-30 12:33:00, 545.85, 546.2, 545.85, 546, 3056
2016-09-30 12:34:00, 545.9, 546.45, 545.85, 546, 2024
2016-09-30 12:35:00, 546, 547.5, 546, 547.5, 1719
2016-09-30 12:36:00, 547.2, 547.5, 546.5, 546.5, 5301
2016-09-30 12:37:00, 546.8, 547.3, 546, 546.8, 2380
2016-09-30 12:38:00, 546.8, 547.15, 546.25, 546.35, 3008
2016-09-30 12:39:00, 546.35, 547.05, 546.05, 546.75, 2082
2016-09-30 12:40:00, 546.75, 547.4, 546.75, 547.25, 1868
2016-09-30 12:41:00, 547.25, 547.3, 546.75, 546.85, 2799
2016-09-30 12:42:00, 546.85, 546.85, 546.5, 546.5, 3480
2016-09-30 12:43:00, 546.5, 546.55, 546.5, 546.55, 3480
2016-09-30 12:44:00, 546.55, 546.6, 546.55, 546.6, 1287
2016-09-30 12:45:00, 546.6, 546.65, 546.5, 546.6, 2729
2016-09-30 12:46:00, 546.6, 547.65, 546.6, 547.3, 2078
2016-09-30 12:47:00, 547.3, 548.3, 547.3, 547.85, 3737
2016-09-30 12:48:00, 547.85, 547.85, 547.5, 547.65, 1481
2016-09-30 12:49:00, 547.65, 547.7, 547.6, 547.6, 2117
2016-09-30 12:50:00, 547.65, 547.65, 546.4, 546.4, 5157
2016-09-30 12:51:00, 546.4, 546.65, 546.25, 546.25, 3204
2016-09-30 12:52:00, 546.25, 547.7, 546.25, 547.4, 852
2016-09-30 12:53:00, 547.4, 547.6, 547.4, 547.55, 2280
2016-09-30 12:54:00, 547.55, 547.6, 546.2, 546.3, 5429
2016-09-30 12:55:00, 546.3, 547.05, 546.3, 546.5, 8820
2016-09-30 12:56:00, 546.5, 547.05, 546.5, 546.85, 1148
2016-09-30 12:57:00, 546.85, 547.15, 546.8, 547.05, 3282
2016-09-30 12:58:00, 547.05, 547.6, 547, 547.6, 3220
2016-09-30 12:59:00, 547.4, 547.75, 547.4, 547.7, 736
2016-09-30 13:00:00, 547.7, 548.05, 547.7, 548, 2193
2016-09-30 13:01:00, 548, 548.6, 548, 548.6, 2295
2016-09-30 13:02:00, 548.6, 548.6, 547.05, 547.3, 1379
2016-09-30 13:03:00, 547.3, 547.3, 546.5, 546.95, 5362
2016-09-30 13:04:00, 546.95, 546.95, 546, 546.5, 5977
2016-09-30 13:05:00, 546.5, 547.05, 546.15, 546.15, 5666
2016-09-30 13:06:00, 546.1, 546.4, 546.1, 546.2, 1937
2016-09-30 13:07:00, 546.2, 546.4, 546.2, 546.35, 3718
2016-09-30 13:08:00, 546.35, 547, 546.35, 546.65, 885
2016-09-30 13:09:00, 546.65, 547.05, 546.25, 546.4, 2072
2016-09-30 13:10:00, 546.4, 546.4, 546.1, 546.25, 2109
2016-09-30 13:11:00, 546.25, 546.65, 546.2, 546.65, 1921
2016-09-30 13:12:00, 546.65, 547.4, 546.55, 547.4, 1266
2016-09-30 13:13:00, 547.4, 547.95, 547.4, 547.95, 2828
2016-09-30 13:14:00, 547.95, 548.75, 547.7, 548.75, 1155
2016-09-30 13:15:00, 548.75, 549.35, 548.5, 549.25, 3074
2016-09-30 13:16:00, 549.25, 549.8, 548.95, 549.75, 4762
2016-09-30 13:17:00, 549.75, 550.2, 549.6, 550.2, 3208
2016-09-30 13:18:00, 550.2, 550.3, 549.75, 550.2, 2437
2016-09-30 13:19:00, 550.15, 550.65, 549.75, 549.9, 4296
2016-09-30 13:20:00, 549.9, 549.95, 549.65, 549.65, 1909
2016-09-30 13:21:00, 549.65, 549.75, 548.4, 548.4, 4962
2016-09-30 13:22:00, 548.2, 548.9, 548.1, 548.35, 12645
