Code,Date,Open,High,Low,Close,Volume
ABIRLANUVO,2016-08-16 09:15:00, 1297, 1297, 1274.4, 1284.75, 43721
ABIRLANUVO,2016-08-16 09:16:00, 1284.75, 1289.95, 1275.3, 1277.85, 42274
ABIRLANUVO,2016-08-16 09:17:00, 1277.75, 1281.1, 1269.45, 1271, 36827
ABIRLANUVO,2016-08-16 09:18:00, 1271.65, 1277.35, 1268.45, 1268.45, 19399
ABIRLANUVO,2016-08-16 09:19:00, 1268.5, 1269.8, 1262.3, 1266.55, 15340
ABIRLANUVO,2016-08-16 09:20:00, 1267.35, 1270, 1263.4, 1263.4, 11707
ABIRLANUVO,2016-08-16 09:21:00, 1263.75, 1277.25, 1263.75, 1275, 13336
ABIRLANUVO,2016-08-16 09:22:00, 1274.2, 1279.75, 1274, 1279.75, 14147
ABIRLANUVO,2016-08-16 09:23:00, 1279.75, 1279.75, 1272, 1272.75, 11700
ABIRLANUVO,2016-08-16 09:24:00, 1273.8, 1274, 1269, 1273.95, 10712
ABIRLANUVO,2016-08-16 09:25:00, 1273.9, 1277.35, 1271.1, 1273.9, 9492
ABIRLANUVO,2016-08-16 09:26:00, 1271.4, 1275, 1270.05, 1274.95, 8803
ABIRLANUVO,2016-08-16 09:28:00, 1276, 1276, 1273.25, 1276, 8128
ABIRLANUVO,2016-08-16 09:27:00, 1274.85, 1276.5, 1273.55, 1276, 4592
ABIRLANUVO,2016-08-16 09:29:00, 1275.65, 1277.75, 1275, 1277, 6530
ABIRLANUVO,2016-08-16 09:30:00, 1277, 1277.9, 1275.35, 1275.95, 7402
ABIRLANUVO,2016-08-16 09:31:00, 1275.7, 1278, 1275.35, 1277, 3298
ABIRLANUVO,2016-08-16 09:33:00, 1276.95, 1276.95, 1275.15, 1275.15, 5435
ABIRLANUVO,2016-08-16 09:32:00, 1277.05, 1277.35, 1275.75, 1276.95, 1617
ABIRLANUVO,2016-08-16 09:34:00, 1275, 1275.35, 1274.2, 1274.25, 5646
ABIRLANUVO,2016-08-16 09:35:00, 1274.5, 1275.95, 1274.2, 1275, 4049
ABIRLANUVO,2016-08-16 09:36:00, 1274.85, 1277.75, 1274.5, 1276.65, 3731
ABIRLANUVO,2016-08-16 09:37:00, 1276.65, 1276.95, 1275.55, 1276.4, 4148
ABIRLANUVO,2016-08-16 09:38:00, 1275.55, 1278.8, 1275.5, 1277, 12553
ABIRLANUVO,2016-08-16 09:39:00, 1277, 1277, 1275.5, 1276.25, 1929
ABIRLANUVO,2016-08-16 09:40:00, 1276.25, 1276.85, 1274.5, 1274.55, 2407
ABIRLANUVO,2016-08-16 09:41:00, 1275.3, 1275.3, 1274.1, 1274.5, 2762
ABIRLANUVO,2016-08-16 09:42:00, 1274.5, 1276.15, 1274.5, 1275.8, 1380
ABIRLANUVO,2016-08-16 09:43:00, 1275.8, 1276, 1270.8, 1271.05, 13241
ABIRLANUVO,2016-08-16 09:44:00, 1271.05, 1272.8, 1270.05, 1271.7, 3500
ABIRLANUVO,2016-08-16 09:45:00, 1271.7, 1272.3, 1270.5, 1272.1, 6249
ABIRLANUVO,2016-08-16 09:46:00, 1272.1, 1273.55, 1271.25, 1272.95, 3215
ABIRLANUVO,2016-08-16 09:47:00, 1272.95, 1272.95, 1270.8, 1270.8, 2539
ABIRLANUVO,2016-08-16 09:48:00, 1271.1, 1271.5, 1267.65, 1267.65, 24579
ABIRLANUVO,2016-08-16 09:49:00, 1268, 1269.55, 1267, 1268.15, 6711
ABIRLANUVO,2016-08-16 09:50:00, 1268.15, 1269.2, 1266.8, 1266.8, 4429
ABIRLANUVO,2016-08-16 09:51:00, 1266.95, 1267.1, 1264.45, 1264.45, 8579
ABIRLANUVO,2016-08-16 09:52:00, 1264.45, 1264.75, 1253.25, 1256.85, 74600
ABIRLANUVO,2016-08-16 09:53:00, 1255.8, 1260.3, 1255.8, 1260, 16656
ABIRLANUVO,2016-08-16 09:54:00, 1259.1, 1261.9, 1256.15, 1261.9, 14625
ABIRLANUVO,2016-08-16 09:55:00, 1261, 1262, 1258.85, 1259, 40953
ABIRLANUVO,2016-08-16 09:56:00, 1260, 1261.3, 1257.5, 1259.55, 22568
ABIRLANUVO,2016-08-16 09:57:00, 1259.55, 1260.7, 1258, 1259.2, 2943
ABIRLANUVO,2016-08-16 09:58:00, 1259.15, 1259.45, 1257, 1257.9, 5858
ABIRLANUVO,2016-08-16 09:59:00, 1257, 1258.65, 1257, 1258.65, 5083
ABIRLANUVO,2016-08-16 10:00:00, 1258.2, 1259, 1257.1, 1258.35, 2872
ABIRLANUVO,2016-08-16 10:01:00, 1257.15, 1261.15, 1257.15, 1261.15, 5540
ABIRLANUVO,2016-08-16 10:02:00, 1261, 1266.4, 1261, 1262.1, 20542
ABIRLANUVO,2016-08-16 10:03:00, 1262.1, 1264, 1261.35, 1263, 3979
ABIRLANUVO,2016-08-16 10:04:00, 1263.45, 1264, 1262, 1262, 3524
ABIRLANUVO,2016-08-16 10:05:00, 1262, 1262.8, 1261.1, 1262, 2809
ABIRLANUVO,2016-08-16 10:06:00, 1261.3, 1264.05, 1260.65, 1263.45, 5484
ABIRLANUVO,2016-08-16 10:07:00, 1263.5, 1264, 1263, 1263.75, 3939
ABIRLANUVO,2016-08-16 10:08:00, 1263.75, 1266, 1263.15, 1263.5, 4909
ABIRLANUVO,2016-08-16 10:09:00, 1264.5, 1264.7, 1263, 1263.8, 1996
ABIRLANUVO,2016-08-16 10:10:00, 1263, 1266.9, 1262.95, 1265, 11042
ABIRLANUVO,2016-08-16 10:11:00, 1265, 1265.1, 1263.5, 1264.2, 2195
ABIRLANUVO,2016-08-16 10:12:00, 1264.2, 1264.2, 1260.1, 1260.25, 5210
ABIRLANUVO,2016-08-16 10:13:00, 1260.3, 1262.75, 1260.1, 1261.25, 5311
ABIRLANUVO,2016-08-16 10:14:00, 1261.75, 1262.85, 1261.5, 1261.75, 2005
ABIRLANUVO,2016-08-16 10:15:00, 1261.75, 1262.5, 1261.2, 1261.6, 2238
ABIRLANUVO,2016-08-16 10:16:00, 1261.6, 1262.25, 1260.75, 1261, 2891
ABIRLANUVO,2016-08-16 10:17:00, 1260.75, 1261, 1260, 1260.1, 3091
ABIRLANUVO,2016-08-16 10:18:00, 1260.1, 1260.55, 1256.8, 1257.2, 10294
ABIRLANUVO,2016-08-16 10:19:00, 1257.3, 1257.5, 1256, 1256, 6389
ABIRLANUVO,2016-08-16 10:20:00, 1256, 1257.4, 1255.7, 1257, 4636
ABIRLANUVO,2016-08-16 10:21:00, 1257, 1258.1, 1256.5, 1258, 3936
ABIRLANUVO,2016-08-16 10:22:00, 1258, 1258.2, 1256.55, 1257.2, 3997
ABIRLANUVO,2016-08-16 10:23:00, 1257.2, 1260, 1257.2, 1257.55, 2691
ABIRLANUVO,2016-08-16 10:24:00, 1257.55, 1258.4, 1255.25, 1255.25, 2145
ABIRLANUVO,2016-08-16 10:25:00, 1255, 1256.1, 1245.5, 1249.65, 62261
ABIRLANUVO,2016-08-16 10:26:00, 1248.5, 1250, 1246.7, 1248.45, 10796
ABIRLANUVO,2016-08-16 10:27:00, 1249, 1249, 1242.55, 1248.35, 20042
ABIRLANUVO,2016-08-16 10:28:00, 1248.35, 1249.8, 1247.1, 1248, 10261
ABIRLANUVO,2016-08-16 10:29:00, 1248, 1249, 1241.45, 1243.1, 14269
ABIRLANUVO,2016-08-16 10:30:00, 1243.35, 1246.75, 1242.25, 1245.4, 24231
ABIRLANUVO,2016-08-16 10:31:00, 1245.4, 1248.05, 1245.15, 1247.8, 4189
ABIRLANUVO,2016-08-16 10:32:00, 1247.75, 1247.75, 1245.25, 1247.75, 5615
ABIRLANUVO,2016-08-16 10:33:00, 1247.75, 1250, 1246.45, 1248.6, 14401
ABIRLANUVO,2016-08-16 10:34:00, 1248, 1249.25, 1247.95, 1248.5, 5125
ABIRLANUVO,2016-08-16 10:35:00, 1248.5, 1249.45, 1248, 1248.05, 3323
ABIRLANUVO,2016-08-16 10:36:00, 1248.05, 1248.95, 1247.7, 1248.95, 7032
ABIRLANUVO,2016-08-16 10:37:00, 1247.95, 1248.25, 1247.1, 1247.25, 3916
ABIRLANUVO,2016-08-16 10:38:00, 1247.45, 1248.5, 1247, 1248.5, 4821
ABIRLANUVO,2016-08-16 10:39:00, 1248.5, 1249, 1247.9, 1247.9, 5956
ABIRLANUVO,2016-08-16 10:40:00, 1247.9, 1247.9, 1244.25, 1244.25, 11509
ABIRLANUVO,2016-08-16 10:41:00, 1244.6, 1244.6, 1241.45, 1242.15, 18044
ABIRLANUVO,2016-08-16 10:42:00, 1242.5, 1247.45, 1242.5, 1243.5, 19989
ABIRLANUVO,2016-08-16 10:43:00, 1243.55, 1247.8, 1243.1, 1247.8, 6418
ABIRLANUVO,2016-08-16 10:44:00, 1247, 1247, 1244.6, 1244.95, 5839
ABIRLANUVO,2016-08-16 10:45:00, 1244.6, 1245.45, 1243, 1245, 6403
ABIRLANUVO,2016-08-16 10:46:00, 1245, 1245, 1240.1, 1240.1, 19923
ABIRLANUVO,2016-08-16 10:47:00, 1240.15, 1241.55, 1225.55, 1231.35, 56617
ABIRLANUVO,2016-08-16 10:48:00, 1231.95, 1233.5, 1229.4, 1233.5, 19129
ABIRLANUVO,2016-08-16 10:49:00, 1233.4, 1233.8, 1229.05, 1230.25, 20960
ABIRLANUVO,2016-08-16 10:50:00, 1231, 1232.4, 1226.35, 1228.75, 30869
ABIRLANUVO,2016-08-16 10:51:00, 1227.95, 1227.95, 1223.2, 1225.5, 37626
ABIRLANUVO,2016-08-16 10:52:00, 1226.2, 1228.5, 1224.65, 1224.65, 19247
ABIRLANUVO,2016-08-16 10:53:00, 1225.05, 1226, 1221, 1221.65, 22158
ABIRLANUVO,2016-08-16 10:54:00, 1221.6, 1224.05, 1215.55, 1218, 55314
ABIRLANUVO,2016-08-16 10:55:00, 1214.55, 1215.15, 1210.1, 1214, 62401
ABIRLANUVO,2016-08-16 10:56:00, 1213.7, 1218.2, 1213.3, 1216.5, 20875
ABIRLANUVO,2016-08-16 10:57:00, 1215.9, 1219.45, 1214.05, 1216, 26132
ABIRLANUVO,2016-08-16 10:58:00, 1216, 1219, 1216, 1217.6, 11550
ABIRLANUVO,2016-08-16 10:59:00, 1217.3, 1222.45, 1217, 1220.15, 17231
ABIRLANUVO,2016-08-16 11:00:00, 1220.1, 1220.1, 1218, 1218.15, 11234
ABIRLANUVO,2016-08-16 11:01:00, 1218.15, 1218.6, 1215.45, 1215.6, 11554
ABIRLANUVO,2016-08-16 11:02:00, 1216, 1216, 1211, 1211, 17599
ABIRLANUVO,2016-08-16 11:03:00, 1211.35, 1211.75, 1206.7, 1211, 33688
ABIRLANUVO,2016-08-16 11:04:00, 1211, 1216.7, 1210.4, 1215.6, 23308
ABIRLANUVO,2016-08-16 11:05:00, 1215.3, 1216.65, 1214.5, 1216.2, 16120
ABIRLANUVO,2016-08-16 11:06:00, 1216, 1220, 1215.75, 1220, 15379
