Code,Date,Open,High,Low,Close,Volume
ADANIENT,2016-08-16 09:15:00, 75.1, 75.2, 75.1, 75.1, 16618
ADANIENT,2016-08-16 09:16:00, 75, 75, 74.65, 74.85, 28084
ADANIENT,2016-08-16 09:17:00, 74.85, 75.2, 74.85, 75.05, 21977
ADANIENT,2016-08-16 09:18:00, 75.1, 75.25, 75.1, 75.15, 16998
ADANIENT,2016-08-16 09:19:00, 75.25, 75.25, 74.9, 75.05, 29649
ADANIENT,2016-08-16 09:20:00, 75.05, 75.15, 75.05, 75.1, 8290
ADANIENT,2016-08-16 09:21:00, 75.2, 75.25, 75, 75.1, 8231
ADANIENT,2016-08-16 09:22:00, 75, 75.2, 74.9, 75, 27184
ADANIENT,2016-08-16 09:23:00, 75, 75, 74.85, 74.9, 7321
ADANIENT,2016-08-16 09:24:00, 74.9, 74.95, 74.85, 74.85, 6633
ADANIENT,2016-08-16 09:25:00, 74.85, 74.95, 74.25, 74.25, 66567
ADANIENT,2016-08-16 09:26:00, 74.25, 74.6, 74.25, 74.6, 51466
ADANIENT,2016-08-16 09:27:00, 74.6, 74.7, 74.45, 74.55, 14723
ADANIENT,2016-08-16 09:28:00, 74.6, 74.6, 74.4, 74.4, 23631
ADANIENT,2016-08-16 09:29:00, 74.45, 74.55, 74.4, 74.5, 12404
ADANIENT,2016-08-16 09:30:00, 74.5, 74.55, 74.45, 74.5, 12446
ADANIENT,2016-08-16 09:31:00, 74.5, 74.75, 74.5, 74.75, 14323
ADANIENT,2016-08-16 09:32:00, 74.65, 74.8, 74.55, 74.65, 18351
ADANIENT,2016-08-16 09:33:00, 74.55, 74.65, 74.5, 74.5, 3458
ADANIENT,2016-08-16 09:34:00, 74.5, 74.75, 74.4, 74.65, 26933
ADANIENT,2016-08-16 09:35:00, 74.65, 74.75, 74.55, 74.7, 5295
ADANIENT,2016-08-16 09:36:00, 74.65, 74.7, 74.6, 74.6, 6772
ADANIENT,2016-08-16 09:37:00, 74.7, 74.75, 74.6, 74.65, 4470
ADANIENT,2016-08-16 09:38:00, 74.75, 74.8, 74.65, 74.75, 17490
ADANIENT,2016-08-16 09:39:00, 74.65, 74.85, 74.65, 74.8, 3525
ADANIENT,2016-08-16 09:40:00, 74.8, 74.95, 74.75, 74.85, 4418
ADANIENT,2016-08-16 09:41:00, 74.85, 74.85, 74.65, 74.7, 35466
ADANIENT,2016-08-16 09:42:00, 74.7, 74.85, 74.7, 74.8, 4819
ADANIENT,2016-08-16 09:43:00, 74.8, 75, 74.75, 74.95, 20089
ADANIENT,2016-08-16 09:44:00, 74.95, 74.95, 74.8, 74.95, 1843
ADANIENT,2016-08-16 09:45:00, 74.95, 75, 74.85, 75, 6245
ADANIENT,2016-08-16 09:46:00, 74.9, 75.65, 74.9, 75.25, 99210
ADANIENT,2016-08-16 09:47:00, 75.25, 75.45, 75.25, 75.4, 16658
ADANIENT,2016-08-16 09:48:00, 75.35, 75.45, 75.3, 75.3, 8432
ADANIENT,2016-08-16 09:49:00, 75.3, 75.4, 75.25, 75.3, 15229
ADANIENT,2016-08-16 09:50:00, 75.35, 75.35, 75.1, 75.15, 13678
ADANIENT,2016-08-16 09:51:00, 75.2, 75.25, 75.1, 75.15, 2978
ADANIENT,2016-08-16 09:52:00, 75.15, 75.25, 75.15, 75.2, 1013
ADANIENT,2016-08-16 09:53:00, 75.2, 75.2, 74.75, 75, 16764
ADANIENT,2016-08-16 09:54:00, 75, 75.2, 74.95, 75.05, 10838
ADANIENT,2016-08-16 09:55:00, 75.05, 75.05, 74.8, 74.85, 16642
ADANIENT,2016-08-16 09:56:00, 74.8, 75.1, 74.8, 74.95, 4169
ADANIENT,2016-08-16 09:57:00, 74.95, 75.15, 74.8, 75, 12343
ADANIENT,2016-08-16 09:58:00, 75.1, 75.15, 75, 75.1, 2636
ADANIENT,2016-08-16 09:59:00, 75.15, 75.15, 75, 75.05, 3720
ADANIENT,2016-08-16 10:00:00, 75.1, 75.1, 74.8, 75.05, 10993
ADANIENT,2016-08-16 10:01:00, 75.05, 75.1, 74.9, 75.05, 6343
ADANIENT,2016-08-16 10:02:00, 75.05, 75.4, 75.05, 75.3, 15892
ADANIENT,2016-08-16 10:03:00, 75.3, 75.45, 75.25, 75.35, 15718
ADANIENT,2016-08-16 10:04:00, 75.35, 75.5, 75.1, 75.2, 29072
ADANIENT,2016-08-16 10:05:00, 75.2, 75.2, 75, 75, 6519
ADANIENT,2016-08-16 10:06:00, 75, 75.15, 75, 75.15, 8969
ADANIENT,2016-08-16 10:07:00, 75.05, 75.15, 75, 75.15, 6563
ADANIENT,2016-08-16 10:08:00, 75.15, 75.3, 75.05, 75.1, 35637
ADANIENT,2016-08-16 10:09:00, 75.1, 75.1, 74.7, 74.85, 39279
ADANIENT,2016-08-16 10:10:00, 74.95, 75.25, 74.8, 75.05, 36007
ADANIENT,2016-08-16 10:11:00, 75.15, 75.15, 75.05, 75.15, 1081
ADANIENT,2016-08-16 10:12:00, 75.15, 75.15, 74.85, 75.05, 24950
ADANIENT,2016-08-16 10:13:00, 75.05, 75.2, 75, 75.15, 3187
ADANIENT,2016-08-16 10:14:00, 75.2, 75.25, 75.1, 75.25, 27203
ADANIENT,2016-08-16 10:15:00, 75.25, 75.25, 75.15, 75.25, 325
ADANIENT,2016-08-16 10:16:00, 75.25, 75.25, 75.05, 75.05, 6608
ADANIENT,2016-08-16 10:17:00, 75.05, 75.05, 74.85, 75.05, 8347
ADANIENT,2016-08-16 10:18:00, 75.05, 75.05, 74.9, 75, 8342
ADANIENT,2016-08-16 10:19:00, 74.9, 75.1, 74.9, 75.1, 3755
ADANIENT,2016-08-16 10:20:00, 75.05, 75.2, 74.9, 75.2, 8077
ADANIENT,2016-08-16 10:21:00, 75.25, 75.25, 74.95, 75, 12734
ADANIENT,2016-08-16 10:22:00, 75.05, 75.1, 74.95, 75.1, 7244
ADANIENT,2016-08-16 10:23:00, 75.1, 75.1, 74.95, 75, 1610
ADANIENT,2016-08-16 10:24:00, 75, 75.05, 74.95, 75, 5537
ADANIENT,2016-08-16 10:25:00, 75, 75.1, 74.95, 75.1, 2619
ADANIENT,2016-08-16 10:26:00, 75.1, 75.25, 75, 75.25, 2661
ADANIENT,2016-08-16 10:27:00, 75.25, 75.25, 74.9, 74.9, 6291
ADANIENT,2016-08-16 10:28:00, 74.95, 75.05, 74.65, 74.65, 22685
ADANIENT,2016-08-16 10:29:00, 74.65, 74.95, 74.65, 74.9, 40251
ADANIENT,2016-08-16 10:30:00, 74.95, 74.95, 74.85, 74.95, 14468
ADANIENT,2016-08-16 10:31:00, 74.85, 75, 74.85, 74.9, 33308
ADANIENT,2016-08-16 10:32:00, 74.9, 74.95, 74.75, 74.75, 2283
ADANIENT,2016-08-16 10:33:00, 74.75, 75, 74.75, 74.95, 26466
ADANIENT,2016-08-16 10:34:00, 74.85, 74.95, 74.75, 74.9, 26416
ADANIENT,2016-08-16 10:35:00, 74.85, 75.1, 74.85, 74.95, 8154
ADANIENT,2016-08-16 10:36:00, 74.95, 75.05, 74.95, 75.05, 1680
ADANIENT,2016-08-16 10:37:00, 75.05, 75.05, 74.8, 74.9, 20029
ADANIENT,2016-08-16 10:38:00, 74.9, 75.15, 74.85, 75.15, 10120
ADANIENT,2016-08-16 10:39:00, 75.1, 75.15, 75.05, 75.05, 5878
ADANIENT,2016-08-16 10:40:00, 75.05, 75.1, 75.05, 75.1, 5679
ADANIENT,2016-08-16 10:41:00, 75.1, 75.15, 75.05, 75.1, 7541
ADANIENT,2016-08-16 10:42:00, 75, 75.1, 75, 75.05, 1483
ADANIENT,2016-08-16 10:43:00, 75.1, 75.25, 75.05, 75.2, 19745
ADANIENT,2016-08-16 10:44:00, 75.05, 75.1, 74.8, 75, 48562
ADANIENT,2016-08-16 10:45:00, 75, 75.15, 74.95, 75.15, 17015
ADANIENT,2016-08-16 10:46:00, 75.15, 75.2, 74.95, 75.1, 19519
ADANIENT,2016-08-16 10:47:00, 75.1, 75.1, 74.95, 74.95, 25532
ADANIENT,2016-08-16 10:48:00, 74.95, 75, 74.8, 74.8, 18587
ADANIENT,2016-08-16 10:49:00, 74.75, 74.9, 74.75, 74.8, 6427
ADANIENT,2016-08-16 10:50:00, 74.8, 74.95, 74.8, 74.85, 2305
ADANIENT,2016-08-16 10:51:00, 74.85, 74.95, 74.8, 74.85, 16453
ADANIENT,2016-08-16 10:52:00, 74.8, 74.9, 74.8, 74.9, 3748
ADANIENT,2016-08-16 10:53:00, 74.9, 74.9, 74.75, 74.8, 329
ADANIENT,2016-08-16 10:54:00, 74.85, 74.9, 74.8, 74.9, 5374
ADANIENT,2016-08-16 10:55:00, 74.9, 74.95, 74.8, 74.9, 23245
ADANIENT,2016-08-16 10:56:00, 74.8, 74.9, 74.75, 74.75, 3145
ADANIENT,2016-08-16 10:57:00, 74.75, 74.8, 74.3, 74.3, 35209
ADANIENT,2016-08-16 10:58:00, 73.85, 74, 73.65, 73.8, 156827
ADANIENT,2016-08-16 10:59:00, 73.75, 74.2, 73.75, 73.95, 21046
ADANIENT,2016-08-16 11:00:00, 73.95, 74, 73.5, 73.7, 38729
ADANIENT,2016-08-16 11:01:00, 73.75, 74, 73.55, 73.9, 28104
ADANIENT,2016-08-16 11:02:00, 74, 74.05, 73.7, 73.8, 49527
ADANIENT,2016-08-16 11:03:00, 73.8, 73.95, 73.7, 73.95, 3459
ADANIENT,2016-08-16 11:04:00, 73.95, 74, 73.9, 73.95, 7758
ADANIENT,2016-08-16 11:05:00, 73.95, 74, 73.8, 73.95, 4058
ADANIENT,2016-08-16 11:06:00, 73.95, 74, 73.9, 74, 5934
ADANIENT,2016-08-16 11:07:00, 74, 74, 73.95, 74, 5210
ADANIENT,2016-08-16 11:08:00, 74, 74, 73.85, 73.9, 13338
ADANIENT,2016-08-16 11:09:00, 73.75, 73.95, 73.75, 73.95, 16162
ADANIENT,2016-08-16 11:10:00, 73.95, 73.95, 73.85, 73.9, 3972
ADANIENT,2016-08-16 11:11:00, 73.9, 74, 73.8, 74, 9074
ADANIENT,2016-08-16 11:12:00, 74, 74, 73.9, 74, 2706
ADANIENT,2016-08-16 11:13:00, 74, 74, 73.9, 74, 4241
ADANIENT,2016-08-16 11:14:00, 74, 74, 74, 74, 2690
ADANIENT,2016-08-16 11:15:00, 74, 74, 73.6, 73.6, 21254
ADANIENT,2016-08-16 11:16:00, 73.6, 73.9, 73.6, 73.9, 14139
ADANIENT,2016-08-16 11:17:00, 73.9, 73.95, 73.9, 73.95, 841
ADANIENT,2016-08-16 11:18:00, 73.95, 74, 73.8, 73.9, 11258
ADANIENT,2016-08-16 11:19:00, 73.9, 73.9, 73.85, 73.9, 2250
ADANIENT,2016-08-16 11:20:00, 73.9, 73.95, 73.8, 73.95, 3190
ADANIENT,2016-08-16 11:21:00, 73.95, 74.1, 73.8, 73.85, 43835
ADANIENT,2016-08-16 11:22:00, 73.85, 74.15, 73.85, 74.1, 838
ADANIENT,2016-08-16 11:23:00, 74.1, 74.2, 74.05, 74.2, 4091
ADANIENT,2016-08-16 11:24:00, 74.2, 74.2, 74.05, 74.2, 1381
ADANIENT,2016-08-16 11:25:00, 74.2, 74.2, 74.1, 74.2, 4099
ADANIENT,2016-08-16 11:26:00, 74.2, 74.2, 74.15, 74.15, 1855
ADANIENT,2016-08-16 11:27:00, 74.2, 74.2, 74.05, 74.2, 1929
ADANIENT,2016-08-16 11:28:00, 74.2, 74.2, 74.15, 74.2, 649
ADANIENT,2016-08-16 11:29:00, 74.2, 74.2, 74.05, 74.05, 2594
ADANIENT,2016-08-16 11:30:00, 74.05, 74.15, 73.9, 74.15, 26795
ADANIENT,2016-08-16 11:31:00, 74.15, 74.15, 74.1, 74.15, 1788
ADANIENT,2016-08-16 11:32:00, 74.15, 74.15, 74.1, 74.15, 1355
ADANIENT,2016-08-16 11:33:00, 74.15, 74.15, 74, 74.15, 2190
ADANIENT,2016-08-16 11:34:00, 74.15, 74.15, 74.1, 74.1, 1827
ADANIENT,2016-08-16 11:35:00, 74, 74.1, 74, 74.1, 942
ADANIENT,2016-08-16 11:36:00, 74.1, 74.1, 74.05, 74.05, 8
ADANIENT,2016-08-16 11:37:00, 74.05, 74.1, 73.9, 74.05, 12230
ADANIENT,2016-08-16 11:38:00, 74.05, 74.05, 73.95, 74, 1483
ADANIENT,2016-08-16 11:39:00, 74, 74, 73.75, 73.8, 29920
ADANIENT,2016-08-16 11:40:00, 73.7, 73.85, 73.7, 73.7, 11183
ADANIENT,2016-08-16 11:41:00, 73.7, 73.85, 73.7, 73.85, 2705
ADANIENT,2016-08-16 11:42:00, 73.85, 73.85, 73.75, 73.8, 668
ADANIENT,2016-08-16 11:43:00, 73.8, 73.85, 73.7, 73.8, 1185
ADANIENT,2016-08-16 11:44:00, 73.8, 73.9, 73.75, 73.9, 3446
ADANIENT,2016-08-16 11:45:00, 73.9, 73.9, 73.8, 73.9, 723
ADANIENT,2016-08-16 11:46:00, 73.9, 73.9, 73.8, 73.8, 942
ADANIENT,2016-08-16 11:47:00, 73.8, 73.85, 73.7, 73.7, 8669
ADANIENT,2016-08-16 11:48:00, 73.7, 73.85, 73.7, 73.75, 5756
ADANIENT,2016-08-16 11:49:00, 73.75, 73.85, 73.75, 73.85, 8964
ADANIENT,2016-08-16 11:50:00, 73.85, 73.9, 73.75, 73.9, 1451
ADANIENT,2016-08-16 11:51:00, 73.9, 74, 73.9, 74, 694
ADANIENT,2016-08-16 11:52:00, 74, 74, 73.8, 73.9, 2223
ADANIENT,2016-08-16 11:53:00, 73.9, 73.9, 73.75, 73.75, 784
ADANIENT,2016-08-16 11:54:00, 73.75, 73.9, 73.75, 73.9, 772
