Code,Date,Open,High,Low,Close,Volume
ADANIPORTS,2016-08-16 09:15:00, 259.35, 259.5, 258.9, 259.3, 27600
ADANIPORTS,2016-08-16 09:16:00, 259.3, 259.3, 258.65, 258.65, 21845
ADANIPORTS,2016-08-16 09:17:00, 258.65, 259.15, 258.65, 259, 29810
ADANIPORTS,2016-08-16 09:18:00, 259, 259, 258.55, 258.65, 22396
ADANIPORTS,2016-08-16 09:19:00, 258.65, 258.95, 258.5, 258.75, 20425
ADANIPORTS,2016-08-16 09:20:00, 258.75, 259, 258.3, 258.95, 38563
ADANIPORTS,2016-08-16 09:21:00, 258.95, 259.5, 258.8, 259.5, 38422
ADANIPORTS,2016-08-16 09:22:00, 259.5, 260.6, 259.45, 260.3, 84249
ADANIPORTS,2016-08-16 09:23:00, 260.15, 260.45, 260.15, 260.35, 29057
ADANIPORTS,2016-08-16 09:24:00, 260.4, 260.5, 260.1, 260.25, 17802
ADANIPORTS,2016-08-16 09:25:00, 260.4, 260.6, 260.3, 260.55, 23163
ADANIPORTS,2016-08-16 09:26:00, 260.65, 263.9, 260.55, 263.2, 240770
ADANIPORTS,2016-08-16 09:27:00, 263.2, 264.8, 263.2, 264.25, 101641
ADANIPORTS,2016-08-16 09:28:00, 264.2, 264.2, 262.85, 263.7, 78696
ADANIPORTS,2016-08-16 09:29:00, 263.9, 264.45, 263.7, 264.4, 45807
ADANIPORTS,2016-08-16 09:30:00, 264.4, 264.75, 263.7, 264.7, 88794
ADANIPORTS,2016-08-16 09:31:00, 264.7, 265, 263.85, 263.85, 91071
ADANIPORTS,2016-08-16 09:32:00, 264, 264.5, 264, 264.2, 42074
ADANIPORTS,2016-08-16 09:33:00, 264.25, 264.4, 264.15, 264.2, 17460
ADANIPORTS,2016-08-16 09:34:00, 264.2, 264.25, 264.15, 264.25, 24659
ADANIPORTS,2016-08-16 09:35:00, 264.25, 264.5, 264.25, 264.4, 10791
ADANIPORTS,2016-08-16 09:36:00, 264.45, 264.5, 263.95, 264.05, 64361
ADANIPORTS,2016-08-16 09:37:00, 264, 264.25, 263.95, 264.15, 20472
ADANIPORTS,2016-08-16 09:38:00, 264.2, 264.25, 263.75, 264, 28106
ADANIPORTS,2016-08-16 09:39:00, 264, 265, 264, 264.95, 72381
ADANIPORTS,2016-08-16 09:40:00, 264.95, 264.95, 264.1, 264.85, 28979
ADANIPORTS,2016-08-16 09:41:00, 264.85, 264.95, 264.2, 264.45, 29514
ADANIPORTS,2016-08-16 09:42:00, 264.45, 264.6, 264.25, 264.45, 9031
ADANIPORTS,2016-08-16 09:43:00, 264.45, 264.8, 264.45, 264.65, 15704
ADANIPORTS,2016-08-16 09:44:00, 264.65, 265.55, 264.65, 265.5, 51832
ADANIPORTS,2016-08-16 09:45:00, 265.6, 265.65, 265.3, 265.4, 64146
ADANIPORTS,2016-08-16 09:46:00, 265.4, 265.65, 265.35, 265.5, 38175
ADANIPORTS,2016-08-16 09:47:00, 265.5, 265.5, 265.1, 265.4, 43457
ADANIPORTS,2016-08-16 09:48:00, 265.5, 265.6, 265.2, 265.3, 29527
ADANIPORTS,2016-08-16 09:49:00, 265.5, 265.7, 265.3, 265.4, 37185
ADANIPORTS,2016-08-16 09:50:00, 265.65, 265.75, 265.3, 265.7, 53491
ADANIPORTS,2016-08-16 09:51:00, 265.55, 266, 265.55, 266, 37322
ADANIPORTS,2016-08-16 09:52:00, 266, 266, 265.5, 265.5, 44074
ADANIPORTS,2016-08-16 09:53:00, 265.5, 265.6, 265.2, 265.4, 31968
ADANIPORTS,2016-08-16 09:54:00, 265.5, 265.7, 265.3, 265.5, 34918
ADANIPORTS,2016-08-16 09:55:00, 265.5, 265.95, 265.5, 265.9, 36294
ADANIPORTS,2016-08-16 09:56:00, 265.8, 265.95, 265.3, 265.4, 42518
ADANIPORTS,2016-08-16 09:57:00, 265.75, 265.95, 265.5, 265.75, 25336
ADANIPORTS,2016-08-16 09:58:00, 265.75, 266.65, 265.75, 266.4, 69078
ADANIPORTS,2016-08-16 09:59:00, 266.5, 266.8, 265.9, 266.7, 96601
ADANIPORTS,2016-08-16 10:00:00, 266.8, 267.15, 266.45, 266.7, 101160
ADANIPORTS,2016-08-16 10:01:00, 266.7, 267.3, 266.65, 267.3, 63164
ADANIPORTS,2016-08-16 10:02:00, 267.35, 267.7, 267.25, 267.35, 64850
ADANIPORTS,2016-08-16 10:03:00, 267.35, 267.7, 267.2, 267.4, 58305
ADANIPORTS,2016-08-16 10:04:00, 267.5, 267.6, 267.35, 267.35, 38218
ADANIPORTS,2016-08-16 10:05:00, 267.4, 267.55, 267.05, 267.05, 44238
ADANIPORTS,2016-08-16 10:06:00, 267.15, 267.2, 266.85, 266.85, 28583
ADANIPORTS,2016-08-16 10:07:00, 266.7, 266.95, 266.4, 266.95, 41519
ADANIPORTS,2016-08-16 10:08:00, 266.95, 267.35, 266.9, 267.3, 23618
ADANIPORTS,2016-08-16 10:09:00, 267.3, 267.95, 267.3, 267.9, 43858
ADANIPORTS,2016-08-16 10:10:00, 267.9, 268.45, 267.9, 268.05, 84082
ADANIPORTS,2016-08-16 10:11:00, 268.2, 268.2, 267.8, 267.95, 27355
ADANIPORTS,2016-08-16 10:12:00, 267.9, 268.4, 267.7, 268, 53896
ADANIPORTS,2016-08-16 10:13:00, 268, 268.3, 268, 268, 36625
ADANIPORTS,2016-08-16 10:14:00, 268, 268.15, 267.9, 267.95, 27628
ADANIPORTS,2016-08-16 10:15:00, 267.95, 268.1, 267.85, 267.9, 30765
ADANIPORTS,2016-08-16 10:16:00, 267.9, 268, 267.8, 268, 23750
ADANIPORTS,2016-08-16 10:17:00, 268, 268.6, 268, 268.6, 52691
ADANIPORTS,2016-08-16 10:18:00, 268.7, 269.25, 268.5, 269, 97391
ADANIPORTS,2016-08-16 10:19:00, 269.2, 269.2, 268.7, 268.8, 42445
ADANIPORTS,2016-08-16 10:20:00, 268.9, 269.5, 268.9, 269.45, 45615
ADANIPORTS,2016-08-16 10:21:00, 269.45, 269.5, 269.05, 269.2, 55235
ADANIPORTS,2016-08-16 10:22:00, 269.15, 269.5, 269, 269.5, 45686
ADANIPORTS,2016-08-16 10:23:00, 269.35, 269.5, 269.15, 269.35, 41394
ADANIPORTS,2016-08-16 10:24:00, 269.2, 269.6, 269.15, 269.55, 40067
ADANIPORTS,2016-08-16 10:25:00, 269.3, 269.85, 269.25, 269.85, 45343
ADANIPORTS,2016-08-16 10:26:00, 269.95, 270.35, 269.8, 270.05, 143862
ADANIPORTS,2016-08-16 10:27:00, 270, 270, 269.2, 269.65, 68977
ADANIPORTS,2016-08-16 10:28:00, 269.6, 269.9, 269.5, 269.55, 36149
ADANIPORTS,2016-08-16 10:29:00, 269.55, 269.75, 269.45, 269.75, 37678
ADANIPORTS,2016-08-16 10:30:00, 269.75, 269.75, 269.2, 269.4, 32644
ADANIPORTS,2016-08-16 10:31:00, 269.2, 269.25, 268.55, 268.8, 60385
ADANIPORTS,2016-08-16 10:32:00, 268.9, 269.7, 268.7, 269.6, 68413
ADANIPORTS,2016-08-16 10:33:00, 269.75, 271.45, 269.7, 269.85, 229461
ADANIPORTS,2016-08-16 10:34:00, 269.95, 270.5, 269.9, 270.15, 45824
ADANIPORTS,2016-08-16 10:35:00, 270.25, 270.3, 270.1, 270.25, 38841
ADANIPORTS,2016-08-16 10:36:00, 270.35, 270.7, 270.25, 270.6, 45186
ADANIPORTS,2016-08-16 10:37:00, 270.6, 270.95, 270.55, 270.75, 42457
ADANIPORTS,2016-08-16 10:38:00, 270.7, 271.45, 270.7, 270.9, 74835
