Code,Date,Open,High,Low,Close,Volume
APOLLOHOSP,2016-08-16 09:15:00, 1424, 1424, 1419.6, 1419.75, 514
APOLLOHOSP,2016-08-16 09:16:00, 1420.3, 1421.95, 1420, 1420.8, 997
APOLLOHOSP,2016-08-16 09:17:00, 1420.45, 1420.45, 1415.65, 1416.3, 2438
APOLLOHOSP,2016-08-16 09:18:00, 1416.25, 1416.9, 1412.3, 1412.4, 1528
APOLLOHOSP,2016-08-16 09:19:00, 1412.35, 1415, 1412.35, 1414.95, 836
APOLLOHOSP,2016-08-16 09:20:00, 1415, 1418, 1413.75, 1418, 1389
APOLLOHOSP,2016-08-16 09:21:00, 1418, 1420, 1417.45, 1420, 1066
APOLLOHOSP,2016-08-16 09:22:00, 1420, 1420, 1419.6, 1419.6, 1555
APOLLOHOSP,2016-08-16 09:23:00, 1420, 1420.75, 1418.35, 1419.1, 558
APOLLOHOSP,2016-08-16 09:24:00, 1419.1, 1420.6, 1417.25, 1420.25, 633
APOLLOHOSP,2016-08-16 09:25:00, 1420.25, 1423, 1420.15, 1422.25, 706
APOLLOHOSP,2016-08-16 09:26:00, 1422.3, 1424.05, 1422, 1424.05, 871
APOLLOHOSP,2016-08-16 09:27:00, 1424, 1424.7, 1423.65, 1424.7, 887
APOLLOHOSP,2016-08-16 09:28:00, 1424.7, 1427.2, 1424.7, 1426.7, 1530
APOLLOHOSP,2016-08-16 09:29:00, 1426.65, 1426.9, 1426.05, 1426.05, 836
APOLLOHOSP,2016-08-16 09:30:00, 1425.3, 1425.3, 1421.25, 1424.2, 3740
APOLLOHOSP,2016-08-16 09:31:00, 1424.2, 1424.2, 1423.45, 1424, 2425
APOLLOHOSP,2016-08-16 09:32:00, 1424.55, 1424.55, 1423.75, 1424, 926
APOLLOHOSP,2016-08-16 09:33:00, 1424.15, 1424.15, 1422.95, 1423.7, 921
APOLLOHOSP,2016-08-16 09:34:00, 1423.05, 1425, 1422.65, 1424.5, 1491
APOLLOHOSP,2016-08-16 09:35:00, 1424.5, 1425, 1424.4, 1425, 557
APOLLOHOSP,2016-08-16 09:36:00, 1425.55, 1426, 1424.95, 1425.45, 355
APOLLOHOSP,2016-08-16 09:37:00, 1425.4, 1426.4, 1424.55, 1425.2, 621
APOLLOHOSP,2016-08-16 09:38:00, 1425.2, 1425.35, 1425.1, 1425.3, 254
APOLLOHOSP,2016-08-16 09:39:00, 1425.2, 1426.9, 1425.2, 1426.9, 378
APOLLOHOSP,2016-08-16 09:40:00, 1426.3, 1426.3, 1425.2, 1426.05, 885
APOLLOHOSP,2016-08-16 09:41:00, 1426.05, 1426.3, 1425.4, 1426.05, 344
APOLLOHOSP,2016-08-16 09:42:00, 1425.95, 1426.15, 1425.9, 1426.1, 635
APOLLOHOSP,2016-08-16 09:43:00, 1426.1, 1429.4, 1426.1, 1429.4, 1761
APOLLOHOSP,2016-08-16 09:44:00, 1429, 1431.1, 1429, 1430.35, 4062
APOLLOHOSP,2016-08-16 09:45:00, 1430, 1431.1, 1429.8, 1429.95, 2110
APOLLOHOSP,2016-08-16 09:46:00, 1429.95, 1430.95, 1429, 1430.4, 1521
APOLLOHOSP,2016-08-16 09:47:00, 1430.4, 1431, 1429.7, 1431, 1238
APOLLOHOSP,2016-08-16 09:48:00, 1431, 1431, 1430.45, 1430.85, 2560
APOLLOHOSP,2016-08-16 09:49:00, 1430.75, 1431.05, 1429.15, 1429.6, 1464
APOLLOHOSP,2016-08-16 09:50:00, 1429.6, 1430.95, 1429.5, 1430, 461
APOLLOHOSP,2016-08-16 09:51:00, 1430, 1430.8, 1429.85, 1430.8, 863
APOLLOHOSP,2016-08-16 09:52:00, 1430.8, 1431, 1430, 1430, 554
APOLLOHOSP,2016-08-16 09:53:00, 1430.3, 1431, 1429.5, 1430, 2126
APOLLOHOSP,2016-08-16 09:54:00, 1430, 1430, 1429, 1429, 344
APOLLOHOSP,2016-08-16 09:55:00, 1429, 1429.3, 1427.6, 1427.6, 1067
APOLLOHOSP,2016-08-16 09:56:00, 1427.6, 1428.5, 1427.5, 1428, 1887
APOLLOHOSP,2016-08-16 09:57:00, 1428, 1428.9, 1427.75, 1428, 632
APOLLOHOSP,2016-08-16 09:58:00, 1428, 1429.25, 1427.2, 1429.25, 525
APOLLOHOSP,2016-08-16 09:59:00, 1429.25, 1429.3, 1428.8, 1428.95, 226
APOLLOHOSP,2016-08-16 10:00:00, 1428.95, 1429.2, 1426.75, 1427.7, 977
APOLLOHOSP,2016-08-16 10:01:00, 1427.7, 1428.8, 1427.2, 1428.5, 336
APOLLOHOSP,2016-08-16 10:02:00, 1428.5, 1429, 1427.7, 1428.4, 539
APOLLOHOSP,2016-08-16 10:03:00, 1428.4, 1431, 1428.4, 1430, 1487
APOLLOHOSP,2016-08-16 10:04:00, 1430.25, 1430.25, 1429.75, 1429.95, 863
APOLLOHOSP,2016-08-16 10:05:00, 1429.95, 1431, 1429.85, 1430.95, 695
APOLLOHOSP,2016-08-16 10:06:00, 1430.7, 1431, 1430, 1430.7, 1198
APOLLOHOSP,2016-08-16 10:07:00, 1430.7, 1432, 1430, 1431.9, 1344
APOLLOHOSP,2016-08-16 10:08:00, 1431.85, 1432.4, 1430.75, 1430.75, 1033
APOLLOHOSP,2016-08-16 10:09:00, 1430.75, 1431.55, 1430, 1431.5, 812
APOLLOHOSP,2016-08-16 10:10:00, 1431.4, 1432.25, 1430.85, 1431.8, 438
APOLLOHOSP,2016-08-16 10:11:00, 1431.7, 1431.7, 1431.5, 1431.7, 430
APOLLOHOSP,2016-08-16 10:12:00, 1431.7, 1432.4, 1431, 1431.75, 676
APOLLOHOSP,2016-08-16 10:13:00, 1431.55, 1431.7, 1431.25, 1431.4, 654
APOLLOHOSP,2016-08-16 10:14:00, 1431.4, 1432, 1430.75, 1432, 872
APOLLOHOSP,2016-08-16 10:15:00, 1432, 1432, 1431, 1431, 409
APOLLOHOSP,2016-08-16 10:16:00, 1431.1, 1431.9, 1430.6, 1431.4, 541
APOLLOHOSP,2016-08-16 10:17:00, 1432, 1432.35, 1431.4, 1431.55, 593
APOLLOHOSP,2016-08-16 10:18:00, 1431.55, 1431.8, 1431, 1431.25, 399
APOLLOHOSP,2016-08-16 10:19:00, 1431.25, 1432.9, 1431, 1432.7, 769
APOLLOHOSP,2016-08-16 10:20:00, 1432.7, 1432.95, 1432.05, 1432.05, 276
APOLLOHOSP,2016-08-16 10:21:00, 1432.15, 1432.8, 1432.1, 1432.5, 260
APOLLOHOSP,2016-08-16 10:22:00, 1432.5, 1432.5, 1431.65, 1432.1, 487
APOLLOHOSP,2016-08-16 10:23:00, 1432, 1432, 1430.5, 1431.35, 431
APOLLOHOSP,2016-08-16 10:24:00, 1431.35, 1431.35, 1429.9, 1430, 1715
APOLLOHOSP,2016-08-16 10:25:00, 1430, 1430, 1427.35, 1427.8, 1946
APOLLOHOSP,2016-08-16 10:26:00, 1427.55, 1429, 1427.45, 1428.4, 368
APOLLOHOSP,2016-08-16 10:27:00, 1428.35, 1428.35, 1427.95, 1427.95, 1000
APOLLOHOSP,2016-08-16 10:28:00, 1427.95, 1427.95, 1424.5, 1425.1, 1945
APOLLOHOSP,2016-08-16 10:29:00, 1425.1, 1426, 1424.4, 1426, 730
APOLLOHOSP,2016-08-16 10:30:00, 1426, 1427.1, 1424.8, 1426.4, 642
APOLLOHOSP,2016-08-16 10:31:00, 1426.4, 1427.7, 1425.85, 1427.2, 230
APOLLOHOSP,2016-08-16 10:32:00, 1427.15, 1427.25, 1425.95, 1425.95, 402
APOLLOHOSP,2016-08-16 10:33:00, 1425.95, 1426.25, 1425, 1425.2, 819
APOLLOHOSP,2016-08-16 10:34:00, 1425.2, 1425.8, 1421, 1424.55, 1395
APOLLOHOSP,2016-08-16 10:35:00, 1424.55, 1426.25, 1424.55, 1425, 268
APOLLOHOSP,2016-08-16 10:36:00, 1425, 1425.35, 1424.9, 1425, 269
APOLLOHOSP,2016-08-16 10:37:00, 1425.25, 1426.7, 1425.2, 1426.4, 1932
APOLLOHOSP,2016-08-16 10:38:00, 1426.4, 1426.9, 1425.15, 1426.9, 314
APOLLOHOSP,2016-08-16 10:39:00, 1426.9, 1427.95, 1426.9, 1427, 341
APOLLOHOSP,2016-08-16 10:40:00, 1427, 1427, 1425, 1426, 273
APOLLOHOSP,2016-08-16 10:41:00, 1426, 1426.75, 1426, 1426.45, 66
APOLLOHOSP,2016-08-16 10:42:00, 1426.45, 1427.75, 1426.4, 1427.75, 39
APOLLOHOSP,2016-08-16 10:44:00, 1427.65, 1428, 1427.35, 1427.35, 64
