Code,Date,Open,High,Low,Close,Volume
ASIANPAINT,2016-08-16 09:15:00, 1136, 1139.75, 1135.5, 1139.75, 3763
ASIANPAINT,2016-08-16 09:16:00, 1139.75, 1140.8, 1139.2, 1140.25, 5153
ASIANPAINT,2016-08-16 09:17:00, 1140.25, 1142, 1137.75, 1137.75, 3435
ASIANPAINT,2016-08-16 09:18:00, 1137.55, 1138.45, 1136.8, 1137.65, 8450
ASIANPAINT,2016-08-16 09:19:00, 1137.6, 1140.2, 1136.4, 1140.2, 6925
ASIANPAINT,2016-08-16 09:20:00, 1140.65, 1143.8, 1140.55, 1143.8, 13411
ASIANPAINT,2016-08-16 09:21:00, 1143.8, 1144.2, 1139.6, 1139.6, 10592
ASIANPAINT,2016-08-16 09:22:00, 1139.15, 1139.85, 1138.05, 1138.35, 9138
ASIANPAINT,2016-08-16 09:23:00, 1138.35, 1141.2, 1138.3, 1140.95, 16046
ASIANPAINT,2016-08-16 09:25:00, 1143.5, 1144.7, 1142.75, 1144.45, 5900
ASIANPAINT,2016-08-16 09:24:00, 1140.3, 1144, 1140.05, 1143.5, 6586
ASIANPAINT,2016-08-16 09:26:00, 1144.5, 1144.9, 1143, 1143.35, 19004
ASIANPAINT,2016-08-16 09:27:00, 1143, 1143.85, 1142.75, 1143.35, 8321
ASIANPAINT,2016-08-16 09:28:00, 1143.85, 1144.35, 1143.15, 1144.05, 2498
ASIANPAINT,2016-08-16 09:29:00, 1144.35, 1146.6, 1143.6, 1146.6, 9872
ASIANPAINT,2016-08-16 09:30:00, 1146.15, 1147.75, 1146, 1147, 12275
ASIANPAINT,2016-08-16 09:31:00, 1146.85, 1146.95, 1144.9, 1145, 15572
ASIANPAINT,2016-08-16 09:32:00, 1145.2, 1145.2, 1143.3, 1144.2, 5654
ASIANPAINT,2016-08-16 09:33:00, 1144.45, 1145.45, 1143, 1145.45, 6179
ASIANPAINT,2016-08-16 09:34:00, 1145.7, 1146.65, 1145.15, 1146, 7145
ASIANPAINT,2016-08-16 09:35:00, 1146.25, 1146.25, 1144.7, 1146.1, 4164
ASIANPAINT,2016-08-16 09:36:00, 1146.1, 1146.1, 1143, 1143.75, 7190
ASIANPAINT,2016-08-16 09:37:00, 1144.5, 1145, 1143, 1145, 3858
ASIANPAINT,2016-08-16 09:38:00, 1145, 1146, 1144, 1144, 1966
ASIANPAINT,2016-08-16 09:39:00, 1143.95, 1143.95, 1143, 1143.45, 3243
ASIANPAINT,2016-08-16 09:40:00, 1143.25, 1145.2, 1142.8, 1145.15, 6507
ASIANPAINT,2016-08-16 09:41:00, 1145.15, 1145.15, 1144.3, 1144.3, 3651
ASIANPAINT,2016-08-16 09:42:00, 1144.65, 1145, 1144.3, 1144.35, 3179
ASIANPAINT,2016-08-16 09:43:00, 1144.35, 1144.35, 1143, 1143.45, 4817
ASIANPAINT,2016-08-16 09:44:00, 1143.45, 1144.85, 1143.45, 1144, 6303
ASIANPAINT,2016-08-16 09:45:00, 1144, 1144, 1143.2, 1143.2, 645
ASIANPAINT,2016-08-16 09:46:00, 1143.8, 1144, 1143.2, 1143.35, 815
ASIANPAINT,2016-08-16 09:47:00, 1143.35, 1143.6, 1143.15, 1143.25, 459
ASIANPAINT,2016-08-16 09:48:00, 1143.25, 1144.2, 1143.25, 1143.25, 2180
ASIANPAINT,2016-08-16 09:49:00, 1143.25, 1143.45, 1143.1, 1143.25, 1027
