Code,Date,Open,High,Low,Close,Volume
AUROPHARMA,2016-08-16 09:15:00, 750, 750, 742, 742.2, 18674
AUROPHARMA,2016-08-16 09:16:00, 742.3, 742.6, 740.65, 741.15, 8899
AUROPHARMA,2016-08-16 09:17:00, 741, 741.45, 739.95, 741.3, 9872
AUROPHARMA,2016-08-16 09:19:00, 740.9, 741.9, 740.9, 741.45, 5973
AUROPHARMA,2016-08-16 09:18:00, 741.3, 741.55, 740.4, 741.2, 7664
AUROPHARMA,2016-08-16 09:20:00, 741.45, 742.55, 741.45, 742.05, 4416
AUROPHARMA,2016-08-16 09:21:00, 742.1, 744.05, 742, 743.55, 12166
AUROPHARMA,2016-08-16 09:22:00, 743.55, 743.55, 742.1, 743.15, 14208
AUROPHARMA,2016-08-16 09:23:00, 743.15, 743.2, 741.75, 742, 3241
AUROPHARMA,2016-08-16 09:24:00, 742, 742.2, 741.65, 742, 3730
AUROPHARMA,2016-08-16 09:25:00, 741.9, 742, 741.6, 741.6, 4163
AUROPHARMA,2016-08-16 09:26:00, 741.6, 742.7, 741.4, 742.65, 6939
AUROPHARMA,2016-08-16 09:27:00, 742.2, 743.1, 741.45, 741.6, 4436
AUROPHARMA,2016-08-16 09:28:00, 741.6, 742.4, 741.5, 742.25, 2288
AUROPHARMA,2016-08-16 09:29:00, 741.9, 741.9, 739.8, 739.8, 7823
AUROPHARMA,2016-08-16 09:30:00, 740, 740, 736.5, 737.65, 13477
AUROPHARMA,2016-08-16 09:31:00, 737.6, 738, 737.55, 738, 8488
AUROPHARMA,2016-08-16 09:32:00, 738, 739.7, 738, 739.5, 4189
AUROPHARMA,2016-08-16 09:33:00, 739.55, 744.65, 738.2, 743.85, 33903
AUROPHARMA,2016-08-16 09:34:00, 744, 744, 740.9, 741.3, 7744
AUROPHARMA,2016-08-16 09:35:00, 741.15, 741.7, 740.5, 740.65, 2805
AUROPHARMA,2016-08-16 09:36:00, 740.4, 741, 740.15, 740.5, 2198
AUROPHARMA,2016-08-16 09:37:00, 740.5, 740.5, 739.05, 739.45, 3685
AUROPHARMA,2016-08-16 09:38:00, 739.45, 739.8, 739.05, 739.3, 1639
AUROPHARMA,2016-08-16 09:39:00, 739.05, 739.35, 738.1, 738.15, 4823
AUROPHARMA,2016-08-16 09:40:00, 738.15, 738.15, 736.4, 736.65, 10360
AUROPHARMA,2016-08-16 09:41:00, 736.65, 738.45, 736.5, 738.25, 6396
AUROPHARMA,2016-08-16 09:42:00, 737.85, 738.95, 737.85, 738.75, 3527
AUROPHARMA,2016-08-16 09:43:00, 738.75, 738.75, 737.85, 738.3, 3398
AUROPHARMA,2016-08-16 09:44:00, 738.4, 739.4, 738.4, 738.9, 5057
AUROPHARMA,2016-08-16 09:45:00, 738.8, 738.8, 737.5, 738, 9414
AUROPHARMA,2016-08-16 09:46:00, 738.05, 738.05, 737.1, 737.35, 4540
AUROPHARMA,2016-08-16 09:47:00, 737.35, 737.75, 737.1, 737.75, 3661
AUROPHARMA,2016-08-16 09:48:00, 737.7, 738.2, 737.4, 737.7, 3633
AUROPHARMA,2016-08-16 09:49:00, 737.7, 737.95, 737.4, 737.5, 6515
AUROPHARMA,2016-08-16 09:50:00, 737.5, 738, 737, 737.6, 4103
AUROPHARMA,2016-08-16 09:51:00, 737.65, 738.2, 737.55, 737.75, 6157
AUROPHARMA,2016-08-16 09:52:00, 737.75, 737.85, 737.25, 737.8, 3011
AUROPHARMA,2016-08-16 09:53:00, 737.8, 738, 737.45, 737.7, 3612
AUROPHARMA,2016-08-16 09:54:00, 737.75, 737.85, 737.5, 737.6, 3855
AUROPHARMA,2016-08-16 09:55:00, 737.55, 737.6, 737.4, 737.4, 2216
AUROPHARMA,2016-08-16 09:56:00, 737.5, 737.5, 737.25, 737.3, 4453
AUROPHARMA,2016-08-16 09:57:00, 737.35, 738.35, 737.25, 738.35, 7068
AUROPHARMA,2016-08-16 09:58:00, 738.35, 739.55, 738.35, 739.4, 9724
AUROPHARMA,2016-08-16 09:59:00, 739.4, 739.4, 738.5, 739.3, 5528
AUROPHARMA,2016-08-16 10:00:00, 739.3, 739.3, 738.6, 738.75, 2245
AUROPHARMA,2016-08-16 10:01:00, 738.75, 739.5, 738.6, 738.9, 20490
AUROPHARMA,2016-08-16 10:02:00, 738.9, 739.4, 738.25, 738.55, 5492
AUROPHARMA,2016-08-16 10:03:00, 738.6, 739.2, 737.1, 737.1, 16547
AUROPHARMA,2016-08-16 10:04:00, 737.1, 738.25, 737, 738.25, 5701
AUROPHARMA,2016-08-16 10:06:00, 737.65, 737.95, 737.1, 737.1, 4301
AUROPHARMA,2016-08-16 10:05:00, 738.25, 738.35, 737.3, 737.3, 4426
AUROPHARMA,2016-08-16 10:07:00, 737.2, 737.2, 736.8, 736.9, 4821
AUROPHARMA,2016-08-16 10:08:00, 736.9, 737.35, 736.85, 737.15, 2026
AUROPHARMA,2016-08-16 10:09:00, 736.9, 737.4, 736.9, 737.3, 1211
AUROPHARMA,2016-08-16 10:10:00, 737.45, 737.45, 737.1, 737.25, 4885
AUROPHARMA,2016-08-16 10:11:00, 737.05, 737.5, 737, 737.4, 3176
AUROPHARMA,2016-08-16 10:12:00, 737.15, 737.4, 736.6, 737.1, 4257
AUROPHARMA,2016-08-16 10:13:00, 737.1, 737.1, 736.6, 737.05, 2926
AUROPHARMA,2016-08-16 10:14:00, 736.75, 736.85, 733.6, 733.7, 35450
AUROPHARMA,2016-08-16 10:15:00, 734.35, 734.5, 733.65, 734.1, 6498
AUROPHARMA,2016-08-16 10:16:00, 734.45, 734.5, 734, 734.15, 3224
AUROPHARMA,2016-08-16 10:17:00, 734.5, 734.9, 734.1, 734.8, 13174
AUROPHARMA,2016-08-16 10:18:00, 734.75, 734.8, 734, 734.45, 3173
