Code,Date,Open,High,Low,Close,Volume
AXISBANK,2016-08-16 09:15:00, 593.5, 593.5, 589.1, 590.25, 261538
AXISBANK,2016-08-16 09:16:00, 589.9, 590.8, 589.7, 590.55, 140319
AXISBANK,2016-08-16 09:17:00, 590.5, 590.6, 589.05, 589.1, 102215
AXISBANK,2016-08-16 09:18:00, 589.05, 590.1, 587.5, 589.4, 293570
AXISBANK,2016-08-16 09:19:00, 589.45, 589.45, 587.4, 588.55, 199424
AXISBANK,2016-08-16 09:20:00, 588.55, 589.55, 588.55, 589.35, 262814
AXISBANK,2016-08-16 09:21:00, 589.25, 590, 588.7, 590, 209469
AXISBANK,2016-08-16 09:22:00, 589.95, 590, 588.6, 588.95, 99781
AXISBANK,2016-08-16 09:23:00, 588.95, 589.35, 588.4, 589.35, 69670
AXISBANK,2016-08-16 09:24:00, 589.35, 589.7, 589, 589, 58803
AXISBANK,2016-08-16 09:25:00, 589.15, 589.35, 588.5, 588.5, 34849
AXISBANK,2016-08-16 09:26:00, 588.45, 588.65, 588.05, 588.2, 31368
AXISBANK,2016-08-16 09:27:00, 588.1, 588.4, 588.1, 588.2, 35177
AXISBANK,2016-08-16 09:28:00, 588.2, 588.2, 587.4, 587.7, 56813
AXISBANK,2016-08-16 09:29:00, 587.4, 587.8, 587.25, 587.35, 31697
AXISBANK,2016-08-16 09:30:00, 587.25, 587.35, 585.65, 585.65, 68897
AXISBANK,2016-08-16 09:31:00, 585.65, 587.2, 585.55, 586.95, 40468
AXISBANK,2016-08-16 09:32:00, 586.95, 588, 586.65, 587.9, 16233
AXISBANK,2016-08-16 09:33:00, 587.9, 588, 586.7, 586.8, 31463
AXISBANK,2016-08-16 09:34:00, 586.8, 586.95, 585.6, 586.1, 38795
AXISBANK,2016-08-16 09:35:00, 585.85, 586.1, 585.6, 585.85, 24080
AXISBANK,2016-08-16 09:36:00, 586.05, 586.45, 586.05, 586.35, 16608
AXISBANK,2016-08-16 09:37:00, 586.4, 586.8, 586.2, 586.6, 18245
AXISBANK,2016-08-16 09:38:00, 586.55, 586.9, 586.5, 586.65, 14149
AXISBANK,2016-08-16 09:39:00, 586.65, 587.7, 586.55, 587.2, 27629
AXISBANK,2016-08-16 09:40:00, 587.05, 587.3, 586.7, 587, 27345
AXISBANK,2016-08-16 09:41:00, 587.25, 587.75, 586.95, 587.25, 20665
AXISBANK,2016-08-16 09:42:00, 587.25, 587.75, 587.15, 587.7, 19055
AXISBANK,2016-08-16 09:43:00, 587.75, 587.8, 587.2, 587.45, 41939
AXISBANK,2016-08-16 09:44:00, 587.35, 587.55, 587.15, 587.5, 16906
AXISBANK,2016-08-16 09:45:00, 587.55, 587.95, 587.45, 587.7, 19242
AXISBANK,2016-08-16 09:46:00, 587.7, 587.95, 587.1, 587.1, 49573
AXISBANK,2016-08-16 09:47:00, 587, 588.65, 587, 588.6, 30110
AXISBANK,2016-08-16 09:48:00, 588.55, 589, 588.55, 588.55, 19725
AXISBANK,2016-08-16 09:49:00, 588.6, 588.85, 588.2, 588.6, 25059
AXISBANK,2016-08-16 09:50:00, 588.6, 588.9, 588.5, 588.9, 15177
AXISBANK,2016-08-16 09:51:00, 588.85, 589.15, 588.85, 589, 34853
AXISBANK,2016-08-16 09:52:00, 588.95, 589.1, 587.2, 587.35, 74149
AXISBANK,2016-08-16 09:53:00, 587.35, 587.5, 587.2, 587.4, 31974
AXISBANK,2016-08-16 09:54:00, 587.4, 587.6, 587.2, 587.2, 33951
AXISBANK,2016-08-16 09:55:00, 587.25, 587.7, 587.2, 587.45, 16912
AXISBANK,2016-08-16 09:56:00, 587.45, 587.85, 587.45, 587.5, 12317
AXISBANK,2016-08-16 09:57:00, 587.5, 587.6, 587.3, 587.5, 11642
AXISBANK,2016-08-16 09:58:00, 587.5, 587.6, 587.25, 587.45, 11537
AXISBANK,2016-08-16 09:59:00, 587.45, 587.65, 587.2, 587.2, 18129
AXISBANK,2016-08-16 10:00:00, 587.25, 587.3, 586.3, 586.65, 33133
AXISBANK,2016-08-16 10:02:00, 586.15, 586.5, 586, 586.3, 28176
AXISBANK,2016-08-16 10:03:00, 586.3, 586.5, 586.05, 586.35, 18210
AXISBANK,2016-08-16 10:01:00, 586.65, 586.7, 586.15, 586.2, 15862
AXISBANK,2016-08-16 10:04:00, 586.35, 586.55, 584.6, 584.6, 59517
AXISBANK,2016-08-16 10:05:00, 584.6, 585, 584.4, 584.9, 43468
AXISBANK,2016-08-16 10:06:00, 584.9, 585, 584.45, 584.75, 28929
AXISBANK,2016-08-16 10:07:00, 584.75, 584.75, 583.65, 583.8, 52816
AXISBANK,2016-08-16 10:08:00, 583.8, 583.85, 583, 583.75, 61737
AXISBANK,2016-08-16 10:09:00, 583.7, 584.35, 583.5, 584.2, 17832
AXISBANK,2016-08-16 10:10:00, 584.2, 584.35, 583.85, 584.2, 35724
AXISBANK,2016-08-16 10:11:00, 584.2, 584.85, 584.2, 584.65, 12502
AXISBANK,2016-08-16 10:12:00, 584.65, 585, 584.55, 584.9, 19447
AXISBANK,2016-08-16 10:13:00, 584.9, 585, 583.95, 584, 46223
AXISBANK,2016-08-16 10:15:00, 584.7, 584.9, 584.55, 584.7, 12056
AXISBANK,2016-08-16 10:14:00, 583.95, 584.9, 583.8, 584.7, 19489
AXISBANK,2016-08-16 10:16:00, 584.65, 584.7, 584.05, 584.4, 28112
AXISBANK,2016-08-16 10:17:00, 584.4, 584.4, 583.75, 583.75, 20811
AXISBANK,2016-08-16 10:18:00, 583.75, 583.75, 582.4, 582.85, 38433
AXISBANK,2016-08-16 10:19:00, 582.85, 584, 582.75, 583.7, 41441
AXISBANK,2016-08-16 10:20:00, 583.7, 583.7, 583.25, 583.65, 20386
AXISBANK,2016-08-16 10:21:00, 583.65, 583.65, 583, 583, 14831
