Code,Date,Open,High,Low,Close,Volume
BANKBARODA,2016-08-16 09:15:00, 149.95, 150.7, 149.25, 149.5, 119986
BANKBARODA,2016-08-16 09:16:00, 149.4, 149.6, 149.25, 149.35, 50696
BANKBARODA,2016-08-16 09:17:00, 149.4, 149.75, 149.25, 149.75, 52707
BANKBARODA,2016-08-16 09:18:00, 149.7, 150.2, 149.55, 149.75, 82451
BANKBARODA,2016-08-16 09:19:00, 149.8, 149.95, 149.2, 149.25, 94681
BANKBARODA,2016-08-16 09:20:00, 149.35, 149.9, 149.25, 149.85, 41233
BANKBARODA,2016-08-16 09:21:00, 149.65, 150.1, 149.55, 149.9, 45943
BANKBARODA,2016-08-16 09:22:00, 149.9, 149.9, 149.45, 149.8, 40572
BANKBARODA,2016-08-16 09:23:00, 149.8, 149.95, 149.6, 149.65, 22675
BANKBARODA,2016-08-16 09:24:00, 149.6, 149.75, 149.2, 149.4, 25196
BANKBARODA,2016-08-16 09:25:00, 149.35, 149.5, 149.2, 149.2, 16348
BANKBARODA,2016-08-16 09:26:00, 149.3, 149.7, 149.05, 149.7, 92875
BANKBARODA,2016-08-16 09:27:00, 149.7, 150, 149.55, 149.95, 57702
BANKBARODA,2016-08-16 09:28:00, 149.95, 150.7, 149.8, 150.55, 139638
BANKBARODA,2016-08-16 09:29:00, 150.55, 150.7, 150.45, 150.65, 66956
BANKBARODA,2016-08-16 09:30:00, 150.7, 151.35, 150.5, 150.75, 171554
BANKBARODA,2016-08-16 09:31:00, 150.85, 151.1, 150.8, 151, 57876
BANKBARODA,2016-08-16 09:32:00, 151, 151.2, 150.85, 150.95, 40604
BANKBARODA,2016-08-16 09:33:00, 150.95, 151, 150.45, 150.45, 42037
BANKBARODA,2016-08-16 09:34:00, 150.45, 150.7, 150.3, 150.55, 26119
BANKBARODA,2016-08-16 09:35:00, 150.6, 150.6, 150.35, 150.4, 21390
BANKBARODA,2016-08-16 09:36:00, 150.5, 150.55, 150.15, 150.2, 44718
BANKBARODA,2016-08-16 09:37:00, 150.3, 150.45, 150.1, 150.45, 19228
BANKBARODA,2016-08-16 09:38:00, 150.45, 150.45, 150.1, 150.1, 19675
BANKBARODA,2016-08-16 09:39:00, 150.25, 150.55, 150.1, 150.5, 27196
BANKBARODA,2016-08-16 09:40:00, 150.45, 150.5, 150.35, 150.4, 8075
BANKBARODA,2016-08-16 09:41:00, 150.4, 150.45, 150.05, 150.2, 24959
