Code,Date,Open,High,Low,Close,Volume
BANKINDIA,2016-08-16 09:15:00, 114.9, 115.1, 114.25, 114.65, 374568
BANKINDIA,2016-08-16 09:16:00, 114.6, 114.7, 114.05, 114.15, 168689
BANKINDIA,2016-08-16 09:17:00, 114.2, 114.45, 114.1, 114.4, 106246
BANKINDIA,2016-08-16 09:18:00, 114.3, 114.3, 113.55, 113.6, 121489
BANKINDIA,2016-08-16 09:19:00, 113.65, 113.8, 113.35, 113.6, 115623
BANKINDIA,2016-08-16 09:20:00, 113.55, 114, 113.5, 113.95, 96565
BANKINDIA,2016-08-16 09:21:00, 114, 114.15, 113.85, 113.85, 124953
BANKINDIA,2016-08-16 09:22:00, 113.8, 114.1, 113.65, 114, 84672
BANKINDIA,2016-08-16 09:23:00, 114.1, 114.25, 113.8, 113.95, 103179
BANKINDIA,2016-08-16 09:24:00, 113.9, 114, 113.7, 113.9, 36694
BANKINDIA,2016-08-16 09:25:00, 113.8, 114, 113.75, 113.85, 134048
BANKINDIA,2016-08-16 09:26:00, 113.8, 114.2, 113.75, 114.05, 44284
BANKINDIA,2016-08-16 09:27:00, 114.1, 114.4, 114.1, 114.3, 76666
BANKINDIA,2016-08-16 09:28:00, 114.3, 114.7, 114.25, 114.55, 117570
BANKINDIA,2016-08-16 09:29:00, 114.55, 114.7, 114.5, 114.7, 74107
BANKINDIA,2016-08-16 09:30:00, 114.7, 114.8, 114.5, 114.75, 73136
BANKINDIA,2016-08-16 09:31:00, 114.75, 114.9, 114.7, 114.8, 117377
BANKINDIA,2016-08-16 09:32:00, 114.8, 114.8, 114.7, 114.7, 56001
BANKINDIA,2016-08-16 09:33:00, 114.7, 114.7, 114, 114.05, 104754
BANKINDIA,2016-08-16 09:34:00, 114.05, 114.35, 113.8, 114.3, 78130
BANKINDIA,2016-08-16 09:35:00, 114.25, 114.3, 114.1, 114.25, 32689
BANKINDIA,2016-08-16 09:36:00, 114.25, 114.25, 113.9, 113.9, 37273
BANKINDIA,2016-08-16 09:37:00, 113.9, 114.1, 113.65, 113.9, 62772
BANKINDIA,2016-08-16 09:38:00, 113.9, 113.95, 113.7, 113.7, 21135
BANKINDIA,2016-08-16 09:39:00, 113.7, 114.05, 113.7, 113.95, 37299
BANKINDIA,2016-08-16 09:40:00, 114, 114, 113.75, 113.9, 27915
BANKINDIA,2016-08-16 09:41:00, 113.9, 113.9, 113.35, 113.55, 197517
BANKINDIA,2016-08-16 09:42:00, 113.55, 113.75, 113.4, 113.75, 53378
BANKINDIA,2016-08-16 09:43:00, 113.75, 113.8, 113.6, 113.7, 22975
BANKINDIA,2016-08-16 09:44:00, 113.7, 113.85, 113.65, 113.7, 40255
BANKINDIA,2016-08-16 09:45:00, 113.7, 113.85, 113.7, 113.8, 36432
BANKINDIA,2016-08-16 09:46:00, 113.8, 113.9, 113.8, 113.8, 7851
BANKINDIA,2016-08-16 09:47:00, 113.8, 113.9, 113.7, 113.9, 22809
BANKINDIA,2016-08-16 09:48:00, 113.9, 114.15, 113.85, 113.9, 41708
BANKINDIA,2016-08-16 09:49:00, 113.9, 114.1, 113.7, 114.05, 32931
BANKINDIA,2016-08-16 09:50:00, 114.1, 114.1, 113.8, 114.05, 54102
BANKINDIA,2016-08-16 09:51:00, 114, 114.15, 113.85, 113.85, 55754
BANKINDIA,2016-08-16 09:52:00, 114, 114.2, 113.9, 113.95, 42484
BANKINDIA,2016-08-16 09:53:00, 114.05, 114.05, 113.75, 113.8, 51293
BANKINDIA,2016-08-16 09:54:00, 113.9, 113.95, 113.55, 113.55, 59200
BANKINDIA,2016-08-16 09:55:00, 113.5, 113.6, 113.25, 113.3, 87744
BANKINDIA,2016-08-16 09:56:00, 113.25, 113.45, 113, 113, 68806
BANKINDIA,2016-08-16 09:57:00, 113, 113.1, 112.75, 113, 68728
BANKINDIA,2016-08-16 09:58:00, 113, 113.15, 112.9, 113.15, 33555
BANKINDIA,2016-08-16 09:59:00, 113.15, 113.15, 112.75, 112.8, 29780
BANKINDIA,2016-08-16 10:00:00, 112.8, 113, 112.7, 112.9, 66166
BANKINDIA,2016-08-16 10:01:00, 112.85, 113.1, 112.75, 112.9, 52554
BANKINDIA,2016-08-16 10:02:00, 112.9, 113.1, 112.9, 113.1, 11742
BANKINDIA,2016-08-16 10:03:00, 113, 113.4, 113, 113.1, 50585
BANKINDIA,2016-08-16 10:04:00, 113.1, 113.3, 113.1, 113.25, 44857
BANKINDIA,2016-08-16 10:05:00, 113.25, 113.3, 113, 113, 43653
BANKINDIA,2016-08-16 10:06:00, 113, 113.15, 112.85, 112.95, 55364
BANKINDIA,2016-08-16 10:07:00, 112.9, 112.95, 112.85, 112.9, 18589
BANKINDIA,2016-08-16 10:08:00, 112.9, 113.05, 112.8, 112.9, 26663
BANKINDIA,2016-08-16 10:09:00, 112.9, 113, 112.8, 112.9, 22145
BANKINDIA,2016-08-16 10:10:00, 112.9, 113.1, 112.8, 113.05, 27367
BANKINDIA,2016-08-16 10:11:00, 113.05, 113.05, 112.9, 112.9, 10417
BANKINDIA,2016-08-16 10:12:00, 112.9, 113.1, 112.9, 113.05, 25892
BANKINDIA,2016-08-16 10:13:00, 113.05, 113.1, 112.95, 113.05, 5251
BANKINDIA,2016-08-16 10:14:00, 113.05, 113.2, 113, 113.2, 19906
BANKINDIA,2016-08-16 10:15:00, 113.1, 113.2, 113.1, 113.1, 15402
BANKINDIA,2016-08-16 10:16:00, 113, 113.1, 112.85, 112.9, 18781
BANKINDIA,2016-08-16 10:17:00, 112.85, 112.95, 112.8, 112.9, 11920
BANKINDIA,2016-08-16 10:18:00, 112.9, 113, 112.85, 113, 22824
BANKINDIA,2016-08-16 10:19:00, 112.95, 113.05, 112.9, 113.05, 5631
BANKINDIA,2016-08-16 10:20:00, 113, 113.1, 112.9, 113.1, 8781
BANKINDIA,2016-08-16 10:21:00, 113.1, 113.15, 113, 113, 12804
BANKINDIA,2016-08-16 10:22:00, 113.05, 113.05, 112.9, 113.05, 26786
BANKINDIA,2016-08-16 10:23:00, 113, 113.05, 112.95, 112.95, 8772
BANKINDIA,2016-08-16 10:24:00, 112.95, 113, 112.9, 112.95, 11285
BANKINDIA,2016-08-16 10:25:00, 112.95, 112.95, 112.9, 112.9, 21038
BANKINDIA,2016-08-16 10:26:00, 112.9, 112.95, 112.9, 112.9, 4419
BANKINDIA,2016-08-16 10:27:00, 112.9, 112.95, 112.85, 112.9, 7683
BANKINDIA,2016-08-16 10:28:00, 112.9, 112.95, 112.8, 112.8, 17508
BANKINDIA,2016-08-16 10:29:00, 112.8, 112.8, 112.2, 112.3, 81160
BANKINDIA,2016-08-16 10:30:00, 112.3, 112.35, 112.05, 112.15, 87990
BANKINDIA,2016-08-16 10:31:00, 112.15, 112.2, 111.9, 111.9, 58573
BANKINDIA,2016-08-16 10:32:00, 111.9, 112.05, 111.8, 111.8, 40450
BANKINDIA,2016-08-16 10:33:00, 111.95, 111.95, 111.8, 111.85, 21276
BANKINDIA,2016-08-16 10:34:00, 111.9, 112.1, 111.9, 112, 35843
BANKINDIA,2016-08-16 10:35:00, 112.05, 112.15, 112, 112.15, 28208
BANKINDIA,2016-08-16 10:36:00, 112.15, 112.15, 112.05, 112.15, 20005
BANKINDIA,2016-08-16 10:37:00, 112.05, 112.2, 112, 112.2, 16116
BANKINDIA,2016-08-16 10:38:00, 112.2, 112.25, 112.1, 112.2, 6355
BANKINDIA,2016-08-16 10:39:00, 112.2, 112.2, 112, 112.05, 34154
BANKINDIA,2016-08-16 10:40:00, 112.05, 112.2, 112.05, 112.15, 17845
BANKINDIA,2016-08-16 10:41:00, 112.15, 112.2, 112.05, 112.05, 13058
BANKINDIA,2016-08-16 10:42:00, 112.1, 112.2, 112.1, 112.1, 6542
BANKINDIA,2016-08-16 10:43:00, 112.1, 112.3, 112.1, 112.3, 8729
BANKINDIA,2016-08-16 10:44:00, 112.2, 112.35, 112.15, 112.3, 7292
BANKINDIA,2016-08-16 10:45:00, 112.3, 112.35, 112.2, 112.25, 15861
BANKINDIA,2016-08-16 10:46:00, 112.25, 112.3, 112.15, 112.15, 8564
BANKINDIA,2016-08-16 10:47:00, 112.2, 112.2, 112.05, 112.15, 18139
BANKINDIA,2016-08-16 10:48:00, 112.15, 112.25, 112.1, 112.25, 16645
BANKINDIA,2016-08-16 10:49:00, 112.25, 112.3, 112.2, 112.25, 4140
BANKINDIA,2016-08-16 10:50:00, 112.25, 112.25, 112.15, 112.25, 9212
BANKINDIA,2016-08-16 10:51:00, 112.25, 112.25, 112.15, 112.25, 15213
BANKINDIA,2016-08-16 10:52:00, 112.25, 112.3, 112.15, 112.3, 5177
BANKINDIA,2016-08-16 10:53:00, 112.3, 112.3, 112.2, 112.2, 7526
BANKINDIA,2016-08-16 10:54:00, 112.2, 112.25, 112.15, 112.15, 1754
BANKINDIA,2016-08-16 10:55:00, 112.2, 112.3, 112.2, 112.3, 6811
BANKINDIA,2016-08-16 10:56:00, 112.25, 112.35, 112.2, 112.2, 5746
BANKINDIA,2016-08-16 10:57:00, 112.2, 112.2, 112.15, 112.15, 8806
BANKINDIA,2016-08-16 10:58:00, 112.15, 112.25, 112, 112, 13650
BANKINDIA,2016-08-16 10:59:00, 112, 112.05, 111.75, 111.75, 33437
BANKINDIA,2016-08-16 11:00:00, 111.75, 111.75, 111.35, 111.5, 48688
BANKINDIA,2016-08-16 11:01:00, 111.5, 111.7, 111.5, 111.6, 27180
BANKINDIA,2016-08-16 11:02:00, 111.6, 111.6, 111.25, 111.5, 45868
BANKINDIA,2016-08-16 11:03:00, 111.55, 111.85, 111.4, 111.8, 38810
BANKINDIA,2016-08-16 11:04:00, 111.85, 112.1, 111.85, 112.1, 29171
BANKINDIA,2016-08-16 11:05:00, 112.05, 112.2, 111.7, 111.85, 20175
BANKINDIA,2016-08-16 11:06:00, 111.85, 111.85, 111.7, 111.85, 9967
BANKINDIA,2016-08-16 11:07:00, 111.85, 111.95, 111.85, 111.95, 32279
