Code,Date,Open,High,Low,Close,Volume
BATAINDIA,2016-08-16 09:15:00, 531, 532.85, 530.25, 531.2, 1052
BATAINDIA,2016-08-16 09:16:00, 531.2, 531.6, 530, 531.6, 2498
BATAINDIA,2016-08-16 09:17:00, 531.6, 537.35, 531.35, 536.2, 5044
BATAINDIA,2016-08-16 09:18:00, 536.2, 536.2, 534.4, 535.2, 802
BATAINDIA,2016-08-16 09:19:00, 535.55, 535.7, 533.65, 533.65, 3041
BATAINDIA,2016-08-16 09:20:00, 533.65, 533.65, 532.65, 533.35, 958
BATAINDIA,2016-08-16 09:21:00, 533.35, 534.5, 533.05, 534.4, 707
BATAINDIA,2016-08-16 09:22:00, 534.4, 534.45, 533.55, 533.55, 395
BATAINDIA,2016-08-16 09:23:00, 533.55, 534.35, 533.55, 534, 510
BATAINDIA,2016-08-16 09:24:00, 534.25, 534.25, 534, 534, 192
BATAINDIA,2016-08-16 09:25:00, 534, 534.3, 534, 534.15, 1758
BATAINDIA,2016-08-16 09:26:00, 534.15, 534.2, 533.7, 534.05, 242
BATAINDIA,2016-08-16 09:27:00, 534.05, 535.35, 534.05, 535.35, 657
BATAINDIA,2016-08-16 09:28:00, 535.35, 535.35, 533.8, 534.8, 1058
BATAINDIA,2016-08-16 09:29:00, 534.3, 535.5, 534.3, 535.5, 395
BATAINDIA,2016-08-16 09:30:00, 535.5, 536.6, 535, 536.3, 467
BATAINDIA,2016-08-16 09:31:00, 536.85, 537.1, 536.65, 536.75, 1973
BATAINDIA,2016-08-16 09:32:00, 536.95, 537, 536.7, 537, 479
BATAINDIA,2016-08-16 09:33:00, 537, 537, 535, 535, 376
BATAINDIA,2016-08-16 09:34:00, 535, 536, 535, 536, 137
BATAINDIA,2016-08-16 09:35:00, 536, 536.9, 535.2, 535.65, 522
BATAINDIA,2016-08-16 09:36:00, 535.65, 535.65, 534.05, 534.05, 697
BATAINDIA,2016-08-16 09:37:00, 534.05, 534.05, 532.8, 532.95, 823
BATAINDIA,2016-08-16 09:38:00, 532.95, 534.9, 532.95, 534.9, 376
BATAINDIA,2016-08-16 09:39:00, 534.9, 535.4, 534.75, 535.4, 291
BATAINDIA,2016-08-16 09:40:00, 535.5, 535.5, 534.95, 535.5, 407
BATAINDIA,2016-08-16 09:41:00, 535.5, 536, 535, 535, 1550
BATAINDIA,2016-08-16 09:42:00, 535, 535.3, 534.75, 534.75, 1313
BATAINDIA,2016-08-16 09:43:00, 534.75, 535, 534.6, 535, 1221
BATAINDIA,2016-08-16 09:44:00, 534.85, 535, 534.85, 535, 454
BATAINDIA,2016-08-16 09:45:00, 535, 535.65, 535, 535, 426
BATAINDIA,2016-08-16 09:46:00, 535, 535.45, 535, 535.2, 913
BATAINDIA,2016-08-16 09:47:00, 535.2, 535.2, 535.05, 535.2, 275
BATAINDIA,2016-08-16 09:48:00, 535.2, 535.2, 535.2, 535.2, 20
BATAINDIA,2016-08-16 09:49:00, 535.2, 535.2, 535.2, 535.2, 62
BATAINDIA,2016-08-16 09:50:00, 535.2, 535.75, 535.1, 535.3, 211
BATAINDIA,2016-08-16 09:51:00, 535.3, 535.95, 535.3, 535.8, 248
BATAINDIA,2016-08-16 09:52:00, 535.8, 535.8, 535.15, 535.15, 297
BATAINDIA,2016-08-16 09:53:00, 535.15, 535.45, 535.15, 535.45, 16
BATAINDIA,2016-08-16 09:54:00, 535.45, 536, 535.45, 536, 391
BATAINDIA,2016-08-16 09:55:00, 536, 536, 536, 536, 1
BATAINDIA,2016-08-16 09:56:00, 536, 536.1, 535.55, 536.05, 1203
BATAINDIA,2016-08-16 09:57:00, 536.05, 536.55, 536.05, 536.55, 625
BATAINDIA,2016-08-16 09:58:00, 536.6, 536.6, 536.1, 536.1, 219
BATAINDIA,2016-08-16 09:59:00, 536.1, 536.4, 536.05, 536.2, 407
BATAINDIA,2016-08-16 10:00:00, 536.2, 536.2, 535.85, 535.85, 725
BATAINDIA,2016-08-16 10:01:00, 535.85, 536, 535.7, 536, 217
BATAINDIA,2016-08-16 10:02:00, 536, 536, 535.7, 535.7, 168
BATAINDIA,2016-08-16 10:03:00, 535.7, 535.7, 535.7, 535.7, 0
BATAINDIA,2016-08-16 10:04:00, 535.65, 535.65, 535.5, 535.65, 45
BATAINDIA,2016-08-16 10:05:00, 535.65, 535.65, 535.65, 535.65, 0
BATAINDIA,2016-08-16 10:06:00, 535.5, 535.7, 535.5, 535.7, 224
BATAINDIA,2016-08-16 10:07:00, 535.7, 536.2, 535.7, 535.85, 417
BATAINDIA,2016-08-16 10:08:00, 535.85, 536.45, 535.85, 536.45, 24
BATAINDIA,2016-08-16 10:09:00, 536.45, 536.45, 536.2, 536.4, 126
BATAINDIA,2016-08-16 10:10:00, 536.4, 536.4, 535.8, 535.8, 313
BATAINDIA,2016-08-16 10:11:00, 535.8, 536.25, 535.8, 535.95, 201
BATAINDIA,2016-08-16 10:12:00, 535.95, 536.05, 535.95, 536.05, 7
BATAINDIA,2016-08-16 10:13:00, 536.25, 536.35, 535.55, 536.35, 470
BATAINDIA,2016-08-16 10:14:00, 536.35, 536.5, 536.25, 536.5, 611
BATAINDIA,2016-08-16 10:15:00, 536.5, 536.5, 536.4, 536.5, 235
BATAINDIA,2016-08-16 10:16:00, 536.5, 536.5, 535.85, 535.85, 201
BATAINDIA,2016-08-16 10:17:00, 535.85, 535.85, 535.1, 535.1, 223
BATAINDIA,2016-08-16 10:18:00, 535.05, 535.7, 535.05, 535.7, 66
BATAINDIA,2016-08-16 10:19:00, 535.7, 535.9, 535.7, 535.75, 75
BATAINDIA,2016-08-16 10:20:00, 535.75, 535.75, 535.6, 535.6, 35
BATAINDIA,2016-08-16 10:21:00, 535.6, 535.6, 535.5, 535.5, 170
BATAINDIA,2016-08-16 10:22:00, 535.5, 535.95, 535.5, 535.95, 188
BATAINDIA,2016-08-16 10:23:00, 535.95, 535.95, 535.55, 535.55, 238
BATAINDIA,2016-08-16 10:24:00, 535.55, 535.55, 535.55, 535.55, 70
