Code,Date,Open,High,Low,Close,Volume
BEML,2016-08-16 09:15:00, 996, 996, 984.8, 987.55, 1252
BEML,2016-08-16 09:16:00, 987.5, 990.95, 987.05, 990, 684
BEML,2016-08-16 09:17:00, 990, 990.95, 988.15, 989.95, 571
BEML,2016-08-16 09:18:00, 989.95, 992.5, 989, 992.5, 3073
BEML,2016-08-16 09:19:00, 992.5, 992.5, 991.6, 991.6, 652
BEML,2016-08-16 09:20:00, 991.6, 991.6, 990.6, 990.6, 334
BEML,2016-08-16 09:21:00, 991.45, 995.2, 990.75, 992.9, 1598
BEML,2016-08-16 09:22:00, 992.9, 993.8, 992.15, 993.25, 412
BEML,2016-08-16 09:23:00, 993.95, 994, 991.55, 992.05, 1604
BEML,2016-08-16 09:24:00, 992.05, 992.9, 991.65, 992.9, 199
BEML,2016-08-16 09:25:00, 992.9, 993.6, 991.55, 991.55, 392
BEML,2016-08-16 09:26:00, 991.55, 994.3, 990.1, 993.4, 798
BEML,2016-08-16 09:27:00, 993.4, 994.05, 992.45, 994, 758
BEML,2016-08-16 09:28:00, 994, 994.95, 993.55, 994.95, 1005
BEML,2016-08-16 09:29:00, 994.95, 995, 994, 995, 146
BEML,2016-08-16 09:30:00, 995, 996.9, 994, 996.85, 804
BEML,2016-08-16 09:31:00, 996.85, 997, 996.5, 996.6, 561
BEML,2016-08-16 09:32:00, 996.6, 996.6, 995.9, 995.9, 215
BEML,2016-08-16 09:33:00, 995.9, 996.5, 993, 993.95, 1643
BEML,2016-08-16 09:34:00, 994.1, 994.15, 994, 994, 1606
BEML,2016-08-16 09:35:00, 994, 995, 994, 994.95, 1048
BEML,2016-08-16 09:36:00, 994.95, 994.95, 993.6, 994.5, 158
BEML,2016-08-16 09:37:00, 994.5, 994.6, 994.05, 994.55, 186
BEML,2016-08-16 09:38:00, 994.55, 997, 994.35, 996.05, 1129
BEML,2016-08-16 09:39:00, 996.5, 998, 995.85, 995.85, 2583
BEML,2016-08-16 09:40:00, 995.7, 995.75, 993.4, 993.4, 1973
BEML,2016-08-16 09:41:00, 993.45, 995.9, 993.15, 995.9, 2534
BEML,2016-08-16 09:42:00, 995.9, 995.9, 994.75, 995.1, 629
