Code,Date,Open,High,Low,Close,Volume
BHARATFORG,2016-08-16 09:15:00, 823.9, 826.3, 823.05, 826.3, 5649
BHARATFORG,2016-08-16 09:16:00, 826.3, 826.95, 824.55, 825.05, 2545
BHARATFORG,2016-08-16 09:17:00, 825.05, 825.25, 821.15, 821.15, 7391
BHARATFORG,2016-08-16 09:18:00, 821.6, 822.05, 818.15, 820, 7898
BHARATFORG,2016-08-16 09:19:00, 820, 821.05, 820, 821, 1734
BHARATFORG,2016-08-16 09:20:00, 821.3, 822.75, 821.15, 822.45, 754
BHARATFORG,2016-08-16 09:21:00, 822.4, 824, 821.9, 821.9, 6669
BHARATFORG,2016-08-16 09:22:00, 822.25, 822.95, 821.1, 822.9, 1880
BHARATFORG,2016-08-16 09:23:00, 822.85, 822.85, 820.55, 820.55, 1337
BHARATFORG,2016-08-16 09:25:00, 821.6, 821.95, 820.2, 820.6, 2734
BHARATFORG,2016-08-16 09:26:00, 821.2, 821.95, 821, 821.7, 989
BHARATFORG,2016-08-16 09:27:00, 821.7, 822.75, 821.65, 822.75, 504
BHARATFORG,2016-08-16 09:28:00, 822.75, 824.05, 822.7, 824, 2253
BHARATFORG,2016-08-16 09:29:00, 824, 824.85, 824, 824.85, 2683
BHARATFORG,2016-08-16 09:24:00, 821.05, 821.75, 820.65, 821.55, 1156
BHARATFORG,2016-08-16 09:30:00, 824.85, 825.5, 824.5, 825.5, 2447
BHARATFORG,2016-08-16 09:31:00, 825.5, 826.65, 825.5, 826, 2895
BHARATFORG,2016-08-16 09:32:00, 826, 826.95, 826, 826.8, 2756
BHARATFORG,2016-08-16 09:33:00, 826.75, 827, 824.3, 825.5, 4372
BHARATFORG,2016-08-16 09:34:00, 825.5, 825.5, 824.25, 825.45, 1697
BHARATFORG,2016-08-16 09:35:00, 826.35, 826.35, 825.05, 825.8, 1797
BHARATFORG,2016-08-16 09:36:00, 825.8, 827, 825.35, 826, 4131
BHARATFORG,2016-08-16 09:37:00, 826, 826.05, 825.55, 825.9, 1997
BHARATFORG,2016-08-16 09:39:00, 826, 831.15, 825.75, 831.15, 17116
BHARATFORG,2016-08-16 09:38:00, 825.9, 826.2, 825.45, 826, 1170
BHARATFORG,2016-08-16 09:40:00, 831, 833.1, 831, 831.65, 23683
BHARATFORG,2016-08-16 09:41:00, 831.65, 831.85, 828.4, 830.9, 8066
BHARATFORG,2016-08-16 09:42:00, 830.8, 832.2, 830.25, 830.9, 10097
BHARATFORG,2016-08-16 09:43:00, 831.05, 832.05, 830.05, 830.05, 9954
BHARATFORG,2016-08-16 09:44:00, 830, 830.75, 829.35, 830.25, 1986
BHARATFORG,2016-08-16 09:45:00, 830.25, 831.15, 830.25, 830.55, 1754
BHARATFORG,2016-08-16 09:46:00, 830.25, 831.2, 830.05, 830.25, 2176
BHARATFORG,2016-08-16 09:47:00, 830, 830.25, 827.6, 828, 2798
BHARATFORG,2016-08-16 09:48:00, 828, 828.8, 827.95, 828.05, 1204
BHARATFORG,2016-08-16 09:49:00, 828.05, 829.4, 828, 828.6, 2089
BHARATFORG,2016-08-16 09:50:00, 828.6, 829.25, 828.6, 828.9, 986
BHARATFORG,2016-08-16 09:51:00, 828.65, 829.95, 828.6, 828.95, 2444
BHARATFORG,2016-08-16 09:52:00, 828.95, 829.45, 828.65, 828.7, 1255
BHARATFORG,2016-08-16 09:53:00, 828.7, 828.95, 828.1, 828.1, 1865
BHARATFORG,2016-08-16 09:54:00, 828.1, 828.8, 827.95, 828.2, 2798
BHARATFORG,2016-08-16 09:55:00, 828.6, 829.5, 828.2, 828.65, 2323
BHARATFORG,2016-08-16 09:56:00, 828.8, 829.3, 828.55, 829.3, 615
BHARATFORG,2016-08-16 09:57:00, 829.3, 830.5, 829.3, 830.05, 2338
BHARATFORG,2016-08-16 09:58:00, 830.05, 830.05, 828.5, 829, 479
BHARATFORG,2016-08-16 09:59:00, 829, 829, 828.5, 828.6, 374
BHARATFORG,2016-08-16 10:00:00, 828.6, 828.9, 828.15, 828.45, 1501
BHARATFORG,2016-08-16 10:01:00, 828.45, 829.15, 828.4, 828.4, 738
BHARATFORG,2016-08-16 10:02:00, 828.4, 830.25, 828.4, 830.15, 1461
BHARATFORG,2016-08-16 10:03:00, 829.7, 829.7, 828.75, 828.75, 226
BHARATFORG,2016-08-16 10:04:00, 828.75, 829, 828.1, 829, 615
BHARATFORG,2016-08-16 10:05:00, 829, 829.05, 828.4, 828.4, 842
BHARATFORG,2016-08-16 10:06:00, 828.4, 828.4, 826.65, 827.05, 2102
BHARATFORG,2016-08-16 10:07:00, 827.05, 827.05, 824.6, 825.9, 8357
BHARATFORG,2016-08-16 10:08:00, 825.9, 825.9, 824.65, 824.65, 2032
BHARATFORG,2016-08-16 10:09:00, 824.65, 825.3, 824, 825.1, 1312
BHARATFORG,2016-08-16 10:10:00, 825.05, 825.15, 823.55, 823.55, 5697
BHARATFORG,2016-08-16 10:11:00, 822.3, 822.45, 820.6, 821.65, 12143
BHARATFORG,2016-08-16 10:12:00, 821.65, 822, 820.9, 822, 2649
BHARATFORG,2016-08-16 10:13:00, 822, 822.8, 821.85, 822.8, 2736
BHARATFORG,2016-08-16 10:14:00, 822.8, 822.8, 821.75, 822.05, 1267
BHARATFORG,2016-08-16 10:15:00, 821.65, 821.75, 821, 821, 2273
BHARATFORG,2016-08-16 10:16:00, 821, 821, 820.75, 820.9, 1770
BHARATFORG,2016-08-16 10:17:00, 820.95, 820.95, 820, 820.1, 4609
BHARATFORG,2016-08-16 10:18:00, 820.3, 821.1, 820, 820.5, 2269
BHARATFORG,2016-08-16 10:19:00, 820.5, 821.95, 820.5, 821.85, 2299
BHARATFORG,2016-08-16 10:20:00, 821.85, 822.45, 821.85, 822.05, 966
BHARATFORG,2016-08-16 10:21:00, 822.05, 822.35, 822, 822.05, 884
BHARATFORG,2016-08-16 10:22:00, 822.05, 823.6, 822.05, 823.5, 989
BHARATFORG,2016-08-16 10:23:00, 823.5, 824.3, 823.5, 824, 2076
BHARATFORG,2016-08-16 10:24:00, 824, 824.45, 824, 824.4, 782
BHARATFORG,2016-08-16 10:25:00, 824.4, 824.4, 823.4, 824.1, 1961
BHARATFORG,2016-08-16 10:26:00, 823.95, 824.3, 823.8, 824, 512
BHARATFORG,2016-08-16 10:27:00, 824, 824, 823.05, 823.75, 484
BHARATFORG,2016-08-16 10:28:00, 823.75, 823.75, 823.05, 823.05, 193
BHARATFORG,2016-08-16 10:29:00, 823.05, 823.2, 822.65, 822.9, 446
BHARATFORG,2016-08-16 10:30:00, 822.9, 823.35, 822.9, 823.05, 850
BHARATFORG,2016-08-16 10:31:00, 823.05, 823.2, 822.7, 822.7, 173
BHARATFORG,2016-08-16 10:32:00, 822.7, 823, 822.7, 823, 66
BHARATFORG,2016-08-16 10:33:00, 822.95, 822.95, 822.45, 822.5, 282
BHARATFORG,2016-08-16 10:34:00, 822.55, 823, 822.35, 822.5, 416
BHARATFORG,2016-08-16 10:35:00, 822.5, 823.7, 822.5, 823.7, 220
BHARATFORG,2016-08-16 10:36:00, 823.85, 824.4, 823.1, 824.3, 1455
BHARATFORG,2016-08-16 10:37:00, 824.3, 824.3, 823.9, 823.9, 86
BHARATFORG,2016-08-16 10:38:00, 823.9, 824.45, 823.9, 824.15, 746
BHARATFORG,2016-08-16 10:39:00, 824.15, 824.15, 823.85, 823.95, 71
BHARATFORG,2016-08-16 10:40:00, 823.95, 823.95, 823.45, 823.55, 236
BHARATFORG,2016-08-16 10:41:00, 823.55, 823.55, 822.65, 823.3, 484
BHARATFORG,2016-08-16 10:42:00, 823.3, 823.3, 822.5, 823, 591
BHARATFORG,2016-08-16 10:43:00, 822.9, 823.6, 822.3, 823.6, 425
BHARATFORG,2016-08-16 10:44:00, 823.6, 823.6, 823, 823, 155
BHARATFORG,2016-08-16 10:45:00, 823.05, 823.4, 822.85, 823.05, 247
BHARATFORG,2016-08-16 10:46:00, 823.05, 823.05, 822.6, 822.95, 108
BHARATFORG,2016-08-16 10:47:00, 822.95, 822.95, 822.2, 822.35, 946
BHARATFORG,2016-08-16 10:48:00, 822.35, 823.45, 822.35, 823.45, 238
BHARATFORG,2016-08-16 10:49:00, 823.45, 823.5, 823.4, 823.5, 35
BHARATFORG,2016-08-16 10:50:00, 823.5, 823.55, 823.25, 823.55, 292
BHARATFORG,2016-08-16 10:51:00, 823.55, 823.8, 823.25, 823.25, 204
BHARATFORG,2016-08-16 10:52:00, 823.25, 823.8, 823, 823, 240
BHARATFORG,2016-08-16 10:53:00, 823, 823, 822.75, 822.75, 48
BHARATFORG,2016-08-16 10:54:00, 822.75, 822.8, 822.5, 822.8, 359
BHARATFORG,2016-08-16 10:55:00, 822.8, 822.8, 822.2, 822.65, 234
BHARATFORG,2016-08-16 10:56:00, 822.65, 822.65, 822.05, 822.05, 181
BHARATFORG,2016-08-16 10:57:00, 822.05, 822.35, 822, 822.15, 519
BHARATFORG,2016-08-16 10:58:00, 822.15, 822.15, 821, 821, 1615
BHARATFORG,2016-08-16 10:59:00, 821, 821, 815.5, 815.6, 14096
BHARATFORG,2016-08-16 11:00:00, 815.5, 817.35, 815.5, 816.6, 7650
BHARATFORG,2016-08-16 11:01:00, 816, 818.45, 816, 818, 5109
BHARATFORG,2016-08-16 11:02:00, 818, 820.85, 818, 820.2, 3487
BHARATFORG,2016-08-16 11:03:00, 820.2, 820.2, 818.6, 819.8, 2347
BHARATFORG,2016-08-16 11:04:00, 819.75, 820, 819.25, 820, 1024
BHARATFORG,2016-08-16 11:05:00, 820, 820, 818.05, 819.45, 2050
BHARATFORG,2016-08-16 11:06:00, 819.45, 819.45, 818.65, 819.25, 832
BHARATFORG,2016-08-16 11:07:00, 819.25, 819.3, 818.4, 819.3, 2297
BHARATFORG,2016-08-16 11:08:00, 819.3, 819.65, 817.4, 817.8, 1317
BHARATFORG,2016-08-16 11:09:00, 818.25, 818.8, 817.75, 818.75, 231
BHARATFORG,2016-08-16 11:10:00, 818.75, 819.8, 818.75, 819.7, 800
BHARATFORG,2016-08-16 11:11:00, 819.5, 819.7, 819.1, 819.5, 850
BHARATFORG,2016-08-16 11:12:00, 819.2, 819.5, 819.2, 819.5, 335
BHARATFORG,2016-08-16 11:13:00, 819.5, 819.6, 817.2, 818.85, 2892
BHARATFORG,2016-08-16 11:14:00, 818.85, 819.7, 818.75, 819.2, 172
BHARATFORG,2016-08-16 11:15:00, 819.2, 819.2, 818.5, 818.9, 531
BHARATFORG,2016-08-16 11:16:00, 818.9, 819.7, 818.9, 818.95, 962
BHARATFORG,2016-08-16 11:17:00, 818.95, 818.95, 818.5, 818.5, 317
BHARATFORG,2016-08-16 11:18:00, 818.5, 819.3, 818.5, 818.8, 857
BHARATFORG,2016-08-16 11:19:00, 818.8, 819.15, 818.25, 818.25, 791
BHARATFORG,2016-08-16 11:20:00, 818.25, 818.25, 817.8, 818.2, 1180
BHARATFORG,2016-08-16 11:21:00, 818.2, 818.2, 818, 818.2, 297
BHARATFORG,2016-08-16 11:22:00, 818.2, 818.25, 818, 818.25, 153
BHARATFORG,2016-08-16 11:23:00, 818.15, 818.15, 818, 818, 398
BHARATFORG,2016-08-16 11:24:00, 818, 818.15, 818, 818.15, 111
BHARATFORG,2016-08-16 11:25:00, 818.1, 818.55, 817.6, 818.55, 1066
BHARATFORG,2016-08-16 11:26:00, 818.55, 818.55, 818.15, 818.45, 151
BHARATFORG,2016-08-16 11:27:00, 818.45, 818.45, 818.05, 818.25, 405
BHARATFORG,2016-08-16 11:28:00, 818.25, 818.25, 817, 817, 1571
BHARATFORG,2016-08-16 11:29:00, 817, 817.65, 817, 817.65, 301
BHARATFORG,2016-08-16 11:30:00, 817.65, 817.8, 817, 817, 279
BHARATFORG,2016-08-16 11:31:00, 817, 817.55, 817, 817.2, 255
BHARATFORG,2016-08-16 11:32:00, 817.2, 817.9, 816.3, 816.3, 753
BHARATFORG,2016-08-16 11:33:00, 816.3, 817.5, 816.3, 817.4, 1365
BHARATFORG,2016-08-16 11:34:00, 817.4, 817.4, 816.4, 817.15, 1299
BHARATFORG,2016-08-16 11:35:00, 817.15, 817.15, 817, 817, 30
BHARATFORG,2016-08-16 11:36:00, 817, 817, 816.2, 816.2, 884
BHARATFORG,2016-08-16 11:37:00, 816.2, 816.2, 813, 813.3, 8856
BHARATFORG,2016-08-16 11:38:00, 813, 813.75, 812.2, 813.75, 4891
BHARATFORG,2016-08-16 11:39:00, 813.5, 813.85, 810.65, 811.2, 6495
BHARATFORG,2016-08-16 11:40:00, 810.75, 814, 810.75, 814, 1900
BHARATFORG,2016-08-16 11:41:00, 814, 815.45, 813.45, 813.95, 4169
BHARATFORG,2016-08-16 11:42:00, 813.85, 815, 812.25, 814.8, 1039
BHARATFORG,2016-08-16 11:43:00, 814.7, 814.7, 813.55, 814.6, 654
BHARATFORG,2016-08-16 11:44:00, 814.6, 814.75, 814.3, 814.75, 70
BHARATFORG,2016-08-16 11:45:00, 814.75, 816.95, 814.75, 816.95, 1582
BHARATFORG,2016-08-16 11:46:00, 816.95, 819.85, 816.35, 819.55, 4988
BHARATFORG,2016-08-16 11:47:00, 819.55, 819.55, 818, 819, 1347
BHARATFORG,2016-08-16 11:48:00, 819, 819, 816.4, 817.95, 1885
BHARATFORG,2016-08-16 11:49:00, 817.7, 817.7, 816.25, 817, 784
BHARATFORG,2016-08-16 11:50:00, 816.45, 816.95, 816.45, 816.55, 116
BHARATFORG,2016-08-16 11:51:00, 816.55, 816.85, 816.55, 816.85, 80
BHARATFORG,2016-08-16 11:52:00, 816.85, 816.85, 816.1, 816.15, 293
BHARATFORG,2016-08-16 11:53:00, 816.15, 816.15, 814.8, 815, 976
BHARATFORG,2016-08-16 11:54:00, 815.1, 816.55, 814.8, 816.35, 2201
