Code,Date,Open,High,Low,Close,Volume
BHARTIARTL,2016-08-16 09:15:00, 348.5, 350.6, 348.05, 348.2, 36239
BHARTIARTL,2016-08-16 09:16:00, 348.3, 348.75, 347.55, 348.6, 14144
BHARTIARTL,2016-08-16 09:17:00, 348.6, 349.45, 348, 348, 20253
BHARTIARTL,2016-08-16 09:18:00, 347.9, 347.9, 347, 347.15, 16090
BHARTIARTL,2016-08-16 09:19:00, 347.15, 347.9, 346.7, 346.75, 13544
BHARTIARTL,2016-08-16 09:20:00, 346.65, 346.95, 345.75, 346.35, 18643
BHARTIARTL,2016-08-16 09:21:00, 346.35, 346.45, 345.65, 345.7, 9383
BHARTIARTL,2016-08-16 09:22:00, 345.75, 345.75, 344.5, 345.25, 21531
BHARTIARTL,2016-08-16 09:23:00, 345.25, 345.8, 344.75, 344.75, 8662
BHARTIARTL,2016-08-16 09:24:00, 344.75, 345, 344.5, 344.5, 8669
BHARTIARTL,2016-08-16 09:25:00, 344.6, 344.6, 343.65, 343.65, 9969
BHARTIARTL,2016-08-16 09:26:00, 343.65, 344.65, 343.4, 344.65, 12326
BHARTIARTL,2016-08-16 09:27:00, 344.65, 344.95, 344.45, 344.9, 4986
BHARTIARTL,2016-08-16 09:28:00, 344.6, 345.55, 344.6, 345.35, 3746
BHARTIARTL,2016-08-16 09:29:00, 345.3, 345.45, 345.2, 345.35, 3457
BHARTIARTL,2016-08-16 09:30:00, 345.35, 345.35, 343.6, 344.2, 16670
BHARTIARTL,2016-08-16 09:31:00, 344.2, 344.5, 343.9, 344.5, 4036
BHARTIARTL,2016-08-16 09:32:00, 344.5, 344.75, 344.35, 344.75, 7222
BHARTIARTL,2016-08-16 09:33:00, 344.6, 344.75, 344.2, 344.2, 6267
BHARTIARTL,2016-08-16 09:34:00, 344.2, 344.3, 343.7, 344.05, 7964
BHARTIARTL,2016-08-16 09:35:00, 344.05, 344.2, 343.75, 344.15, 5707
BHARTIARTL,2016-08-16 09:36:00, 344.15, 344.45, 343.7, 343.7, 8937
BHARTIARTL,2016-08-16 09:37:00, 343.9, 344.2, 343.6, 344.1, 6362
BHARTIARTL,2016-08-16 09:38:00, 344.1, 344.55, 344.05, 344.25, 5176
BHARTIARTL,2016-08-16 09:39:00, 344.25, 344.8, 344.25, 344.8, 7280
BHARTIARTL,2016-08-16 09:40:00, 344.7, 344.75, 344.5, 344.65, 16637
BHARTIARTL,2016-08-16 09:41:00, 344.65, 344.8, 344.55, 344.7, 1560
BHARTIARTL,2016-08-16 09:42:00, 344.65, 345, 344.5, 345, 15322
BHARTIARTL,2016-08-16 09:43:00, 345, 346.15, 345, 346.1, 6750
BHARTIARTL,2016-08-16 09:44:00, 346.05, 346.7, 345.95, 346.55, 8743
BHARTIARTL,2016-08-16 09:45:00, 346.5, 346.5, 345.95, 346.25, 9727
BHARTIARTL,2016-08-16 09:46:00, 346.25, 346.5, 345.9, 346.35, 7123
BHARTIARTL,2016-08-16 09:47:00, 346.35, 346.5, 346.1, 346.25, 2488
BHARTIARTL,2016-08-16 09:48:00, 346.1, 346.35, 346.05, 346.35, 3524
BHARTIARTL,2016-08-16 09:49:00, 346.3, 346.4, 346.15, 346.25, 3597
BHARTIARTL,2016-08-16 09:50:00, 346.25, 346.4, 346.05, 346.35, 3110
BHARTIARTL,2016-08-16 09:51:00, 346.3, 346.55, 346.25, 346.45, 5035
BHARTIARTL,2016-08-16 09:52:00, 346.45, 346.45, 346.3, 346.35, 4922
BHARTIARTL,2016-08-16 09:53:00, 346.3, 346.45, 345.75, 346.25, 5003
BHARTIARTL,2016-08-16 09:54:00, 346.3, 346.75, 345.95, 346.2, 9129
BHARTIARTL,2016-08-16 09:55:00, 346.15, 346.35, 345.6, 345.8, 8579
BHARTIARTL,2016-08-16 09:56:00, 345.9, 346.05, 345.8, 346.05, 4611
BHARTIARTL,2016-08-16 09:57:00, 345.9, 346.4, 345.9, 346.1, 2537
BHARTIARTL,2016-08-16 09:58:00, 346.1, 346.1, 345.25, 345.35, 6448
BHARTIARTL,2016-08-16 09:59:00, 345.3, 346.05, 345.3, 346.05, 4721
BHARTIARTL,2016-08-16 10:00:00, 346.05, 346.4, 345.95, 346.15, 2968
BHARTIARTL,2016-08-16 10:01:00, 346.1, 346.25, 346.05, 346.1, 2348
BHARTIARTL,2016-08-16 10:02:00, 346.1, 346.4, 346.05, 346.05, 4904
BHARTIARTL,2016-08-16 10:03:00, 346.05, 346.35, 345.7, 346.3, 7621
BHARTIARTL,2016-08-16 10:04:00, 346.3, 346.3, 345.6, 345.75, 2850
BHARTIARTL,2016-08-16 10:05:00, 345.65, 346, 345.2, 346, 5120
BHARTIARTL,2016-08-16 10:06:00, 346.05, 346.3, 345.9, 346.3, 3016
BHARTIARTL,2016-08-16 10:07:00, 346.3, 346.55, 346.15, 346.5, 4047
BHARTIARTL,2016-08-16 10:08:00, 346.5, 347.1, 346.35, 347.1, 9106
BHARTIARTL,2016-08-16 10:09:00, 347.15, 347.8, 347.15, 347.75, 12435
BHARTIARTL,2016-08-16 10:10:00, 347.75, 349.15, 347.7, 349.05, 24675
BHARTIARTL,2016-08-16 10:11:00, 349.15, 349.75, 349.15, 349.6, 20437
BHARTIARTL,2016-08-16 10:12:00, 349.7, 349.75, 349.5, 349.6, 11469
BHARTIARTL,2016-08-16 10:13:00, 349.45, 349.7, 349.4, 349.65, 9397
BHARTIARTL,2016-08-16 10:14:00, 349.65, 351, 349.55, 350.85, 22854
BHARTIARTL,2016-08-16 10:15:00, 350.75, 351, 350.55, 350.85, 12593
BHARTIARTL,2016-08-16 10:16:00, 350.85, 350.85, 350.05, 350.1, 8415
BHARTIARTL,2016-08-16 10:17:00, 350.1, 350.75, 349, 350.5, 15659
BHARTIARTL,2016-08-16 10:18:00, 350.5, 350.5, 349.65, 350, 7540
BHARTIARTL,2016-08-16 10:19:00, 350, 350.4, 349.8, 349.95, 4982
BHARTIARTL,2016-08-16 10:20:00, 349.95, 350.1, 349.55, 349.9, 3691
BHARTIARTL,2016-08-16 10:21:00, 349.9, 349.9, 349.3, 349.5, 3085
BHARTIARTL,2016-08-16 10:22:00, 349.5, 349.65, 349.3, 349.65, 3735
BHARTIARTL,2016-08-16 10:23:00, 349.6, 349.6, 348.65, 349.05, 13206
BHARTIARTL,2016-08-16 10:24:00, 349.05, 349.1, 348.7, 348.8, 4796
BHARTIARTL,2016-08-16 10:25:00, 348.8, 349.1, 348.65, 349, 4294
BHARTIARTL,2016-08-16 10:26:00, 349, 349, 348.45, 348.6, 2837
BHARTIARTL,2016-08-16 10:27:00, 348.65, 348.65, 348.3, 348.5, 4508
BHARTIARTL,2016-08-16 10:28:00, 348.5, 349.35, 348.5, 349.3, 18519
BHARTIARTL,2016-08-16 10:29:00, 349.25, 349.25, 348.6, 348.95, 10060
BHARTIARTL,2016-08-16 10:30:00, 348.95, 349.1, 348.9, 349.05, 3087
BHARTIARTL,2016-08-16 10:31:00, 349.1, 349.2, 349, 349.1, 6884
BHARTIARTL,2016-08-16 10:32:00, 349.1, 349.2, 348.9, 349.15, 4248
BHARTIARTL,2016-08-16 10:33:00, 349.15, 349.2, 349, 349.2, 3688
BHARTIARTL,2016-08-16 10:34:00, 349.2, 349.35, 349.15, 349.3, 6022
BHARTIARTL,2016-08-16 10:35:00, 349.3, 349.95, 349.3, 349.85, 8950
BHARTIARTL,2016-08-16 10:36:00, 349.85, 349.85, 349.5, 349.7, 5847
BHARTIARTL,2016-08-16 10:37:00, 349.7, 350, 349.6, 350, 7304
BHARTIARTL,2016-08-16 10:38:00, 350.15, 350.4, 350.05, 350.35, 6341
BHARTIARTL,2016-08-16 10:39:00, 350.3, 350.35, 350, 350.25, 5071
BHARTIARTL,2016-08-16 10:40:00, 350.3, 350.3, 349.6, 349.6, 5309
BHARTIARTL,2016-08-16 10:41:00, 349.6, 349.65, 349.25, 349.35, 2442
BHARTIARTL,2016-08-16 10:42:00, 349.3, 349.45, 349.25, 349.3, 3484
BHARTIARTL,2016-08-16 10:43:00, 349.35, 349.35, 349, 349.05, 4351
BHARTIARTL,2016-08-16 10:44:00, 349.05, 349.15, 348.6, 348.6, 1416
BHARTIARTL,2016-08-16 10:45:00, 348.6, 348.75, 348.55, 348.65, 2849
BHARTIARTL,2016-08-16 10:46:00, 348.75, 348.75, 348.5, 348.55, 2211
BHARTIARTL,2016-08-16 10:47:00, 348.6, 348.75, 348.5, 348.5, 4839
BHARTIARTL,2016-08-16 10:48:00, 348.5, 348.65, 348.5, 348.55, 1991
BHARTIARTL,2016-08-16 10:49:00, 348.55, 348.65, 348.5, 348.6, 2374
BHARTIARTL,2016-08-16 10:50:00, 348.55, 348.7, 348.5, 348.7, 2300
BHARTIARTL,2016-08-16 10:51:00, 348.7, 348.7, 348.6, 348.7, 2602
BHARTIARTL,2016-08-16 10:52:00, 348.7, 349.75, 348.7, 349.75, 14445
BHARTIARTL,2016-08-16 10:53:00, 349.7, 349.9, 349.55, 349.55, 3083
BHARTIARTL,2016-08-16 10:54:00, 349.55, 349.7, 349.4, 349.6, 2445
BHARTIARTL,2016-08-16 10:55:00, 349.6, 349.75, 349.4, 349.4, 2732
BHARTIARTL,2016-08-16 10:56:00, 349.4, 349.8, 349.25, 349.35, 9229
BHARTIARTL,2016-08-16 10:57:00, 349.5, 350.25, 349.4, 350.25, 13999
BHARTIARTL,2016-08-16 10:58:00, 350.25, 350.25, 349.65, 349.8, 3678
BHARTIARTL,2016-08-16 10:59:00, 349.8, 349.8, 349.05, 349.45, 3452
BHARTIARTL,2016-08-16 11:00:00, 349.45, 349.45, 348.7, 348.85, 2803
BHARTIARTL,2016-08-16 11:01:00, 348.85, 349.2, 348.55, 349.15, 5879
BHARTIARTL,2016-08-16 11:02:00, 349.15, 349.35, 348.8, 349, 2729
BHARTIARTL,2016-08-16 11:03:00, 348.95, 349.3, 348.8, 349.1, 3366
BHARTIARTL,2016-08-16 11:04:00, 349.1, 349.45, 348.95, 348.95, 2404
BHARTIARTL,2016-08-16 11:05:00, 348.95, 348.95, 348.65, 348.7, 4465
