Code,Date,Open,High,Low,Close,Volume
BHEL,2016-08-16 09:15:00, 139, 139, 138.55, 138.55, 40145
BHEL,2016-08-16 09:16:00, 138.7, 138.7, 138.05, 138.05, 9648
BHEL,2016-08-16 09:17:00, 138.1, 138.15, 137.75, 137.75, 46270
BHEL,2016-08-16 09:18:00, 137.7, 137.75, 136.8, 136.8, 52464
BHEL,2016-08-16 09:19:00, 136.8, 137.05, 136.75, 137, 24914
BHEL,2016-08-16 09:20:00, 137.05, 137.35, 136.95, 137.35, 40528
BHEL,2016-08-16 09:21:00, 137.4, 137.45, 137.25, 137.3, 27736
BHEL,2016-08-16 09:22:00, 137.3, 137.35, 137.15, 137.25, 14697
BHEL,2016-08-16 09:23:00, 137.25, 137.4, 137.15, 137.25, 20172
BHEL,2016-08-16 09:24:00, 137.25, 137.25, 137.1, 137.1, 9483
BHEL,2016-08-16 09:25:00, 137.15, 137.4, 137, 137, 24499
BHEL,2016-08-16 09:26:00, 137, 137.5, 137, 137.45, 9709
BHEL,2016-08-16 09:27:00, 137.4, 137.7, 137.4, 137.65, 16338
BHEL,2016-08-16 09:28:00, 137.7, 137.75, 137.6, 137.65, 9699
BHEL,2016-08-16 09:29:00, 137.6, 137.8, 137.6, 137.7, 10107
BHEL,2016-08-16 09:30:00, 137.7, 138, 137.7, 137.85, 15464
BHEL,2016-08-16 09:31:00, 137.85, 138, 137.8, 137.95, 25765
BHEL,2016-08-16 09:32:00, 137.75, 137.9, 137.7, 137.9, 17982
BHEL,2016-08-16 09:33:00, 137.9, 137.9, 137.3, 137.3, 24620
BHEL,2016-08-16 09:34:00, 137.3, 137.45, 137.2, 137.4, 17559
BHEL,2016-08-16 09:35:00, 137.4, 137.55, 137.35, 137.4, 10559
BHEL,2016-08-16 09:36:00, 137.4, 137.4, 137.25, 137.3, 5304
BHEL,2016-08-16 09:37:00, 137.3, 137.6, 137.2, 137.45, 7009
BHEL,2016-08-16 09:38:00, 137.65, 137.65, 137.25, 137.35, 4628
BHEL,2016-08-16 09:39:00, 137.35, 137.85, 137.3, 137.8, 8644
BHEL,2016-08-16 09:40:00, 137.8, 137.8, 137.5, 137.6, 6098
BHEL,2016-08-16 09:41:00, 137.6, 137.9, 137.4, 137.8, 12487
BHEL,2016-08-16 09:42:00, 137.8, 137.8, 137.55, 137.6, 7105
BHEL,2016-08-16 09:43:00, 137.6, 137.85, 137.6, 137.65, 7638
BHEL,2016-08-16 09:44:00, 137.65, 137.75, 137.65, 137.7, 1301
BHEL,2016-08-16 09:45:00, 137.65, 137.7, 137.6, 137.6, 3770
BHEL,2016-08-16 09:46:00, 137.6, 137.7, 137.6, 137.7, 3606
