Code,Date,Open,High,Low,Close,Volume
BIOCON,2016-08-16 09:16:00, 845.95, 845.95, 845.25, 845.35, 4116
BIOCON,2016-08-16 09:15:00, 841.95, 845.85, 841.95, 845.4, 4221
BIOCON,2016-08-16 09:17:00, 844.95, 846, 844.9, 845.7, 8369
BIOCON,2016-08-16 09:18:00, 846, 846.8, 845.95, 845.95, 3291
BIOCON,2016-08-16 09:19:00, 846.45, 847.5, 845.9, 845.9, 3218
BIOCON,2016-08-16 09:20:00, 846, 846.6, 845.55, 846, 2196
BIOCON,2016-08-16 09:21:00, 846.45, 847.5, 846.35, 847.2, 2391
BIOCON,2016-08-16 09:22:00, 847.5, 847.7, 846.6, 847.7, 4071
BIOCON,2016-08-16 09:23:00, 847.95, 849.9, 847.75, 848, 4723
BIOCON,2016-08-16 09:24:00, 848, 848.4, 846.95, 847.55, 3882
BIOCON,2016-08-16 09:25:00, 847.55, 848.6, 843, 845.55, 21970
BIOCON,2016-08-16 09:26:00, 845.1, 845.35, 844.55, 845, 3003
BIOCON,2016-08-16 09:27:00, 845, 845.3, 844.8, 845, 3136
BIOCON,2016-08-16 09:28:00, 845, 845.25, 845, 845.25, 1288
BIOCON,2016-08-16 09:29:00, 845.2, 845.3, 845.1, 845.3, 2100
BIOCON,2016-08-16 09:30:00, 845.3, 845.3, 844, 844.75, 3957
BIOCON,2016-08-16 09:31:00, 844.75, 845, 844.75, 845, 3176
BIOCON,2016-08-16 09:32:00, 845, 845, 844.9, 844.95, 784
BIOCON,2016-08-16 09:33:00, 844.95, 845.2, 844.05, 845.2, 6757
BIOCON,2016-08-16 09:34:00, 845.25, 845.25, 845, 845.25, 4852
BIOCON,2016-08-16 09:35:00, 845.25, 845.25, 844.2, 844.3, 1146
BIOCON,2016-08-16 09:36:00, 844.3, 844.6, 844, 844, 584
BIOCON,2016-08-16 09:37:00, 844, 844.7, 843.5, 843.85, 2127
BIOCON,2016-08-16 09:38:00, 843.5, 843.5, 840.6, 841, 6433
BIOCON,2016-08-16 09:39:00, 841, 844.2, 841, 843.15, 1896
BIOCON,2016-08-16 09:40:00, 843.15, 843.15, 839, 839.4, 24255
BIOCON,2016-08-16 09:41:00, 839.7, 840, 838.85, 839.45, 6300
BIOCON,2016-08-16 09:42:00, 840, 840, 838.45, 838.45, 8846
BIOCON,2016-08-16 09:43:00, 838.4, 839.65, 838.4, 838.95, 8729
BIOCON,2016-08-16 09:44:00, 838.95, 839.4, 838.65, 839, 4749
BIOCON,2016-08-16 09:45:00, 839.05, 839.25, 838.5, 839.05, 7340
BIOCON,2016-08-16 09:46:00, 839.2, 839.55, 838.3, 838.55, 3890
BIOCON,2016-08-16 09:47:00, 839, 839, 837.55, 837.55, 5737
BIOCON,2016-08-16 09:48:00, 837.6, 837.8, 836.4, 836.4, 6847
BIOCON,2016-08-16 09:49:00, 836.4, 837.2, 833.35, 835, 22062
BIOCON,2016-08-16 09:50:00, 834.5, 836.5, 834.5, 836.45, 5710
BIOCON,2016-08-16 09:51:00, 836.45, 837.05, 835, 835.9, 6902
BIOCON,2016-08-16 09:52:00, 836, 836.8, 835.1, 835.1, 5279
BIOCON,2016-08-16 09:53:00, 835.4, 835.4, 834.4, 835.15, 3934
BIOCON,2016-08-16 09:54:00, 835.45, 835.5, 834.5, 834.9, 1389
BIOCON,2016-08-16 09:55:00, 834.9, 836, 834.5, 835.15, 1141
BIOCON,2016-08-16 09:56:00, 835.15, 836, 834.7, 835.25, 1906
BIOCON,2016-08-16 09:57:00, 836, 836, 835.2, 835.8, 10063
BIOCON,2016-08-16 09:58:00, 835.8, 836, 835, 835.6, 3315
BIOCON,2016-08-16 09:59:00, 836, 836, 835.25, 835.6, 4545
BIOCON,2016-08-16 10:00:00, 835.6, 836.1, 835.6, 835.6, 5411
BIOCON,2016-08-16 10:01:00, 835.15, 836.9, 835.15, 835.5, 2042
BIOCON,2016-08-16 10:02:00, 835.6, 836.55, 835.05, 835.1, 1903
BIOCON,2016-08-16 10:03:00, 835.1, 836.9, 835.1, 836.35, 1549
BIOCON,2016-08-16 10:04:00, 836, 836.75, 836, 836.2, 1273
BIOCON,2016-08-16 10:05:00, 835.75, 836.8, 835.75, 836.5, 226
