Code,Date,Open,High,Low,Close,Volume
BPCL,2016-08-16 09:15:00, 580, 587.4, 580, 587.2, 53780
BPCL,2016-08-16 09:16:00, 587.4, 588, 586.35, 586.35, 37190
BPCL,2016-08-16 09:17:00, 586.5, 589, 586.5, 588.6, 50320
BPCL,2016-08-16 09:18:00, 588.95, 589.4, 588.7, 589, 50467
BPCL,2016-08-16 09:19:00, 588.9, 589.05, 587.7, 589.05, 47260
BPCL,2016-08-16 09:20:00, 588.9, 591.4, 588.9, 591.2, 45165
BPCL,2016-08-16 09:21:00, 591.3, 591.9, 589.15, 589.5, 39783
BPCL,2016-08-16 09:22:00, 589.3, 589.45, 587.5, 587.5, 30002
BPCL,2016-08-16 09:23:00, 587.95, 588.5, 586.85, 587.4, 26610
BPCL,2016-08-16 09:24:00, 587.4, 588, 587.3, 587.85, 11764
BPCL,2016-08-16 09:25:00, 587.85, 588.55, 587.55, 588, 9977
BPCL,2016-08-16 09:26:00, 588, 588.15, 587.45, 588, 16654
BPCL,2016-08-16 09:27:00, 588, 588.4, 587.6, 588.2, 11077
BPCL,2016-08-16 09:28:00, 588.2, 588.25, 587.85, 587.95, 10484
BPCL,2016-08-16 09:29:00, 587.95, 588.5, 587.75, 588, 14237
BPCL,2016-08-16 09:30:00, 588, 588.85, 588, 588.6, 6621
BPCL,2016-08-16 09:31:00, 588.5, 588.65, 588, 588.15, 4839
BPCL,2016-08-16 09:32:00, 588.15, 588.2, 587.6, 587.9, 8111
BPCL,2016-08-16 09:33:00, 587.9, 588, 587.45, 587.7, 13070
BPCL,2016-08-16 09:34:00, 587.6, 588.2, 587.6, 588.15, 12167
BPCL,2016-08-16 09:35:00, 588, 588.3, 587.9, 587.9, 6224
BPCL,2016-08-16 09:36:00, 587.9, 588.3, 587.55, 587.55, 11211
BPCL,2016-08-16 09:37:00, 587.55, 588.3, 587.5, 588.3, 16425
BPCL,2016-08-16 09:38:00, 588.35, 588.5, 587.85, 587.85, 7725
BPCL,2016-08-16 09:39:00, 587.95, 588.45, 587.75, 588.3, 3825
BPCL,2016-08-16 09:40:00, 588.3, 588.95, 588.2, 588.55, 15312
BPCL,2016-08-16 09:41:00, 588.55, 588.65, 588.1, 588.25, 5901
BPCL,2016-08-16 09:42:00, 588.1, 589, 588, 589, 9464
BPCL,2016-08-16 09:43:00, 588.95, 589.8, 588.95, 589.75, 16415
BPCL,2016-08-16 09:44:00, 589.75, 589.85, 589.3, 589.5, 9872
BPCL,2016-08-16 09:45:00, 589.5, 590.95, 589.5, 590.8, 17831
BPCL,2016-08-16 09:46:00, 590.8, 591.6, 589.85, 590.55, 34355
BPCL,2016-08-16 09:47:00, 590.55, 590.9, 590.25, 590.9, 12566
BPCL,2016-08-16 09:48:00, 590.9, 591.75, 590.75, 590.85, 17967
BPCL,2016-08-16 09:49:00, 590.85, 593.3, 590.85, 593, 32909
BPCL,2016-08-16 09:50:00, 593.3, 594.3, 593, 593.15, 43934
BPCL,2016-08-16 09:51:00, 593.2, 594.5, 593, 593, 27665
BPCL,2016-08-16 09:52:00, 593, 593.95, 592.85, 593.2, 11585
BPCL,2016-08-16 09:53:00, 593, 593.35, 592.5, 592.85, 15863
BPCL,2016-08-16 09:54:00, 593.05, 593.5, 592.6, 593, 12015
BPCL,2016-08-16 09:55:00, 592.95, 593.85, 592.85, 593.85, 21803
BPCL,2016-08-16 09:56:00, 594, 595.4, 594, 595, 44523
BPCL,2016-08-16 09:57:00, 595, 596, 594.5, 595.9, 22334
BPCL,2016-08-16 09:58:00, 595.6, 596.8, 595.55, 596.75, 25860
BPCL,2016-08-16 09:59:00, 596.75, 596.75, 595.35, 595.55, 11519
BPCL,2016-08-16 10:00:00, 595.55, 596.3, 595, 596.2, 19469
BPCL,2016-08-16 10:01:00, 596.2, 596.8, 595.7, 596.45, 12560
BPCL,2016-08-16 10:02:00, 596.3, 598, 596.3, 597.45, 29518
BPCL,2016-08-16 10:03:00, 597.8, 599, 597.45, 598.95, 28895
BPCL,2016-08-16 10:04:00, 598.95, 599.25, 598.25, 598.55, 31805
BPCL,2016-08-16 10:05:00, 598.8, 598.95, 598.3, 598.45, 21255
BPCL,2016-08-16 10:06:00, 598.5, 600, 598.4, 599.85, 39178
BPCL,2016-08-16 10:07:00, 599.85, 599.85, 598.9, 599.4, 24100
BPCL,2016-08-16 10:08:00, 599.4, 600, 599, 599.6, 35752
BPCL,2016-08-16 10:09:00, 599.35, 600, 599.2, 599.9, 37900
BPCL,2016-08-16 10:10:00, 599.9, 602.5, 599.85, 601.7, 57924
BPCL,2016-08-16 10:11:00, 601.7, 601.7, 599.55, 600.8, 18662
BPCL,2016-08-16 10:12:00, 600.6, 601.2, 599.9, 599.9, 23192
BPCL,2016-08-16 10:13:00, 599.75, 599.95, 598.5, 598.95, 12198
BPCL,2016-08-16 10:14:00, 598.95, 599.8, 598.95, 599.3, 8520
BPCL,2016-08-16 10:15:00, 599.35, 599.35, 598.05, 598.6, 11495
BPCL,2016-08-16 10:16:00, 598.6, 598.6, 596.4, 596.6, 36771
BPCL,2016-08-16 10:17:00, 596.25, 597.4, 596.25, 597.35, 9866
BPCL,2016-08-16 10:18:00, 597.35, 597.8, 597, 597.4, 7518
BPCL,2016-08-16 10:19:00, 597.3, 597.7, 596.8, 597.45, 6463
BPCL,2016-08-16 10:20:00, 597.2, 597.7, 597.2, 597.3, 2883
BPCL,2016-08-16 10:21:00, 597.45, 597.45, 595.9, 596.7, 14522
BPCL,2016-08-16 10:22:00, 596.7, 596.75, 596.05, 596.35, 5214
BPCL,2016-08-16 10:23:00, 596.45, 596.65, 596.1, 596.65, 3431
BPCL,2016-08-16 10:24:00, 596.6, 596.85, 596.25, 596.7, 6241
BPCL,2016-08-16 10:25:00, 596.7, 597.55, 596.7, 597.5, 7378
BPCL,2016-08-16 10:26:00, 597.5, 597.6, 596.9, 597, 8686
BPCL,2016-08-16 10:27:00, 597, 597.5, 596.7, 597.5, 5200
BPCL,2016-08-16 10:28:00, 597.5, 597.5, 596.75, 596.95, 3418
BPCL,2016-08-16 10:29:00, 597, 597, 596.8, 596.8, 5266
BPCL,2016-08-16 10:30:00, 596.75, 596.85, 596.65, 596.65, 3406
BPCL,2016-08-16 10:31:00, 596.65, 597, 596.65, 596.9, 7309
BPCL,2016-08-16 10:32:00, 596.9, 596.95, 596.75, 596.8, 3503
BPCL,2016-08-16 10:33:00, 596.75, 596.9, 596.75, 596.9, 906
BPCL,2016-08-16 10:34:00, 596.9, 597.2, 596.8, 597.1, 5572
BPCL,2016-08-16 10:35:00, 597.1, 598, 597.1, 598, 4264
BPCL,2016-08-16 10:36:00, 597.95, 598.2, 597.7, 598.2, 6576
BPCL,2016-08-16 10:37:00, 598.2, 598.65, 597.75, 597.75, 6607
BPCL,2016-08-16 10:38:00, 597.75, 598.95, 597.75, 598.75, 5131
BPCL,2016-08-16 10:39:00, 598.8, 598.95, 598.5, 598.85, 3506
BPCL,2016-08-16 10:40:00, 598.65, 599, 598.15, 598.75, 2936
BPCL,2016-08-16 10:41:00, 598.75, 598.85, 598.25, 598.65, 3343
BPCL,2016-08-16 10:42:00, 598.6, 598.75, 598.45, 598.45, 1845
BPCL,2016-08-16 10:43:00, 598.45, 598.6, 598, 598.6, 3542
BPCL,2016-08-16 10:44:00, 598.85, 598.95, 598.3, 598.45, 2251
BPCL,2016-08-16 10:45:00, 598.5, 598.75, 598.35, 598.4, 2094
BPCL,2016-08-16 10:46:00, 598.3, 598.4, 597.9, 597.9, 4186
BPCL,2016-08-16 10:47:00, 597.25, 597.8, 597, 597.55, 4454
BPCL,2016-08-16 10:48:00, 597.9, 597.9, 597.45, 597.65, 1532
BPCL,2016-08-16 10:49:00, 597.65, 597.7, 597.35, 597.35, 1694
BPCL,2016-08-16 10:50:00, 597.45, 597.65, 597, 597.65, 4334
BPCL,2016-08-16 10:51:00, 597.65, 597.7, 597.15, 597.15, 1990
BPCL,2016-08-16 10:52:00, 597.2, 597.2, 596.5, 596.7, 4853
BPCL,2016-08-16 10:53:00, 596.65, 597, 596.6, 596.65, 3451
BPCL,2016-08-16 10:54:00, 596.7, 596.85, 596.5, 596.65, 4596
BPCL,2016-08-16 10:55:00, 596.75, 596.75, 596.4, 596.45, 5036
BPCL,2016-08-16 10:56:00, 596.45, 596.5, 596.4, 596.4, 2973
BPCL,2016-08-16 10:57:00, 596.4, 596.5, 596.2, 596.2, 3366
BPCL,2016-08-16 10:58:00, 596.15, 596.35, 595.5, 595.95, 10477
BPCL,2016-08-16 10:59:00, 595.95, 596.15, 595.55, 595.55, 4240
BPCL,2016-08-16 11:00:00, 595.55, 595.75, 595.25, 595.4, 5296
BPCL,2016-08-16 11:01:00, 595.4, 595.9, 595.4, 595.75, 3625
BPCL,2016-08-16 11:02:00, 595.75, 595.75, 595.6, 595.7, 2365
BPCL,2016-08-16 11:03:00, 595.7, 595.9, 595.65, 595.8, 2299
BPCL,2016-08-16 11:04:00, 595.8, 596.5, 595.8, 596.45, 5212
BPCL,2016-08-16 11:05:00, 596.35, 596.55, 596, 596, 4628
BPCL,2016-08-16 11:06:00, 596, 596.65, 595.8, 596.65, 5229
BPCL,2016-08-16 11:07:00, 596.65, 596.75, 596.55, 596.65, 2755
BPCL,2016-08-16 11:08:00, 596.75, 597.8, 596.65, 597.45, 9897
BPCL,2016-08-16 11:09:00, 597.45, 597.8, 597.2, 597.55, 3367
BPCL,2016-08-16 11:10:00, 597.75, 597.8, 597.6, 597.6, 1333
BPCL,2016-08-16 11:11:00, 597.6, 597.8, 597.3, 597.8, 2247
BPCL,2016-08-16 11:12:00, 597.9, 597.9, 596.65, 596.65, 5089
BPCL,2016-08-16 11:13:00, 596.65, 597, 596.55, 596.6, 3677
BPCL,2016-08-16 11:14:00, 596.8, 597.25, 596.65, 596.85, 2568
BPCL,2016-08-16 11:15:00, 596.8, 596.9, 596.05, 596.3, 3394
BPCL,2016-08-16 11:16:00, 596.3, 596.8, 596.3, 596.45, 2042
BPCL,2016-08-16 11:18:00, 596.6, 596.65, 596.4, 596.4, 2267
BPCL,2016-08-16 11:17:00, 596.35, 596.75, 596.35, 596.65, 1877
BPCL,2016-08-16 11:19:00, 596.4, 596.5, 596.3, 596.3, 2381
BPCL,2016-08-16 11:20:00, 596.3, 596.35, 596.2, 596.25, 1585
BPCL,2016-08-16 11:21:00, 596.3, 596.35, 596.15, 596.25, 1876
BPCL,2016-08-16 11:23:00, 596.05, 596.15, 595.1, 595.45, 7592
BPCL,2016-08-16 11:22:00, 596.25, 596.3, 596, 596.1, 3302
BPCL,2016-08-16 11:24:00, 595.45, 595.7, 595.45, 595.7, 3688
BPCL,2016-08-16 11:25:00, 595.65, 595.95, 595.65, 595.95, 3757
BPCL,2016-08-16 11:26:00, 595.7, 595.9, 595.4, 595.75, 2647
BPCL,2016-08-16 11:27:00, 595.6, 595.9, 595.55, 595.85, 3178
BPCL,2016-08-16 11:28:00, 595.7, 595.9, 595.45, 595.7, 2540
BPCL,2016-08-16 11:29:00, 595.75, 595.9, 595.45, 595.55, 2967
BPCL,2016-08-16 11:30:00, 595.5, 595.8, 595.5, 595.75, 2805
