Code,Date,Open,High,Low,Close,Volume
BRITANNIA,2016-08-16 09:15:00, 3295, 3298.1, 3285.1, 3293.6, 1201
BRITANNIA,2016-08-16 09:16:00, 3293.95, 3298.1, 3287.45, 3287.45, 315
BRITANNIA,2016-08-16 09:17:00, 3287.5, 3295.25, 3287.5, 3290.05, 404
BRITANNIA,2016-08-16 09:18:00, 3293.85, 3296.65, 3290, 3293.45, 433
BRITANNIA,2016-08-16 09:19:00, 3293, 3293, 3288.5, 3289.7, 236
BRITANNIA,2016-08-16 09:20:00, 3289.7, 3290.7, 3288, 3289.95, 583
BRITANNIA,2016-08-16 09:22:00, 3287.2, 3288, 3281, 3288, 563
BRITANNIA,2016-08-16 09:21:00, 3288.25, 3289.95, 3287.2, 3287.2, 163
BRITANNIA,2016-08-16 09:23:00, 3288, 3288.95, 3286.15, 3287.1, 65
BRITANNIA,2016-08-16 09:24:00, 3287.1, 3287.9, 3287.1, 3287.8, 62
BRITANNIA,2016-08-16 09:25:00, 3287.8, 3288.7, 3285.15, 3286.95, 165
BRITANNIA,2016-08-16 09:26:00, 3286.95, 3287.85, 3281.1, 3285.15, 257
BRITANNIA,2016-08-16 09:27:00, 3285.15, 3286.55, 3282.8, 3285, 247
BRITANNIA,2016-08-16 09:28:00, 3285, 3285.95, 3283.6, 3283.6, 87
BRITANNIA,2016-08-16 09:29:00, 3284.9, 3284.9, 3277.9, 3280.85, 988
BRITANNIA,2016-08-16 09:30:00, 3279.75, 3281.9, 3271.6, 3281.9, 803
BRITANNIA,2016-08-16 09:32:00, 3280.2, 3280.4, 3278.95, 3279.35, 201
BRITANNIA,2016-08-16 09:31:00, 3278.25, 3283.25, 3278, 3280.2, 235
BRITANNIA,2016-08-16 09:33:00, 3280, 3280, 3275.9, 3275.9, 730
BRITANNIA,2016-08-16 09:34:00, 3275.9, 3275.9, 3268.65, 3272.4, 666
BRITANNIA,2016-08-16 09:36:00, 3273.35, 3273.5, 3270, 3270, 456
BRITANNIA,2016-08-16 09:35:00, 3272.4, 3273.5, 3269.6, 3273.4, 308
BRITANNIA,2016-08-16 09:37:00, 3270, 3270, 3268, 3268.9, 416
BRITANNIA,2016-08-16 09:38:00, 3268, 3268, 3264.2, 3265.3, 861
