Code,Date,Open,High,Low,Close,Volume
CADILAHC,2016-08-16 09:15:00, 369.4, 369.5, 367, 367.3, 2375
CADILAHC,2016-08-16 09:17:00, 367.1, 368.05, 367.1, 367.5, 3317
CADILAHC,2016-08-16 09:16:00, 367.75, 367.95, 366.95, 367.1, 5495
CADILAHC,2016-08-16 09:18:00, 367.5, 367.5, 366.5, 366.75, 3055
CADILAHC,2016-08-16 09:19:00, 366.75, 367.1, 366.45, 366.5, 4067
CADILAHC,2016-08-16 09:20:00, 366.5, 367.55, 366.5, 367.55, 2612
CADILAHC,2016-08-16 09:21:00, 367.3, 368, 367.3, 367.95, 3960
CADILAHC,2016-08-16 09:22:00, 367.95, 368.5, 367.1, 368.25, 3590
CADILAHC,2016-08-16 09:23:00, 368.15, 368.65, 367.6, 367.7, 3741
CADILAHC,2016-08-16 09:24:00, 367.65, 367.65, 366.2, 366.8, 5005
CADILAHC,2016-08-16 09:25:00, 366.8, 367.3, 366.55, 366.85, 4019
CADILAHC,2016-08-16 09:26:00, 366.85, 366.85, 366.25, 366.3, 5152
CADILAHC,2016-08-16 09:27:00, 366.3, 366.55, 366.1, 366.15, 3933
CADILAHC,2016-08-16 09:28:00, 366.15, 366.15, 364.1, 364.1, 7395
CADILAHC,2016-08-16 09:29:00, 364.4, 364.5, 363.5, 363.75, 4918
CADILAHC,2016-08-16 09:31:00, 363.7, 364.05, 363.7, 364.05, 2217
CADILAHC,2016-08-16 09:30:00, 363.8, 364.05, 363.6, 363.6, 3337
CADILAHC,2016-08-16 09:32:00, 364.05, 364.6, 364, 364.05, 7312
CADILAHC,2016-08-16 09:33:00, 364, 364, 362.3, 362.65, 14842
CADILAHC,2016-08-16 09:34:00, 362.65, 362.65, 361.45, 361.7, 17991
CADILAHC,2016-08-16 09:35:00, 361.7, 362, 361.2, 361.6, 6483
CADILAHC,2016-08-16 09:36:00, 361.6, 361.7, 361.1, 361.3, 2208
CADILAHC,2016-08-16 09:38:00, 359.8, 360.3, 359.05, 360.2, 11094
CADILAHC,2016-08-16 09:37:00, 361, 361.3, 359.95, 359.95, 8495
CADILAHC,2016-08-16 09:39:00, 360, 361.9, 359.95, 361.9, 10120
CADILAHC,2016-08-16 09:40:00, 361.85, 362.3, 361.55, 362, 5819
CADILAHC,2016-08-16 09:41:00, 362, 362.5, 362, 362.1, 3849
CADILAHC,2016-08-16 09:42:00, 362.1, 362.35, 362.05, 362.1, 2440
CADILAHC,2016-08-16 09:43:00, 362.1, 362.7, 361.9, 362.25, 8801
CADILAHC,2016-08-16 09:44:00, 362.35, 362.85, 362.25, 362.6, 3229
CADILAHC,2016-08-16 09:45:00, 362.6, 363.3, 362.6, 362.95, 1726
CADILAHC,2016-08-16 09:46:00, 362.9, 363, 362.8, 362.9, 1129
CADILAHC,2016-08-16 09:47:00, 362.9, 362.95, 362.55, 362.95, 2963
CADILAHC,2016-08-16 09:48:00, 362.95, 363, 362.75, 363, 1653
CADILAHC,2016-08-16 09:49:00, 362.9, 363, 362.9, 363, 425
CADILAHC,2016-08-16 09:50:00, 363, 363, 362.85, 362.9, 1633
CADILAHC,2016-08-16 09:51:00, 363, 363, 362.8, 362.85, 6583
CADILAHC,2016-08-16 09:52:00, 362.85, 362.95, 362.45, 362.95, 3370
CADILAHC,2016-08-16 09:53:00, 362.85, 362.85, 362.5, 362.5, 1761
CADILAHC,2016-08-16 09:54:00, 362.8, 362.95, 362.55, 362.8, 1255
CADILAHC,2016-08-16 09:55:00, 362.8, 363.05, 362.4, 362.7, 19363
CADILAHC,2016-08-16 09:56:00, 362.7, 362.8, 362.55, 362.8, 86
CADILAHC,2016-08-16 09:57:00, 362.8, 362.95, 362.75, 362.85, 472
CADILAHC,2016-08-16 09:58:00, 362.9, 362.95, 362.85, 362.95, 1058
CADILAHC,2016-08-16 09:59:00, 362.95, 362.95, 362.1, 362.55, 3035
CADILAHC,2016-08-16 10:00:00, 362.55, 362.7, 361.8, 361.8, 2243
CADILAHC,2016-08-16 10:01:00, 362.05, 362.05, 361.2, 361.5, 2909
CADILAHC,2016-08-16 10:02:00, 361.5, 362.6, 361.4, 361.85, 1420
CADILAHC,2016-08-16 10:03:00, 362.15, 362.45, 361.7, 361.7, 1089
CADILAHC,2016-08-16 10:04:00, 361.75, 361.85, 361, 361, 4611
CADILAHC,2016-08-16 10:05:00, 361, 361.7, 361, 361.45, 1457
CADILAHC,2016-08-16 10:06:00, 361.45, 361.45, 361.2, 361.2, 935
CADILAHC,2016-08-16 10:07:00, 361.2, 361.4, 361.2, 361.4, 345
CADILAHC,2016-08-16 10:08:00, 361.4, 361.9, 361.3, 361.45, 1130
CADILAHC,2016-08-16 10:09:00, 361.45, 361.45, 361.2, 361.45, 1928
CADILAHC,2016-08-16 10:10:00, 361.45, 361.45, 361.25, 361.45, 412
CADILAHC,2016-08-16 10:11:00, 361.45, 361.9, 361.45, 361.75, 2276
CADILAHC,2016-08-16 10:12:00, 361.75, 361.75, 361.45, 361.65, 992
CADILAHC,2016-08-16 10:13:00, 361.65, 361.8, 361.65, 361.75, 1648
CADILAHC,2016-08-16 10:14:00, 361.7, 361.85, 361.5, 361.5, 3088
CADILAHC,2016-08-16 10:15:00, 361.5, 361.8, 361.25, 361.75, 814
CADILAHC,2016-08-16 10:16:00, 361.75, 361.75, 361.25, 361.55, 416
CADILAHC,2016-08-16 10:17:00, 361.55, 361.75, 361.55, 361.65, 3397
CADILAHC,2016-08-16 10:18:00, 361.65, 362, 361.45, 362, 923
CADILAHC,2016-08-16 10:19:00, 362, 380, 362, 374.7, 151206
CADILAHC,2016-08-16 10:20:00, 374.75, 377.1, 373.55, 373.55, 46798
CADILAHC,2016-08-16 10:21:00, 373.6, 375.85, 371.6, 372.55, 72985
CADILAHC,2016-08-16 10:22:00, 372.3, 372.3, 367, 367.95, 78164
CADILAHC,2016-08-16 10:23:00, 368.15, 368.45, 360.8, 364.15, 63318
CADILAHC,2016-08-16 10:24:00, 363.9, 365.5, 362.9, 364.45, 38005
CADILAHC,2016-08-16 10:25:00, 364.45, 366.1, 363.1, 365.25, 20824
CADILAHC,2016-08-16 10:26:00, 365.35, 366, 364.3, 364.8, 13999
CADILAHC,2016-08-16 10:27:00, 364.8, 365.6, 364.7, 365.15, 5776
CADILAHC,2016-08-16 10:28:00, 365.15, 365.55, 364.2, 364.4, 8717
CADILAHC,2016-08-16 10:29:00, 364.4, 364.4, 362.95, 363.35, 32317
CADILAHC,2016-08-16 10:30:00, 363.35, 364.4, 363, 363.9, 7080
CADILAHC,2016-08-16 10:31:00, 363.9, 364.75, 363.4, 364.2, 5449
CADILAHC,2016-08-16 10:32:00, 364.2, 364.75, 364.2, 364.4, 3001
CADILAHC,2016-08-16 10:33:00, 364.4, 364.6, 363.75, 363.75, 1751
CADILAHC,2016-08-16 10:34:00, 363.85, 364.45, 363.85, 364.45, 1086
CADILAHC,2016-08-16 10:35:00, 364.5, 364.8, 364.1, 364.7, 3773
CADILAHC,2016-08-16 10:36:00, 364.5, 364.5, 364.2, 364.3, 2676
CADILAHC,2016-08-16 10:37:00, 364.3, 364.8, 364.3, 364.8, 1818
CADILAHC,2016-08-16 10:38:00, 364.8, 365.2, 364.7, 365, 2237
CADILAHC,2016-08-16 10:39:00, 365.15, 365.15, 364.65, 365, 9141
CADILAHC,2016-08-16 10:40:00, 365, 365.4, 365, 365.05, 5653
CADILAHC,2016-08-16 10:41:00, 365.05, 365.9, 365, 365.9, 7618
CADILAHC,2016-08-16 10:42:00, 365.9, 366.95, 365.75, 366.55, 5928
CADILAHC,2016-08-16 10:43:00, 366.35, 366.5, 366, 366.5, 2053
CADILAHC,2016-08-16 10:44:00, 366.5, 366.95, 366.05, 366.35, 2684
CADILAHC,2016-08-16 10:45:00, 366.15, 366.5, 366.05, 366.3, 798
CADILAHC,2016-08-16 10:46:00, 366.3, 366.55, 366.25, 366.45, 422
CADILAHC,2016-08-16 10:47:00, 366.45, 366.5, 365.45, 365.75, 3093
CADILAHC,2016-08-16 10:48:00, 365.75, 365.75, 365.25, 365.45, 1372
CADILAHC,2016-08-16 10:49:00, 365.45, 365.85, 365.1, 365.1, 1696
CADILAHC,2016-08-16 10:50:00, 365.2, 365.5, 365.1, 365.25, 1163
CADILAHC,2016-08-16 10:51:00, 365.3, 365.55, 365.25, 365.3, 298
CADILAHC,2016-08-16 10:52:00, 365.3, 365.6, 365.3, 365.5, 480
CADILAHC,2016-08-16 10:53:00, 365.5, 366.2, 365.5, 365.95, 4526
CADILAHC,2016-08-16 10:54:00, 365.95, 365.95, 365.45, 365.75, 510
CADILAHC,2016-08-16 10:55:00, 365.75, 365.75, 365.4, 365.45, 778
CADILAHC,2016-08-16 10:56:00, 365.45, 365.55, 365.3, 365.55, 742
CADILAHC,2016-08-16 10:57:00, 365.55, 365.7, 365.25, 365.25, 563
CADILAHC,2016-08-16 10:58:00, 365.15, 365.2, 364.55, 364.55, 2802
CADILAHC,2016-08-16 10:59:00, 364.55, 364.55, 363.6, 363.6, 4276
CADILAHC,2016-08-16 11:00:00, 363.6, 364.3, 363.6, 364.3, 1226
CADILAHC,2016-08-16 11:01:00, 364.3, 364.5, 364, 364, 1669
CADILAHC,2016-08-16 11:02:00, 364, 364, 362.9, 363.3, 6201
CADILAHC,2016-08-16 11:03:00, 363.3, 364.45, 363.3, 364.45, 1897
CADILAHC,2016-08-16 11:04:00, 364.25, 364.5, 364, 364.5, 2482
CADILAHC,2016-08-16 11:05:00, 364.5, 364.5, 363.5, 363.6, 3602
CADILAHC,2016-08-16 11:06:00, 363.6, 364.35, 363.6, 364.3, 312
CADILAHC,2016-08-16 11:07:00, 364.3, 364.4, 364.05, 364.35, 348
CADILAHC,2016-08-16 11:08:00, 364.35, 364.35, 363.75, 363.9, 663
CADILAHC,2016-08-16 11:09:00, 363.9, 363.9, 363.5, 363.5, 735
CADILAHC,2016-08-16 11:10:00, 363.5, 364.1, 363.45, 363.95, 2907
CADILAHC,2016-08-16 11:11:00, 363.95, 364.05, 363.5, 363.7, 886
CADILAHC,2016-08-16 11:12:00, 363.7, 363.9, 363.7, 363.8, 66
CADILAHC,2016-08-16 11:13:00, 363.8, 363.9, 363.6, 363.6, 762
CADILAHC,2016-08-16 11:14:00, 363.6, 364.1, 363.6, 363.9, 4991
CADILAHC,2016-08-16 11:15:00, 363.9, 363.95, 363.25, 363.9, 2242
CADILAHC,2016-08-16 11:16:00, 363.9, 363.9, 363.9, 363.9, 345
