Code,Date,Open,High,Low,Close,Volume
CAIRN,2016-08-16 09:15:00, 196.55, 196.65, 195.6, 196.2, 41953
CAIRN,2016-08-16 09:16:00, 196.3, 196.35, 196.05, 196.05, 14789
CAIRN,2016-08-16 09:17:00, 196.05, 196.3, 196.05, 196.15, 7266
CAIRN,2016-08-16 09:18:00, 196.15, 196.2, 196.1, 196.2, 11382
CAIRN,2016-08-16 09:19:00, 196.2, 196.25, 195.85, 195.9, 14331
CAIRN,2016-08-16 09:20:00, 195.9, 196.4, 195.8, 196.4, 6995
CAIRN,2016-08-16 09:22:00, 196.35, 196.5, 196.2, 196.35, 9349
CAIRN,2016-08-16 09:21:00, 196.4, 196.7, 196.3, 196.6, 11922
CAIRN,2016-08-16 09:23:00, 196.45, 196.55, 196.1, 196.1, 12806
CAIRN,2016-08-16 09:24:00, 196.1, 196.25, 195.95, 196, 13012
CAIRN,2016-08-16 09:25:00, 196, 196.15, 195.95, 196, 10913
CAIRN,2016-08-16 09:26:00, 196.05, 196.25, 196.05, 196.15, 9292
CAIRN,2016-08-16 09:27:00, 196.15, 196.35, 196.15, 196.25, 5787
CAIRN,2016-08-16 09:28:00, 196.25, 196.25, 195.85, 196, 20816
CAIRN,2016-08-16 09:29:00, 195.95, 196.05, 195.95, 196, 5265
CAIRN,2016-08-16 09:30:00, 196, 196.05, 195.8, 196.05, 18133
CAIRN,2016-08-16 09:31:00, 195.9, 196.1, 195.8, 195.95, 5436
CAIRN,2016-08-16 09:32:00, 195.95, 195.95, 195.6, 195.85, 13542
CAIRN,2016-08-16 09:33:00, 195.65, 195.85, 195.4, 195.55, 14571
CAIRN,2016-08-16 09:34:00, 195.6, 195.85, 195.4, 195.85, 11453
CAIRN,2016-08-16 09:35:00, 195.7, 195.85, 195.4, 195.65, 12283
CAIRN,2016-08-16 09:36:00, 195.8, 195.8, 195.65, 195.65, 2912
CAIRN,2016-08-16 09:37:00, 195.65, 195.75, 195.65, 195.7, 5867
CAIRN,2016-08-16 09:38:00, 195.75, 195.9, 195.75, 195.85, 5345
CAIRN,2016-08-16 09:39:00, 195.85, 195.95, 195.8, 195.95, 2752
CAIRN,2016-08-16 09:40:00, 195.95, 196.15, 195.9, 196.05, 3703
CAIRN,2016-08-16 09:41:00, 196.2, 196.2, 196.05, 196.2, 2347
CAIRN,2016-08-16 09:42:00, 196.1, 196.3, 196.1, 196.3, 2096
