Code,Date,Open,High,Low,Close,Volume
CEATLTD,2016-08-16 09:15:00, 876.5, 877.15, 871.35, 874, 2191
CEATLTD,2016-08-16 09:16:00, 874, 874.2, 872.35, 872.85, 1342
CEATLTD,2016-08-16 09:17:00, 872.9, 873.7, 872, 872.1, 1524
CEATLTD,2016-08-16 09:18:00, 872.1, 872.5, 870.2, 870.2, 2793
CEATLTD,2016-08-16 09:21:00, 869.55, 870.2, 868.9, 869.1, 948
CEATLTD,2016-08-16 09:19:00, 870.4, 870.45, 868.75, 869.7, 2625
CEATLTD,2016-08-16 09:20:00, 869.7, 869.7, 868.3, 869.65, 1597
CEATLTD,2016-08-16 09:22:00, 869.1, 870.7, 869, 870.7, 2212
CEATLTD,2016-08-16 09:23:00, 870.7, 870.8, 869.55, 870, 699
CEATLTD,2016-08-16 09:24:00, 870.25, 870.25, 869.15, 869.65, 1042
CEATLTD,2016-08-16 09:25:00, 869.65, 870.4, 869.1, 869.15, 1481
CEATLTD,2016-08-16 09:26:00, 869.15, 871.3, 869.15, 871.25, 1292
CEATLTD,2016-08-16 09:27:00, 871.25, 872.35, 871.15, 872.35, 1031
CEATLTD,2016-08-16 09:28:00, 872.35, 873.95, 872.35, 873, 1911
CEATLTD,2016-08-16 09:29:00, 873, 874.8, 873, 874.8, 1362
CEATLTD,2016-08-16 09:30:00, 874.8, 875.85, 874.5, 875.85, 1005
CEATLTD,2016-08-16 09:31:00, 875.9, 876.55, 875.25, 876.05, 1668
CEATLTD,2016-08-16 09:32:00, 876.05, 876.05, 874.7, 875.15, 1223
CEATLTD,2016-08-16 09:33:00, 875.15, 875.15, 872.35, 872.9, 2084
CEATLTD,2016-08-16 09:34:00, 872.9, 873.65, 872.9, 873.65, 1154
CEATLTD,2016-08-16 09:35:00, 873.65, 874.35, 873.3, 874, 1630
CEATLTD,2016-08-16 09:36:00, 874, 874.05, 873, 873.1, 571
CEATLTD,2016-08-16 09:37:00, 873.1, 873.9, 872.25, 872.85, 1132
CEATLTD,2016-08-16 09:38:00, 872.85, 873, 871.6, 871.6, 1299
CEATLTD,2016-08-16 09:39:00, 871.6, 874.1, 871.6, 873.8, 1756
CEATLTD,2016-08-16 09:40:00, 873.8, 873.8, 872, 872.3, 713
CEATLTD,2016-08-16 09:41:00, 872.3, 873.65, 872.3, 873.65, 1717
CEATLTD,2016-08-16 09:42:00, 873.65, 873.65, 872.6, 873.2, 455
CEATLTD,2016-08-16 09:43:00, 873.2, 874, 873.15, 874, 1804
CEATLTD,2016-08-16 09:44:00, 874, 874.5, 873.05, 874.5, 1669
CEATLTD,2016-08-16 09:45:00, 874.5, 874.9, 874.25, 874.45, 1417
CEATLTD,2016-08-16 09:46:00, 874.45, 878, 874.45, 878, 5481
CEATLTD,2016-08-16 09:47:00, 878, 878.7, 877.9, 878.6, 2472
CEATLTD,2016-08-16 09:48:00, 878.6, 879.2, 878.15, 878.5, 1341
CEATLTD,2016-08-16 09:49:00, 878.5, 879.25, 877.3, 878.55, 2678
CEATLTD,2016-08-16 09:50:00, 878.55, 878.95, 878.05, 878.5, 1117
CEATLTD,2016-08-16 09:51:00, 878.5, 878.95, 878.2, 878.2, 891
CEATLTD,2016-08-16 09:52:00, 878.2, 878.6, 878.15, 878.15, 447
CEATLTD,2016-08-16 09:53:00, 878.15, 878.55, 876.55, 876.55, 1581
CEATLTD,2016-08-16 09:54:00, 877, 877.7, 876.5, 876.6, 2151
CEATLTD,2016-08-16 09:55:00, 876.6, 877.4, 876.6, 877.4, 51
CEATLTD,2016-08-16 09:56:00, 877.15, 877.2, 876.6, 876.95, 350
CEATLTD,2016-08-16 09:57:00, 876.95, 876.95, 876, 876.45, 823
CEATLTD,2016-08-16 09:58:00, 876.45, 876.9, 876.15, 876.15, 527
CEATLTD,2016-08-16 09:59:00, 876.15, 876.4, 876, 876, 370
CEATLTD,2016-08-16 10:00:00, 876, 876.3, 875, 876.05, 1703
CEATLTD,2016-08-16 10:01:00, 876.05, 876.05, 874.9, 874.9, 988
CEATLTD,2016-08-16 10:02:00, 874.9, 876.25, 874.9, 875.55, 430
CEATLTD,2016-08-16 10:03:00, 875.55, 875.55, 875, 875.1, 68
CEATLTD,2016-08-16 10:04:00, 875.1, 875.35, 875.1, 875.2, 181
CEATLTD,2016-08-16 10:05:00, 875.2, 875.3, 875.2, 875.3, 193
CEATLTD,2016-08-16 10:06:00, 875.3, 876.1, 875.3, 876.05, 664
CEATLTD,2016-08-16 10:07:00, 876.35, 877, 876.3, 876.8, 488
CEATLTD,2016-08-16 10:08:00, 877, 877, 876.8, 876.9, 414
CEATLTD,2016-08-16 10:09:00, 876.9, 878.35, 876.9, 878, 1126
CEATLTD,2016-08-16 10:10:00, 878, 881.1, 878, 881.1, 4990
CEATLTD,2016-08-16 10:11:00, 881.1, 881.55, 880.7, 880.85, 2536
CEATLTD,2016-08-16 10:12:00, 880.85, 880.9, 879, 879.6, 821
CEATLTD,2016-08-16 10:13:00, 879.6, 879.75, 879.1, 879.5, 315
CEATLTD,2016-08-16 10:14:00, 879.5, 880, 878.55, 878.85, 661
CEATLTD,2016-08-16 10:15:00, 878.85, 878.85, 878, 878, 526
CEATLTD,2016-08-16 10:16:00, 878, 879, 878, 878.55, 871
CEATLTD,2016-08-16 10:17:00, 878.55, 879, 878.05, 878.05, 433
CEATLTD,2016-08-16 10:18:00, 878.05, 878.05, 878, 878, 40
CEATLTD,2016-08-16 10:19:00, 878, 879.1, 877.4, 878.5, 1395
CEATLTD,2016-08-16 10:20:00, 878.5, 879.1, 878.5, 879.05, 1015
CEATLTD,2016-08-16 10:21:00, 879.05, 879.05, 878.35, 878.35, 176
CEATLTD,2016-08-16 10:22:00, 878.35, 878.95, 878.35, 878.95, 182
CEATLTD,2016-08-16 10:23:00, 878.95, 878.95, 878.3, 878.4, 662
CEATLTD,2016-08-16 10:24:00, 878.45, 878.45, 878.05, 878.25, 1203
CEATLTD,2016-08-16 10:25:00, 878.25, 878.25, 877.2, 877.2, 839
CEATLTD,2016-08-16 10:26:00, 877.2, 877.7, 877.2, 877.65, 156
CEATLTD,2016-08-16 10:27:00, 877.65, 878, 877.65, 877.75, 720
CEATLTD,2016-08-16 10:28:00, 877.65, 877.65, 877.2, 877.55, 184
CEATLTD,2016-08-16 10:29:00, 877.55, 877.55, 877, 877, 50
CEATLTD,2016-08-16 10:30:00, 877, 877.45, 877, 877.45, 202
CEATLTD,2016-08-16 10:31:00, 877.45, 877.45, 876, 876.2, 1110
CEATLTD,2016-08-16 10:32:00, 876.2, 876.25, 876.15, 876.15, 56
CEATLTD,2016-08-16 10:33:00, 876.2, 876.6, 876.2, 876.6, 548
CEATLTD,2016-08-16 10:34:00, 876.55, 876.85, 876.55, 876.85, 626
CEATLTD,2016-08-16 10:35:00, 876.85, 876.85, 876.6, 876.65, 282
CEATLTD,2016-08-16 10:36:00, 877, 877, 876.25, 876.25, 707
CEATLTD,2016-08-16 10:37:00, 876.25, 876.4, 875.45, 875.5, 269
CEATLTD,2016-08-16 10:38:00, 875.25, 875.5, 875, 875.5, 286
CEATLTD,2016-08-16 10:39:00, 875.7, 875.7, 875.2, 875.2, 241
CEATLTD,2016-08-16 10:40:00, 875.2, 875.8, 875.2, 875.8, 66
CEATLTD,2016-08-16 10:41:00, 875.7, 875.7, 875.25, 875.25, 111
CEATLTD,2016-08-16 10:42:00, 875.25, 875.65, 875.25, 875.65, 50
CEATLTD,2016-08-16 10:43:00, 875.65, 875.75, 875.35, 875.35, 337
CEATLTD,2016-08-16 10:44:00, 875.35, 875.75, 875.35, 875.35, 20
CEATLTD,2016-08-16 10:45:00, 875.35, 875.55, 875.35, 875.55, 112
CEATLTD,2016-08-16 10:46:00, 875.55, 875.6, 875.35, 875.35, 758
CEATLTD,2016-08-16 10:47:00, 875.35, 875.4, 875, 875, 432
CEATLTD,2016-08-16 10:48:00, 875, 875.1, 875, 875.05, 98
CEATLTD,2016-08-16 10:49:00, 875.05, 875.6, 875, 875, 865
CEATLTD,2016-08-16 10:50:00, 875, 875.3, 875, 875.05, 105
CEATLTD,2016-08-16 10:51:00, 875.05, 875.2, 875.05, 875.05, 84
CEATLTD,2016-08-16 10:52:00, 875.05, 875.3, 875.05, 875.05, 173
CEATLTD,2016-08-16 10:53:00, 875.05, 875.4, 875.05, 875.4, 479
CEATLTD,2016-08-16 10:54:00, 875.4, 875.4, 875.05, 875.1, 298
CEATLTD,2016-08-16 10:55:00, 875.1, 875.2, 875.1, 875.1, 203
CEATLTD,2016-08-16 10:56:00, 875.1, 875.15, 875.05, 875.15, 77
CEATLTD,2016-08-16 10:57:00, 875.15, 875.15, 875.05, 875.1, 266
CEATLTD,2016-08-16 10:58:00, 875.1, 875.15, 874.5, 874.5, 1419
CEATLTD,2016-08-16 10:59:00, 874.5, 874.5, 873, 873.9, 529
CEATLTD,2016-08-16 11:00:00, 873.15, 873.15, 873, 873, 728
CEATLTD,2016-08-16 11:01:00, 873, 873.1, 873, 873, 265
CEATLTD,2016-08-16 11:02:00, 873, 873.1, 872.6, 872.6, 784
CEATLTD,2016-08-16 11:03:00, 872.6, 872.6, 870.2, 870.5, 1514
CEATLTD,2016-08-16 11:04:00, 870.5, 871.6, 870.5, 871, 646
CEATLTD,2016-08-16 11:05:00, 871, 871.35, 871, 871.35, 483
CEATLTD,2016-08-16 11:06:00, 871.35, 872, 871.35, 872, 637
CEATLTD,2016-08-16 11:07:00, 872, 872.6, 872, 872.35, 414
CEATLTD,2016-08-16 11:08:00, 872.35, 872.95, 872.3, 872.75, 396
CEATLTD,2016-08-16 11:09:00, 872.85, 872.85, 872.75, 872.75, 229
CEATLTD,2016-08-16 11:10:00, 872.75, 872.75, 872, 872.25, 184
CEATLTD,2016-08-16 11:11:00, 872.25, 872.7, 872.05, 872.7, 374
CEATLTD,2016-08-16 11:12:00, 872.7, 872.7, 872.05, 872.1, 334
CEATLTD,2016-08-16 11:13:00, 872.1, 872.55, 872.1, 872.55, 151
CEATLTD,2016-08-16 11:14:00, 872.55, 872.55, 872.1, 872.15, 34
CEATLTD,2016-08-16 11:15:00, 872.15, 872.55, 872.1, 872.1, 353
CEATLTD,2016-08-16 11:16:00, 872.1, 873.15, 872.1, 873.15, 883
CEATLTD,2016-08-16 11:17:00, 873.15, 873.15, 873.15, 873.15, 0
CEATLTD,2016-08-16 11:18:00, 873.15, 873.15, 872.95, 872.95, 262
CEATLTD,2016-08-16 11:19:00, 872.95, 873.4, 872.95, 873.25, 201
CEATLTD,2016-08-16 11:20:00, 873.25, 873.45, 873.2, 873.25, 160
CEATLTD,2016-08-16 11:21:00, 873.25, 873.3, 873.25, 873.25, 99
CEATLTD,2016-08-16 11:22:00, 873.25, 873.35, 872.75, 872.75, 125
CEATLTD,2016-08-16 11:23:00, 872.75, 873.5, 872.75, 873.45, 179
CEATLTD,2016-08-16 11:24:00, 873.45, 873.55, 873.45, 873.55, 83
CEATLTD,2016-08-16 11:25:00, 873.4, 874.8, 873.4, 874.8, 713
CEATLTD,2016-08-16 11:26:00, 874.8, 874.8, 874.1, 874.1, 114
CEATLTD,2016-08-16 11:27:00, 874.1, 874.3, 873.6, 874.3, 250
CEATLTD,2016-08-16 11:28:00, 873.65, 873.8, 873.65, 873.75, 39
CEATLTD,2016-08-16 11:29:00, 873.75, 873.75, 873.05, 873.05, 34
CEATLTD,2016-08-16 11:30:00, 873.05, 873.3, 873.05, 873.3, 226
CEATLTD,2016-08-16 11:31:00, 873.3, 873.6, 873.1, 873.1, 483
CEATLTD,2016-08-16 11:32:00, 873.1, 873.1, 872.5, 872.5, 802
CEATLTD,2016-08-16 11:33:00, 872.5, 873.25, 872.1, 872.1, 999
CEATLTD,2016-08-16 11:34:00, 872.1, 873.25, 872.1, 872.8, 341
CEATLTD,2016-08-16 11:35:00, 872.8, 874, 872.8, 873.6, 314
CEATLTD,2016-08-16 11:36:00, 873.6, 874.15, 873.55, 873.55, 502
CEATLTD,2016-08-16 11:37:00, 873.55, 873.9, 873.5, 873.5, 407
CEATLTD,2016-08-16 11:38:00, 873.5, 873.5, 873.3, 873.3, 126
CEATLTD,2016-08-16 11:39:00, 873.3, 873.3, 870.8, 870.8, 3074
CEATLTD,2016-08-16 11:40:00, 870.8, 870.95, 870.45, 870.9, 783
CEATLTD,2016-08-16 11:41:00, 870.9, 871.6, 870.7, 871.1, 237
CEATLTD,2016-08-16 11:42:00, 871.1, 872, 869.95, 871.55, 3004
CEATLTD,2016-08-16 11:43:00, 871.55, 871.55, 870.4, 870.4, 664
CEATLTD,2016-08-16 11:44:00, 870.4, 871.35, 870.05, 870.05, 257
CEATLTD,2016-08-16 11:45:00, 870.05, 870.95, 870, 870.4, 609
CEATLTD,2016-08-16 11:46:00, 871, 871, 870.1, 870.55, 275
CEATLTD,2016-08-16 11:47:00, 870.55, 870.95, 870.35, 870.85, 451
CEATLTD,2016-08-16 11:48:00, 870.85, 871.15, 870.85, 870.9, 280
CEATLTD,2016-08-16 11:49:00, 870.9, 871.35, 870.9, 871.35, 242
CEATLTD,2016-08-16 11:50:00, 871.4, 871.8, 871.35, 871.7, 258
CEATLTD,2016-08-16 11:51:00, 871.5, 871.5, 870.65, 870.65, 779
CEATLTD,2016-08-16 11:52:00, 870.65, 870.65, 870.6, 870.6, 8
CEATLTD,2016-08-16 11:53:00, 870.6, 871, 870.6, 871, 500
CEATLTD,2016-08-16 11:54:00, 871, 871, 870.7, 870.75, 386
CEATLTD,2016-08-16 11:55:00, 870.75, 871.55, 870.15, 870.15, 728
CEATLTD,2016-08-16 11:56:00, 870.15, 870.75, 870.15, 870.65, 67
CEATLTD,2016-08-16 11:57:00, 870.9, 870.9, 870.2, 870.2, 117
CEATLTD,2016-08-16 11:58:00, 870.2, 870.7, 870.05, 870.05, 352
CEATLTD,2016-08-16 11:59:00, 870.05, 870.05, 869, 869.05, 1761
