Code,Date,Open,High,Low,Close,Volume
CENTURYTEX,2016-08-16 09:15:00, 680.4, 681.3, 676.15, 677.2, 3244
CENTURYTEX,2016-08-16 09:16:00, 677.2, 677.45, 675, 677, 2858
CENTURYTEX,2016-08-16 09:17:00, 677.45, 678.45, 676.2, 676.2, 1719
CENTURYTEX,2016-08-16 09:18:00, 676.2, 676.4, 675.5, 676.05, 1201
CENTURYTEX,2016-08-16 09:19:00, 676.1, 677, 675.55, 676.3, 2902
CENTURYTEX,2016-08-16 09:20:00, 676.3, 677.25, 675.9, 676.95, 1493
CENTURYTEX,2016-08-16 09:21:00, 676.95, 678.75, 676.5, 677, 1366
CENTURYTEX,2016-08-16 09:22:00, 677, 678.4, 676.25, 678.4, 1602
CENTURYTEX,2016-08-16 09:23:00, 678.4, 679.3, 676.85, 676.85, 1087
CENTURYTEX,2016-08-16 09:24:00, 676.85, 678, 676.25, 678, 1305
CENTURYTEX,2016-08-16 09:25:00, 678, 678.9, 677, 677, 5329
CENTURYTEX,2016-08-16 09:26:00, 677, 679.8, 677, 679.55, 1807
CENTURYTEX,2016-08-16 09:27:00, 679.55, 679.8, 678.55, 679.6, 3436
CENTURYTEX,2016-08-16 09:28:00, 679.6, 680.4, 679.3, 679.75, 935
CENTURYTEX,2016-08-16 09:29:00, 679.35, 681.45, 679.25, 681.2, 2934
CENTURYTEX,2016-08-16 09:30:00, 681.2, 681.4, 679.55, 681, 3346
CENTURYTEX,2016-08-16 09:31:00, 681, 681.7, 680.85, 680.95, 3250
CENTURYTEX,2016-08-16 09:33:00, 681.5, 681.5, 677.05, 679, 5763
CENTURYTEX,2016-08-16 09:32:00, 680.85, 681.85, 680.85, 681.55, 1228
CENTURYTEX,2016-08-16 09:34:00, 679, 679.75, 678.2, 679.75, 1112
CENTURYTEX,2016-08-16 09:35:00, 679.75, 680.05, 679, 680.05, 1045
CENTURYTEX,2016-08-16 09:36:00, 680.05, 680.05, 678.4, 678.4, 512
CENTURYTEX,2016-08-16 09:37:00, 678.4, 679.35, 678.05, 679.35, 1124
CENTURYTEX,2016-08-16 09:38:00, 679.35, 680, 678.5, 678.5, 908
CENTURYTEX,2016-08-16 09:39:00, 678.5, 681.3, 678.5, 680.55, 1017
CENTURYTEX,2016-08-16 09:40:00, 680.5, 680.5, 680, 680.5, 1806
CENTURYTEX,2016-08-16 09:41:00, 680.5, 680.5, 679.85, 679.9, 615
CENTURYTEX,2016-08-16 09:42:00, 679.9, 680.3, 679.45, 679.8, 715
CENTURYTEX,2016-08-16 09:43:00, 679.8, 681, 679.8, 681, 1224
CENTURYTEX,2016-08-16 09:44:00, 681, 681.6, 680.55, 681.6, 609
CENTURYTEX,2016-08-16 09:45:00, 681.6, 682.7, 681.6, 682.15, 5694
CENTURYTEX,2016-08-16 09:46:00, 682.15, 682.9, 681.55, 682, 4661
CENTURYTEX,2016-08-16 09:47:00, 682, 682.5, 682, 682.05, 1317
CENTURYTEX,2016-08-16 09:48:00, 682.05, 682.4, 681.2, 681.2, 2572
CENTURYTEX,2016-08-16 09:49:00, 681.2, 681.55, 681, 681.3, 229
CENTURYTEX,2016-08-16 09:50:00, 681.2, 682.25, 681.1, 681.3, 2136
CENTURYTEX,2016-08-16 09:51:00, 681.3, 682.3, 681.3, 681.55, 237
CENTURYTEX,2016-08-16 09:52:00, 681.55, 681.9, 679.7, 680, 3570
CENTURYTEX,2016-08-16 09:53:00, 679.95, 680.65, 679.8, 680, 573
CENTURYTEX,2016-08-16 09:54:00, 680, 681.6, 680, 680.5, 1377
CENTURYTEX,2016-08-16 09:55:00, 680.5, 681.9, 680.5, 681.4, 333
CENTURYTEX,2016-08-16 09:56:00, 681.4, 681.4, 680, 680, 651
CENTURYTEX,2016-08-16 09:57:00, 680, 680.75, 679.4, 680.75, 3386
CENTURYTEX,2016-08-16 09:58:00, 680.75, 680.75, 680.15, 680.2, 230
CENTURYTEX,2016-08-16 09:59:00, 680.2, 680.8, 679.5, 680, 2462
CENTURYTEX,2016-08-16 10:00:00, 680, 681.55, 680, 681.55, 1686
CENTURYTEX,2016-08-16 10:01:00, 681.55, 682, 681.05, 682, 2446
CENTURYTEX,2016-08-16 10:02:00, 682, 683.5, 681.5, 682.85, 3623
CENTURYTEX,2016-08-16 10:03:00, 682.85, 683, 682.3, 682.4, 1687
CENTURYTEX,2016-08-16 10:04:00, 682.4, 682.95, 682, 682, 317
CENTURYTEX,2016-08-16 10:05:00, 682.45, 682.45, 682, 682, 1100
CENTURYTEX,2016-08-16 10:06:00, 682, 682.5, 682, 682.3, 509
CENTURYTEX,2016-08-16 10:07:00, 682.3, 682.4, 682.3, 682.35, 118
CENTURYTEX,2016-08-16 10:08:00, 682.35, 682.35, 681, 681.55, 206
CENTURYTEX,2016-08-16 10:09:00, 681.55, 682.25, 681.2, 681.2, 154
CENTURYTEX,2016-08-16 10:10:00, 681.2, 681.75, 681.2, 681.75, 107
CENTURYTEX,2016-08-16 10:11:00, 681.75, 682, 681.5, 681.65, 773
CENTURYTEX,2016-08-16 10:12:00, 681.6, 682.1, 681.6, 681.6, 259
CENTURYTEX,2016-08-16 10:13:00, 681.6, 682.2, 681.3, 681.9, 710
CENTURYTEX,2016-08-16 10:14:00, 681.9, 682.95, 681.9, 682.95, 711
CENTURYTEX,2016-08-16 10:15:00, 682.95, 683, 682.75, 682.95, 822
CENTURYTEX,2016-08-16 10:16:00, 682.95, 682.95, 682, 682, 306
CENTURYTEX,2016-08-16 10:17:00, 682, 682, 681.3, 681.5, 1238
CENTURYTEX,2016-08-16 10:18:00, 681.5, 681.5, 680.6, 680.85, 540
CENTURYTEX,2016-08-16 10:19:00, 680.85, 680.85, 680, 680.6, 4355
CENTURYTEX,2016-08-16 10:20:00, 680.6, 682, 680.6, 682, 483
CENTURYTEX,2016-08-16 10:21:00, 681.95, 682.15, 681.8, 681.8, 63
CENTURYTEX,2016-08-16 10:22:00, 681.8, 682.2, 680.8, 682, 1493
CENTURYTEX,2016-08-16 10:23:00, 682, 682, 681, 681.7, 305
CENTURYTEX,2016-08-16 10:24:00, 681, 681.85, 680.5, 680.5, 1275
CENTURYTEX,2016-08-16 10:25:00, 680.5, 680.5, 679.05, 679.5, 3045
CENTURYTEX,2016-08-16 10:26:00, 679.5, 679.5, 678.1, 678.2, 2518
CENTURYTEX,2016-08-16 10:27:00, 678.2, 678.45, 677.3, 677.4, 3065
CENTURYTEX,2016-08-16 10:28:00, 677.4, 678.55, 677.2, 678.25, 1733
CENTURYTEX,2016-08-16 10:29:00, 678.1, 678.35, 677.5, 678.25, 902
CENTURYTEX,2016-08-16 10:30:00, 677.85, 678.3, 677.5, 678.25, 956
CENTURYTEX,2016-08-16 10:31:00, 678.25, 678.75, 678.05, 678.15, 2344
CENTURYTEX,2016-08-16 10:32:00, 678.5, 678.55, 676.7, 677.75, 4549
CENTURYTEX,2016-08-16 10:33:00, 677.75, 678.45, 677.6, 677.6, 5542
CENTURYTEX,2016-08-16 10:34:00, 677.6, 677.6, 676.9, 677.6, 1699
CENTURYTEX,2016-08-16 10:35:00, 677.6, 678, 677.55, 678, 783
CENTURYTEX,2016-08-16 10:36:00, 678, 678.5, 677.75, 678.3, 721
CENTURYTEX,2016-08-16 10:37:00, 678.3, 678.3, 678.2, 678.2, 545
CENTURYTEX,2016-08-16 10:38:00, 678.2, 678.2, 678.15, 678.15, 14
CENTURYTEX,2016-08-16 10:39:00, 678.15, 678.5, 678.15, 678.5, 95
CENTURYTEX,2016-08-16 10:40:00, 678.5, 678.8, 678.1, 678.4, 50
CENTURYTEX,2016-08-16 10:41:00, 678.4, 678.6, 678.1, 678.6, 179
CENTURYTEX,2016-08-16 10:42:00, 678.6, 678.9, 678.5, 678.9, 209
