Code,Date,Open,High,Low,Close,Volume
COALINDIA,2016-08-16 09:15:00, 337.85, 339.85, 337.85, 338.95, 48095
COALINDIA,2016-08-16 09:16:00, 338.85, 338.9, 338.15, 338.85, 30764
COALINDIA,2016-08-16 09:17:00, 338.85, 338.85, 338.2, 338.25, 15439
COALINDIA,2016-08-16 09:18:00, 338.25, 338.45, 338, 338, 16203
COALINDIA,2016-08-16 09:20:00, 337.75, 338.2, 337.75, 338.2, 5110
COALINDIA,2016-08-16 09:19:00, 338, 338, 337.55, 337.75, 7760
COALINDIA,2016-08-16 09:21:00, 338.15, 338.75, 338.15, 338.25, 9660
COALINDIA,2016-08-16 09:22:00, 338.3, 338.9, 338.1, 338.75, 16615
COALINDIA,2016-08-16 09:23:00, 338.75, 339.05, 338.6, 338.6, 11813
COALINDIA,2016-08-16 09:24:00, 338.6, 338.85, 338.5, 338.65, 8963
COALINDIA,2016-08-16 09:25:00, 338.65, 338.65, 338.3, 338.3, 4387
COALINDIA,2016-08-16 09:26:00, 338.3, 338.65, 338.25, 338.4, 5849
COALINDIA,2016-08-16 09:27:00, 338.2, 338.6, 338.2, 338.25, 6015
COALINDIA,2016-08-16 09:28:00, 338.25, 338.55, 338.2, 338.4, 4498
COALINDIA,2016-08-16 09:29:00, 338.4, 338.4, 338.15, 338.15, 3877
COALINDIA,2016-08-16 09:30:00, 338.15, 338.45, 338.15, 338.2, 3951
COALINDIA,2016-08-16 09:31:00, 338.2, 338.4, 338.2, 338.2, 5473
COALINDIA,2016-08-16 09:32:00, 338.15, 338.15, 337.55, 337.55, 8051
COALINDIA,2016-08-16 09:33:00, 337.55, 337.8, 337.1, 337.1, 9028
COALINDIA,2016-08-16 09:34:00, 337.35, 337.35, 337.05, 337.15, 6995
COALINDIA,2016-08-16 09:35:00, 337.15, 337.45, 337.1, 337.1, 5150
COALINDIA,2016-08-16 09:36:00, 337.1, 337.15, 336.5, 336.5, 11294
COALINDIA,2016-08-16 09:37:00, 336.5, 336.6, 336.15, 336.3, 12241
COALINDIA,2016-08-16 09:38:00, 336.25, 336.4, 336.15, 336.3, 6535
COALINDIA,2016-08-16 09:39:00, 336.3, 337.05, 336.3, 337, 5726
COALINDIA,2016-08-16 09:40:00, 336.85, 336.9, 336.35, 336.4, 10118
COALINDIA,2016-08-16 09:42:00, 336.5, 336.55, 336.45, 336.55, 5540
COALINDIA,2016-08-16 09:41:00, 336.4, 336.6, 336.3, 336.45, 5121
