Code,Date,Open,High,Low,Close,Volume
COLPAL,2016-08-16 09:15:00, 958.2, 958.2, 948.6, 951, 872
COLPAL,2016-08-16 09:16:00, 954, 958.5, 953.2, 955, 1509
COLPAL,2016-08-16 09:17:00, 954, 955.45, 953.35, 955.35, 879
COLPAL,2016-08-16 09:18:00, 955.35, 955.9, 953.55, 955.6, 301
COLPAL,2016-08-16 09:19:00, 955.6, 955.75, 954.4, 954.4, 830
COLPAL,2016-08-16 09:20:00, 954.4, 954.65, 953.45, 954.65, 423
COLPAL,2016-08-16 09:21:00, 955.4, 955.9, 954.7, 955.25, 491
COLPAL,2016-08-16 09:22:00, 955.5, 957.9, 955.5, 957.9, 318
COLPAL,2016-08-16 09:23:00, 958.2, 958.35, 954.35, 958.35, 1464
COLPAL,2016-08-16 09:24:00, 958.35, 958.35, 954.7, 955.15, 537
COLPAL,2016-08-16 09:26:00, 957, 957.1, 955.4, 957.1, 312
COLPAL,2016-08-16 09:25:00, 955.15, 958, 954.6, 957, 1882
COLPAL,2016-08-16 09:27:00, 957.1, 957.9, 957.1, 957.9, 2
COLPAL,2016-08-16 09:28:00, 957.9, 958.15, 957.9, 958.15, 4
COLPAL,2016-08-16 09:29:00, 958.15, 958.9, 957.35, 958.9, 130
COLPAL,2016-08-16 09:30:00, 958.4, 960.5, 958.4, 959.1, 1400
COLPAL,2016-08-16 09:31:00, 959.1, 959.95, 958.1, 959.1, 136
COLPAL,2016-08-16 09:32:00, 959.1, 959.3, 959.1, 959.25, 233
COLPAL,2016-08-16 09:33:00, 959.25, 959.35, 959, 959.35, 280
COLPAL,2016-08-16 09:34:00, 959.35, 959.35, 958, 958.4, 1973
COLPAL,2016-08-16 09:35:00, 959.4, 959.4, 958.9, 958.9, 658
COLPAL,2016-08-16 09:36:00, 958.25, 958.25, 956.65, 956.65, 1261
COLPAL,2016-08-16 09:37:00, 957.6, 960.5, 956.45, 956.45, 2139
COLPAL,2016-08-16 09:38:00, 956.55, 960.4, 956.3, 959.35, 2415
COLPAL,2016-08-16 09:39:00, 959.35, 963.7, 959.35, 962.55, 873
COLPAL,2016-08-16 09:40:00, 962.55, 963.35, 962.3, 962.55, 346
COLPAL,2016-08-16 09:41:00, 962.55, 962.55, 961.2, 962.4, 750
COLPAL,2016-08-16 09:42:00, 962.4, 962.4, 961.4, 961.95, 244
COLPAL,2016-08-16 09:43:00, 961.95, 962.15, 961.95, 962.15, 23
COLPAL,2016-08-16 09:44:00, 962.15, 963.1, 962.15, 962.9, 410
COLPAL,2016-08-16 09:45:00, 962.9, 963.15, 962.5, 962.5, 462
COLPAL,2016-08-16 09:46:00, 962.5, 963.2, 962, 962, 1019
COLPAL,2016-08-16 09:47:00, 962, 962.5, 961.75, 962.5, 297
COLPAL,2016-08-16 09:48:00, 962.75, 962.9, 962, 962, 107
COLPAL,2016-08-16 09:49:00, 962, 962.75, 962, 962, 77
COLPAL,2016-08-16 09:50:00, 962, 962, 961.8, 961.8, 59
COLPAL,2016-08-16 09:51:00, 961, 961.95, 960.85, 960.85, 258
COLPAL,2016-08-16 09:52:00, 960.85, 962.3, 960.85, 961.6, 39
COLPAL,2016-08-16 09:53:00, 961.6, 961.75, 961.6, 961.7, 10
COLPAL,2016-08-16 09:54:00, 961.7, 963, 961.65, 961.65, 1421
COLPAL,2016-08-16 09:55:00, 961.65, 963, 961.65, 962.9, 600
COLPAL,2016-08-16 09:56:00, 962.9, 962.9, 961.75, 962.4, 81
COLPAL,2016-08-16 09:57:00, 962.4, 963, 962.4, 963, 261
COLPAL,2016-08-16 09:58:00, 963, 963, 961.8, 963, 354
COLPAL,2016-08-16 09:59:00, 963, 963, 962.65, 963, 21
COLPAL,2016-08-16 10:00:00, 962.65, 963.3, 962.5, 963.2, 228
COLPAL,2016-08-16 10:01:00, 963.2, 963.4, 963, 963.4, 76
COLPAL,2016-08-16 10:02:00, 963.4, 963.5, 963.1, 963.1, 131
COLPAL,2016-08-16 10:03:00, 963.1, 963.6, 963.1, 963.6, 5
COLPAL,2016-08-16 10:04:00, 963.6, 963.6, 962.55, 962.65, 397
COLPAL,2016-08-16 10:05:00, 962.55, 963.5, 962.55, 963.5, 162
COLPAL,2016-08-16 10:06:00, 963.5, 963.7, 963, 963.7, 444
COLPAL,2016-08-16 10:07:00, 963.4, 963.8, 963.4, 963.5, 263
COLPAL,2016-08-16 10:08:00, 963.5, 963.8, 963.5, 963.5, 33
COLPAL,2016-08-16 10:09:00, 963.5, 965, 963.45, 965, 7937
COLPAL,2016-08-16 10:10:00, 965, 967.1, 965, 966, 5999
COLPAL,2016-08-16 10:11:00, 966, 966, 964.5, 965.15, 1038
COLPAL,2016-08-16 10:12:00, 965.15, 967, 964.7, 964.7, 2631
COLPAL,2016-08-16 10:13:00, 964.7, 966.65, 964.7, 965.7, 120
COLPAL,2016-08-16 10:14:00, 965.8, 967.1, 965.8, 967.1, 652
