Code,Date,Open,High,Low,Close,Volume
CROMPGREAV,2016-08-16 09:15:00, 83.55, 83.75, 83.5, 83.5, 9723
CROMPGREAV,2016-08-16 09:17:00, 83.45, 83.45, 83.1, 83.15, 22506
CROMPGREAV,2016-08-16 09:16:00, 83.75, 83.75, 83.45, 83.45, 6756
CROMPGREAV,2016-08-16 09:18:00, 83.15, 83.15, 82.9, 83.1, 7884
CROMPGREAV,2016-08-16 09:19:00, 82.95, 83.05, 82.8, 82.85, 9835
CROMPGREAV,2016-08-16 09:20:00, 82.85, 83, 82.85, 83, 9027
CROMPGREAV,2016-08-16 09:21:00, 83, 83.05, 82.95, 82.95, 18306
CROMPGREAV,2016-08-16 09:22:00, 82.9, 83.2, 82.9, 83, 11839
CROMPGREAV,2016-08-16 09:23:00, 83.15, 83.25, 83.1, 83.15, 1275
CROMPGREAV,2016-08-16 09:24:00, 83.15, 83.45, 83.15, 83.45, 19865
CROMPGREAV,2016-08-16 09:26:00, 83.3, 83.4, 83.2, 83.4, 5448
CROMPGREAV,2016-08-16 09:25:00, 83.45, 83.45, 83.15, 83.3, 4844
CROMPGREAV,2016-08-16 09:27:00, 83.3, 83.4, 83.1, 83.2, 9611
CROMPGREAV,2016-08-16 09:28:00, 83.2, 83.25, 83.15, 83.15, 4151
CROMPGREAV,2016-08-16 09:29:00, 83.15, 83.6, 83.15, 83.5, 13284
CROMPGREAV,2016-08-16 09:30:00, 83.5, 84, 83.5, 84, 20887
CROMPGREAV,2016-08-16 09:31:00, 84, 84, 83.8, 83.85, 11402
CROMPGREAV,2016-08-16 09:32:00, 83.85, 83.95, 83.75, 83.75, 3315
CROMPGREAV,2016-08-16 09:33:00, 83.75, 83.8, 83.55, 83.8, 30916
CROMPGREAV,2016-08-16 09:34:00, 83.7, 83.8, 83.6, 83.65, 2256
CROMPGREAV,2016-08-16 09:35:00, 83.65, 83.85, 83.65, 83.8, 2465
CROMPGREAV,2016-08-16 09:36:00, 83.8, 83.8, 83.7, 83.7, 2100
CROMPGREAV,2016-08-16 09:37:00, 83.7, 83.85, 83.7, 83.7, 7749
CROMPGREAV,2016-08-16 09:38:00, 83.7, 83.8, 83.7, 83.8, 5973
CROMPGREAV,2016-08-16 09:39:00, 83.85, 83.85, 83.7, 83.8, 4609
CROMPGREAV,2016-08-16 09:40:00, 83.95, 84.25, 83.95, 84.15, 40551
CROMPGREAV,2016-08-16 09:41:00, 84.15, 84.25, 84.15, 84.15, 2447
CROMPGREAV,2016-08-16 09:42:00, 84.15, 84.25, 84.05, 84.25, 8527
CROMPGREAV,2016-08-16 09:43:00, 84.25, 84.25, 84.15, 84.25, 2958
CROMPGREAV,2016-08-16 09:44:00, 84.25, 84.25, 84.05, 84.1, 8168
