Code,Date,Open,High,Low,Close,Volume
CUMMINSIND,2016-08-16 09:15:00, 905, 906.95, 897.1, 902.95, 1032
CUMMINSIND,2016-08-16 09:16:00, 903.95, 905, 894.55, 904.8, 1383
CUMMINSIND,2016-08-16 09:17:00, 904.5, 904.75, 903, 904.75, 923
CUMMINSIND,2016-08-16 09:18:00, 903.85, 904.2, 901.3, 901.3, 1838
CUMMINSIND,2016-08-16 09:19:00, 901.3, 905.05, 901.3, 905.05, 1219
CUMMINSIND,2016-08-16 09:20:00, 905.1, 912.9, 905, 912.9, 3810
CUMMINSIND,2016-08-16 09:21:00, 912.5, 916, 912.5, 914.25, 8006
CUMMINSIND,2016-08-16 09:22:00, 914.25, 915.75, 914.25, 915.5, 2355
CUMMINSIND,2016-08-16 09:23:00, 915.5, 915.5, 913.55, 914.35, 2845
CUMMINSIND,2016-08-16 09:24:00, 914.55, 915.9, 914.5, 914.8, 2304
CUMMINSIND,2016-08-16 09:25:00, 914.8, 914.8, 913, 913.35, 897
CUMMINSIND,2016-08-16 09:26:00, 913.3, 913.35, 912.45, 913.3, 1380
CUMMINSIND,2016-08-16 09:28:00, 913.8, 913.8, 912, 913.05, 3985
CUMMINSIND,2016-08-16 09:29:00, 913.05, 913.55, 912, 912.75, 1386
CUMMINSIND,2016-08-16 09:27:00, 913.4, 914, 913.1, 913.8, 353
CUMMINSIND,2016-08-16 09:30:00, 911.95, 912.8, 911.4, 912, 1888
CUMMINSIND,2016-08-16 09:31:00, 912, 912.05, 911.95, 911.95, 727
CUMMINSIND,2016-08-16 09:32:00, 911.95, 912, 911.7, 912, 958
CUMMINSIND,2016-08-16 09:33:00, 912, 912.55, 912, 912, 347
CUMMINSIND,2016-08-16 09:34:00, 912.1, 912.8, 912, 912.45, 1090
CUMMINSIND,2016-08-16 09:35:00, 912.45, 912.9, 912.45, 912.9, 525
CUMMINSIND,2016-08-16 09:36:00, 912.9, 912.9, 912.2, 912.65, 926
CUMMINSIND,2016-08-16 09:37:00, 912.65, 912.9, 912.1, 912.1, 378
CUMMINSIND,2016-08-16 09:38:00, 912.05, 912.45, 911.4, 912.45, 1018
CUMMINSIND,2016-08-16 09:39:00, 912.35, 912.4, 911.9, 911.9, 364
CUMMINSIND,2016-08-16 09:40:00, 911.9, 911.95, 911.45, 911.9, 809
CUMMINSIND,2016-08-16 09:41:00, 911.9, 912.35, 911.55, 911.7, 2128
CUMMINSIND,2016-08-16 09:42:00, 911.7, 912.9, 911.7, 912.9, 312
CUMMINSIND,2016-08-16 09:43:00, 912.9, 913, 912.45, 913, 705
CUMMINSIND,2016-08-16 09:44:00, 913, 913, 912.85, 913, 338
CUMMINSIND,2016-08-16 09:45:00, 913, 914.15, 913, 914.15, 2159
CUMMINSIND,2016-08-16 09:46:00, 914.15, 914.85, 913.95, 914.8, 1555
CUMMINSIND,2016-08-16 09:47:00, 914.35, 915, 913.95, 915, 1615
CUMMINSIND,2016-08-16 09:48:00, 915, 915, 914.8, 915, 1384
CUMMINSIND,2016-08-16 09:49:00, 915, 915.5, 914.95, 915.5, 616
CUMMINSIND,2016-08-16 09:50:00, 915.5, 915.5, 914.85, 914.9, 1439
CUMMINSIND,2016-08-16 09:51:00, 914.7, 915.2, 914.7, 915.2, 1344
CUMMINSIND,2016-08-16 09:52:00, 915.2, 915.2, 914.95, 915.2, 1318
CUMMINSIND,2016-08-16 09:53:00, 915.2, 915.45, 914.5, 914.5, 971
CUMMINSIND,2016-08-16 09:54:00, 914.5, 915.45, 914.5, 915.4, 695
CUMMINSIND,2016-08-16 09:55:00, 915.4, 915.5, 915.1, 915.5, 191
CUMMINSIND,2016-08-16 09:56:00, 915.4, 915.5, 915.2, 915.5, 1154
CUMMINSIND,2016-08-16 09:57:00, 915.5, 916, 915.2, 916, 2375
CUMMINSIND,2016-08-16 09:58:00, 916, 917, 915.75, 915.75, 2801
CUMMINSIND,2016-08-16 09:59:00, 915.75, 915.85, 915.1, 915.75, 635
CUMMINSIND,2016-08-16 10:00:00, 915.75, 915.75, 915, 915.4, 1669
CUMMINSIND,2016-08-16 10:01:00, 915.4, 915.4, 915, 915.4, 409
CUMMINSIND,2016-08-16 10:02:00, 915.4, 915.4, 913.2, 915.35, 814
CUMMINSIND,2016-08-16 10:03:00, 915.35, 915.7, 915.15, 915.7, 1314
CUMMINSIND,2016-08-16 10:04:00, 915.55, 915.7, 913.55, 915.7, 1087
CUMMINSIND,2016-08-16 10:05:00, 915.7, 915.75, 915.35, 915.75, 1355
CUMMINSIND,2016-08-16 10:06:00, 915.8, 916, 915.45, 916, 1439
CUMMINSIND,2016-08-16 10:08:00, 916, 916, 915.5, 915.5, 55
CUMMINSIND,2016-08-16 10:07:00, 916, 916, 915, 916, 1371
CUMMINSIND,2016-08-16 10:09:00, 915.5, 916, 915.5, 915.55, 114
CUMMINSIND,2016-08-16 10:10:00, 915.55, 916.25, 915.55, 916.25, 1166
CUMMINSIND,2016-08-16 10:13:00, 919, 919.7, 918.4, 919, 2112
CUMMINSIND,2016-08-16 10:12:00, 917, 919, 917, 919, 5903
CUMMINSIND,2016-08-16 10:11:00, 916.2, 917.85, 916.2, 917.5, 2634
CUMMINSIND,2016-08-16 10:14:00, 919, 919, 918.65, 918.65, 972
CUMMINSIND,2016-08-16 10:15:00, 918.95, 919.65, 918.95, 919.3, 1422
CUMMINSIND,2016-08-16 10:18:00, 921, 921, 920, 920, 1781
CUMMINSIND,2016-08-16 10:17:00, 920.7, 921, 920.25, 921, 2219
CUMMINSIND,2016-08-16 10:16:00, 919.3, 922, 919.3, 920.7, 8952
