Code,Date,Open,High,Low,Close,Volume
DABUR,2016-08-16 09:15:00, 298.1, 298.1, 296.1, 296.7, 8263
DABUR,2016-08-16 09:16:00, 296.35, 297.1, 296.25, 297, 12420
DABUR,2016-08-16 09:17:00, 296.9, 297.65, 296.8, 296.8, 5853
DABUR,2016-08-16 09:19:00, 296.45, 296.75, 296.4, 296.75, 8814
DABUR,2016-08-16 09:18:00, 296.8, 296.8, 296, 296.35, 4924
DABUR,2016-08-16 09:20:00, 296.85, 297.5, 296.85, 297.5, 5724
DABUR,2016-08-16 09:21:00, 297.5, 297.6, 297.35, 297.35, 1912
DABUR,2016-08-16 09:22:00, 297.4, 297.45, 297, 297.25, 7066
DABUR,2016-08-16 09:23:00, 297.2, 297.25, 296.5, 296.5, 10962
DABUR,2016-08-16 09:24:00, 296.6, 296.6, 295.75, 295.75, 17154
DABUR,2016-08-16 09:25:00, 295.85, 295.95, 294.55, 295, 25081
DABUR,2016-08-16 09:26:00, 294.5, 295.25, 294.5, 295, 4124
DABUR,2016-08-16 09:27:00, 295.05, 295.35, 294.95, 295.05, 8664
DABUR,2016-08-16 09:28:00, 295.05, 295.2, 294.9, 295.15, 1599
DABUR,2016-08-16 09:29:00, 295.15, 295.5, 294.95, 295.05, 3922
DABUR,2016-08-16 09:30:00, 295.05, 295.3, 294.8, 295.05, 5220
DABUR,2016-08-16 09:31:00, 295.05, 295.15, 294.85, 294.95, 3095
DABUR,2016-08-16 09:32:00, 294.95, 295.2, 294.85, 295.05, 5135
DABUR,2016-08-16 09:33:00, 295.1, 295.1, 294.95, 295, 3353
DABUR,2016-08-16 09:34:00, 294.95, 295.1, 294.95, 295.1, 2939
DABUR,2016-08-16 09:36:00, 295.05, 295.15, 294.85, 295, 4499
DABUR,2016-08-16 09:35:00, 295.2, 295.2, 294.95, 295.05, 3885
DABUR,2016-08-16 09:37:00, 295.1, 295.15, 294.8, 294.8, 8659
DABUR,2016-08-16 09:38:00, 294.95, 294.95, 293.2, 293.5, 17278
DABUR,2016-08-16 09:39:00, 293.5, 294.15, 293.5, 294, 4986
DABUR,2016-08-16 09:40:00, 294.25, 294.25, 293.75, 293.75, 6269
DABUR,2016-08-16 09:42:00, 293, 293.1, 292.9, 292.95, 7423
DABUR,2016-08-16 09:41:00, 293.8, 293.8, 293, 293, 7649
DABUR,2016-08-16 09:44:00, 293.05, 293.5, 293, 293, 5051
DABUR,2016-08-16 09:43:00, 292.95, 293.3, 292.8, 293, 7055
DABUR,2016-08-16 09:45:00, 293, 293.25, 292.95, 293.05, 9992
DABUR,2016-08-16 09:46:00, 293.05, 293.4, 293.05, 293.3, 4749
DABUR,2016-08-16 09:47:00, 293.3, 293.8, 293.3, 293.8, 1880
DABUR,2016-08-16 09:48:00, 293.85, 294.25, 293.75, 294.15, 2359
DABUR,2016-08-16 09:49:00, 294.2, 294.55, 294.2, 294.45, 3070
