Code,Date,Open,High,Low,Close,Volume
DIVISLAB,2016-08-16 09:15:00, 1212.9, 1218.55, 1211, 1216.85, 17233
DIVISLAB,2016-08-16 09:16:00, 1217.95, 1218, 1214.7, 1217.9, 8654
DIVISLAB,2016-08-16 09:17:00, 1218.6, 1225.7, 1214.7, 1225.7, 29987
DIVISLAB,2016-08-16 09:18:00, 1225.15, 1225.15, 1213.9, 1213.9, 10415
DIVISLAB,2016-08-16 09:20:00, 1215.5, 1220.5, 1215.5, 1219.1, 9162
DIVISLAB,2016-08-16 09:19:00, 1214, 1216.75, 1214, 1215.85, 2220
DIVISLAB,2016-08-16 09:21:00, 1219.05, 1221.45, 1218.2, 1218.4, 4804
DIVISLAB,2016-08-16 09:22:00, 1218.1, 1220.6, 1217.8, 1219.25, 4143
DIVISLAB,2016-08-16 09:24:00, 1220.5, 1220.7, 1219.3, 1220.1, 7249
DIVISLAB,2016-08-16 09:23:00, 1219.7, 1220.5, 1218.25, 1220.5, 1922
DIVISLAB,2016-08-16 09:26:00, 1224.45, 1226.6, 1223.1, 1225.25, 4059
DIVISLAB,2016-08-16 09:25:00, 1220.1, 1226, 1219.55, 1225.45, 11752
DIVISLAB,2016-08-16 09:28:00, 1227.3, 1229.8, 1227.3, 1229, 8175
DIVISLAB,2016-08-16 09:27:00, 1224.5, 1229, 1224.5, 1228, 6233
DIVISLAB,2016-08-16 09:29:00, 1228, 1231.35, 1228, 1230.05, 9669
DIVISLAB,2016-08-16 09:30:00, 1229.75, 1229.8, 1224, 1227.05, 8798
DIVISLAB,2016-08-16 09:32:00, 1226.5, 1232, 1226.5, 1232, 3786
DIVISLAB,2016-08-16 09:31:00, 1227.05, 1228.5, 1225.65, 1226.9, 3754
DIVISLAB,2016-08-16 09:34:00, 1231.25, 1231.95, 1229.2, 1231.95, 3699
DIVISLAB,2016-08-16 09:33:00, 1232.95, 1234.2, 1231.7, 1231.7, 8076
DIVISLAB,2016-08-16 09:36:00, 1237.05, 1238.3, 1235.15, 1235.95, 8022
DIVISLAB,2016-08-16 09:35:00, 1231.95, 1237.1, 1231.95, 1237.1, 7358
DIVISLAB,2016-08-16 09:37:00, 1237, 1238.1, 1234.5, 1235.8, 9165
DIVISLAB,2016-08-16 09:38:00, 1235.45, 1237, 1234.25, 1235.4, 4191
DIVISLAB,2016-08-16 09:39:00, 1235.45, 1235.45, 1227.85, 1227.85, 9287
DIVISLAB,2016-08-16 09:40:00, 1223, 1228.65, 1217.25, 1226.5, 25112
DIVISLAB,2016-08-16 09:41:00, 1226.5, 1228.35, 1224.35, 1226.15, 11884
DIVISLAB,2016-08-16 09:42:00, 1226.2, 1230.7, 1226, 1229.45, 6265
DIVISLAB,2016-08-16 09:43:00, 1229.45, 1231, 1229.05, 1229.8, 9612
DIVISLAB,2016-08-16 09:44:00, 1229.85, 1231, 1228.25, 1229.9, 2816
DIVISLAB,2016-08-16 09:45:00, 1229.95, 1230.65, 1228.85, 1230.6, 1901
DIVISLAB,2016-08-16 09:46:00, 1230.4, 1230.6, 1228.9, 1229, 2122
DIVISLAB,2016-08-16 09:47:00, 1229.35, 1229.9, 1228.3, 1229.9, 1844
DIVISLAB,2016-08-16 09:48:00, 1229.2, 1230, 1228.75, 1229.4, 4324
DIVISLAB,2016-08-16 09:49:00, 1229.4, 1230, 1228.2, 1229.9, 3505
DIVISLAB,2016-08-16 09:50:00, 1229.9, 1231, 1229.75, 1230.95, 3180
DIVISLAB,2016-08-16 09:51:00, 1230, 1230.95, 1229.7, 1230.5, 2451
DIVISLAB,2016-08-16 09:52:00, 1230.15, 1231, 1230.15, 1230.8, 992
DIVISLAB,2016-08-16 09:53:00, 1230.8, 1232.25, 1230.8, 1232.25, 2676
DIVISLAB,2016-08-16 09:54:00, 1231.95, 1234.35, 1231.95, 1234.35, 2886
DIVISLAB,2016-08-16 09:55:00, 1234.95, 1236, 1234.4, 1235.95, 4268
DIVISLAB,2016-08-16 09:56:00, 1235.95, 1238, 1235.95, 1237.9, 4591
DIVISLAB,2016-08-16 09:58:00, 1240, 1240, 1238.45, 1239.1, 3495
DIVISLAB,2016-08-16 09:57:00, 1238, 1240, 1237, 1240, 8829
DIVISLAB,2016-08-16 09:59:00, 1239.1, 1239.85, 1236, 1236.75, 4229
DIVISLAB,2016-08-16 10:00:00, 1236.5, 1236.5, 1235, 1236.2, 1703
DIVISLAB,2016-08-16 10:01:00, 1236.2, 1238.2, 1233.6, 1237.7, 3849
DIVISLAB,2016-08-16 10:02:00, 1236.9, 1240, 1236.05, 1239.65, 4310
DIVISLAB,2016-08-16 10:03:00, 1240, 1247.8, 1240, 1244.95, 15423
DIVISLAB,2016-08-16 10:04:00, 1244.65, 1244.85, 1241.05, 1242.3, 3788
DIVISLAB,2016-08-16 10:05:00, 1242.4, 1246.95, 1242.4, 1244.7, 4123
DIVISLAB,2016-08-16 10:06:00, 1245, 1247.25, 1245, 1246.8, 2503
DIVISLAB,2016-08-16 10:07:00, 1246.8, 1249.95, 1246.8, 1249.95, 5876
DIVISLAB,2016-08-16 10:08:00, 1249, 1249.95, 1247.3, 1249.9, 4248
DIVISLAB,2016-08-16 10:09:00, 1249.4, 1249.45, 1246.2, 1247.45, 2960
