Code,Date,Open,High,Low,Close,Volume
ENGINERSIN,2016-08-16 09:15:00, 218.55, 219.6, 218.55, 218.95, 1061
ENGINERSIN,2016-08-16 09:16:00, 219.2, 219.2, 218, 218.3, 6905
ENGINERSIN,2016-08-16 09:17:00, 218.3, 219.1, 218.3, 218.8, 2018
ENGINERSIN,2016-08-16 09:18:00, 218.8, 218.9, 218.35, 218.35, 1640
ENGINERSIN,2016-08-16 09:19:00, 218.65, 218.75, 218.4, 218.5, 1040
ENGINERSIN,2016-08-16 09:21:00, 218.85, 218.85, 218.65, 218.7, 662
ENGINERSIN,2016-08-16 09:20:00, 218.5, 218.65, 218.5, 218.65, 191
ENGINERSIN,2016-08-16 09:22:00, 218.8, 219, 218.55, 219, 751
ENGINERSIN,2016-08-16 09:23:00, 218.95, 219.05, 218.95, 219.05, 245
ENGINERSIN,2016-08-16 09:24:00, 219.05, 219.25, 218.8, 219.25, 2970
ENGINERSIN,2016-08-16 09:25:00, 219.25, 219.5, 219.15, 219.5, 798
ENGINERSIN,2016-08-16 09:26:00, 219.5, 219.5, 219.1, 219.1, 843
ENGINERSIN,2016-08-16 09:27:00, 219.1, 219.6, 219, 219.6, 2152
ENGINERSIN,2016-08-16 09:28:00, 219.5, 219.8, 219.2, 219.8, 1282
ENGINERSIN,2016-08-16 09:29:00, 219.8, 219.8, 219.6, 219.6, 19
ENGINERSIN,2016-08-16 09:30:00, 219.6, 219.7, 219.5, 219.65, 1928
ENGINERSIN,2016-08-16 09:31:00, 219.7, 220.4, 219.7, 219.95, 3126
ENGINERSIN,2016-08-16 09:32:00, 219.95, 220.25, 219.95, 220.25, 836
ENGINERSIN,2016-08-16 09:33:00, 220.25, 220.25, 220.1, 220.1, 249
ENGINERSIN,2016-08-16 09:34:00, 220.1, 220.1, 219.5, 219.85, 2468
ENGINERSIN,2016-08-16 09:35:00, 219.85, 219.85, 219.5, 219.65, 671
ENGINERSIN,2016-08-16 09:36:00, 219.65, 220, 219.6, 220, 4581
ENGINERSIN,2016-08-16 09:37:00, 220, 220, 219.8, 220, 952
ENGINERSIN,2016-08-16 09:39:00, 220.05, 220.25, 219.75, 220.25, 319
ENGINERSIN,2016-08-16 09:38:00, 220, 220.05, 219.8, 220.05, 511
ENGINERSIN,2016-08-16 09:40:00, 220.25, 220.75, 220.25, 220.75, 667
ENGINERSIN,2016-08-16 09:41:00, 220.75, 220.8, 220.5, 220.8, 1698
ENGINERSIN,2016-08-16 09:42:00, 220.95, 221.35, 220.95, 221.2, 2525
ENGINERSIN,2016-08-16 09:43:00, 221.2, 222.2, 221.2, 222.2, 5113
ENGINERSIN,2016-08-16 09:44:00, 222.2, 222.45, 221.5, 221.5, 5499
ENGINERSIN,2016-08-16 09:45:00, 221.55, 221.9, 221.55, 221.9, 1636
ENGINERSIN,2016-08-16 09:46:00, 221.9, 222.45, 221.5, 221.5, 2602
ENGINERSIN,2016-08-16 09:47:00, 221.5, 221.8, 221.5, 221.75, 1518
ENGINERSIN,2016-08-16 09:48:00, 221.75, 221.95, 221.75, 221.95, 481
ENGINERSIN,2016-08-16 09:49:00, 221.95, 221.95, 221.4, 221.7, 1078
ENGINERSIN,2016-08-16 09:50:00, 221.7, 221.7, 221.25, 221.5, 1224
ENGINERSIN,2016-08-16 09:51:00, 221.5, 221.8, 221.5, 221.8, 300
ENGINERSIN,2016-08-16 09:52:00, 221.8, 221.8, 221.5, 221.8, 85
ENGINERSIN,2016-08-16 09:53:00, 221.8, 222, 221.35, 222, 2962
ENGINERSIN,2016-08-16 09:54:00, 222, 222, 221.95, 221.95, 1
ENGINERSIN,2016-08-16 09:55:00, 221.95, 221.95, 221.6, 221.65, 345
ENGINERSIN,2016-08-16 09:56:00, 221.8, 221.8, 221.6, 221.8, 1406
ENGINERSIN,2016-08-16 09:57:00, 221.8, 221.8, 221.65, 221.75, 726
ENGINERSIN,2016-08-16 09:58:00, 221.75, 221.8, 221.65, 221.75, 625
ENGINERSIN,2016-08-16 09:59:00, 221.75, 221.8, 221.7, 221.75, 149
ENGINERSIN,2016-08-16 10:00:00, 221.75, 221.75, 221.65, 221.65, 46
ENGINERSIN,2016-08-16 10:01:00, 221.65, 221.65, 221.45, 221.65, 379
ENGINERSIN,2016-08-16 10:02:00, 221.65, 221.7, 221.65, 221.7, 701
ENGINERSIN,2016-08-16 10:03:00, 221.7, 221.7, 221.7, 221.7, 0
ENGINERSIN,2016-08-16 10:04:00, 221.7, 221.7, 221.4, 221.4, 425
