Code,Date,Open,High,Low,Close,Volume
EXIDEIND,2016-08-16 09:16:00, 173.35, 173.55, 173.35, 173.55, 8817
EXIDEIND,2016-08-16 09:15:00, 173, 173.35, 172.9, 173.35, 7592
EXIDEIND,2016-08-16 09:17:00, 173.55, 173.8, 173.35, 173.8, 8184
EXIDEIND,2016-08-16 09:18:00, 173.55, 174, 173.5, 174, 27761
EXIDEIND,2016-08-16 09:19:00, 174.05, 174.45, 174.05, 174.3, 13971
EXIDEIND,2016-08-16 09:20:00, 174.3, 174.5, 174.25, 174.3, 7679
EXIDEIND,2016-08-16 09:21:00, 174.3, 174.45, 174.15, 174.15, 4770
EXIDEIND,2016-08-16 09:22:00, 174.15, 174.25, 173.8, 174.15, 18624
EXIDEIND,2016-08-16 09:23:00, 174.15, 174.2, 173.95, 173.95, 2708
EXIDEIND,2016-08-16 09:24:00, 173.95, 174.1, 173.6, 173.6, 7811
EXIDEIND,2016-08-16 09:25:00, 173.6, 173.95, 173.6, 173.8, 3864
EXIDEIND,2016-08-16 09:26:00, 173.8, 174.4, 173.75, 174.4, 29701
EXIDEIND,2016-08-16 09:27:00, 174.4, 174.4, 174, 174.1, 4085
EXIDEIND,2016-08-16 09:28:00, 174, 174.1, 173.95, 174.05, 9396
EXIDEIND,2016-08-16 09:29:00, 174.05, 174.1, 174.05, 174.1, 3763
EXIDEIND,2016-08-16 09:30:00, 174.1, 174.1, 173.65, 173.85, 5566
EXIDEIND,2016-08-16 09:31:00, 173.85, 174, 173.85, 174, 5293
EXIDEIND,2016-08-16 09:33:00, 174.2, 174.2, 173.8, 173.95, 8749
EXIDEIND,2016-08-16 09:32:00, 174, 174.2, 174, 174.2, 845
EXIDEIND,2016-08-16 09:34:00, 173.95, 173.95, 173.65, 173.9, 2787
EXIDEIND,2016-08-16 09:35:00, 173.9, 173.9, 173.8, 173.9, 812
EXIDEIND,2016-08-16 09:36:00, 173.9, 173.9, 173.75, 173.8, 1868
EXIDEIND,2016-08-16 09:37:00, 173.9, 173.9, 173.7, 173.75, 779
EXIDEIND,2016-08-16 09:38:00, 173.75, 173.75, 173.5, 173.55, 8902
EXIDEIND,2016-08-16 09:39:00, 173.55, 173.9, 173.55, 173.8, 2118
EXIDEIND,2016-08-16 09:40:00, 173.8, 173.85, 173.7, 173.8, 1954
EXIDEIND,2016-08-16 09:41:00, 173.8, 173.8, 173.5, 173.5, 17052
EXIDEIND,2016-08-16 09:42:00, 173.5, 173.5, 173.4, 173.4, 2701
EXIDEIND,2016-08-16 09:43:00, 173.4, 174, 173.3, 174, 9590
EXIDEIND,2016-08-16 09:44:00, 174, 174, 173.8, 173.95, 1654
EXIDEIND,2016-08-16 09:45:00, 173.95, 174, 173.95, 174, 890
