Code,Date,Open,High,Low,Close,Volume
FEDERALBNK,2016-08-16 09:15:00, 63.75, 64, 63.65, 63.7, 4046
FEDERALBNK,2016-08-16 09:16:00, 63.7, 63.7, 63.6, 63.65, 6326
FEDERALBNK,2016-08-16 09:17:00, 63.65, 63.8, 63.65, 63.8, 29331
FEDERALBNK,2016-08-16 09:18:00, 63.8, 63.8, 63.7, 63.7, 7570
FEDERALBNK,2016-08-16 09:19:00, 63.7, 63.8, 63.7, 63.7, 19772
FEDERALBNK,2016-08-16 09:20:00, 63.7, 63.75, 63.7, 63.75, 9962
FEDERALBNK,2016-08-16 09:21:00, 63.75, 63.85, 63.7, 63.7, 45253
FEDERALBNK,2016-08-16 09:22:00, 63.7, 63.8, 63.7, 63.8, 12315
FEDERALBNK,2016-08-16 09:23:00, 63.8, 63.85, 63.75, 63.75, 2927
FEDERALBNK,2016-08-16 09:24:00, 63.75, 63.8, 63.7, 63.7, 24939
FEDERALBNK,2016-08-16 09:25:00, 63.8, 63.95, 63.7, 63.85, 58474
FEDERALBNK,2016-08-16 09:26:00, 63.85, 63.9, 63.8, 63.9, 3215
FEDERALBNK,2016-08-16 09:27:00, 63.9, 63.9, 63.75, 63.85, 38692
FEDERALBNK,2016-08-16 09:29:00, 63.8, 63.85, 63.75, 63.85, 23406
FEDERALBNK,2016-08-16 09:28:00, 63.85, 63.9, 63.75, 63.8, 22137
FEDERALBNK,2016-08-16 09:30:00, 63.85, 63.85, 63.7, 63.8, 5395
FEDERALBNK,2016-08-16 09:31:00, 63.8, 63.9, 63.8, 63.85, 21951
FEDERALBNK,2016-08-16 09:32:00, 63.9, 63.9, 63.85, 63.85, 8131
FEDERALBNK,2016-08-16 09:33:00, 63.95, 63.95, 63.8, 63.8, 25669
FEDERALBNK,2016-08-16 09:34:00, 63.9, 63.9, 63.8, 63.85, 7877
FEDERALBNK,2016-08-16 09:35:00, 63.85, 63.95, 63.85, 63.9, 9560
FEDERALBNK,2016-08-16 09:36:00, 63.9, 63.9, 63.85, 63.9, 206
FEDERALBNK,2016-08-16 09:37:00, 63.85, 63.85, 63.8, 63.8, 9409
FEDERALBNK,2016-08-16 09:38:00, 63.8, 63.9, 63.8, 63.85, 19243
FEDERALBNK,2016-08-16 09:39:00, 63.85, 63.95, 63.85, 63.95, 36158
FEDERALBNK,2016-08-16 09:40:00, 63.95, 63.95, 63.85, 63.85, 17168
FEDERALBNK,2016-08-16 09:41:00, 63.85, 63.9, 63.85, 63.9, 2068
FEDERALBNK,2016-08-16 09:42:00, 63.9, 63.9, 63.85, 63.9, 5690
FEDERALBNK,2016-08-16 09:43:00, 63.9, 63.9, 63.8, 63.85, 1770
FEDERALBNK,2016-08-16 09:44:00, 63.85, 63.9, 63.85, 63.9, 4109
FEDERALBNK,2016-08-16 09:45:00, 63.9, 63.9, 63.85, 63.9, 3963
FEDERALBNK,2016-08-16 09:46:00, 63.9, 63.9, 63.85, 63.9, 19402
FEDERALBNK,2016-08-16 09:47:00, 63.9, 63.95, 63.85, 63.95, 3332
FEDERALBNK,2016-08-16 09:48:00, 63.9, 64, 63.9, 63.95, 8086
FEDERALBNK,2016-08-16 09:49:00, 63.9, 64, 63.9, 64, 6706
FEDERALBNK,2016-08-16 09:50:00, 64, 64, 63.95, 63.95, 5385
FEDERALBNK,2016-08-16 09:51:00, 63.95, 64, 63.95, 64, 10038
FEDERALBNK,2016-08-16 09:52:00, 64, 64, 63.95, 63.95, 7705
FEDERALBNK,2016-08-16 09:53:00, 63.95, 63.95, 63.9, 63.95, 5738
FEDERALBNK,2016-08-16 09:54:00, 63.95, 64, 63.9, 63.95, 7491
FEDERALBNK,2016-08-16 09:55:00, 63.95, 64, 63.9, 63.9, 3649
FEDERALBNK,2016-08-16 09:56:00, 63.9, 63.95, 63.85, 63.9, 18778
FEDERALBNK,2016-08-16 09:57:00, 63.9, 63.9, 63.85, 63.9, 861
FEDERALBNK,2016-08-16 09:58:00, 63.9, 63.9, 63.8, 63.8, 6010
FEDERALBNK,2016-08-16 09:59:00, 63.8, 63.85, 63.75, 63.85, 12833
FEDERALBNK,2016-08-16 10:00:00, 63.8, 64.1, 63.8, 64.05, 130252
FEDERALBNK,2016-08-16 10:01:00, 64.05, 64.15, 64, 64.15, 58482
FEDERALBNK,2016-08-16 10:02:00, 64.15, 64.15, 64, 64, 6151
FEDERALBNK,2016-08-16 10:03:00, 64, 64.1, 64, 64, 6062
FEDERALBNK,2016-08-16 10:04:00, 64, 64.05, 64, 64, 1605
FEDERALBNK,2016-08-16 10:05:00, 64, 64.05, 64, 64, 33722
FEDERALBNK,2016-08-16 10:06:00, 64.05, 64.05, 64, 64, 22545
FEDERALBNK,2016-08-16 10:07:00, 64.05, 64.05, 64, 64, 21496
FEDERALBNK,2016-08-16 10:08:00, 64, 64.05, 64, 64.05, 17666
FEDERALBNK,2016-08-16 10:09:00, 64.05, 64.05, 64, 64, 18740
FEDERALBNK,2016-08-16 10:10:00, 64, 64.05, 64, 64.05, 6111
FEDERALBNK,2016-08-16 10:11:00, 64.05, 64.05, 63.95, 63.95, 11987
FEDERALBNK,2016-08-16 10:12:00, 63.95, 64, 63.95, 63.95, 1866
FEDERALBNK,2016-08-16 10:13:00, 63.95, 64.05, 63.9, 64.05, 50142
FEDERALBNK,2016-08-16 10:14:00, 64.05, 64.05, 63.95, 64, 18495
FEDERALBNK,2016-08-16 10:15:00, 64, 64.05, 64, 64.05, 4885
FEDERALBNK,2016-08-16 10:16:00, 64.05, 64.05, 63.9, 64, 19076
FEDERALBNK,2016-08-16 10:17:00, 64, 64.05, 63.9, 64, 7468
FEDERALBNK,2016-08-16 10:18:00, 64, 64.05, 63.95, 64, 1344
FEDERALBNK,2016-08-16 10:19:00, 64, 64.05, 64, 64, 403
FEDERALBNK,2016-08-16 10:20:00, 64, 64.05, 64, 64, 20808
FEDERALBNK,2016-08-16 10:21:00, 64, 64.05, 63.9, 64, 7324
FEDERALBNK,2016-08-16 10:22:00, 64, 64.05, 64, 64.05, 27006
FEDERALBNK,2016-08-16 10:23:00, 64.05, 64.05, 64, 64, 12266
FEDERALBNK,2016-08-16 10:24:00, 64.05, 64.05, 63.95, 64, 4518
FEDERALBNK,2016-08-16 10:25:00, 64, 64.05, 64, 64, 10007
FEDERALBNK,2016-08-16 10:26:00, 64, 64.05, 64, 64, 30825
FEDERALBNK,2016-08-16 10:27:00, 64, 64.05, 63.95, 64.05, 15016
FEDERALBNK,2016-08-16 10:28:00, 64.05, 64.05, 64, 64, 90
FEDERALBNK,2016-08-16 10:29:00, 64, 64, 63.95, 64, 68409
FEDERALBNK,2016-08-16 10:30:00, 64, 64, 63.95, 64, 47292
FEDERALBNK,2016-08-16 10:31:00, 64, 64.05, 64, 64.05, 1267
FEDERALBNK,2016-08-16 10:32:00, 64.05, 64.05, 63.9, 63.9, 2519
