Code,Date,Open,High,Low,Close,Volume
GLENMARK,2016-08-16 09:15:00, 838.5, 843.8, 836.6, 843.8, 3444
GLENMARK,2016-08-16 09:16:00, 843.1, 844, 840.2, 841, 4104
GLENMARK,2016-08-16 09:17:00, 841, 842.45, 841, 842.45, 2658
GLENMARK,2016-08-16 09:18:00, 842.45, 843, 842, 843, 1371
GLENMARK,2016-08-16 09:19:00, 842.8, 843.25, 842.05, 843.25, 1173
GLENMARK,2016-08-16 09:21:00, 846.05, 856.65, 846.05, 854.4, 15732
GLENMARK,2016-08-16 09:20:00, 843.25, 846.05, 843.1, 846.05, 3390
GLENMARK,2016-08-16 09:22:00, 853.7, 855.9, 852.4, 853.95, 11392
GLENMARK,2016-08-16 09:23:00, 853.9, 853.9, 851, 852.8, 4108
GLENMARK,2016-08-16 09:24:00, 852.8, 853, 852.4, 853, 1196
GLENMARK,2016-08-16 09:25:00, 853, 853.45, 852.2, 852.25, 1963
GLENMARK,2016-08-16 09:26:00, 851.5, 852.4, 851.15, 851.35, 3263
GLENMARK,2016-08-16 09:27:00, 851.1, 853, 851.1, 852.45, 1235
GLENMARK,2016-08-16 09:28:00, 852.45, 852.95, 851.5, 851.7, 3080
GLENMARK,2016-08-16 09:29:00, 851.7, 853.45, 851.7, 852.35, 1480
GLENMARK,2016-08-16 09:30:00, 852.4, 854.8, 851.8, 854.5, 2447
GLENMARK,2016-08-16 09:31:00, 854.55, 856.6, 854.25, 856.1, 2933
GLENMARK,2016-08-16 09:32:00, 856, 857, 855.8, 856.65, 3641
GLENMARK,2016-08-16 09:33:00, 856.65, 857.05, 855.8, 856, 4415
GLENMARK,2016-08-16 09:34:00, 856.75, 856.75, 855.25, 856, 2092
GLENMARK,2016-08-16 09:35:00, 856, 856, 854.4, 854.8, 1988
GLENMARK,2016-08-16 09:36:00, 854.8, 855.8, 854.8, 855.35, 1720
GLENMARK,2016-08-16 09:37:00, 855.35, 855.9, 855.2, 855.7, 1377
GLENMARK,2016-08-16 09:38:00, 855.55, 855.95, 855.45, 855.5, 1369
GLENMARK,2016-08-16 09:39:00, 855.5, 855.95, 855, 855.65, 1590
GLENMARK,2016-08-16 09:40:00, 855.55, 856.8, 855.2, 856.2, 3026
GLENMARK,2016-08-16 09:41:00, 856.2, 860, 856.2, 858.3, 8454
GLENMARK,2016-08-16 09:42:00, 858.3, 859.95, 858.15, 859.35, 7324
GLENMARK,2016-08-16 09:43:00, 859.35, 859.8, 858.65, 859.8, 2061
GLENMARK,2016-08-16 09:44:00, 859.55, 862.35, 859.55, 861.4, 8682
