Code,Date,Open,High,Low,Close,Volume
GMRINFRA,2016-08-16 09:15:00, 13.25, 13.25, 13.15, 13.2, 24502
GMRINFRA,2016-08-16 09:16:00, 13.2, 13.2, 13.15, 13.2, 25804
GMRINFRA,2016-08-16 09:17:00, 13.2, 13.2, 13.15, 13.2, 35045
GMRINFRA,2016-08-16 09:18:00, 13.2, 13.2, 13.15, 13.2, 28009
GMRINFRA,2016-08-16 09:19:00, 13.2, 13.25, 13.15, 13.2, 45792
GMRINFRA,2016-08-16 09:20:00, 13.2, 13.25, 13.2, 13.25, 17453
GMRINFRA,2016-08-16 09:21:00, 13.25, 13.3, 13.2, 13.2, 73058
GMRINFRA,2016-08-16 09:22:00, 13.2, 13.25, 13.2, 13.25, 6146
GMRINFRA,2016-08-16 09:23:00, 13.25, 13.25, 13.2, 13.25, 8573
GMRINFRA,2016-08-16 09:24:00, 13.25, 13.25, 13.2, 13.2, 26067
GMRINFRA,2016-08-16 09:25:00, 13.2, 13.3, 13.2, 13.25, 8797
GMRINFRA,2016-08-16 09:26:00, 13.25, 13.3, 13.25, 13.3, 44270
GMRINFRA,2016-08-16 09:27:00, 13.25, 13.3, 13.2, 13.25, 41606
GMRINFRA,2016-08-16 09:28:00, 13.25, 13.3, 13.25, 13.3, 4430
GMRINFRA,2016-08-16 09:29:00, 13.3, 13.3, 13.25, 13.3, 19996
GMRINFRA,2016-08-16 09:30:00, 13.3, 13.3, 13.25, 13.3, 10773
GMRINFRA,2016-08-16 09:31:00, 13.3, 13.3, 13.25, 13.3, 2140
GMRINFRA,2016-08-16 09:32:00, 13.3, 13.3, 13.25, 13.25, 11458
GMRINFRA,2016-08-16 09:33:00, 13.25, 13.3, 13.25, 13.3, 3521
GMRINFRA,2016-08-16 09:34:00, 13.3, 13.3, 13.25, 13.25, 111271
GMRINFRA,2016-08-16 09:35:00, 13.25, 13.25, 13.25, 13.25, 9637
GMRINFRA,2016-08-16 09:36:00, 13.25, 13.3, 13.2, 13.2, 6647
GMRINFRA,2016-08-16 09:37:00, 13.2, 13.25, 13.2, 13.25, 2200
GMRINFRA,2016-08-16 09:38:00, 13.25, 13.25, 13.2, 13.25, 26301
GMRINFRA,2016-08-16 09:39:00, 13.25, 13.3, 13.25, 13.3, 24700
GMRINFRA,2016-08-16 09:40:00, 13.3, 13.3, 13.2, 13.25, 8852
GMRINFRA,2016-08-16 09:41:00, 13.25, 13.25, 13.2, 13.25, 2765
GMRINFRA,2016-08-16 09:42:00, 13.25, 13.25, 13.2, 13.25, 500
GMRINFRA,2016-08-16 09:44:00, 13.25, 13.25, 13.25, 13.25, 1
GMRINFRA,2016-08-16 09:43:00, 13.25, 13.25, 13.2, 13.25, 2237
GMRINFRA,2016-08-16 09:45:00, 13.2, 13.25, 13.2, 13.25, 4055
GMRINFRA,2016-08-16 09:46:00, 13.25, 13.25, 13.25, 13.25, 318
GMRINFRA,2016-08-16 09:47:00, 13.25, 13.25, 13.25, 13.25, 1229
GMRINFRA,2016-08-16 09:48:00, 13.2, 13.25, 13.2, 13.25, 20274
GMRINFRA,2016-08-16 09:49:00, 13.3, 13.3, 13.25, 13.3, 4844
GMRINFRA,2016-08-16 09:50:00, 13.3, 13.3, 13.25, 13.25, 10639
GMRINFRA,2016-08-16 09:51:00, 13.3, 13.3, 13.25, 13.25, 3822
GMRINFRA,2016-08-16 09:52:00, 13.3, 13.3, 13.25, 13.25, 433
GMRINFRA,2016-08-16 09:54:00, 13.25, 13.25, 13.2, 13.25, 2598
GMRINFRA,2016-08-16 09:53:00, 13.3, 13.3, 13.25, 13.25, 3865
GMRINFRA,2016-08-16 09:55:00, 13.25, 13.25, 13.25, 13.25, 2
GMRINFRA,2016-08-16 09:56:00, 13.25, 13.25, 13.2, 13.25, 1618
GMRINFRA,2016-08-16 09:57:00, 13.25, 13.25, 13.2, 13.2, 1218
GMRINFRA,2016-08-16 09:58:00, 13.25, 13.25, 13.25, 13.25, 667
GMRINFRA,2016-08-16 09:59:00, 13.25, 13.25, 13.2, 13.2, 5718
GMRINFRA,2016-08-16 10:00:00, 13.25, 13.25, 13.2, 13.25, 2322
GMRINFRA,2016-08-16 10:01:00, 13.25, 13.25, 13.25, 13.25, 1563
GMRINFRA,2016-08-16 10:02:00, 13.25, 13.25, 13.2, 13.25, 2371
GMRINFRA,2016-08-16 10:03:00, 13.25, 13.25, 13.2, 13.25, 1189
GMRINFRA,2016-08-16 10:04:00, 13.25, 13.25, 13.2, 13.25, 3372
GMRINFRA,2016-08-16 10:05:00, 13.25, 13.25, 13.25, 13.25, 373
GMRINFRA,2016-08-16 10:06:00, 13.25, 13.25, 13.2, 13.25, 15090
GMRINFRA,2016-08-16 10:07:00, 13.25, 13.25, 13.25, 13.25, 1496
GMRINFRA,2016-08-16 10:08:00, 13.25, 13.25, 13.2, 13.25, 11401
GMRINFRA,2016-08-16 10:09:00, 13.25, 13.25, 13.2, 13.25, 1468
GMRINFRA,2016-08-16 10:10:00, 13.25, 13.25, 13.2, 13.25, 2019
GMRINFRA,2016-08-16 10:11:00, 13.25, 13.25, 13.2, 13.25, 548
GMRINFRA,2016-08-16 10:12:00, 13.25, 13.25, 13.2, 13.25, 66363
GMRINFRA,2016-08-16 10:13:00, 13.25, 13.25, 13.2, 13.2, 602
GMRINFRA,2016-08-16 10:14:00, 13.25, 13.25, 13.2, 13.25, 3019
GMRINFRA,2016-08-16 10:15:00, 13.25, 13.25, 13.2, 13.2, 717
GMRINFRA,2016-08-16 10:16:00, 13.25, 13.25, 13.2, 13.2, 1318
GMRINFRA,2016-08-16 10:17:00, 13.2, 13.25, 13.2, 13.2, 464
GMRINFRA,2016-08-16 10:18:00, 13.25, 13.25, 13.2, 13.25, 30917
GMRINFRA,2016-08-16 10:19:00, 13.2, 13.25, 13.15, 13.2, 56808
GMRINFRA,2016-08-16 10:20:00, 13.2, 13.2, 13.15, 13.15, 6500
GMRINFRA,2016-08-16 10:21:00, 13.2, 13.2, 13.15, 13.2, 1375
GMRINFRA,2016-08-16 10:22:00, 13.2, 13.2, 13.15, 13.2, 1464
GMRINFRA,2016-08-16 10:23:00, 13.15, 13.2, 13.1, 13.1, 107563
GMRINFRA,2016-08-16 10:24:00, 13.1, 13.15, 13.1, 13.15, 8290
GMRINFRA,2016-08-16 10:25:00, 13.15, 13.15, 13.1, 13.1, 3000
GMRINFRA,2016-08-16 10:26:00, 13.1, 13.15, 13.1, 13.15, 1468
GMRINFRA,2016-08-16 10:27:00, 13.15, 13.15, 13.1, 13.15, 24568
GMRINFRA,2016-08-16 10:28:00, 13.15, 13.15, 13.1, 13.1, 94572
GMRINFRA,2016-08-16 10:29:00, 13.05, 13.1, 13.05, 13.1, 26960
GMRINFRA,2016-08-16 10:30:00, 13.1, 13.1, 13.05, 13.05, 56839
GMRINFRA,2016-08-16 10:31:00, 13.05, 13.05, 12.95, 12.95, 154420
GMRINFRA,2016-08-16 10:32:00, 12.95, 12.95, 12.85, 12.9, 228120
GMRINFRA,2016-08-16 10:33:00, 12.9, 12.95, 12.8, 12.95, 61383
GMRINFRA,2016-08-16 10:34:00, 12.95, 12.95, 12.9, 12.9, 21408
GMRINFRA,2016-08-16 10:35:00, 12.9, 13, 12.9, 12.95, 74069
GMRINFRA,2016-08-16 10:36:00, 12.95, 12.95, 12.9, 12.95, 1843
GMRINFRA,2016-08-16 10:37:00, 12.95, 12.95, 12.9, 12.95, 3528
GMRINFRA,2016-08-16 10:38:00, 12.95, 12.95, 12.95, 12.95, 34067
GMRINFRA,2016-08-16 10:39:00, 12.95, 12.95, 12.95, 12.95, 33671
GMRINFRA,2016-08-16 10:41:00, 12.95, 12.95, 12.9, 12.95, 5519
GMRINFRA,2016-08-16 10:40:00, 12.95, 12.95, 12.9, 12.95, 20028
GMRINFRA,2016-08-16 10:42:00, 12.95, 12.95, 12.9, 12.9, 126759
GMRINFRA,2016-08-16 10:43:00, 12.9, 12.9, 12.8, 12.8, 127436
GMRINFRA,2016-08-16 10:44:00, 12.8, 12.8, 12.75, 12.75, 214300
GMRINFRA,2016-08-16 10:46:00, 12.8, 12.8, 12.75, 12.8, 34531
GMRINFRA,2016-08-16 10:45:00, 12.75, 12.8, 12.75, 12.8, 10231
GMRINFRA,2016-08-16 10:47:00, 12.8, 12.8, 12.75, 12.8, 5628
GMRINFRA,2016-08-16 10:48:00, 12.8, 12.8, 12.75, 12.8, 28957
