Code,Date,Open,High,Low,Close,Volume
GODREJCP,2016-08-16 09:15:00, 1564.9, 1564.9, 1532.9, 1540.4, 2604
GODREJCP,2016-08-16 09:16:00, 1544.85, 1547.95, 1541.05, 1547.95, 819
GODREJCP,2016-08-16 09:17:00, 1545.45, 1545.45, 1540, 1541.7, 728
GODREJCP,2016-08-16 09:18:00, 1541.7, 1543.15, 1540.7, 1541, 910
GODREJCP,2016-08-16 09:19:00, 1541, 1542.55, 1532.1, 1532.1, 434
GODREJCP,2016-08-16 09:20:00, 1532.1, 1533.5, 1530, 1532.7, 861
GODREJCP,2016-08-16 09:21:00, 1533.5, 1538.65, 1533.1, 1538, 494
GODREJCP,2016-08-16 09:22:00, 1538, 1542.95, 1538, 1542, 366
GODREJCP,2016-08-16 09:24:00, 1539.05, 1540.8, 1538.05, 1540, 496
GODREJCP,2016-08-16 09:23:00, 1542, 1542, 1539.05, 1539.05, 211
GODREJCP,2016-08-16 09:26:00, 1537.65, 1537.65, 1537, 1537.35, 80
GODREJCP,2016-08-16 09:25:00, 1540, 1540, 1537.65, 1537.65, 234
GODREJCP,2016-08-16 09:27:00, 1537.35, 1537.5, 1537, 1537, 36
GODREJCP,2016-08-16 09:28:00, 1537, 1548.75, 1537, 1543, 3640
GODREJCP,2016-08-16 09:29:00, 1543.7, 1551.95, 1543.7, 1551.4, 2417
GODREJCP,2016-08-16 09:30:00, 1551.4, 1553, 1545.2, 1545.2, 539
GODREJCP,2016-08-16 09:32:00, 1545.85, 1548.25, 1544.4, 1544.4, 278
GODREJCP,2016-08-16 09:31:00, 1545.2, 1547.3, 1544.3, 1545.85, 463
GODREJCP,2016-08-16 09:33:00, 1544.4, 1546.4, 1543.65, 1545.3, 285
GODREJCP,2016-08-16 09:34:00, 1543.8, 1545.7, 1543.65, 1544.95, 449
GODREJCP,2016-08-16 09:35:00, 1544.95, 1545.3, 1544.5, 1545.3, 264
GODREJCP,2016-08-16 09:37:00, 1545, 1545.1, 1544.8, 1545.1, 508
GODREJCP,2016-08-16 09:36:00, 1545.3, 1545.3, 1544.85, 1545, 514
GODREJCP,2016-08-16 09:38:00, 1545.1, 1545.15, 1544.8, 1545, 1113
GODREJCP,2016-08-16 09:39:00, 1545, 1545.3, 1545, 1545, 320
GODREJCP,2016-08-16 09:40:00, 1545, 1545.15, 1545, 1545.05, 718
GODREJCP,2016-08-16 09:41:00, 1545.05, 1546, 1544.5, 1545, 1598
GODREJCP,2016-08-16 09:43:00, 1545.1, 1546.95, 1545.1, 1545.8, 267
GODREJCP,2016-08-16 09:42:00, 1545, 1546, 1545, 1545.1, 43
GODREJCP,2016-08-16 09:44:00, 1545, 1546.8, 1545, 1545.85, 496
GODREJCP,2016-08-16 09:45:00, 1546.5, 1549, 1546.5, 1548.65, 1324
GODREJCP,2016-08-16 09:46:00, 1548.65, 1549.65, 1548.65, 1549.1, 380
GODREJCP,2016-08-16 09:47:00, 1549, 1549, 1546.1, 1546.15, 405
GODREJCP,2016-08-16 09:48:00, 1546.15, 1546.9, 1546.05, 1546.8, 251
GODREJCP,2016-08-16 09:49:00, 1546.8, 1546.85, 1545.4, 1546, 173
GODREJCP,2016-08-16 09:50:00, 1545.5, 1546.3, 1545.05, 1545.75, 239
GODREJCP,2016-08-16 09:51:00, 1545.75, 1545.75, 1545, 1545.05, 731
GODREJCP,2016-08-16 09:52:00, 1545.05, 1546.05, 1545, 1545.8, 175
GODREJCP,2016-08-16 09:53:00, 1545.8, 1546.35, 1545, 1545, 532
