Code,Date,Open,High,Low,Close,Volume
GRANULES,2016-08-16 09:15:00, 135, 135, 133.4, 134, 11330
GRANULES,2016-08-16 09:16:00, 134, 134, 133.65, 134, 7477
GRANULES,2016-08-16 09:17:00, 133.9, 134.3, 133.75, 134.3, 21321
GRANULES,2016-08-16 09:18:00, 134.3, 134.3, 133.75, 133.75, 6500
GRANULES,2016-08-16 09:20:00, 133.5, 134.05, 133.5, 134.05, 2049
GRANULES,2016-08-16 09:19:00, 133.75, 133.75, 133.4, 133.5, 6892
GRANULES,2016-08-16 09:21:00, 134.05, 134.2, 134, 134.2, 825
GRANULES,2016-08-16 09:22:00, 134.1, 135, 134, 135, 14133
GRANULES,2016-08-16 09:23:00, 135, 135, 134.8, 134.8, 9354
GRANULES,2016-08-16 09:24:00, 135.15, 135.15, 134.85, 134.95, 9288
GRANULES,2016-08-16 09:25:00, 134.95, 134.95, 134.75, 134.85, 995
GRANULES,2016-08-16 09:26:00, 134.85, 134.85, 134.55, 134.8, 6494
GRANULES,2016-08-16 09:27:00, 134.8, 134.85, 134.6, 134.85, 2843
GRANULES,2016-08-16 09:29:00, 134.8, 135.15, 134.8, 135.15, 3918
GRANULES,2016-08-16 09:28:00, 134.85, 134.9, 134.75, 134.8, 4811
GRANULES,2016-08-16 09:30:00, 135.2, 135.5, 135.15, 135.5, 15246
GRANULES,2016-08-16 09:31:00, 135.5, 135.7, 135.45, 135.5, 4792
GRANULES,2016-08-16 09:32:00, 135.75, 135.85, 135.5, 135.85, 1841
GRANULES,2016-08-16 09:33:00, 135.85, 136.85, 135.65, 136.15, 13477
GRANULES,2016-08-16 09:34:00, 136.1, 136.1, 135.95, 135.95, 4588
GRANULES,2016-08-16 09:35:00, 135.95, 135.95, 135.5, 135.7, 4572
GRANULES,2016-08-16 09:36:00, 135.7, 135.9, 135.5, 135.55, 2727
GRANULES,2016-08-16 09:37:00, 135.55, 135.7, 135.35, 135.55, 5776
GRANULES,2016-08-16 09:38:00, 135.55, 135.55, 135.3, 135.3, 1239
GRANULES,2016-08-16 09:39:00, 135.4, 135.4, 135.25, 135.35, 3621
GRANULES,2016-08-16 09:40:00, 135.35, 135.35, 135.15, 135.15, 600
GRANULES,2016-08-16 09:41:00, 135.15, 135.15, 135, 135, 4800
GRANULES,2016-08-16 09:42:00, 135, 135, 134.95, 135, 1976
GRANULES,2016-08-16 09:43:00, 135, 135, 134.95, 135, 2200
GRANULES,2016-08-16 09:45:00, 135.1, 135.1, 134.95, 134.95, 25
GRANULES,2016-08-16 09:44:00, 135, 135.1, 135, 135.1, 850
GRANULES,2016-08-16 09:46:00, 134.95, 135.25, 134.75, 134.85, 1054
GRANULES,2016-08-16 09:47:00, 134.85, 134.95, 134.8, 134.85, 340
GRANULES,2016-08-16 09:48:00, 134.95, 134.95, 134.95, 134.95, 1000
GRANULES,2016-08-16 09:49:00, 134.95, 134.95, 134.85, 134.95, 270
GRANULES,2016-08-16 09:50:00, 134.95, 135.05, 134.9, 135.05, 647
GRANULES,2016-08-16 09:51:00, 135.05, 135.25, 135.05, 135.25, 1010
GRANULES,2016-08-16 09:52:00, 135.25, 135.25, 135, 135.05, 782
GRANULES,2016-08-16 09:53:00, 135.05, 135.25, 135.05, 135.25, 1982
GRANULES,2016-08-16 09:54:00, 135.25, 135.3, 135.15, 135.3, 107
GRANULES,2016-08-16 09:55:00, 135.2, 135.3, 135.15, 135.3, 171
GRANULES,2016-08-16 09:56:00, 135.3, 135.3, 135.15, 135.25, 701
GRANULES,2016-08-16 09:57:00, 135.25, 135.25, 135, 135.15, 1672
GRANULES,2016-08-16 09:58:00, 135.15, 135.15, 135.15, 135.15, 200
GRANULES,2016-08-16 09:59:00, 135.15, 135.15, 135.05, 135.05, 450
GRANULES,2016-08-16 10:00:00, 135.05, 135.15, 134.9, 135.15, 1186
GRANULES,2016-08-16 10:01:00, 135.15, 135.15, 134.85, 134.85, 240
GRANULES,2016-08-16 10:02:00, 134.85, 135.05, 134.85, 135.05, 165
GRANULES,2016-08-16 10:03:00, 135.05, 135.15, 135, 135, 787
GRANULES,2016-08-16 10:04:00, 135.05, 135.05, 134.95, 135.05, 535
GRANULES,2016-08-16 10:05:00, 135.05, 135.05, 134.45, 134.45, 1228
GRANULES,2016-08-16 10:06:00, 134.5, 135, 134.5, 134.6, 1655
GRANULES,2016-08-16 10:07:00, 134.6, 134.95, 134.55, 134.9, 634
GRANULES,2016-08-16 10:08:00, 134.7, 134.9, 134.5, 134.6, 2426
GRANULES,2016-08-16 10:09:00, 134.6, 134.8, 134.5, 134.65, 690
GRANULES,2016-08-16 10:10:00, 134.65, 134.7, 134.4, 134.6, 2754
GRANULES,2016-08-16 10:11:00, 134.6, 134.65, 134.6, 134.6, 336
GRANULES,2016-08-16 10:12:00, 134.6, 134.65, 134.6, 134.65, 107
GRANULES,2016-08-16 10:13:00, 134.6, 134.65, 134.55, 134.65, 944
GRANULES,2016-08-16 10:14:00, 134.65, 134.65, 134.5, 134.6, 2097
GRANULES,2016-08-16 10:15:00, 134.6, 134.6, 134.5, 134.5, 511
GRANULES,2016-08-16 10:16:00, 134.5, 134.5, 134.4, 134.45, 1495
GRANULES,2016-08-16 10:17:00, 134.45, 134.6, 134.45, 134.6, 515
GRANULES,2016-08-16 10:18:00, 134.6, 134.6, 134.6, 134.6, 100
GRANULES,2016-08-16 10:19:00, 134.6, 134.7, 134.6, 134.6, 390
GRANULES,2016-08-16 10:20:00, 134.6, 134.7, 134.55, 134.7, 1349
GRANULES,2016-08-16 10:21:00, 134.7, 134.7, 134.6, 134.6, 205
GRANULES,2016-08-16 10:22:00, 134.6, 134.6, 134.5, 134.5, 200
GRANULES,2016-08-16 10:23:00, 134.5, 134.5, 134.5, 134.5, 150
GRANULES,2016-08-16 10:24:00, 134.5, 134.5, 134.5, 134.5, 0
GRANULES,2016-08-16 10:25:00, 134.5, 134.6, 134.5, 134.6, 128
GRANULES,2016-08-16 10:26:00, 134.6, 134.7, 134.5, 134.7, 700
GRANULES,2016-08-16 10:27:00, 134.8, 134.8, 134.45, 134.5, 1910
GRANULES,2016-08-16 10:28:00, 134.5, 134.65, 134.5, 134.5, 115
GRANULES,2016-08-16 10:29:00, 134.5, 134.75, 134.5, 134.65, 695
GRANULES,2016-08-16 10:30:00, 134.65, 134.65, 134.65, 134.65, 500
GRANULES,2016-08-16 10:31:00, 134.65, 134.7, 134.55, 134.55, 1110
GRANULES,2016-08-16 10:32:00, 134.55, 134.75, 134.55, 134.75, 500
GRANULES,2016-08-16 10:33:00, 134.75, 134.75, 134.75, 134.75, 0
GRANULES,2016-08-16 10:34:00, 134.75, 134.75, 134.75, 134.75, 200
GRANULES,2016-08-16 10:35:00, 134.75, 134.8, 134.75, 134.8, 170
GRANULES,2016-08-16 10:36:00, 134.8, 134.8, 134.8, 134.8, 450
GRANULES,2016-08-16 10:37:00, 134.8, 134.8, 134.7, 134.7, 2001
GRANULES,2016-08-16 10:38:00, 134.7, 134.8, 134.7, 134.7, 700
GRANULES,2016-08-16 10:39:00, 134.7, 134.7, 134.7, 134.7, 0
GRANULES,2016-08-16 10:40:00, 134.7, 134.8, 134.7, 134.8, 136
GRANULES,2016-08-16 10:41:00, 134.8, 134.8, 134.65, 134.65, 599
GRANULES,2016-08-16 10:42:00, 134.65, 134.75, 134.6, 134.6, 1001
GRANULES,2016-08-16 10:43:00, 134.6, 134.75, 134.6, 134.65, 400
GRANULES,2016-08-16 10:44:00, 134.65, 134.65, 134.65, 134.65, 0
GRANULES,2016-08-16 10:45:00, 134.65, 134.65, 134.65, 134.65, 0
GRANULES,2016-08-16 10:46:00, 134.65, 134.85, 134.65, 134.7, 577
GRANULES,2016-08-16 10:47:00, 134.7, 134.75, 134.7, 134.7, 105
