Code,Date,Open,High,Low,Close,Volume
HCLTECH,2016-08-16 09:15:00, 810, 818, 810, 816.2, 59473
HCLTECH,2016-08-16 09:16:00, 816.5, 818.85, 816.2, 818.85, 11723
HCLTECH,2016-08-16 09:17:00, 818.95, 820.1, 818.4, 818.85, 24853
HCLTECH,2016-08-16 09:18:00, 818.85, 823, 818.85, 822.45, 6464
HCLTECH,2016-08-16 09:19:00, 823, 823, 821.8, 822.2, 8418
HCLTECH,2016-08-16 09:20:00, 822.7, 823.5, 822.1, 823.4, 6821
HCLTECH,2016-08-16 09:21:00, 823.55, 823.75, 821.2, 821.8, 15833
HCLTECH,2016-08-16 09:22:00, 821.75, 822.65, 821.75, 822.5, 6490
HCLTECH,2016-08-16 09:23:00, 822.5, 822.9, 821.1, 821.5, 19147
HCLTECH,2016-08-16 09:24:00, 821.5, 822.3, 821, 822, 9286
HCLTECH,2016-08-16 09:25:00, 822, 822.35, 820.75, 821.35, 13256
HCLTECH,2016-08-16 09:27:00, 822.3, 822.45, 820.25, 820.3, 21778
HCLTECH,2016-08-16 09:26:00, 820.95, 822.65, 820.95, 822.3, 15605
HCLTECH,2016-08-16 09:28:00, 820.8, 821, 820, 820.4, 16112
HCLTECH,2016-08-16 09:30:00, 820.4, 820.5, 819, 819.9, 22806
HCLTECH,2016-08-16 09:29:00, 820.4, 820.6, 819, 820.3, 24730
HCLTECH,2016-08-16 09:31:00, 819.9, 820.3, 819.55, 820.05, 21187
HCLTECH,2016-08-16 09:32:00, 819.8, 820.5, 819.8, 820.3, 8449
HCLTECH,2016-08-16 09:33:00, 820.35, 820.7, 819.3, 819.65, 6371
HCLTECH,2016-08-16 09:34:00, 819.65, 820.25, 819.55, 820.25, 13970
HCLTECH,2016-08-16 09:35:00, 820.2, 820.95, 820.1, 820.95, 10237
HCLTECH,2016-08-16 09:36:00, 820.65, 820.65, 819.25, 819.7, 8786
HCLTECH,2016-08-16 09:37:00, 819.75, 820.85, 819.55, 820.3, 8340
HCLTECH,2016-08-16 09:38:00, 820.3, 821.1, 820.15, 820.4, 12704
HCLTECH,2016-08-16 09:39:00, 820.4, 821.15, 820.4, 821.15, 6096
HCLTECH,2016-08-16 09:40:00, 821.15, 821.2, 820.1, 820.5, 7271
HCLTECH,2016-08-16 09:41:00, 820.55, 820.85, 819.85, 820.3, 12806
HCLTECH,2016-08-16 09:42:00, 820.4, 821, 820.4, 821, 8354
HCLTECH,2016-08-16 09:43:00, 821, 822, 820.95, 822, 9134
HCLTECH,2016-08-16 09:44:00, 821.95, 822.25, 820.8, 822.1, 9837
HCLTECH,2016-08-16 09:45:00, 821.85, 822.1, 820.85, 821.6, 10223
HCLTECH,2016-08-16 09:46:00, 821.5, 822, 820.6, 821.8, 11234
HCLTECH,2016-08-16 09:47:00, 821.8, 822.45, 821.8, 822.3, 9444
HCLTECH,2016-08-16 09:48:00, 822.05, 822.3, 821.65, 822.1, 5376
HCLTECH,2016-08-16 09:49:00, 822.1, 822.1, 820.3, 821.65, 8573
HCLTECH,2016-08-16 09:50:00, 821.25, 821.6, 821, 821.4, 4871
HCLTECH,2016-08-16 09:51:00, 821.4, 821.7, 821.05, 821.1, 6642
HCLTECH,2016-08-16 09:52:00, 821.1, 821.5, 820.7, 821, 4322
HCLTECH,2016-08-16 09:53:00, 821, 821.3, 820.35, 820.65, 3886
HCLTECH,2016-08-16 09:54:00, 821.3, 821.8, 820.9, 821.5, 8739
HCLTECH,2016-08-16 09:55:00, 821.5, 821.85, 821.3, 821.35, 4791
HCLTECH,2016-08-16 09:56:00, 821.3, 821.9, 821.25, 821.75, 2165
