Code,Date,Open,High,Low,Close,Volume
HDFC,2016-08-16 09:15:00, 1378, 1384.95, 1376.7, 1376.7, 51040
HDFC,2016-08-16 09:16:00, 1377.3, 1377.3, 1372.1, 1372.3, 42533
HDFC,2016-08-16 09:17:00, 1372.05, 1372.5, 1370.85, 1372.25, 45983
HDFC,2016-08-16 09:19:00, 1373.1, 1374.65, 1372.7, 1374.65, 5686
HDFC,2016-08-16 09:18:00, 1372.1, 1373.3, 1372, 1373.1, 11191
HDFC,2016-08-16 09:20:00, 1374.85, 1376.35, 1374.65, 1376.15, 6606
HDFC,2016-08-16 09:21:00, 1376.15, 1376.25, 1375.1, 1375.45, 5197
HDFC,2016-08-16 09:22:00, 1375.45, 1375.45, 1374.65, 1375.1, 7120
HDFC,2016-08-16 09:23:00, 1375.1, 1375.1, 1374.5, 1374.5, 6883
HDFC,2016-08-16 09:24:00, 1374.5, 1374.5, 1373.45, 1373.75, 6279
HDFC,2016-08-16 09:25:00, 1373.75, 1374, 1372.5, 1372.6, 5976
HDFC,2016-08-16 09:26:00, 1372.5, 1373.5, 1372.4, 1373.3, 7951
HDFC,2016-08-16 09:27:00, 1373.5, 1374, 1373.3, 1374, 5667
HDFC,2016-08-16 09:28:00, 1373.75, 1374.7, 1373.75, 1374.7, 3847
HDFC,2016-08-16 09:30:00, 1375.35, 1376.05, 1375.25, 1375.7, 7240
HDFC,2016-08-16 09:29:00, 1374.55, 1375.35, 1374.55, 1375.25, 5288
HDFC,2016-08-16 09:31:00, 1375.85, 1376, 1374.6, 1374.8, 10602
HDFC,2016-08-16 09:32:00, 1374.8, 1375, 1373.6, 1373.8, 7228
HDFC,2016-08-16 09:33:00, 1373.95, 1374.45, 1373, 1373.2, 3886
HDFC,2016-08-16 09:34:00, 1373.2, 1373.4, 1373.05, 1373.4, 4544
HDFC,2016-08-16 09:35:00, 1373.25, 1373.4, 1373.25, 1373.4, 3266
