Code,Date,Open,High,Low,Close,Volume
HDIL,2016-08-16 09:15:00, 96.25, 96.7, 96.25, 96.4, 35305
HDIL,2016-08-16 09:17:00, 96.25, 96.35, 96.15, 96.35, 47589
HDIL,2016-08-16 09:16:00, 96.4, 96.4, 95.9, 96.15, 40830
HDIL,2016-08-16 09:18:00, 96.15, 96.3, 95.8, 95.9, 58451
HDIL,2016-08-16 09:19:00, 95.8, 96.1, 95.8, 96, 52554
HDIL,2016-08-16 09:20:00, 96, 96.5, 95.9, 96.5, 61721
HDIL,2016-08-16 09:21:00, 96.5, 96.55, 96.25, 96.3, 27786
HDIL,2016-08-16 09:23:00, 96.3, 96.4, 96.05, 96.2, 34806
HDIL,2016-08-16 09:22:00, 96.3, 96.35, 96.1, 96.3, 34086
HDIL,2016-08-16 09:25:00, 96.4, 96.4, 96, 96.1, 13888
HDIL,2016-08-16 09:24:00, 96.15, 96.4, 96, 96.4, 34454
HDIL,2016-08-16 09:26:00, 96.1, 96.3, 95.9, 96.2, 20099
HDIL,2016-08-16 09:27:00, 96.2, 96.45, 96.2, 96.35, 15179
HDIL,2016-08-16 09:28:00, 96.4, 96.8, 96.4, 96.7, 48107
HDIL,2016-08-16 09:29:00, 96.7, 96.75, 96.5, 96.55, 25138
HDIL,2016-08-16 09:30:00, 96.55, 96.8, 96.45, 96.8, 13740
HDIL,2016-08-16 09:31:00, 96.8, 96.85, 96.55, 96.65, 17599
HDIL,2016-08-16 09:32:00, 96.65, 96.7, 96.55, 96.7, 7460
HDIL,2016-08-16 09:33:00, 96.7, 96.7, 96.3, 96.35, 20485
HDIL,2016-08-16 09:34:00, 96.35, 96.7, 96.25, 96.7, 42134
HDIL,2016-08-16 09:35:00, 96.6, 96.65, 96.45, 96.45, 14158
HDIL,2016-08-16 09:36:00, 96.45, 96.5, 96.2, 96.2, 55019
HDIL,2016-08-16 09:37:00, 96.3, 96.65, 96.25, 96.65, 60669
HDIL,2016-08-16 09:38:00, 96.65, 96.7, 96.55, 96.55, 35037
HDIL,2016-08-16 09:39:00, 96.55, 96.65, 96.5, 96.5, 4876
HDIL,2016-08-16 09:40:00, 96.5, 96.5, 96.45, 96.5, 4289
HDIL,2016-08-16 09:41:00, 96.5, 96.5, 96.3, 96.4, 12673
HDIL,2016-08-16 09:42:00, 96.4, 96.45, 96.3, 96.35, 4462
HDIL,2016-08-16 09:43:00, 96.35, 96.55, 96.35, 96.55, 2227
HDIL,2016-08-16 09:44:00, 96.55, 96.55, 96.5, 96.5, 1511
HDIL,2016-08-16 09:45:00, 96.55, 96.55, 96.4, 96.45, 4234
HDIL,2016-08-16 09:46:00, 96.45, 96.55, 96.4, 96.45, 14362
HDIL,2016-08-16 09:47:00, 96.45, 96.55, 96.45, 96.5, 4689
HDIL,2016-08-16 09:48:00, 96.5, 96.65, 96.5, 96.6, 16513
HDIL,2016-08-16 09:49:00, 96.6, 96.65, 96.6, 96.6, 6079
HDIL,2016-08-16 09:50:00, 96.6, 96.65, 96.5, 96.5, 3478
HDIL,2016-08-16 09:51:00, 96.5, 96.55, 96.45, 96.45, 12621
HDIL,2016-08-16 09:52:00, 96.4, 96.45, 96.05, 96.1, 47752
HDIL,2016-08-16 09:53:00, 96.1, 96.35, 96.1, 96.35, 20341
HDIL,2016-08-16 09:54:00, 96.35, 96.5, 96.3, 96.5, 26689
HDIL,2016-08-16 09:55:00, 96.5, 96.55, 96.35, 96.45, 5380
HDIL,2016-08-16 09:56:00, 96.45, 96.45, 96.35, 96.35, 14241
HDIL,2016-08-16 09:57:00, 96.35, 96.4, 96.3, 96.35, 5335
HDIL,2016-08-16 09:58:00, 96.35, 96.4, 96.2, 96.3, 6561
HDIL,2016-08-16 09:59:00, 96.3, 96.35, 96.2, 96.2, 5300
HDIL,2016-08-16 10:00:00, 96.2, 96.3, 96.2, 96.25, 14417
HDIL,2016-08-16 10:01:00, 96.25, 96.3, 95.85, 95.95, 54349
HDIL,2016-08-16 10:02:00, 95.95, 96.1, 95.9, 96.05, 15573
HDIL,2016-08-16 10:03:00, 96.05, 96.25, 95.95, 96.15, 14055
HDIL,2016-08-16 10:04:00, 96.2, 96.3, 96.2, 96.25, 5963
HDIL,2016-08-16 10:05:00, 96.25, 96.25, 96, 96, 17630
HDIL,2016-08-16 10:06:00, 96, 96.15, 96, 96.1, 23114
HDIL,2016-08-16 10:07:00, 96.1, 96.2, 96.05, 96.1, 13761
HDIL,2016-08-16 10:08:00, 96.1, 96.15, 96.05, 96.15, 6999
HDIL,2016-08-16 10:09:00, 96.15, 96.15, 96, 96, 17461
HDIL,2016-08-16 10:10:00, 96, 96.05, 96, 96.05, 8774
HDIL,2016-08-16 10:11:00, 96.05, 96.1, 96, 96.1, 4173
HDIL,2016-08-16 10:12:00, 96.1, 96.2, 96.05, 96.05, 30877
HDIL,2016-08-16 10:13:00, 96.05, 96.15, 96.05, 96.15, 1452
HDIL,2016-08-16 10:14:00, 96.15, 96.25, 96.1, 96.25, 2724
HDIL,2016-08-16 10:15:00, 96.25, 96.25, 96.2, 96.25, 4623
HDIL,2016-08-16 10:16:00, 96.25, 96.25, 96.1, 96.1, 6939
HDIL,2016-08-16 10:17:00, 96.1, 96.15, 96.1, 96.15, 2604
HDIL,2016-08-16 10:18:00, 96.15, 96.15, 96.1, 96.1, 33330
HDIL,2016-08-16 10:19:00, 96.1, 96.15, 96.1, 96.1, 1255
HDIL,2016-08-16 10:20:00, 96.1, 96.2, 96.1, 96.15, 14192
HDIL,2016-08-16 10:21:00, 96.15, 96.2, 96.1, 96.15, 1798
HDIL,2016-08-16 10:22:00, 96.15, 96.15, 95.95, 96.1, 35965
HDIL,2016-08-16 10:23:00, 96.1, 96.1, 96, 96.05, 5876
HDIL,2016-08-16 10:24:00, 96.05, 96.1, 96.05, 96.05, 515
HDIL,2016-08-16 10:25:00, 96.05, 96.1, 96.05, 96.1, 2414
HDIL,2016-08-16 10:26:00, 96.1, 96.15, 96.1, 96.15, 6493
HDIL,2016-08-16 10:27:00, 96.15, 96.15, 96, 96.05, 5169
HDIL,2016-08-16 10:28:00, 96.05, 96.05, 95.6, 95.6, 82748
HDIL,2016-08-16 10:29:00, 95.6, 95.7, 95.55, 95.7, 49250
HDIL,2016-08-16 10:30:00, 95.7, 95.7, 95.35, 95.45, 44214
HDIL,2016-08-16 10:31:00, 95.4, 95.6, 95.4, 95.6, 13002
HDIL,2016-08-16 10:32:00, 95.55, 95.6, 95.45, 95.5, 11806
HDIL,2016-08-16 10:33:00, 95.45, 95.45, 95.2, 95.35, 34114
HDIL,2016-08-16 10:34:00, 95.35, 95.45, 95.2, 95.45, 24866
HDIL,2016-08-16 10:35:00, 95.4, 95.5, 95.35, 95.5, 15936
HDIL,2016-08-16 10:36:00, 95.5, 95.55, 95.4, 95.5, 14315
HDIL,2016-08-16 10:37:00, 95.5, 95.5, 95.35, 95.4, 8294
HDIL,2016-08-16 10:38:00, 95.4, 95.55, 95.4, 95.55, 9370
HDIL,2016-08-16 10:39:00, 95.5, 95.6, 95.45, 95.5, 12254
HDIL,2016-08-16 10:40:00, 95.5, 95.6, 95.45, 95.45, 25562
HDIL,2016-08-16 10:41:00, 95.45, 95.55, 95.45, 95.55, 4794
HDIL,2016-08-16 10:42:00, 95.55, 95.9, 95.45, 95.45, 45923
HDIL,2016-08-16 10:43:00, 95.4, 95.75, 95.4, 95.75, 67356
HDIL,2016-08-16 10:44:00, 95.75, 95.8, 95.35, 95.45, 139449
HDIL,2016-08-16 10:45:00, 95.4, 95.75, 95.4, 95.4, 35298
HDIL,2016-08-16 10:46:00, 95.4, 95.5, 95.3, 95.35, 61585
HDIL,2016-08-16 10:47:00, 95.35, 95.5, 95.35, 95.45, 15491
HDIL,2016-08-16 10:48:00, 95.45, 95.5, 95.4, 95.45, 3716
HDIL,2016-08-16 10:49:00, 95.45, 95.45, 95.4, 95.45, 7245
HDIL,2016-08-16 10:50:00, 95.4, 95.45, 95.3, 95.45, 6928
HDIL,2016-08-16 10:51:00, 95.45, 95.45, 95.35, 95.4, 14530
HDIL,2016-08-16 10:52:00, 95.4, 95.4, 95.35, 95.4, 5454
HDIL,2016-08-16 10:53:00, 95.4, 95.45, 95.3, 95.3, 1403
HDIL,2016-08-16 10:54:00, 95.3, 95.45, 95.3, 95.4, 7505
HDIL,2016-08-16 10:55:00, 95.4, 95.4, 95.3, 95.35, 6981
