Code,Date,Open,High,Low,Close,Volume
HEXAWARE,2016-08-16 09:15:00, 214.9, 214.9, 214, 214.8, 3749
HEXAWARE,2016-08-16 09:16:00, 214.8, 214.8, 214.2, 214.5, 1378
HEXAWARE,2016-08-16 09:17:00, 214.5, 214.95, 214.45, 214.65, 4355
HEXAWARE,2016-08-16 09:18:00, 214.65, 214.65, 214.35, 214.5, 6866
HEXAWARE,2016-08-16 09:19:00, 214.5, 214.5, 213.9, 214.2, 4728
HEXAWARE,2016-08-16 09:20:00, 214.2, 214.45, 214, 214.45, 1905
HEXAWARE,2016-08-16 09:21:00, 214.45, 214.45, 214.3, 214.3, 3067
HEXAWARE,2016-08-16 09:22:00, 214.3, 214.55, 214.3, 214.4, 745
HEXAWARE,2016-08-16 09:23:00, 214.4, 214.55, 214.4, 214.4, 438
HEXAWARE,2016-08-16 09:24:00, 214.4, 214.45, 214.3, 214.4, 898
HEXAWARE,2016-08-16 09:25:00, 214.4, 214.45, 214.35, 214.35, 429
HEXAWARE,2016-08-16 09:26:00, 214.35, 214.45, 214.35, 214.4, 202
HEXAWARE,2016-08-16 09:27:00, 214.4, 214.45, 214.35, 214.35, 287
HEXAWARE,2016-08-16 09:28:00, 214.25, 214.45, 214.15, 214.15, 939
HEXAWARE,2016-08-16 09:29:00, 214.15, 214.2, 214.15, 214.2, 256
HEXAWARE,2016-08-16 09:30:00, 214.2, 214.3, 214.15, 214.15, 992
HEXAWARE,2016-08-16 09:31:00, 214.15, 214.35, 214.15, 214.15, 377
HEXAWARE,2016-08-16 09:32:00, 214.15, 214.35, 214.15, 214.3, 220
HEXAWARE,2016-08-16 09:33:00, 214.3, 214.45, 214.25, 214.35, 2728
HEXAWARE,2016-08-16 09:34:00, 214.35, 214.4, 214.3, 214.4, 415
HEXAWARE,2016-08-16 09:35:00, 214.4, 214.4, 214.25, 214.25, 897
HEXAWARE,2016-08-16 09:36:00, 214.25, 214.35, 214.15, 214.15, 1433
HEXAWARE,2016-08-16 09:37:00, 214.15, 214.15, 214.1, 214.15, 449
HEXAWARE,2016-08-16 09:38:00, 214.15, 214.2, 214.1, 214.1, 314
HEXAWARE,2016-08-16 09:39:00, 214.1, 214.2, 213.9, 214.2, 3929
HEXAWARE,2016-08-16 09:40:00, 214.2, 214.2, 214.1, 214.1, 248
HEXAWARE,2016-08-16 09:41:00, 214.1, 214.2, 214, 214, 450
HEXAWARE,2016-08-16 09:42:00, 214, 214.05, 213.85, 213.85, 1284
HEXAWARE,2016-08-16 09:43:00, 213.95, 214, 213.85, 213.85, 234
HEXAWARE,2016-08-16 09:44:00, 213.85, 213.95, 213.75, 213.75, 255
HEXAWARE,2016-08-16 09:45:00, 213.75, 214, 213.75, 213.95, 662
