Code,Date,Open,High,Low,Close,Volume
HINDALCO,2016-08-16 09:15:00, 147.6, 147.95, 146.95, 147.35, 208060
HINDALCO,2016-08-16 09:16:00, 147.2, 147.45, 147, 147.3, 127031
HINDALCO,2016-08-16 09:17:00, 147.25, 147.5, 147.2, 147.3, 82064
HINDALCO,2016-08-16 09:18:00, 147.3, 147.4, 147.2, 147.25, 45483
HINDALCO,2016-08-16 09:19:00, 147.25, 147.3, 146.95, 146.95, 53736
HINDALCO,2016-08-16 09:20:00, 146.95, 147.4, 146.85, 147.4, 76211
HINDALCO,2016-08-16 09:21:00, 147.35, 147.95, 147.35, 147.7, 74107
HINDALCO,2016-08-16 09:22:00, 147.7, 148.15, 147.55, 148.15, 62185
HINDALCO,2016-08-16 09:23:00, 148.2, 148.65, 148.15, 148.5, 106495
HINDALCO,2016-08-16 09:24:00, 148.45, 148.5, 148.1, 148.35, 73410
HINDALCO,2016-08-16 09:25:00, 148.35, 148.4, 148.15, 148.15, 48226
HINDALCO,2016-08-16 09:26:00, 148.15, 148.6, 148.05, 148.6, 53059
HINDALCO,2016-08-16 09:27:00, 148.55, 148.6, 148.4, 148.5, 53749
HINDALCO,2016-08-16 09:28:00, 148.5, 148.5, 148.35, 148.4, 43451
HINDALCO,2016-08-16 09:29:00, 148.4, 148.6, 148.4, 148.5, 28126
HINDALCO,2016-08-16 09:30:00, 148.5, 148.6, 148.4, 148.6, 27599
HINDALCO,2016-08-16 09:31:00, 148.6, 148.6, 148.4, 148.5, 44955
HINDALCO,2016-08-16 09:33:00, 148.35, 148.35, 148.1, 148.1, 95849
HINDALCO,2016-08-16 09:32:00, 148.4, 148.45, 148.3, 148.4, 37450
HINDALCO,2016-08-16 09:34:00, 148.05, 148.2, 147.95, 148.15, 41928
HINDALCO,2016-08-16 09:35:00, 148.15, 148.2, 147.85, 148, 20028
HINDALCO,2016-08-16 09:36:00, 148, 148.05, 147.85, 147.9, 24542
HINDALCO,2016-08-16 09:37:00, 147.9, 148, 147.8, 147.9, 50983
HINDALCO,2016-08-16 09:38:00, 147.9, 148, 147.85, 147.9, 22208
HINDALCO,2016-08-16 09:39:00, 147.85, 148.15, 147.8, 148.15, 68185
HINDALCO,2016-08-16 09:40:00, 148.15, 148.3, 148, 148.2, 38503
HINDALCO,2016-08-16 09:41:00, 148.2, 148.35, 148.1, 148.3, 30871
HINDALCO,2016-08-16 09:42:00, 148.3, 148.3, 148.1, 148.1, 26011
HINDALCO,2016-08-16 09:43:00, 148.1, 148.35, 148.1, 148.25, 15152
HINDALCO,2016-08-16 09:44:00, 148.25, 148.45, 148.25, 148.45, 17791
HINDALCO,2016-08-16 09:45:00, 148.45, 148.55, 148.4, 148.4, 35017
HINDALCO,2016-08-16 09:46:00, 148.4, 148.65, 148.4, 148.45, 42387
HINDALCO,2016-08-16 09:47:00, 148.45, 148.6, 148.4, 148.45, 25844
HINDALCO,2016-08-16 09:48:00, 148.45, 148.6, 148.4, 148.5, 43415
HINDALCO,2016-08-16 09:49:00, 148.5, 148.5, 148.3, 148.35, 29951
HINDALCO,2016-08-16 09:51:00, 148.2, 148.4, 148.15, 148.15, 50551
HINDALCO,2016-08-16 09:50:00, 148.35, 148.4, 148.2, 148.2, 29709
HINDALCO,2016-08-16 09:52:00, 148.15, 148.2, 148, 148.05, 72325
HINDALCO,2016-08-16 09:53:00, 148.05, 148.1, 147.85, 148, 38577
HINDALCO,2016-08-16 09:54:00, 148, 148.2, 148, 148.05, 83058
HINDALCO,2016-08-16 09:56:00, 148.05, 148.1, 147.95, 148, 96260
HINDALCO,2016-08-16 09:55:00, 148.05, 148.1, 148, 148.05, 50303
HINDALCO,2016-08-16 09:57:00, 148, 148.25, 148, 148.15, 38304
HINDALCO,2016-08-16 09:58:00, 148.15, 148.25, 148.1, 148.15, 14686
HINDALCO,2016-08-16 09:59:00, 148.15, 148.2, 148.1, 148.1, 70756
HINDALCO,2016-08-16 10:00:00, 148.1, 148.2, 148.1, 148.2, 38718
