Code,Date,Open,High,Low,Close,Volume
HINDPETRO,2016-08-16 09:15:00, 1196.15, 1201, 1192.9, 1201, 10056
HINDPETRO,2016-08-16 09:16:00, 1201.7, 1202.95, 1200.05, 1202.75, 14077
HINDPETRO,2016-08-16 09:17:00, 1202.5, 1209.9, 1201.6, 1208.5, 14197
HINDPETRO,2016-08-16 09:18:00, 1208.3, 1208.4, 1203.95, 1205.7, 12680
HINDPETRO,2016-08-16 09:19:00, 1206, 1206.15, 1202.4, 1202.45, 9616
HINDPETRO,2016-08-16 09:20:00, 1202.45, 1204.2, 1200, 1204, 11470
HINDPETRO,2016-08-16 09:21:00, 1204, 1206.2, 1201, 1202.55, 22629
HINDPETRO,2016-08-16 09:22:00, 1201.2, 1201.5, 1193.5, 1196.45, 24561
HINDPETRO,2016-08-16 09:23:00, 1196.45, 1196.45, 1192.6, 1193.95, 10962
HINDPETRO,2016-08-16 09:24:00, 1193.4, 1195.45, 1192.35, 1195.45, 7301
HINDPETRO,2016-08-16 09:25:00, 1195.45, 1196.05, 1194.05, 1195.5, 7039
HINDPETRO,2016-08-16 09:26:00, 1195.5, 1197.15, 1195, 1196.75, 6681
HINDPETRO,2016-08-16 09:27:00, 1196.75, 1198.15, 1196.75, 1197.45, 11227
HINDPETRO,2016-08-16 09:28:00, 1197.45, 1198.35, 1197.35, 1198.35, 5208
HINDPETRO,2016-08-16 09:29:00, 1197.8, 1198.2, 1197.6, 1198.15, 2760
HINDPETRO,2016-08-16 09:30:00, 1198, 1198.35, 1197.6, 1198.25, 6084
HINDPETRO,2016-08-16 09:31:00, 1198.25, 1198.35, 1197.15, 1197.15, 4806
HINDPETRO,2016-08-16 09:32:00, 1197.15, 1198, 1197.15, 1197.3, 3141
HINDPETRO,2016-08-16 09:33:00, 1197.3, 1197.3, 1196.25, 1196.75, 3565
HINDPETRO,2016-08-16 09:34:00, 1196.2, 1197.95, 1196.2, 1197.4, 2230
HINDPETRO,2016-08-16 09:35:00, 1197.4, 1197.75, 1196.9, 1197.35, 2470
HINDPETRO,2016-08-16 09:36:00, 1197.4, 1197.55, 1197, 1197.15, 1913
HINDPETRO,2016-08-16 09:37:00, 1197.15, 1197.25, 1196.05, 1197.25, 2189
