Code,Date,Open,High,Low,Close,Volume
HINDUNILVR,2016-08-16 09:15:00, 932.8, 943.9, 931.25, 939.05, 8882
HINDUNILVR,2016-08-16 09:16:00, 938.55, 938.55, 937.5, 937.65, 7451
HINDUNILVR,2016-08-16 09:17:00, 937.7, 938.1, 935.25, 935.25, 3376
HINDUNILVR,2016-08-16 09:18:00, 935.75, 935.75, 933, 933.1, 4077
HINDUNILVR,2016-08-16 09:19:00, 933.1, 934, 933.1, 933.75, 5733
HINDUNILVR,2016-08-16 09:20:00, 933.75, 935.45, 933.7, 935.45, 4370
HINDUNILVR,2016-08-16 09:21:00, 935.45, 935.45, 934.05, 934.25, 2723
HINDUNILVR,2016-08-16 09:22:00, 934.25, 934.75, 934, 934.05, 1896
HINDUNILVR,2016-08-16 09:23:00, 934, 934, 931.2, 931.25, 3050
HINDUNILVR,2016-08-16 09:24:00, 931.25, 931.4, 931, 931.3, 1777
HINDUNILVR,2016-08-16 09:25:00, 931.3, 932.1, 931.15, 931.5, 1886
HINDUNILVR,2016-08-16 09:26:00, 931.45, 932.55, 931.05, 932.2, 1686
HINDUNILVR,2016-08-16 09:27:00, 932.2, 933.2, 932.15, 933.1, 1767
HINDUNILVR,2016-08-16 09:28:00, 933.1, 933.95, 933.1, 933.85, 1427
HINDUNILVR,2016-08-16 09:29:00, 934, 934, 933.7, 933.8, 828
HINDUNILVR,2016-08-16 09:30:00, 933.8, 933.8, 932.8, 933.4, 1528
HINDUNILVR,2016-08-16 09:31:00, 933.4, 933.75, 933.4, 933.5, 1507
HINDUNILVR,2016-08-16 09:32:00, 933.5, 933.5, 931.4, 931.65, 3049
HINDUNILVR,2016-08-16 09:33:00, 931.65, 932, 929, 929.65, 4309
HINDUNILVR,2016-08-16 09:34:00, 929.65, 930.25, 929.5, 930.15, 1429
HINDUNILVR,2016-08-16 09:35:00, 930.15, 930.15, 929.2, 929.5, 1335
HINDUNILVR,2016-08-16 09:36:00, 929.5, 929.95, 929, 929, 1949
HINDUNILVR,2016-08-16 09:37:00, 928.65, 929.9, 928.65, 929.65, 2092
HINDUNILVR,2016-08-16 09:38:00, 929.6, 929.65, 928.95, 928.95, 2422
HINDUNILVR,2016-08-16 09:39:00, 929, 929.4, 928.6, 929.25, 2377
HINDUNILVR,2016-08-16 09:40:00, 929.25, 929.5, 928.9, 928.9, 2340
HINDUNILVR,2016-08-16 09:41:00, 929.35, 929.85, 929, 929.85, 997
HINDUNILVR,2016-08-16 09:42:00, 929.85, 930.15, 929.75, 930, 1507
HINDUNILVR,2016-08-16 09:43:00, 930, 930.25, 929.45, 930, 1760
HINDUNILVR,2016-08-16 09:44:00, 930, 930.15, 929.1, 929.7, 1851
HINDUNILVR,2016-08-16 09:45:00, 929.7, 929.8, 929.2, 929.8, 1086
HINDUNILVR,2016-08-16 09:46:00, 929.8, 929.8, 929.1, 929.45, 1440
HINDUNILVR,2016-08-16 09:47:00, 929.45, 930.5, 929.45, 930.2, 3350
HINDUNILVR,2016-08-16 09:48:00, 930.2, 930.3, 929.85, 929.85, 1824
HINDUNILVR,2016-08-16 09:49:00, 929.85, 930.05, 929.85, 930, 707
HINDUNILVR,2016-08-16 09:50:00, 930, 930.25, 929.95, 929.95, 1059
HINDUNILVR,2016-08-16 09:51:00, 930.05, 930.15, 929, 929.1, 2510
HINDUNILVR,2016-08-16 09:52:00, 929.1, 929.6, 929, 929.4, 1735
HINDUNILVR,2016-08-16 09:53:00, 929.4, 929.95, 929.4, 929.65, 1524
HINDUNILVR,2016-08-16 09:54:00, 929.65, 929.65, 929.4, 929.4, 1652
HINDUNILVR,2016-08-16 09:55:00, 929.55, 929.55, 929.3, 929.35, 1864
HINDUNILVR,2016-08-16 09:56:00, 929.35, 929.4, 929.35, 929.4, 660
HINDUNILVR,2016-08-16 09:57:00, 929.35, 929.5, 929.35, 929.45, 1048
HINDUNILVR,2016-08-16 09:58:00, 929.45, 929.85, 929.45, 929.85, 246
HINDUNILVR,2016-08-16 09:59:00, 929.85, 930.15, 929.85, 929.95, 1719
HINDUNILVR,2016-08-16 10:00:00, 929.9, 930.05, 929.8, 929.85, 1696
HINDUNILVR,2016-08-16 10:01:00, 929.9, 930.15, 929.85, 930.1, 584
HINDUNILVR,2016-08-16 10:02:00, 930, 930.5, 929.6, 929.6, 5073
HINDUNILVR,2016-08-16 10:03:00, 929.6, 929.85, 929.15, 929.7, 863
HINDUNILVR,2016-08-16 10:04:00, 929.7, 929.7, 929.05, 929.4, 1514
HINDUNILVR,2016-08-16 10:05:00, 929.4, 929.45, 929.2, 929.3, 919
HINDUNILVR,2016-08-16 10:06:00, 929.25, 929.9, 929.25, 929.9, 548
HINDUNILVR,2016-08-16 10:07:00, 929.9, 930.35, 929.9, 930, 1590
HINDUNILVR,2016-08-16 10:08:00, 930, 930, 929.3, 930, 1202
HINDUNILVR,2016-08-16 10:09:00, 930, 930.35, 929.95, 930.05, 550
HINDUNILVR,2016-08-16 10:10:00, 929.95, 930.3, 929.9, 930.05, 2556
HINDUNILVR,2016-08-16 10:11:00, 929.95, 930.75, 929.75, 930.75, 8649
HINDUNILVR,2016-08-16 10:12:00, 930.5, 930.5, 929.4, 929.7, 2348
HINDUNILVR,2016-08-16 10:13:00, 929.7, 929.9, 929.7, 929.85, 481
HINDUNILVR,2016-08-16 10:14:00, 929.85, 930.65, 929.8, 930.65, 299
HINDUNILVR,2016-08-16 10:15:00, 930.65, 931.45, 930.65, 931.45, 515
HINDUNILVR,2016-08-16 10:16:00, 931.65, 933.4, 931.65, 933.4, 1540
HINDUNILVR,2016-08-16 10:17:00, 933.4, 933.95, 933.25, 933.95, 1009
HINDUNILVR,2016-08-16 10:18:00, 933.95, 933.95, 933, 933.6, 1677
HINDUNILVR,2016-08-16 10:19:00, 933.6, 933.9, 933.45, 933.6, 1257
HINDUNILVR,2016-08-16 10:20:00, 933.6, 934, 933.6, 934, 903
HINDUNILVR,2016-08-16 10:21:00, 934.05, 934.5, 933.9, 934.45, 1536
HINDUNILVR,2016-08-16 10:22:00, 934.45, 934.45, 934.25, 934.35, 782
HINDUNILVR,2016-08-16 10:23:00, 934.35, 934.6, 934.35, 934.5, 681
HINDUNILVR,2016-08-16 10:24:00, 934.55, 934.75, 934.4, 934.65, 1662
HINDUNILVR,2016-08-16 10:25:00, 934.65, 935.5, 934.6, 935.5, 8583
HINDUNILVR,2016-08-16 10:26:00, 935.5, 936, 935.4, 936, 1029
HINDUNILVR,2016-08-16 10:27:00, 936, 936, 935.65, 936, 1558
HINDUNILVR,2016-08-16 10:28:00, 935.95, 936, 935.4, 935.8, 3108
HINDUNILVR,2016-08-16 10:29:00, 935.85, 935.9, 935.25, 935.25, 1956
HINDUNILVR,2016-08-16 10:30:00, 935.25, 935.3, 934.75, 935, 1424
HINDUNILVR,2016-08-16 10:31:00, 935, 935.8, 935, 935.8, 577
HINDUNILVR,2016-08-16 10:32:00, 935.8, 935.95, 935.6, 935.9, 456
HINDUNILVR,2016-08-16 10:33:00, 935.9, 936, 935.9, 935.95, 2201
HINDUNILVR,2016-08-16 10:34:00, 935.95, 936, 935.55, 935.6, 2620
HINDUNILVR,2016-08-16 10:35:00, 935.6, 936, 935.55, 935.8, 1872
HINDUNILVR,2016-08-16 10:36:00, 935.8, 935.8, 935.25, 935.25, 782
HINDUNILVR,2016-08-16 10:37:00, 935.25, 935.6, 935.25, 935.6, 837
HINDUNILVR,2016-08-16 10:38:00, 935.6, 935.9, 935.6, 935.9, 203
HINDUNILVR,2016-08-16 10:39:00, 935.9, 936.2, 932.1, 932.1, 10714
HINDUNILVR,2016-08-16 10:40:00, 932, 932, 929.35, 930.3, 11360
HINDUNILVR,2016-08-16 10:41:00, 930.05, 930.45, 929, 929.1, 4984
HINDUNILVR,2016-08-16 10:42:00, 929.1, 930.8, 929.1, 930.3, 3122
