Code,Date,Open,High,Low,Close,Volume
IBREALEST,2016-08-16 09:15:00, 85.15, 85.4, 84.85, 84.9, 37213
IBREALEST,2016-08-16 09:16:00, 84.9, 85, 84.85, 84.95, 19091
IBREALEST,2016-08-16 09:17:00, 84.9, 85.15, 84.85, 85, 33558
IBREALEST,2016-08-16 09:18:00, 85, 85, 84.55, 84.8, 31234
IBREALEST,2016-08-16 09:19:00, 84.8, 84.85, 84.5, 84.65, 26338
IBREALEST,2016-08-16 09:20:00, 84.65, 85.1, 84.65, 85.1, 27386
IBREALEST,2016-08-16 09:21:00, 85.15, 85.2, 84.9, 85.05, 25606
IBREALEST,2016-08-16 09:22:00, 85.1, 85.15, 84.85, 85.15, 24496
IBREALEST,2016-08-16 09:23:00, 85.15, 85.15, 84.85, 85.05, 12520
IBREALEST,2016-08-16 09:24:00, 85.05, 85.05, 84.9, 85, 22027
IBREALEST,2016-08-16 09:25:00, 85, 85.1, 84.95, 85, 11181
IBREALEST,2016-08-16 09:26:00, 85, 85.2, 84.95, 85.15, 17941
IBREALEST,2016-08-16 09:27:00, 85.15, 85.3, 85.15, 85.2, 13236
IBREALEST,2016-08-16 09:28:00, 85.2, 85.55, 85.2, 85.45, 62897
IBREALEST,2016-08-16 09:29:00, 85.55, 85.7, 85.4, 85.6, 27080
IBREALEST,2016-08-16 09:30:00, 85.6, 85.7, 85.55, 85.7, 21270
IBREALEST,2016-08-16 09:31:00, 85.7, 85.7, 85.5, 85.5, 8225
IBREALEST,2016-08-16 09:32:00, 85.45, 85.6, 85.35, 85.5, 10728
IBREALEST,2016-08-16 09:33:00, 85.5, 85.5, 85.05, 85.1, 27454
IBREALEST,2016-08-16 09:34:00, 85.1, 85.35, 85, 85.35, 22566
IBREALEST,2016-08-16 09:35:00, 85.35, 85.4, 85.3, 85.3, 26270
IBREALEST,2016-08-16 09:36:00, 85.3, 85.35, 85.2, 85.2, 13921
IBREALEST,2016-08-16 09:37:00, 85.2, 85.45, 85.2, 85.45, 6733
IBREALEST,2016-08-16 09:39:00, 85.3, 85.45, 85.3, 85.35, 3419
IBREALEST,2016-08-16 09:38:00, 85.45, 85.5, 85.25, 85.4, 14683
IBREALEST,2016-08-16 09:40:00, 85.35, 85.45, 85.3, 85.4, 6280
IBREALEST,2016-08-16 09:41:00, 85.3, 85.35, 85.2, 85.25, 12945
IBREALEST,2016-08-16 09:42:00, 85.25, 85.25, 85.15, 85.25, 7263
IBREALEST,2016-08-16 09:43:00, 85.25, 85.25, 85.15, 85.2, 1022
IBREALEST,2016-08-16 09:44:00, 85.2, 85.25, 85.1, 85.25, 11434
IBREALEST,2016-08-16 09:45:00, 85.25, 85.25, 85.15, 85.15, 8714
IBREALEST,2016-08-16 09:46:00, 85.15, 85.35, 85.15, 85.25, 8733
IBREALEST,2016-08-16 09:47:00, 85.25, 85.3, 85.1, 85.25, 13937
IBREALEST,2016-08-16 09:48:00, 85.25, 85.7, 85.25, 85.3, 30849
IBREALEST,2016-08-16 09:49:00, 85.3, 85.5, 85.3, 85.45, 4646
IBREALEST,2016-08-16 09:50:00, 85.45, 85.5, 85.35, 85.4, 10381
IBREALEST,2016-08-16 09:51:00, 85.4, 85.5, 85.3, 85.4, 19433
IBREALEST,2016-08-16 09:52:00, 85.4, 85.4, 85.2, 85.25, 25548
IBREALEST,2016-08-16 09:53:00, 85.2, 85.3, 85.2, 85.3, 8618
IBREALEST,2016-08-16 09:54:00, 85.35, 85.4, 85.2, 85.2, 5052
IBREALEST,2016-08-16 09:55:00, 85.2, 85.3, 85.15, 85.25, 28264
IBREALEST,2016-08-16 09:56:00, 85.25, 85.25, 85.1, 85.1, 6623
IBREALEST,2016-08-16 09:57:00, 85.1, 85.3, 85.1, 85.3, 2155
IBREALEST,2016-08-16 09:58:00, 85.25, 85.25, 85.15, 85.25, 2945
IBREALEST,2016-08-16 09:59:00, 85.25, 85.3, 85.15, 85.3, 8589
IBREALEST,2016-08-16 10:00:00, 85.3, 85.4, 85.15, 85.2, 23187
IBREALEST,2016-08-16 10:01:00, 85.2, 85.35, 84.6, 84.75, 76034
IBREALEST,2016-08-16 10:02:00, 84.6, 85.15, 84.6, 84.95, 35752
IBREALEST,2016-08-16 10:03:00, 85.05, 85.1, 84.9, 85, 7015
IBREALEST,2016-08-16 10:04:00, 85, 85.2, 85, 85, 6449
IBREALEST,2016-08-16 10:05:00, 85, 85.15, 85, 85, 10713
IBREALEST,2016-08-16 10:06:00, 85, 85.05, 85, 85.05, 3298
IBREALEST,2016-08-16 10:07:00, 85.05, 85.05, 84.95, 85.05, 3344
IBREALEST,2016-08-16 10:08:00, 85.05, 85.05, 84.95, 85.05, 4188
IBREALEST,2016-08-16 10:09:00, 84.95, 85.05, 84.8, 84.8, 6977
IBREALEST,2016-08-16 10:10:00, 84.8, 84.95, 84.8, 84.9, 23847
IBREALEST,2016-08-16 10:11:00, 84.9, 85, 84.85, 85, 2973
IBREALEST,2016-08-16 10:12:00, 85, 85, 84.9, 84.9, 4771
IBREALEST,2016-08-16 10:13:00, 84.9, 84.9, 84.85, 84.85, 164
IBREALEST,2016-08-16 10:14:00, 84.85, 85.1, 84.85, 85.1, 4434
IBREALEST,2016-08-16 10:15:00, 85.1, 85.1, 84.95, 85, 7731
IBREALEST,2016-08-16 10:16:00, 85, 85, 84.9, 85, 2275
IBREALEST,2016-08-16 10:17:00, 84.9, 84.9, 84.9, 84.9, 2924
IBREALEST,2016-08-16 10:18:00, 85, 85, 84.95, 85, 2923
IBREALEST,2016-08-16 10:19:00, 84.9, 84.95, 84.9, 84.95, 5130
IBREALEST,2016-08-16 10:20:00, 84.95, 84.95, 84.7, 84.9, 23190
IBREALEST,2016-08-16 10:21:00, 84.9, 84.95, 84.7, 84.8, 10500
IBREALEST,2016-08-16 10:22:00, 84.7, 84.7, 84.55, 84.65, 17111
IBREALEST,2016-08-16 10:23:00, 84.65, 84.75, 84.6, 84.7, 22010
IBREALEST,2016-08-16 10:24:00, 84.7, 84.9, 84.7, 84.8, 19828
IBREALEST,2016-08-16 10:25:00, 84.8, 84.9, 84.8, 84.8, 4240
IBREALEST,2016-08-16 10:26:00, 84.8, 84.9, 84.8, 84.8, 1355
IBREALEST,2016-08-16 10:27:00, 84.8, 84.9, 84.8, 84.8, 353
IBREALEST,2016-08-16 10:28:00, 84.8, 84.85, 84.65, 84.7, 19642
IBREALEST,2016-08-16 10:29:00, 84.7, 84.75, 84.65, 84.7, 1951
IBREALEST,2016-08-16 10:30:00, 84.7, 84.75, 84.6, 84.6, 24094
IBREALEST,2016-08-16 10:31:00, 84.6, 84.7, 84.6, 84.7, 1910
IBREALEST,2016-08-16 10:32:00, 84.7, 84.8, 84.7, 84.7, 14614
IBREALEST,2016-08-16 10:33:00, 84.7, 84.7, 84.6, 84.7, 3909
IBREALEST,2016-08-16 10:34:00, 84.7, 84.75, 84.6, 84.7, 5311
IBREALEST,2016-08-16 10:35:00, 84.7, 84.8, 84.7, 84.8, 1148
IBREALEST,2016-08-16 10:36:00, 84.8, 84.9, 84.8, 84.85, 1651
IBREALEST,2016-08-16 10:37:00, 84.85, 84.85, 84.8, 84.8, 3200
IBREALEST,2016-08-16 10:38:00, 84.8, 84.85, 84.75, 84.8, 1440
IBREALEST,2016-08-16 10:39:00, 84.8, 84.85, 84.8, 84.8, 3001
IBREALEST,2016-08-16 10:40:00, 84.8, 84.9, 84.8, 84.85, 3500
IBREALEST,2016-08-16 10:41:00, 84.85, 84.85, 84.75, 84.75, 555
IBREALEST,2016-08-16 10:42:00, 84.75, 84.9, 84.75, 84.8, 193
IBREALEST,2016-08-16 10:43:00, 84.8, 85, 84.8, 85, 7388
IBREALEST,2016-08-16 10:44:00, 85, 85, 84.9, 84.9, 8629
IBREALEST,2016-08-16 10:45:00, 84.9, 84.95, 84.9, 84.9, 352
IBREALEST,2016-08-16 10:46:00, 84.9, 84.95, 84.85, 84.95, 2311
IBREALEST,2016-08-16 10:47:00, 84.95, 84.95, 84.85, 84.85, 3430
IBREALEST,2016-08-16 10:48:00, 84.8, 84.85, 84.8, 84.8, 1900
IBREALEST,2016-08-16 10:49:00, 84.8, 84.9, 84.8, 84.85, 4442
IBREALEST,2016-08-16 10:50:00, 84.85, 84.85, 84.8, 84.85, 2724
IBREALEST,2016-08-16 10:51:00, 84.85, 84.85, 84.7, 84.75, 10674
IBREALEST,2016-08-16 10:52:00, 84.75, 84.75, 84.4, 84.4, 67142
IBREALEST,2016-08-16 10:53:00, 84.45, 84.55, 84.45, 84.55, 4156
IBREALEST,2016-08-16 10:54:00, 84.55, 84.6, 84.5, 84.6, 2766
IBREALEST,2016-08-16 10:55:00, 84.5, 84.6, 84.5, 84.5, 1199
IBREALEST,2016-08-16 10:56:00, 84.5, 84.55, 84.5, 84.55, 2979
IBREALEST,2016-08-16 10:57:00, 84.55, 84.55, 84.25, 84.3, 24514
IBREALEST,2016-08-16 10:58:00, 84.35, 84.35, 84.2, 84.25, 30322
IBREALEST,2016-08-16 10:59:00, 84.25, 84.25, 83.9, 83.9, 56845
IBREALEST,2016-08-16 11:00:00, 83.9, 83.95, 82.65, 83.05, 267392
IBREALEST,2016-08-16 11:01:00, 83.05, 83.35, 83, 83.3, 48785
IBREALEST,2016-08-16 11:02:00, 83.5, 83.6, 83.2, 83.4, 22872
IBREALEST,2016-08-16 11:03:00, 83.45, 83.6, 83.35, 83.55, 27637
IBREALEST,2016-08-16 11:04:00, 83.65, 83.8, 83.55, 83.7, 18370
IBREALEST,2016-08-16 11:05:00, 83.7, 83.7, 83.55, 83.55, 18754
IBREALEST,2016-08-16 11:06:00, 83.55, 83.65, 83.55, 83.65, 3824
IBREALEST,2016-08-16 11:07:00, 83.6, 83.65, 83.55, 83.55, 14468
IBREALEST,2016-08-16 11:08:00, 83.55, 83.7, 83.5, 83.5, 21055
IBREALEST,2016-08-16 11:09:00, 83.5, 83.65, 83.45, 83.6, 6538
IBREALEST,2016-08-16 11:10:00, 83.6, 83.6, 83.55, 83.55, 4383
IBREALEST,2016-08-16 11:11:00, 83.55, 83.7, 83.55, 83.55, 7111
IBREALEST,2016-08-16 11:12:00, 83.55, 83.8, 83.55, 83.7, 15265
IBREALEST,2016-08-16 11:13:00, 83.7, 83.85, 83.7, 83.8, 4995
IBREALEST,2016-08-16 11:14:00, 83.8, 83.85, 83.8, 83.8, 5327
IBREALEST,2016-08-16 11:15:00, 83.8, 83.85, 83.8, 83.8, 2881
IBREALEST,2016-08-16 11:16:00, 83.8, 83.95, 83.8, 83.85, 9181
IBREALEST,2016-08-16 11:17:00, 83.85, 83.95, 83.8, 83.85, 12523
IBREALEST,2016-08-16 11:18:00, 83.85, 84, 83.8, 83.8, 12304
IBREALEST,2016-08-16 11:19:00, 83.8, 83.9, 83.8, 83.85, 2680
IBREALEST,2016-08-16 11:20:00, 83.85, 83.85, 83.7, 83.7, 3289
IBREALEST,2016-08-16 11:21:00, 83.65, 83.7, 83.45, 83.6, 40347
IBREALEST,2016-08-16 11:22:00, 83.6, 83.7, 83.5, 83.7, 4730
IBREALEST,2016-08-16 11:23:00, 83.7, 83.7, 83.65, 83.7, 5876
IBREALEST,2016-08-16 11:24:00, 83.7, 83.7, 83.55, 83.55, 10113
IBREALEST,2016-08-16 11:25:00, 83.55, 83.65, 83.55, 83.65, 1250
IBREALEST,2016-08-16 11:26:00, 83.65, 83.7, 83.65, 83.7, 850
IBREALEST,2016-08-16 11:27:00, 83.65, 83.8, 83.65, 83.8, 3450
IBREALEST,2016-08-16 11:28:00, 83.8, 83.8, 83.55, 83.55, 6976
IBREALEST,2016-08-16 11:29:00, 83.6, 83.75, 83.6, 83.65, 7885
IBREALEST,2016-08-16 11:30:00, 83.75, 83.75, 83.65, 83.7, 1956
IBREALEST,2016-08-16 11:31:00, 83.7, 83.7, 83.6, 83.65, 1013
IBREALEST,2016-08-16 11:32:00, 83.65, 83.7, 83.65, 83.7, 1920
IBREALEST,2016-08-16 11:33:00, 83.65, 83.7, 83.65, 83.65, 1641
IBREALEST,2016-08-16 11:34:00, 83.65, 83.65, 83.6, 83.65, 851
IBREALEST,2016-08-16 11:35:00, 83.65, 83.65, 83.55, 83.6, 22910
IBREALEST,2016-08-16 11:36:00, 83.6, 83.6, 83.4, 83.5, 6145
IBREALEST,2016-08-16 11:37:00, 83.5, 83.5, 83.25, 83.25, 11979
IBREALEST,2016-08-16 11:38:00, 83.25, 83.4, 83.15, 83.25, 20133
