Code,Date,Open,High,Low,Close,Volume
IBULHSGFIN,2016-08-16 09:15:00, 800.05, 801.4, 786.1, 791.35, 14848
IBULHSGFIN,2016-08-16 09:16:00, 791.35, 796, 791.35, 795.55, 7734
IBULHSGFIN,2016-08-16 09:17:00, 795.35, 795.95, 794.1, 794.85, 15486
IBULHSGFIN,2016-08-16 09:19:00, 795, 795.05, 790.3, 790.45, 10713
IBULHSGFIN,2016-08-16 09:18:00, 794.9, 795.5, 794.25, 795.1, 6997
IBULHSGFIN,2016-08-16 09:20:00, 790.3, 797.6, 790.3, 797.6, 6716
IBULHSGFIN,2016-08-16 09:21:00, 796.5, 796.65, 795.85, 795.85, 3732
IBULHSGFIN,2016-08-16 09:22:00, 795.85, 796.3, 795.05, 796.3, 2905
IBULHSGFIN,2016-08-16 09:23:00, 795.85, 796.3, 795.4, 795.4, 2862
IBULHSGFIN,2016-08-16 09:24:00, 795.55, 795.95, 795.1, 795.85, 4449
IBULHSGFIN,2016-08-16 09:25:00, 795.9, 796.3, 795.3, 795.3, 3689
IBULHSGFIN,2016-08-16 09:26:00, 795.3, 795.85, 795.3, 795.85, 2432
IBULHSGFIN,2016-08-16 09:27:00, 795.85, 796.8, 795.55, 796.55, 2097
IBULHSGFIN,2016-08-16 09:29:00, 797, 799.4, 797, 799.35, 3996
IBULHSGFIN,2016-08-16 09:28:00, 796.6, 797.05, 796.6, 797, 3951
IBULHSGFIN,2016-08-16 09:30:00, 799.35, 799.35, 798.3, 798.6, 7156
IBULHSGFIN,2016-08-16 09:31:00, 798.6, 799.7, 798.6, 799.45, 5233
IBULHSGFIN,2016-08-16 09:32:00, 799.45, 799.8, 799.45, 799.8, 3532
IBULHSGFIN,2016-08-16 09:33:00, 799.8, 799.9, 798.75, 799.2, 5181
IBULHSGFIN,2016-08-16 09:34:00, 799.2, 799.4, 798.15, 799.05, 5757
IBULHSGFIN,2016-08-16 09:35:00, 799.05, 799.45, 799.05, 799.3, 1730
IBULHSGFIN,2016-08-16 09:36:00, 799.3, 799.7, 799.3, 799.35, 1773
IBULHSGFIN,2016-08-16 09:37:00, 799.35, 799.35, 798.35, 799, 5594
IBULHSGFIN,2016-08-16 09:38:00, 798.8, 799.1, 798.8, 798.85, 2294
IBULHSGFIN,2016-08-16 09:39:00, 798.85, 799.9, 798.85, 799.9, 2179
IBULHSGFIN,2016-08-16 09:40:00, 799.9, 799.9, 799.55, 799.55, 2716
IBULHSGFIN,2016-08-16 09:41:00, 799.55, 799.6, 799.05, 799.4, 4499
IBULHSGFIN,2016-08-16 09:42:00, 799.4, 799.4, 798.9, 799, 3749
IBULHSGFIN,2016-08-16 09:44:00, 799, 799.05, 798.95, 798.95, 3451
IBULHSGFIN,2016-08-16 09:43:00, 799, 799.3, 798.85, 799, 5363
IBULHSGFIN,2016-08-16 09:45:00, 798.95, 799.5, 798.95, 799.5, 4968
IBULHSGFIN,2016-08-16 09:46:00, 799.5, 804.95, 799.35, 804.65, 22038
IBULHSGFIN,2016-08-16 09:47:00, 804.7, 814, 804.7, 812.6, 59418
IBULHSGFIN,2016-08-16 09:49:00, 809.55, 809.9, 807.6, 807.65, 8915
IBULHSGFIN,2016-08-16 09:48:00, 812.7, 812.7, 807.7, 809.6, 16953
IBULHSGFIN,2016-08-16 09:50:00, 807.35, 809.3, 806.85, 806.85, 11710
IBULHSGFIN,2016-08-16 09:51:00, 806.65, 806.65, 804.4, 805.95, 12129
IBULHSGFIN,2016-08-16 09:52:00, 806.6, 806.85, 805.55, 805.95, 4814
IBULHSGFIN,2016-08-16 09:53:00, 805.95, 805.95, 805, 805.5, 4307
IBULHSGFIN,2016-08-16 09:54:00, 805.5, 806.7, 805.3, 805.95, 11900
IBULHSGFIN,2016-08-16 09:55:00, 805.65, 806, 805.65, 805.65, 2657
IBULHSGFIN,2016-08-16 09:56:00, 805.9, 806.05, 805.6, 805.95, 4412
IBULHSGFIN,2016-08-16 09:57:00, 805.95, 806.2, 805.55, 805.95, 3613
IBULHSGFIN,2016-08-16 09:58:00, 805.95, 805.95, 805.55, 805.75, 2531
IBULHSGFIN,2016-08-16 09:59:00, 805.75, 805.9, 805.05, 805.4, 3257
IBULHSGFIN,2016-08-16 10:00:00, 805.4, 805.45, 804.05, 804.05, 5006
