Code,Date,Open,High,Low,Close,Volume
IDEA,2016-08-16 09:15:00, 94.8, 94.8, 93.8, 93.9, 33155
IDEA,2016-08-16 09:16:00, 93.85, 94.1, 93.65, 94.05, 54891
IDEA,2016-08-16 09:18:00, 94.25, 94.25, 93.75, 93.9, 71214
IDEA,2016-08-16 09:17:00, 94.05, 94.3, 94.05, 94.15, 34404
IDEA,2016-08-16 09:19:00, 93.9, 94.1, 93.85, 94.05, 22596
IDEA,2016-08-16 09:20:00, 94.05, 94.05, 93.6, 93.7, 51821
IDEA,2016-08-16 09:21:00, 93.7, 94, 93.7, 93.8, 34585
IDEA,2016-08-16 09:22:00, 93.8, 93.8, 93.15, 93.4, 90863
IDEA,2016-08-16 09:23:00, 93.4, 93.5, 93.3, 93.3, 49018
IDEA,2016-08-16 09:24:00, 93.3, 93.45, 93.25, 93.3, 30936
IDEA,2016-08-16 09:25:00, 93.3, 93.4, 93.25, 93.4, 24905
IDEA,2016-08-16 09:26:00, 93.4, 93.45, 93.3, 93.45, 39283
IDEA,2016-08-16 09:27:00, 93.45, 93.55, 93.4, 93.5, 25530
IDEA,2016-08-16 09:28:00, 93.55, 93.65, 93.45, 93.6, 15644
IDEA,2016-08-16 09:29:00, 93.6, 93.6, 93.5, 93.55, 11015
IDEA,2016-08-16 09:30:00, 93.55, 93.55, 93.3, 93.4, 45143
IDEA,2016-08-16 09:32:00, 93.5, 93.6, 93.5, 93.6, 11884
IDEA,2016-08-16 09:31:00, 93.4, 93.6, 93.4, 93.6, 20090
IDEA,2016-08-16 09:33:00, 93.6, 93.7, 93.5, 93.6, 31375
IDEA,2016-08-16 09:34:00, 93.6, 93.65, 93.55, 93.65, 17106
IDEA,2016-08-16 09:35:00, 93.65, 93.7, 93.6, 93.7, 4770
IDEA,2016-08-16 09:36:00, 93.7, 93.7, 93.6, 93.6, 19770
IDEA,2016-08-16 09:37:00, 93.6, 93.65, 93.55, 93.65, 14125
IDEA,2016-08-16 09:38:00, 93.65, 93.7, 93.6, 93.7, 28661
IDEA,2016-08-16 09:39:00, 93.7, 93.75, 93.65, 93.75, 48367
IDEA,2016-08-16 09:40:00, 93.75, 93.8, 93.75, 93.75, 20989
IDEA,2016-08-16 09:41:00, 93.8, 93.85, 93.75, 93.8, 18489
IDEA,2016-08-16 09:42:00, 93.8, 93.85, 93.8, 93.8, 7062
IDEA,2016-08-16 09:43:00, 93.8, 93.85, 93.75, 93.85, 18580
IDEA,2016-08-16 09:44:00, 93.85, 94.25, 93.85, 94.25, 44555
IDEA,2016-08-16 09:45:00, 94.2, 94.25, 94.05, 94.1, 18874
IDEA,2016-08-16 09:46:00, 94.1, 94.25, 94.1, 94.15, 50789
IDEA,2016-08-16 09:47:00, 94.15, 94.35, 94.15, 94.25, 21673
IDEA,2016-08-16 09:48:00, 94.25, 94.3, 94.1, 94.15, 25795
IDEA,2016-08-16 09:49:00, 94.15, 94.25, 94.05, 94.1, 13116
IDEA,2016-08-16 09:50:00, 94.15, 94.2, 94.05, 94.1, 17567
IDEA,2016-08-16 09:51:00, 94.05, 94.35, 94.05, 94.3, 46420
IDEA,2016-08-16 09:52:00, 94.3, 94.3, 94.1, 94.1, 9461
IDEA,2016-08-16 09:53:00, 94.1, 94.1, 93.9, 94.1, 19636
IDEA,2016-08-16 09:54:00, 94.1, 94.2, 94, 94.15, 22716
IDEA,2016-08-16 09:55:00, 94.2, 94.3, 93.9, 93.9, 53026
IDEA,2016-08-16 09:56:00, 93.9, 94, 93.85, 93.85, 17475
IDEA,2016-08-16 09:57:00, 93.85, 94.2, 93.85, 94.1, 26478
IDEA,2016-08-16 09:58:00, 94.1, 94.15, 94, 94.1, 11174
IDEA,2016-08-16 09:59:00, 94.15, 94.15, 94.05, 94.1, 6964
IDEA,2016-08-16 10:00:00, 94.1, 94.35, 94.1, 94.25, 48660
IDEA,2016-08-16 10:01:00, 94.25, 94.35, 94.1, 94.15, 8529
IDEA,2016-08-16 10:02:00, 94.25, 94.4, 94.2, 94.3, 15586
IDEA,2016-08-16 10:03:00, 94.3, 94.3, 94.1, 94.15, 18334
IDEA,2016-08-16 10:04:00, 94.15, 94.2, 94, 94.15, 14101
IDEA,2016-08-16 10:05:00, 94.15, 94.15, 94.05, 94.1, 8766
IDEA,2016-08-16 10:06:00, 94.1, 94.25, 94.1, 94.25, 15933
IDEA,2016-08-16 10:07:00, 94.1, 94.2, 94.05, 94.2, 9261
IDEA,2016-08-16 10:08:00, 94.2, 94.25, 94.1, 94.1, 3803
IDEA,2016-08-16 10:09:00, 94.15, 94.3, 94.15, 94.3, 16045
IDEA,2016-08-16 10:10:00, 94.2, 94.4, 94.2, 94.35, 16592
IDEA,2016-08-16 10:11:00, 94.35, 94.5, 94.3, 94.4, 21366
IDEA,2016-08-16 10:12:00, 94.4, 94.4, 94.1, 94.25, 8275
IDEA,2016-08-16 10:13:00, 94.25, 94.4, 94.15, 94.4, 22463
IDEA,2016-08-16 10:14:00, 94.35, 94.5, 94.35, 94.5, 36597
IDEA,2016-08-16 10:15:00, 94.5, 94.55, 94.35, 94.35, 12039
IDEA,2016-08-16 10:16:00, 94.35, 94.4, 94.3, 94.4, 4823
IDEA,2016-08-16 10:17:00, 94.4, 94.4, 94.1, 94.35, 26883
IDEA,2016-08-16 10:18:00, 94.35, 94.35, 94.15, 94.3, 2875
IDEA,2016-08-16 10:19:00, 94.25, 94.35, 94.2, 94.35, 8740
IDEA,2016-08-16 10:20:00, 94.35, 94.4, 94.25, 94.4, 11669
IDEA,2016-08-16 10:21:00, 94.4, 94.4, 94.15, 94.35, 9474
IDEA,2016-08-16 10:22:00, 94.35, 94.35, 94.25, 94.25, 13843
IDEA,2016-08-16 10:23:00, 94.25, 94.25, 94.15, 94.2, 8408
IDEA,2016-08-16 10:24:00, 94.2, 94.25, 94.1, 94.1, 7150
IDEA,2016-08-16 10:25:00, 94.1, 94.2, 94.1, 94.2, 7865
IDEA,2016-08-16 10:26:00, 94.2, 94.25, 94.15, 94.2, 1718
IDEA,2016-08-16 10:27:00, 94.2, 94.3, 94.15, 94.25, 18638
IDEA,2016-08-16 10:28:00, 94.25, 94.35, 94.25, 94.25, 9150
IDEA,2016-08-16 10:29:00, 94.25, 94.3, 94.25, 94.3, 16094
IDEA,2016-08-16 10:30:00, 94.3, 94.3, 94.25, 94.25, 4351
IDEA,2016-08-16 10:31:00, 94.25, 94.35, 94.25, 94.3, 7733
IDEA,2016-08-16 10:32:00, 94.3, 94.35, 94.15, 94.15, 14526
IDEA,2016-08-16 10:33:00, 94.2, 94.2, 94.15, 94.2, 7179
